DOY2,HR2,TA,RH,WS,PA,PPFD_IN,PPFD_OUT,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT,VPD,T_CANOPY,TS_1,TS_2,TS_3,TS_4,TS_5,TS_6,G,SG,USTAR,H,LE,FC,SC,NEE,H2O,CO2,U_SIGMA,V_SIGMA,W_SIGMA
1,14.25,11.585,16.025,2.965,85.2,924.63,123,199.345,453.25,96.125,242,387,8.295,15.6415,9.505,8.77,7.83,6.78,7.161,10.6375,28.41775,-0.6975,0.307,126.29,14,0.03375,-0.022202948,0.02246315,4.0598,386.79,1.02590995782,1.0246950766,0.441216273499
1,14.75,11.7,15.8,2.97125,85.2,829.677,113.5,153,407.775,83,241.045,384.855,8.28,15.08525,9.6,8.99,8.13,6.9955,7.17775,10.63,26,-5.199,0.30892366373975,105.815,11.0889,-0.04077075,-0.02754549225,-0.04801689605,4.04875,386.485,0.989949493661,0.994987437107,0.4390327510485
1,15.25,11.525,15.8,2.94,85.2,637.75,93,98,312,67,240.155,377.485,8.2375,13.617,9.61,9.07,8.32,7.19,7.16575,10.6375,21.4585,-10.7365,0.311,73.815,9.8568,0,-0.032963337,-0.033957,3.968675,386.2525,0.938083151965,0.942602443722,0.424264068712
1,15.75,11.4,15.937,2.9425,85.2,463.08,70,45,227,53,238.3625,371,8.0325,12.52025,9.58,9.1175,8.4425,7.3725,7.15125,10.64,16,-15.02375,0.29676296761375,39.96,8.6247,-0.023,-0.033313,-0.02957375,3.983725,385.67,0.877496438739,0.86732314544375,0.4044265558965
1,16.25,10.9,16.225,2.784,85.2,289.76,45.202,-2,140,36,236,364,7.73,10.97,9.435,9.135,8.525,7.5225,7.14825,10.63,10.133,-19.1515,0.2790974122255,7.6865,5.171,-0.045,-0.04906889075,-0.062629974,4.063225,385.13,0.800312378025,0.728010988928,0.377491140826
1,16.75,10.31,17.8,2.52,85.2,138.9277,22,-57.7775925,67.25,18,234,355,7.1425,9.061675,9.19,9.01,8.5725,7.68125,7.144,10.63,3.25425,-23.8695,0.231784382563,-16.401,3.6963,-0.174028,-0.059274536,-0.212241546,4.070775,383.92,0.65574385243,0.565685424949,0.325576411922
1,17.25,9.2,19.84375,1.98,85.21325,40.85,7,-97,18,5.2035,234,345,6.0525,6.87085,8.76,8.7175,8.52,7.7925,7.1425,10.63,-3.798,-28.19625,0.14915157082275,-32.19,1,-0.277167,-0.050783832,-0.333333,4.23405,383.4675,0.4756520248515,0.41261328756225,0.230757716691
1,17.75,7.93925,22.74,1.585,85.2505,2.00225,0.456,-108,-2.9575,1,233.1075,335,5.1225,4.537475,8.1525,8.45,8.4425,7.87325,7.14325,10.6375,-11,-32.43525,0.102195841403,-40.9195,0,-0.30525,-0.0409902055,-0.3552053835,4.3285,383.1675,0.3768195289485,0.3626286319545,0.167332005307
1,18.25,6.8,25.89325,1.35,85.274,0,0,-107,-4,1,232.39,328.3525,4.3275,3.1825,7.5795,8.06,8.265,7.905,7.1455,10.64,-16.2735,-30.27775,0.093035314768825,-39.7625,0,-0.277167,-0.03223226325,-0.32827425,4.51365,383.5775,0.387298334621,0.374165738677,0.14477316191175
1,18.75,5.7,28.804,1.2325,85.3,0,0,-103,-4,1,230.97,324,3.665,2.087475,6.97575,7.69725,8.0925,7.9225,7.15225,10.6275,-19.64425,-26.45975,0.077,-38.85,0,-0.222222,-0.02416825,-0.23655379275,4.4694,383.2925,0.411399712507,0.3667405228385,0.126559472186
1,19.25,4.59325,30.86525,1.182,85.3,0,0,-101.75,-4,1,228.1375,319,3.055,1.37085,6.53975,7.23925,7.9125,7.961,7.17,10.62,-21.8405,-23.72475,0.0753299243329,-33.3,0,-0.205,-0.02896025,-0.22869571125,4.535975,383.51,0.4,0.3556621334965,0.116417782147
1,19.75,3.7105,33.5,1.17,85.3,0,0,-100,-3.465,1,227,316,2.655,0.73,6.18675,6.86725,7.70025,7.9625,7.17625,10.62,-23.97475,-21.29375,0.0735621822025,-30,0,-0.222222,-0.02857175,-0.20340395,4.59105,383.64,0.412006945877,0.374165738677,0.121594407766
1,20.25,3.1,35.709,1.12,85.30175,0,0,-98,-3.0985,1,225.25,312.11,2.35,-0.1325,5.7025,6.5855,7.47075,7.91025,7.18125,10.61,-25.19025,-19.28,0.071,-25.36375,0,-0.182,-0.027195,-0.209453,4.5963,383.21,0.396861192006,0.367759246363,0.11581772223775
1,20.75,2.125,37.85,1.0725,85.34,0,0,-97,-3,1,224,310,2.075,-0.8758325,5.35925,6.257,7.234,7.8425,7.19675,10.61,-26.53975,-17.6895,0.0702676573844,-24.21,0,-0.194139,-0.034542,-0.194139,4.6463,382.895,0.4,0.3577681467725,0.11401754251
1,21.25,1.7075,39.2,1.05,85.35,0,0,-95.75,-3,1.105,223,308,1.88,-1.2167,5.0945,5.96325,7.018,7.7775,7.21325,10.6075,-27.12075,-15.80975,0.070691660108075,-25,0,-0.182,-0.049158,-0.20901435675,4.6801,383.2,0.4021640837085,0.374165738677,0.11401754251
1,21.75,1.2,41.3,1.06,85.38,0,0,-94,-3,1.1625,222,306,1.665,-1.5425,4.8155,5.725,6.805,7.6925,7.22825,10.6,-28,-14.733,0.065,-24.42,-0.17825,-0.2179165,-0.04223652675,-0.22190155775,4.65605,383.68,0.387298334621,0.36945719820375,0.111
1,22.25,0.9,42.825,1.0025,85.39,0,0,-93,-3,1.49125,222,305,1.52,-1.8925,4.557,5.44825,6.6425,7.645,7.2425,10.6,-28.6035,-13.369,0.063,-24.54075,-0.198,-0.222222,-0.051161121,-0.25040725875,4.67125,383.21,0.38632846963925,0.35319490133075,0.109544511501
