DOY2,HR2,CO2,G_1_1_1,H,H2O,LE,LW_IN,LW_OUT,NETRAD_1_1_1,PA,PPFD_IN,PPFD_OUT,RH,SC,SH,SLE,SW_IN,SW_OUT,TA_1_1_1,TS_1_1_1,TS_1_2_1,USTAR,VPD,WS
1,14.25,366.701,-8.5,30.6825,0.53425,2.55,187.325,223.875,57.7725,95,96.0975,31.225,66.115,-0.21,0.2,-0.1,98.15,25.5375,-19.925,-9.4275,-8.8925,0.29,0.3,1.4575
1,14.75,367.027,-8.425,25.6625,0.548,2.65,175.55,223.95,45.395,95,87.5775,23.4225,66.7,-0.31,-0.2,-0.1,85.425,23.2125,-19.75,-9.3875,-8.88,0.31,0.3,1.47675
1,15.25,366.802,-7.8,18.9925,0.547,1.7,174.9,223.9,24.1725,95,74.195,22.1525,66.825,-0.12,-0.8,-0.1,71.275,18.19,-19.5,-9.3475,-8.8475,0.28,0.2975,1.54125
1,15.75,366.792,-7.6,7.385,0.5425,1.1,178.175,223.325,5.56,95,55.045,16.0225,67.75,-0.115,-1.1,-0.1,42.6775,11.07,-19.625,-9.31,-8.8125,0.2675,0.29,1.40725
1,16.25,366.78,-7.5,-5.87,0.53525,0.5,185.525,220.95,-22.305,95,32.78,9.3275,68.65,-0.0575,-2.4,-0.1,25.43,7.01,-20.025,-9.2675,-8.77,0.26,0.27,1.4775
1,16.75,366.792,-7.5,-13.95,0.55675,0,180.075,218.525,-56.7475,95,12.655,3.82,68.675,0.07,-3.6,-0.2,8.6875,2.75,-20.35,-9.2425,-8.7275,0.2,0.25,1.2525
1,17.25,366.25,-7.65,-21.785,0.536,-0.3,181.425,215.55,-61.52,95,0.935,0.45,70.65,0.07,-4.825,-0.3,-0.06,0.72,-20.95,-9.2075,-8.6875,0.175,0.24,1.285
1,17.75,365.3625,-7.575,-23.4275,0.5095,-0.5,179.85,213.275,-61.4575,95,0,0,71.3,0.05,-4.75,-0.3,-2.025,0.1725,-22.365,-9.175,-8.6725,0.16,0.22,1.18
1,18.25,364.332,-7.625,-22.59,0.474,-0.5,176.65,210.65,-63.75925,95,0,0,71.65,0.0625,-3.75,-0.2,-2.0875,0.0825,-23.325,-9.1425,-8.6475,0.13,0.2,1.23275
1,18.75,364.76675,-7.3,-21.91,0.48375,-0.6,175.3,209.625,-56.805,95,0,0,72.65,0.06,-3.4,-0.2,-2.0375,0.1325,-23.275,-9.1425,-8.6375,0.125,0.18,1.26675
1,19.25,364.5585,-7.9,-17.76,0.503,-0.5,174.55,209.675,-54.8775,95,0,0,74.775,0.03,-3.375,-0.3,-1.925,0.05,-23.2,-9.1525,-8.655,0.105,0.17,1.1765
1,19.75,365.268,-8.3,-19.9125,0.50925,-0.575,177.7,206.45,-54.1075,95,0,0,74.75,-0.01,-3.25,-0.3,-1.7975,0.1,-23.985,-9.145,-8.6725,0.1225,0.17,1.2025
1,20.25,365.42,-8.3,-21.0325,0.5275,-0.425,182.35,205.75,-52.3975,95,0,0,73.95,-0.07,-2.7,-0.2,-1.655,0.08,-24.45,-9.13,-8.6925,0.1,0.1675,1.07
