DOY2,HR2,TAU,H,LE,FC,FCH4,WS,USTAR,T_SONIC,CO2,H2O,CH4,U_SIGMA,V_SIGMA,W_SIGMA,LW_IN_1_1_1,LW_OUT_1_1_1,PPFD_IN_1_1_1,RH_1_1_1,NETRAD_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,TA_1_1_1,PA
1,9.25,-0.0964723,97.3697,94.89745,-1.404915,29.0844,4.21831,0.495262,23.9412,420.46825,17.515075,2141.455,1.18334,0.962208,0.5906,324.677863910422,336.440397350994,729.685243666667,90.2104,393.759401700043,442.124551328069,48.9860343183985,17.68885,102.789
1,9.75,-0.1261305,145.2885,104.77675,-2.630025,25.4678,4.718555,0.5508625,24.207,420.31,17.60035,2187.52,1.2599825,1.0367825,0.6200425,325.178725236865,343.285182119206,863.877051666667,88.14035,467.035100430656,521.248384781048,55.3662535748332,18.7334,102.79475
1,10.25,-0.13631775,167.92,103.388,-3.31183,19.711775,4.83749,0.56233275,24.65185,419.1175,18.772575,2137.5825,1.2951375,1.043495,0.626355,326.372093023256,347.215645695365,992.1080722,88.1432,517.225857463814,577.520459440057,60.5449475691134,19.73145,102.824
1,10.75,-0.150276,208.4825,112.23825,-4.0227875,25.8935,4.7994,0.578673,24.6604,418.237,17.1608,2120.57,1.33989,1.06903,0.637705,324.484496124031,351.834437086093,1069.58793666666,85.37875,556.477168013566,618.524407753051,64.7085795996187,20.08355,102.826
1,11.25,-0.143306,217.40625,116.3895,-4.75829,20.076,4.6828325,0.55296,25.333425,416.9525,17.728375,2129.845,1.2784,1.063985,0.624603,330.013350559862,352.802566225165,1107.69983266666,84.90485,588.009931278345,650.67480258435,66.7667778836988,20.19655,102.76225
1,11.75,-0.1465215,248.383,124.997,-4.401725,22.5181,4.402515,0.5451965,25.60005,418.264,19.215,2117.375,1.277115,1.07226,0.6238555,330.590008613265,353.236754966887,1141.08478666666,83.67465,599.973902126731,664.152548456568,68.010819828408,20.15295,102.72675
1,12.25,-0.15607075,235.02475,111.54975,-4.170745,20.2329,4.53203,0.544043,25.8403,416.355,18.18525,2114.1625,1.282675,1.08229,0.618496,325.925064599483,355.001862582782,1147.024335,82.626,603.33770483221,668.477027997129,67.5591277407054,20.09265,102.69275
1,12.75,-0.14502675,232.14075,113.9395,-4.079585,29.0079,4.464835,0.53315175,25.70045,416.2005,17.980175,2120.75,1.2306275,1.071785,0.61348875,332.518518518519,355.387210264901,1084.13427333333,83.192475,601.363901866681,668.293072505384,68.0754289799809,20.044575,102.594
1,13.25,-0.144792,235.52625,116.0755,-3.55126,26.4437,4.46832,0.52133175,25.31205,415.2725,18.0502,2125.13,1.2517075,1.048045,0.59525125,332.834625322998,353.598302980132,1096.13685333334,83.042,584.220685734953,650.082196697775,66.7225452812202,19.77435,102.53625
1,13.75,-0.14449,209.2225,103.1735,-3.2829975,24.3462,4.28605,0.511208,25.3135,416.173,18.1582,2129.83,1.22648,0.990985,0.58673,334.537683031869,353.887831125828,919.602610333333,83.5315,541.148027930747,603.666188083274,62.7978551000953,19.804325,102.537
1,14.25,-0.13317,192.7225,100.0698,-2.73944,25.2609,4.52704,0.539301,25.238,416.192,17.9884,2125.59,1.26763,1.02686,0.590838,332.971360895779,352.752897350993,895.943203666667,84.523,500.496878646262,558.879576453697,58.5025977121068,19.800525,102.507
1,14.75,-0.124181,161.76325,89.0705,-2.442985,26.226,4.34984,0.512758,24.7749,415.119,17.9063,2141.0675,1.24812,0.9907,0.580762,327.513350559862,349.406043046357,748.487309933333,83.808675,431.111365437428,485.307788944724,54.8354385128694,19.6275,102.5
