DOY2,HR2,WS,U_SIGMA,V_SIGMA,W_SIGMA,RH,PA,T_SONIC,T_SONIC_SIGMA,CO2,H2O,CH4,FC,NEE,H,LE,USTAR,LW_IN,LW_OUT,PPFD_IN,PPFD_OUT,G_1_1_1,G_1_1_2,G_1_1_3,G_1_1_A,TS_1_1_1,TS_1_1_2,TS_1_1_3,TS_1_1_A,TS_2_2_1,TS_2_2_2,TS_2_2_3,TS_2_2_4,TS_2_2_5,TS_2_2_6,TS_2_2_A,TS_2_3_1,TS_2_3_2,TS_2_3_3,TS_2_3_4,TS_2_3_5,TS_2_3_6,TS_2_3_A
1,0.25,7.312575,1.2902,0.1424,0.0269,41.837625,103.2179,1.9721,0.09,498.0082,1.638675,1980.776975,0.290475,0.290475,0,0.0488,0.37415,228.002,239.665,0.035,0,-3.2213,-2.4315,-4.1133,-3.2551,-13.6029,-13.3532,-13.8987,-13.5812,-10.6565,-13.7564,-12.6561,-11.9787,-10.7903,-12.2282,-12.371,-9.5248,-12.6216,-11.2778,-10.7324,-9.9735,-10.3684,-11.0172
1,0.75,7.6068,1.127025,0.1057,0.0541,40.0773,103.2117,1.979125,0.0759,492.8236,1.63145,1970.09705,0.87535,0.87535,0,0.2861,0.38095,228.667,239.675,0.037,0,-3.2825,-2.3036,-3.873,-3.3664,-13.5867,-13.3687,-13.9308,-13.5661,-10.6557,-13.7437,-12.6918,-11.9976,-10.7933,-12.2175,-12.3731,-9.543,-12.6047,-11.2886,-10.7516,-9.9853,-10.3748,-11.0441
1,1.25,7.20205,1.16315,0.10755,0.031225,40.993825,103.2205,2.0013,0.1347,489.707125,1.907225,1997.78385,0.9683,0.9683,0,0.146375,0.3359,228.79,237.543,0.035475,0,-3.4506,-2.2973,-3.86,-3.2103,-13.5717,-13.3694,-13.9449,-13.536,-10.6628,-13.7494,-12.7317,-12.0262,-10.7968,-12.2218,-12.3725,-9.5344,-12.5906,-11.3005,-10.741,-9.9906,-10.3945,-11.0651
1,1.75,7.8434,1.41715,0.083375,0.010975,42.36235,103.227275,1.0457,0.1541,486.128075,1.973625,1991.3714,0.36135,0.36135,0,9.323275,0.344025,229.591,237.598,0.03655,0,-3.4499,-2.3421,-3.937,-3.3671,-13.5466,-13.4042,-13.9642,-13.5052,-10.6662,-13.7823,-12.7377,-12.0528,-10.8167,-12.2089,-12.3742,-9.5283,-12.5918,-11.3178,-10.738,-10.0215,-10.4144,-11.0848
1,2.25,7.4053,1.3521,0.0955,0.03175,42.62355,103.214,1.073025,0.151875,487.3003,1.39225,1989.1445,2.61195,2.61195,0,0.05575,0.339375,228.96,236.977,0.03205,0,-3.2996,-2.4169,-3.9525,-3.301,-13.5083,-13.4416,-13.9972,-13.5004,-10.6752,-13.8006,-12.7879,-12.0473,-10.8285,-12.224,-12.3752,-9.5442,-12.6094,-11.3345,-10.7359,-10.0166,-10.4347,-11.1081
1,2.75,7.203,0.94315,0.04175,0.0472,41.8115,103.2406,0.698375,0.1818,484.474725,1.377875,1990.7079,3.368075,3.368075,0,0.024,0.3262,231.522,237.644,0.03085,0,-3.4614,-2.5626,-4.0205,-3.4046,-13.4771,-13.4475,-14.0356,-13.5114,-10.6718,-13.7828,-12.7913,-12.0348,-10.835,-12.2096,-12.3755,-9.5502,-12.6229,-11.349,-10.7461,-10.0351,-10.4449,-11.1303
1,3.25,6.9704,0.944,0.0089,0.020275,40.985,103.2315,0.1393,0.19915,476.47465,0.9741,1950.72625,2.4423625,2.4423625,0,0.0361,0.31795,230.981,237.112,0.030025,0.0099,-3.5143,-2.5889,-3.8031,-3.5774,-13.4741,-13.4767,-14.0499,-13.5329,-10.6743,-13.7754,-12.7784,-12.0619,-10.8393,-12.2261,-12.3727,-9.5515,-12.6418,-11.3562,-10.7368,-10.0432,-10.4468,-11.1373
1,3.75,7.24835,0.982,0.045575,0.018975,40.7482,103.2207,-4.03245,0.1367,499.840175,1.117,1931.2158,1.51665,1.51665,0,0.019,0.3336,230.041,236.254,0.028925,0,-3.516,-2.8142,-4.0531,-3.6092,-13.4697,-13.4762,-14.0641,-13.5289,-10.6856,-13.7731,-12.7743,-12.0681,-10.8578,-12.2105,-12.371,-9.5498,-12.6644,-11.3824,-10.7413,-10.058,-10.4672,-11.1341
1,4.25,7.3555,0.8577,0.0352,0.0242,51.6352,103.2288,-2.4934,0.2531,498.988425,1.3914,1915.284,0.416375,0.416375,0,0.010175,0.36925,230.712,237.423,0.0337,0,-3.5104,-2.9573,-4.1802,-3.6527,-13.4491,-13.5337,-14.0964,-13.5742,-10.6814,-13.7494,-12.7656,-12.0974,-10.8845,-12.2212,-12.3646,-9.5493,-12.6836,-11.4002,-10.7424,-10.0589,-10.4725,-11.1335
1,4.75,7.4507,0.8789,0.0539,0.02665,42.7628,103.2139,-2.331075,0.1574,506.793425,1.287,1912.4356,1.3081,1.3081,0,0.0528,0.3148,229.487,238.421,0.03625,0,-3.6202,-2.9737,-4.1624,-3.6875,-13.4019,-13.5445,-14.1606,-13.5932,-10.6887,-13.7762,-12.7593,-12.1194,-10.8836,-12.2091,-12.3664,-9.5639,-12.7116,-11.4148,-10.7367,-10.0793,-10.4918,-11.1378
1,5.25,7.349925,0.849225,0.093125,0.0307,38.9342,103.2096,-2.92555,0.5578,506.02715,1.8137,1949.695,0.33535,0.33535,0,0.0856,0.3401,230.718,236.846,0.037,0,-3.6202,-2.8082,-3.8707,-3.6634,-13.3918,-13.5799,-14.1818,-13.6153,-10.7032,-13.8063,-12.7482,-12.136,-10.9066,-12.1952,-12.3631,-9.5663,-12.7378,-11.4441,-10.7538,-10.0992,-10.5064,-11.1334
1,5.75,7.1912,1.0087,0.01825,0.012975,43.985475,103.21785,-3.4823,0.157,506.609,1.755875,1905.4832,0.1428,0.1428,0,0.06165,0.34815,231.333,237.891,0.0314,0,-3.6632,-2.7603,-4.1841,-3.5874,-13.4247,-13.6041,-14.1855,-13.6447,-10.67775,-13.834175,-12.70065,-12.099625,-10.891025,-12.140025,-12.3081,-9.54975,-12.748125,-11.398875,-10.72095,-10.0624,-10.511225,-11.1106
1,6.25,6.94455,1.05915,0.0519,0.01215,38.047075,103.2301,-1.14915,0.2029,506.3263,1.719,1899.475125,0.7644,0.7644,0,0.0928,0.3604,232.888,238.216,0.0309,0,-3.4716,-2.7225,-4.2408,-3.4757,-13.4408,-13.6287,-14.1855,-13.6911,-10.6805,-13.8779,-12.70605,-12.0925,-10.901125,-12.13665,-12.301425,-9.555975,-12.75905,-11.4125,-10.716975,-10.073775,-10.516125,-11.110425
