DOY2,HR2,G,PPFD_IN,TS_1_2_1,TS_1_1_1
1,0.25,3.79832499999997,0,1.015325,-0.31145
1,0.75,3.54927499999997,0,1.031475,-0.30855
1,1.25,2.45244999999997,0,1.049075,-0.308275
1,1.75,1.86374999999998,0,1.066675,-0.307275
1,2.25,1.35572499999998,0,1.0849,-0.30465
1,2.75,0.645899999999984,0,1.106925,-0.30175
1,3.25,0.149374999999987,0,1.139025,-0.301475
1,3.75,-0.0704500000000121,0,1.169575,-0.29975
1,4.25,-0.43277500000001,0,1.190075,-0.299125
1,4.75,-0.44250000000001,0,1.207575,-0.2984
1,5.25,-2.82705,0,1.220725,-0.29795
1,5.75,-2.624575,0,1.234325,-0.29705
1,6.25,-2.524,0,1.24275,-0.29805
1,6.75,-2.524475,0,1.25245,-0.29715
1,7.25,-2.657275,0.87,1.260325,-0.2957
1,7.75,-3.157225,21.528,1.2631,-0.297075
1,8.25,-1.12582500000001,88.9784,1.2685,-0.298075
1,8.75,1.67585,186.3579,1.270975,-0.300075
1,9.25,1.59575,320.3607,1.272175,-0.300725
1,9.75,-1.38092500000001,436.4573,1.271,-0.302725
1,10.25,-1.04865,541.9502,1.267175,-0.3049
1,10.75,-0.412725000000003,706.491,1.2691,-0.308975
1,11.25,3.79604999999999,783.85,1.27295,-0.31205
1,11.75,13.5904999999999,881.201,1.25915,-0.31685
1,12.25,38.2508499999999,796.5696,1.239425,-0.320925
1,12.75,2.619275,844.2888,1.218425,-0.322825
1,13.25,2.756675,778.2582,1.198425,-0.329075
1,13.75,3.034125,730.2487,1.181325,-0.3327
1,14.25,3.28215,637.3016,1.154075,-0.33695
1,14.75,3.4807,536.9083,1.1076,-0.342475
1,15.25,3.594025,417.2189,1.071725,-0.349275
1,15.75,3.60145,281.3911,1.0383,-0.347825
1,16.25,32.2041749999999,143.8251,1.000525,-0.345825
1,16.75,29.6962999999999,43.9533,0.959399999999999,-0.342475
1,17.25,27.6490749999999,5.9397,0.914549999999999,-0.341475
1,17.75,90.457,0,0.877674999999999,-0.3373
1,18.25,82.1915,0,0.848874999999999,-0.335125
1,18.75,73.10435,0,0.861124999999999,-0.3334
1,19.25,65.93595,0,0.874374999999999,-0.330675
1,19.75,58.6051,0,0.886899999999999,-0.3304
1,20.25,52.48605,0,0.899599999999999,-0.329225
1,20.75,42.969,0,0.913199999999999,-0.327325
1,21.25,35.365775,0,0.927899999999999,-0.323875
1,21.75,30.144675,0,0.943499999999999,-0.32115
1,22.25,22.2619,0,0.960274999999999,-0.32025
1,22.75,19.075325,0,0.973424999999999,-0.318075
1,23.25,13.73905,0,0.987124999999999,-0.315525
1,23.75,5.28864999999997,0,1.00245,-0.313175
2,0.25,0.0507749999999982,0,-1.50075,-1.58975
2,0.75,0.0301749999999982,0,-1.496975,-1.588025
2,1.25,0.00524999999999826,0,-1.497875,-1.5854
2,1.75,-0.0417000000000017,0,-1.4995,-1.58205
2,2.25,-0.0736250000000016,0,-1.50285,-1.57825
2,2.75,-0.142000000000001,0,-1.503025,-1.575625
2,3.25,-0.200375000000001,0,-1.506825,-1.572275
2,3.75,-0.255700000000001,0,-1.50845,-1.5702
2,4.25,-0.322475000000001,0,-1.511075,-1.567575
2,4.75,-0.370675000000001,0,-1.5137,-1.564225
2,5.25,-0.451025000000001,0,-1.515325,-1.5626
2,5.75,-0.5121,0,-1.51895,-1.559525
2,6.25,-0.56035,0,-1.522575,-1.557175
2,6.75,-0.656325,6.954,-1.524925,-1.555275
2,7.25,-0.689425,57.9475,-1.52955,-1.553925
2,7.75,-0.6851,168.337,-1.5329,-1.552575
2,8.25,-0.67735,337.687,-1.53825,-1.549775
2,8.75,-0.66025,498.9245,-1.543325,-1.54815
2,9.25,-0.671875,653.0635,-1.540425,-1.546075
2,9.75,-0.656725,824.297,-1.5378,-1.545175
2,10.25,-0.795525,930.4845,-1.537175,-1.543825
2,10.75,3.91642499999998,1031.892,-1.53455,-1.54185
2,11.25,17.5051249999999,1113.018,-1.5322,-1.542675
2,11.75,-0.5196,1165.3155,-1.52885,-1.541325
2,12.25,-0.416125,1168.792,-1.526325,-1.5378
2,12.75,8.67132499999995,1180.381,-1.525975,-1.537725
2,13.25,19.9468999999999,1164.011,-1.523075,-1.537625
2,13.75,45.6145749999999,1102.8775,-1.522,-1.5387
2,14.25,65.22865,996.1095,-1.518475,-1.543125
2,14.75,57.715,869.3505,-1.515125,-1.5442
2,15.25,27.903,813.7215,-1.5136,-1.547175
2,15.75,6.66457499999999,584.686,-1.51025,-1.54925
2,16.25,25.6462499999999,410.1205,-1.508175,-1.551325
2,16.75,19.8324749999999,264.529,-1.505825,-1.5524
