DOY2,HR2,CO2,H2O,FC,SC,G_1_1_1,G_1_1_2,G_1_1_4,H,LE,WS,USTAR,TA,PA,RH,VPD,T_SONIC,T_SONIC_SIGMA,TS_1_1_1,TS_1_3_1,TS_1_4_1,NETRAD,PPFD_IN,PPFD_OUT,SW_IN,SW_OUT,LW_IN,LW_OUT,NEE
1,0.25,412.7415,4.700905,0.0656595,0.0265329,-1.546,-1.3435,-2.831,-8.17773,4.47812,2.193915,0.27393,-5.562,92.8034,86.9,0.327467,-4.540355,0.162021,-0.2755,-0.0795,0.4435,-14.5015,0.0882422,0,0,0.418,270.768,285.724,0.510748
1,0.75,412.968,4.746455,-0.0311888,0.0188441,-1.548,-1.345,-2.799,-8.108285,4.17769,2.22129,0.2920595,-5.65,92.80495,87,0.315398,-4.59645,0.165729,-0.2795,-0.0815,0.444,-15.2259,0.0264528,0,0,0.431,269.817,285.347,0.510061
1,1.25,413.284,4.75089,-0.04093385,0.000343945,-1.5495,-1.3435,-2.781,-8.44973,3.397415,2.28602,0.289769,-5.66788,92.79155,86.8,0.320814,-4.75318,0.167448,-0.2755,-0.078,0.446,-14.317,0.031375,0,0,0.4341665,270.313,285.253,0.5094955
1,1.75,413.2025,4.684575,0.1178585,-0.00356435,-1.5445,-1.346,-2.788,-9.28932,5.06269,2.26297,0.283789,-5.805,92.8012,86.5,0.325953,-4.89471,0.167625,-0.2755,-0.088,0.445,-13.7615,0.0143432,0,0,0.449,270.259,285.278,0.5099085
1,2.25,413.122,4.83385,-0.0633996,-0.000142592,-1.5445,-1.3475,-2.785,-10.1465,4.346755,2.253785,0.288839,-6.074,92.8033,86.1,0.3322625,-5.12629,0.163678,-0.2795,-0.084,0.444,-12.36,0.0114745,0,0,0.465,270.799,284.32,0.510099
1,2.75,413.12,4.76124,-0.12199,0.0117596,-1.5475,-1.3465,-2.759,-9.380405,5.52812,2.22722,0.283509,-6.02,92.81515,86.2,0.325289,-5.12732,0.172689,-0.2755,-0.0815,0.445,-11.059,0,0,0,0.43,272.644,284.757,0.50926
1,3.25,412.9985,4.978715,-0.00457426,0.0213639,-1.5505,-1.3445,-2.816,-8.959275,5.78097,2.261,0.278657,-6.063,92.806,86.6,0.318022,-4.90883,0.1716675,-0.277,-0.082,0.4435,-11.87,0.035721,0,0,0.3986665,270.309,285.166,0.509832
1,3.75,413.874,4.768465,-0.125017,0.0202554,-1.5525,-1.34,-2.8665,-10.173,5.113225,2.21012,0.284845,-6.018,92.81445,86.71,0.3259535,-5.295055,0.1649195,-0.279,-0.083,0.4425,-11.47,0.002896295,0,0,0.362022,270.858,284.985,0.5089935
1,4.25,414.139,4.65671,-0.0399025,0.00637786,-1.5455,-1.3465,-2.819,-9.325385,4.793445,2.28707,0.303706,-6.118,92.8081,87,0.317716,-5.40014,0.163171,-0.283,-0.0745,0.4395,-12.394,0,0,0,0.3875,270.178,285.276,0.510176
1,4.75,413.769,4.57453,-0.0159335,0.00241336,-1.546,-1.347,-2.862,-9.34588,6.520005,2.26068,0.310219,-6.23374,92.7743,87,0.3019585,-5.64299,0.167429,-0.2835,-0.076,0.441,-12.4895,0.005631685,0,0,0.381,269.534,284.388,0.509146
1,5.25,413.651,4.565685,0.0744447,0.00706359,-1.5485,-1.3475,-2.87,-8.74325,5.17867,2.258455,0.305149,-6.31394,92.77605,87.2,0.3105665,-5.55884,0.162853,-0.2855,-0.078,0.442,-13.4845,0.00380319,0,0,0.3974585,268.765,283.263,0.5092755
