DOY2,HR2,USTAR,TA,WS,NEE,FC,SC,H,SH,LE,SLE,G,TS_1_1_1,TS_1_2_1,RH,CO2,VPD,NETRAD,H2O
1,0.25,0.215,19.87125,1.83475,3.879,4.1295,0.1295,-24.6755,-0.0755,17.818,0.43425,-7.8065,20.752,21.45825,80.047,370.76125,6.845,-33.447,15.86775
1,0.75,0.20875,19.75475,1.864,3.6355,4.013,0.059,-20.787,0.321,14.7275,0.679,-7.64125,20.703,21.454,80.152,369.81975,6.9475,-33.0625,16.00525
1,1.25,0.248,19.711,1.96,3.7845,4.179,0.1,-25.579,0.93975,15.69175,1.09675,-8.181,20.619,21.438,80.484,368.60475,6.97,-37.546,16.39925
1,1.75,0.273,19.985,1.924,4.0035,4.48825,0.07275,-26.0655,0.662,17.341,0.5205,-8.863,20.5425,21.432,81.405,368.97525,7.03,-36.089,16.00175
1,2.25,0.2655,19.867,2.04425,4.211,4.505,0.30825,-23.55875,0.34425,15.628,0.17725,-9.237,20.52175,21.449,81.487,369.23975,6.9475,-38.508,15.57525
1,2.75,0.25925,19.50975,2.1375,3.86175,4.433,0.11775,-28.344,-0.108,13.98025,0.80125,-10.065,20.42175,21.42875,81.897,369.61425,6.64,-41.92575,15.782
1,3.25,0.254,19.311,1.9975,3.71775,4.0265,0.12375,-26.487,0.5355,13.86175,1.45275,-10.246,20.3115,21.383,81.6695,370.04675,6.44,-40.04075,15.8455
1,3.75,0.2815,19.2815,2.09625,3.906,4.3845,0.12925,-30.3305,0.3695,18.504,1.91675,-10.32,20.229,21.37975,81.14325,370.9365,6.6275,-40.336,15.9145
1,4.25,0.251,19.295,2.023,4.198,4.2815,0.12125,-28.405,0.5135,17.77625,1.6095,-10.72925,20.18175,21.366,81.85675,371.354,6.515,-41.27,16.31425
1,4.75,0.252,19.0805,2.024,4.11175,4.3765,0.1185,-28.3215,0.33,15.4335,0.84375,-10.86925,20.0735,21.3605,82.095,370.69425,6.465,-41.31225,16.129
1,5.25,0.2585,19.556,2.0395,4.08975,4.25525,0.1135,-27.986,0.44325,14.88575,1.11875,-10.69,19.9975,21.3395,82.3265,371.06425,6.6,-42.409,16.33725
1,5.75,0.282,19.326,2.166,4.316,4.56,0.12925,-29.8145,0.49275,13.23,0.59575,-11.055,20.032,21.31575,81.995,370.57,6.51,-43.162,15.79175
1,6.25,0.266,19.0265,2.1355,3.93,4.05675,0.20175,-28.27175,0.0895,14.7055,1.461,-11.19875,20.0125,21.28925,82.7675,371.25825,6.59,-43.0265,15.67
1,6.75,0.29475,19.11225,2.327,3.9155,4.31525,0.17525,-28.8505,0.72575,11.0775,0.812,-12.085,19.91625,21.2765,82.135,370.536,6.59,-43.567,15.93875
1,7.25,0.284,19.132,2.2565,3.5855,4.0365,0.096,-32.35,1.00225,13.5555,1.934,-11.589,19.83575,21.253,80.6275,371.0485,6.735,-43.374,15.30375
1,7.75,0.283,19.298,2.224,3.1695,3.5125,-0.0175,-27.9685,1.09,19.8955,1.286,-10.905,19.86825,21.20575,80.42475,370.68325,7.175,-36.163,14.9135
1,8.25,0.276,19.662,2.0595,0.03075,0.55175,-0.2695,-21.86425,2.704,26.7245,2.2585,-10.649,19.76425,21.14,79.0115,367.862,7.4,-6.003,15.04775
1,8.75,0.3675,21.2715,2.5225,-7.35825,-5.27775,-0.68975,-3.521,10.409,64.99,6.85,-8.443,19.59825,21.02075,73.854,364.1125,9.69,66.23225,16.544
1,9.25,0.425,22.8815,2.851,-12.812,-9.959,-0.281,22.61875,7.21575,75.70775,11.434,-5.7565,19.668,20.8965,75.77525,360.53075,10.785,138.2165,17.71325
1,9.75,0.4605,23.2435,2.9765,-17.4335,-14.526,0.0915,54.01475,2.34425,96.3835,4.93025,-2.07075,19.84425,20.71625,76.24025,361.0605,10.785,219.513,18.46825
1,10.25,0.5135,23.779,3.5065,-20.3885,-16.281,0.0975,76.67925,2.10725,125.11825,2.40975,2.122,20.09025,20.5805,74.75175,360.50725,11.33,302.13,18.39975
1,10.75,0.5245,24.04075,3.5455,-22.7615,-18.498,0.0105,98.805,2.301,143.97,1.79025,6.466,20.309,20.659,71.777,361.1365,12.405,382.172,18.61825
1,11.25,0.60125,24.4415,3.65825,-22.81175,-20.123,0.069,122.201,2.09575,153.9385,1.74675,11.0075,20.707,20.66125,69.03475,360.42275,12.565,445.034,18.874
1,11.75,0.63075,24.792,3.83375,-26.461,-20.331,0.053,138.11,2.075,190.914,1.345,15.80425,21.06325,20.49725,69.53525,361.388,13.44,492.31225,18.564
1,12.25,0.6095,25.0845,3.8815,-28.7,-22.8135,0.031,153.78775,2.09,194.4515,2.179,19.39625,21.38975,20.46175,68.098,359.71475,14.0375,534.081,19.2235
1,12.75,0.614,25.32225,4.064,-28.796,-22.28925,0.0035,170.99825,1.683,205.64125,2.86375,24.0105,21.828,20.7875,68.02375,361.178,14.37,560.0095,19.49
1,13.25,0.61225,25.62775,4.2025,-27.30475,-20.7,0.0695,170.286,1.25175,210.891,2.74225,25.28825,22.416,21.0905,67.17275,360.12175,14.555,565.74975,19.83175
1,13.75,0.62,25.523,4.273,-25.50025,-20.06275,0.0665,156.40325,0.96675,195.16375,1.5645,24.186,22.69425,21.076,67.8975,360.73875,14.62,540.7325,19.53825
1,14.25,0.56375,25.61475,3.597,-23.404,-19.14625,0.0845,150.432,0.92925,198.012,1.67575,24.566,22.7865,21.23475,67.19175,360.75375,14.26,526.0695,18.99725
1,14.75,0.596,25.58125,3.88175,-19.80375,-17.963,0.13625,150.878,0.3985,188.499,2.01475,22.7435,22.821,21.26825,66.498,360.88125,14.145,495.75925,19.4785
1,15.25,0.5805,25.51225,3.911,-20.31275,-16.252,0.087,134.556,0.817,169.616,1.53425,21.69975,23.101,21.327,67.506,360.64,13.44,419.77825,19.49525
1,15.75,0.57025,25.5565,3.77325,-18.83275,-12.7015,0.1655,119.68275,1.36275,159.42975,1.92525,19.2245,23.0995,21.32875,66.96,361.47375,13.5925,343.59925,19.27625
1,16.25,0.577,25.4345,3.73775,-16.334,-12.25425,0.16775,98.84025,0.11075,143.833,0.92575,15.42975,23.00875,21.364,67.84025,362.644,13.6625,271.59975,19.24
1,16.75,0.5995,24.9975,3.7975,-13.213,-9.13575,0.2235,61.51675,-0.49575,111.42025,1.46575,13.199,23.25525,21.3955,69.957,363.1195,12.805,180.314,19.41225
1,17.25,0.5245,24.71875,3.436,-5.12375,-6.08775,0.25925,34.9405,-0.94775,86.9155,1.10375,10.89,23.16425,21.42475,70.22825,364.39225,12.0675,114.198,19.5085
1,17.75,0.4635,23.97475,3.1955,-1.739,-2,0.23875,12.279,-1.513,52.57,1.07,8.01575,23.16875,21.48525,72.6575,362.54075,10.43,32.06325,19.5235
1,18.25,0.3965,23.1355,2.88175,2.089,2.12925,0.4295,-9.922,-1.767,26.33725,0.8605,5.502,23.04,21.5195,75.21925,364.124,9.74,-21.2075,19.51075
1,18.75,0.319,22.269,1.959,4.443,4.2805,0.58925,-15.631,-2.09375,18.35,1.06875,3.1555,22.859,21.546,79.82775,366.62175,8.505,-38.292,19.63475
