DOY2,HR2,FC,LE,H,SW_IN,TA,RH,USTAR,CO2_1_1_1,CO2_1_2_1,CO2_1_3_1,CO2_1_4_1,CO2_1_5_1,CO2_1_6_1,PA,SW_OUT,LW_IN,LW_OUT,NETRAD,PPFD_IN,WS
1,0.25,4.6375,1.981,-0.282,0,25.2,98.2,0.152,406.3,411.657,419.655,430.7,438.3,448.125,99.604,0.004,429.603,451.3525,-17.1835,0.01,2.234
1,0.75,5.082,2.22625,-0.1055,0,24.94075,98.4,0.158,408.425,414.675,421.7,433.3,440.55,448.23025,99.58375,0.008,428.657,450.6845,-16.519,0,2.1895
1,1.25,4.53,1.89225,-0.4505,0,24.79,98.625,0.15025,411.225,418.7,425.60475,438.425,444.164,452.6,99.55075,0.025,429.43,450.027,-15.2875,0,2.1685
1,1.75,5.312,1.74075,-0.4605,0,24.725,98.9,0.1505,411.8,420.2125,429.86175,441,446.15,453.65,99.52275,0.00925,429.78975,449.75,-13.5405,0.02275,2.17
1,2.25,6.3165,2.9545,-0.437,0,24.5575,99.1,0.1475,414.15,422.122,432.337,443.14275,447.6,455.8665,99.502,0.0095,429.98975,449.4,-13.5615,0.0235,2.2215
1,2.75,7.799,2.1835,-0.367,0,24.486,99.275,0.16475,416.397,424.14625,432.5,445.6,451.1,458,99.5,0,429.5415,449.215,-13.1805,0.025,2.2075
1,3.25,7.1075,2.0955,-0.2115,0,24.36,99.4,0.161,417.18575,426.615,437.093,447.67525,454.95,460.55,99.497,0.015,429.8,448.8625,-12.593,0,2.17825
1,3.75,6.516,2.70475,-0.592,0,24.25,99.6,0.1595,419.9,427.7,437.35,448.9,457.8,463.2,99.49925,0.023,429.91275,448.6975,-12.194,0.01,2.27425
1,4.25,7.11,2.493,-0.3195,0,24.15,99.6,0.16075,420.9,429.525,438.725,452.344,460.45,466.2,99.5,0.04,430.7495,448.274,-11.17,0.01,2.29825
1,4.75,7.072,1.859,-0.17,0,24.1,99.68,0.17,423.3,431.2295,439.25,455.825,462.7,468.3,99.5,0.04,430.3175,447.7925,-10.895,0.06,2.2695
1,5.25,7.52025,1.737,-0.272,0,24.0025,99.7,0.1735,424.3,432.7,441.953,456.7,463.3,471.15,99.5235,0.1,430.00025,447.09,-10.8825,0.152,2.26925
1,5.75,7.28225,1.6975,-0.426,0.2925,23.9,99.7,0.175,424.12775,433.3215,440.904,457.522,465.921,472.75,99.57,0.318,430.319,447.343,-8.906,1.515,2.282
1,6.25,7.017,2.546,-0.7135,19.2025,23.8365,99.69,0.1805,426.2,435.732,443.1,460.37075,470.7405,476.55,99.6,3.204,430.97,446.64,1.592,42.732,2.2295
1,6.75,9.58325,9.428,-0.151,71.2,24,99.6,0.208,428.07525,437.025,439.8275,459.6,473.6,481.6,99.652,10.785,432.0225,448.3,38.7405,169.7,2.2355
1,7.25,11.30775,35.8275,5.4645,152.4705,24.31,99.4,0.258,428.36325,433.11825,433.7665,450.275,472.6415,485.65125,99.7,22.12,434.4355,450.7525,103.089,336.798,2.1705
1,7.75,9.3425,84.139,25.0885,255.4,24.8625,99,0.34,427.8,426.07575,426.3,436.2,464.2,484.241,99.7365,36.075,436.665,456.6,181.6625,550.082,2.2795
1,8.25,3.442,148.3,54.497,369.62,25.585,98.0175,0.3735,420.9,417.37875,414.905,420.35,439.675,480.4,99.79475,50.505,438.4955,462.78,274.78,791.71525,2.353
1,8.75,-1.77625,205.345,80.3435,466.9,26.13,96.1,0.431,411.644,408.15,407.2,411.393,430.2,466.5,99.8,61.3975,441.577,467.585,372.289,1000.39575,2.598
1,9.25,-6.89875,261.115,108.56,578.312,26.85875,94.45,0.51,403,400.175,399.3,402.799,414.45,452.6,99.807,72.9,444.748,472.1205,471.46925,1222.3625,2.8595
1,9.75,-9.458,317.27,128.607,643.4,27.4935,91.4,0.533,399.075,396.3175,394.6,397.25,406.9,443.1,99.809,80.15,448.60575,477.10475,534.136,1390.589,3.1045
1,10.25,-12.58575,355.3375,146.7325,702.375,28.07,88.6,0.584,393.75,391.1,390.575,392.149,401.58475,434.2,99.8045,87,452.2695,480.34,591.98525,1546.15525,3.331
1,10.75,-13.1375,372.13,152.4725,728,28.5,87.13,0.604,390.875,388,387.2695,389.025,396.3,428.95,99.797,90.55,455.2625,483.938,608.25225,1596.8805,3.5785
1,11.25,-13.004,398.2,167.025,768.025,28.76,84.8,0.585,387.9,385.175,384.4,385.65,393,423.9415,99.76675,93.275,458.096,486.63125,642.3055,1749.5,3.63075
1,11.75,-13.358,375.1,162.325,773,29.13,84.8165,0.611,385.5,383.3,382,383.35,389.1,420.55,99.71875,90.835,459.48,489.7,644.2295,1688.185,3.639
1,12.25,-14.483,423.2715,161.895,798,29.4,84.65,0.607,384.28,382.536,381.1,382.1,388.05,419.3,99.698,93.75,462.036,490.053,681.0735,1776.25,3.557
1,12.75,-13.178,411.8,165.8525,816,29.65,85.435,0.59925,382.7,381.6,380.575,381.584,388.5,419.2985,99.64275,94.485,461.5395,491.56525,688.3335,1748.1795,3.58925
1,13.25,-11.61775,398.175,149.64,797,29.92,85.965,0.5875,382.5,381.1,380,380.024,386.8,417.1,99.60525,92.6,461.6825,493.265,678.047,1737.75,3.4465
1,13.75,-10.9675,376.4075,129.3,718,30.02,85.625,0.5705,381.71475,379.95,379.325,379.65,386.4,418.5,99.6,84.675,459.036,492.05,596.2945,1528.5935,3.41425
1,14.25,-10.712,334.485,107.985,653.325,29.765,86.125,0.54675,382.29,379.9,379.075,380.411,387.05,421.025,99.56325,77.4,457.515,491.319,537.8235,1402.5,3.3505
1,14.75,-8.27,302.3775,98.16275,606.4,29.8,87.2,0.533,380.5,379.15,377.3,379.1,386.4,422.501,99.5025,72.10175,454.9,489.63,506.121,1318.3185,3.151
1,15.25,-6.636,247.4865,72.2695,511.07,29.64925,87.85,0.50525,380.8,379.375,378.7,380,386.674,423.96975,99.475,60.595,452.1275,488.12375,405.5315,1121.43,3.17
1,15.75,-4.576,199.4425,57.4375,415.075,29.545,89.10825,0.4445,381.3,379.575,379.175,380,387.60675,426.1675,99.43525,49.1375,447.778,485.1145,325.921,927.55,3.004
1,16.25,-3.003,156.49,34.8325,336.9,29.367,90.1,0.423,380.8,380.099,379.9,381.82925,389.95,428.75,99.411,40.61,446.07,483.3785,265.75375,728.244,2.831
1,16.75,-1.143,110.6,15.4455,236.3,29.063,91.1,0.375,382.04425,381.573,381.523,383.7365,389.85,430.827,99.4,29.272,443.404,479.401,172.9715,498.318,2.69825
1,17.25,-0.132,70.05,3.203,135.9,28.545,92.495,0.32825,384,383.375,383.4,386.1,395,434.7155,99.4,16.73,438.8025,474.67875,80.9045,294.3275,2.6075
1,17.75,1.00725,30.07225,-0.3955,58.535,28.1,93.27,0.2455,384.8,385.8255,386.725,389.5,396.6,433.9835,99.4,6.732,435.32,471.40875,15.605,125.077,2.45075
1,18.25,2.307,12.346,-0.50925,7.14175,27.5025,94,0.226,386.875,388.5,391.8,398.448,405.1,432.5,99.40475,0.8,433.475,466.565,-17.5875,18.885,2.50625
1,18.75,3.066,10.45,-0.75825,0,26.953,94.8,0.1815,388.3965,391.05,395.698,402.625,409.3,432.1,99.421,0,432.849,463.7595,-23.055,0.24125,2.45925
1,19.25,3.443,8.53,-0.267,0,26.787,95.6,0.16875,389.72,393.1545,397.401,406.1925,410.94525,430.5,99.45,0.005,431.948,461.835,-23.919,0.045,2.473
1,19.75,3.7245,8.028,-0.765,0,26.515,96.3,0.172,390.82625,394.9,399.5725,409,413.5575,430.775,99.4865,0.0265,430.8635,460.16,-22.004,0,2.47
1,20.25,3.779,5.77675,-0.459,0,26.29,96.6,0.1635,392.75625,396.5,400.65,410.319,416.7,430.4,99.52275,0.0745,430.125,458.30375,-22.1265,0,2.468
1,20.75,3.95,5.771,-0.35475,0,26.05275,96.875,0.154,394,398.22475,402.454,412.6935,419.326,435.182,99.5685,0.096,429.236,457.26,-20.6415,0.01,2.41
1,21.25,4.027,6.823,-0.38425,0,25.92,96.925,0.157,395.322,399.9,404.53525,414.9615,422.1365,435.45,99.6,0.112,428.704,456.23,-20.0575,0.02,2.424
1,21.75,4.2715,4.8775,-0.5855,0,25.8,97.2,0.15875,396.8,402,406.9,418.275,425.55225,437.65,99.626,0.117,428.407,455.37,-20.7435,0.01,2.4645
1,22.25,3.9065,3.78,-0.30225,0,25.6635,97.4,0.151,398.9,403.7,408.5,421.475,428.1755,439.45,99.64,0.1,428.0685,454.627,-20.4,0.025,2.445
