DOY2,HR2,CO2_1_1_1,H2O_1_1_1,FC_1_1_1,SC_1_1_1,G_1_1_1,H_1_1_1,LE_1_1_1,WS_1_1_1,USTAR_1_1_1,PA_1_1_1,RH_1_1_1,TA_1_1_1,VPD_1_1_1,TS_1_1_1,TS_1_2_1,NETRAD_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,PPFD_IN_1_1_1,T_SONIC_1_1_1,CO2_2_1_1,SC_1_1_2,G_1_1_2,G_1_1_3,SH_1_1_1,TAU_1_1_1,U_SIGMA_1_1_1,V_SIGMA_1_1_1,W_SIGMA_1_1_1,NEE_1_1_1,CO2_2_2_1,CO2_2_3_1,CO2_2_4_1,CO2_2_5_1,SC_1,SC_2,FCH4_1_1_1,CH4_1_1_1
1,0.25,384.045,5.145,0.4091165,-0.455,-11.7725,-37.4758496,-0.6046385,0.941227,0.066323572,100.7905,65.7346901,-0.47057025,0.63704292425,4.7885,7.872,-75.11,-1.97494425,0.61953975,240.818,303.4956,-15.720647405,0.931646,402.785,-0.0668025,-13.21,-10.825,-6.09432,-0.11842,0.212372,0.180876,0.106145,0.37098775,404.075,430.27499975,433.62499975,433.525,-0.55558625,-6.40422975,-1.533,2069.495
1,0.75,384.413027975,4.948964,0.50869575,-0.45355125,-11.94,-38.760732,-0.520865,0.969675,0.073109,100.807,66.24128,-0.472193,0.589293,4.759,7.819,-74.804515,-2.06554075,0.55051375,240.3315,303.38795,-15.725435865,0.6816675,403.0475,-0.025578,-13.26,-11.025,-6.556845,-0.11700425,0.21021525,0.17771225,0.10658175,0.54712075,403.095833,432.33749975,433.98333325,434.52916675,-0.314977,-1.230556,-2.4815,2064.955
1,1.25,384.51,5.11502,0.389615527,-0.433253829,-11.89,-38.333497,-0.7034835,0.97841,0.07346076,100.8145,66.664895,-0.675049,0.55685779025,4.74,7.76575,-74.9852275,-2.04175,0.574629,239.543225,303.58325,-15.71377849,0.50345225,404.0025,-0.3856895,-13.45,-10.99,-6.837497,-0.1198975,0.20931675,0.190844,0.10487075,0.37729,424.2875,433.8875,437.25,437.7541665,-1.007353,-1.194308,-2.275,2060.7825
1,1.75,384.5425,5.09,0.5584245,-0.34,-11.835,-36.89898675,-0.522203,1.0239325,0.08251199975,100.80075,66.84903725,-0.8549835,0.56473425,4.70375,7.737,-74.0273875,-2.0055975,0.58249,239.620175,303.454225,-15.70390047,0.32290925,404.6675,-0.3789175,-13.3075,-11.125,-6.8408405,-0.119341,0.222751,0.180416,0.108188,0.55,419.32499975,434.34166675,436.9291665,437.04166675,-1.980328,-0.83488975,-0.8155,2066.405
1,2.25,385.7825,5.0610125,0.53,-0.4221165515,-11.8175,-39.425,-0.8632,1.0295395,0.078245,100.81175,67.581095,-0.9117305,0.5627753175,4.6045,7.6945,-73.083545,-2.06760325,0.565617,239.279825,302.56235,-15.716756405,0.165575,404.805,-0.0954845,-13.64,-11.14,-7.4730245,-0.116664,0.224234,0.187617,0.107238,0.4225,426.616667,434.216667,436.4916665,436.941667,-0.43774025,-6.02059425,-2.206,2069.35
1,2.75,385.25,5.0122175,0.401103,-0.44470421325,-11.88,-37.49413039,-0.201232,0.969225,0.0736861495,100.80290725,67.80389,-0.928615,0.566564377,4.54475,7.66525,-74.49058,-2.0023025,0.615452,238.8041,302.0346,-15.7161395875,-0.182317,404.74999975,-0.28991,-13.665,-11.1525,-6.433238,-0.121701,0.218861,0.179307,0.106771,0.298875,424.6958335,435.1333335,439.233333,440.5,-0.448587,-2.747845,-2.051,2067.425
1,3.25,385.18,4.983789958,0.414800375,-0.2989245,-12.1325,-37.258564745,-1.771172,1.01579,0.06700061925,100.796,67.95133,-1.070131,0.5555305975,4.48425,7.62225,-73.7047275,-1.98252,0.58780725,238.78175,301.87145,-15.7141958275,-0.28237675,403.98,-0.25463,-13.8,-11.2075,-5.070916,-0.1323525,0.18712275,0.17463375,0.10503375,0.450945,424.995833,436.95,442.1583335,441.116667,-0.9146745,-2.20591525,-4.44,2066.01
1,3.75,385.1625,5.03,0.394522,-0.41839885325,-12.4225,-36.4057287325,-1.2758075,1.04156075,0.06892525,100.803,68.8905,-1.0955395,0.5542028535,4.457,7.5915,-73.128105,-1.99549625,0.54113925,238.23225,301.4053,-15.67744284,-0.23197625,404.77083325,-0.1171105,-14.14,-11.205,-5.5133625,-0.11335925,0.1984415,0.17092975,0.10839575,0.403978,431.175,438.5083335,444.4333335,443.8583335,-0.477794,-1.813695,-3.32775,2068.3525
1,4.25,386.159,5.050625,0.40075475,-0.32601,-12.685,-33.925062975,-0.35392125,1.0268895,0.0682075755,100.808144,69.00241,-1.1842195,0.512615625,4.39375,7.56175,-72.3638775,-2.062244,0.5489725,238.082025,300.97895,-15.68543632,-0.491,406.6725,-0.4282555,-14.115,-11.2175,-5.291518,-0.1423705,0.215165,0.1790865,0.116924,0.17,430.475,441.4166665,442.9416665,442.8,-0.668513,-3.660503,-2.57275,2069.2575
1,4.75,385.49,4.9791975,0.36759675,-0.328427574,-12.655,-34.569732,-1.424355,1.02464,0.072215,100.81,68.61617,-1.329745,0.4904013705,4.33375,7.48825,-72.64401,-2.02594,0.537197,237.9983,301.22675,-15.673530765,-0.56574875,405.88,-0.347622,-14.0975,-11.2325,-5.1627,-0.15451375,0.212086,0.19258425,0.107533,0.46222225,431.4166665,437.5,440.8708335,442.58750025,-0.5535605,-2.220764,-1.384,2067.38
