DOY2,HR2,USTAR,TA,WS,NEE,FC,SC,H,SH,LE,SLE,G_1_1_1,TS_1_1_1,TS_1_2_1,RH,PA,CO2,VPD,NETRAD,PPFD_IN,SW_IN,SW_OUT,LW_IN,LW_OUT,H2O,PPFD_DIF
1,0.25,0.383,-1.8985,2.797,0.6195,0.6125,0.009,-20.66,-1.567,0.389,-0.112,-4.427,-0.256,0.481,52.54,77.835,387.3505,2.26,-90,0.352,-3.03,1.811,204.6,291.8,3.7685,0.363
1,0.75,0.3865,-2.097,2.721,0.6965,0.5615,0.049,-19.069,-1.712,0.4155,0.057,-4.489,-0.252,0.4805,53.17,77.8255,387.537,2.17,-89.3,0.352,-2.854,1.87,203.4,291.5,3.721,0.363
1,1.25,0.4035,-2.435,2.7195,0.628,0.615,0.008,-19.629,-1.659,0.5475,-0.2865,-4.4965,-0.267,0.477,53.7,77.825,387.4765,2.035,-89,0.347,-2.944,1.916,204.4,290.8,3.6645,0.363
1,1.75,0.3685,-2.358,2.565,0.5815,0.6315,0.004,-20.775,-1.224,0.4465,-0.476,-4.4955,-0.275,0.469,54.49,77.8105,387.5375,2.02,-89.7,0.347,-2.916,1.925,204.9,290.2,3.6375,0.363
1,2.25,0.3585,-2.8125,2.5515,0.56,0.5055,0.011,-25.729,-0.881,1.4615,-0.237,-4.496,-0.338,0.461,54.75,77.81,387.6995,2.035,-88.9,0.347,-2.799,1.91,204.7,289.2,3.673,0.363
1,2.75,0.3795,-3.013,2.5655,0.638,0.602,0.0145,-22.493,-0.61,0.5255,-0.096,-4.497,-0.3485,0.4625,54.95,77.81,387.5,1.95,-89.1,0.347,-2.882,1.848,204.2,289.2,3.6225,0.363
1,3.25,0.383,-3.144,2.8265,0.664,0.5675,-0.003,-21.541,-1.401,1.097,-0.088,-4.51,-0.352,0.4655,55.64,77.8,387.5485,2.005,-88.4,0.347,-2.728,1.942,202.7,289,3.618,0.363
1,3.75,0.344,-3.203,2.752,0.598,0.4505,0.0135,-18.538,-1.159,0.7695,0.032,-4.5985,-0.3525,0.468,56.16,77.79,387.449,1.91,-88.6,0.346,-2.714,1.925,204,289.1,3.5765,0.357
1,4.25,0.363,-3.2,2.676,0.6545,0.6085,-0.0035,-23.028,-1.039,1.167,-0.076,-4.6515,-0.3545,0.469,55.84,77.79,387.3465,2.01,-87.8,0.352,-2.714,1.979,204.4,288.6,3.529,0.363
1,4.75,0.377,-3.174,2.625,0.5525,0.5695,-0.007,-17.262,-1.525,1.255,-0.218,-4.7345,-0.357,0.4705,56.41,77.79,387.3535,1.99,-86.2,0.347,-2.773,1.864,204.8,287.7,3.4655,0.363
1,5.25,0.38,-2.9685,2.689,0.642,0.492,0.028,-22.662,-1.264,0.8185,0.0865,-4.7475,-0.3605,0.4725,57.97,77.79,387.431,1.865,-82.5,0.347,-2.556,1.844,205.3,287.3,3.446,0.368
1,5.75,0.427,-3.038,2.7025,0.6205,0.552,0.0015,-23.717,-0.886,0.549,0.1525,-4.872,-0.4,0.4725,57.78,77.79,387.417,1.915,-81,0.347,-2.531,1.828,205.7,288.9,3.434,0.363
1,6.25,0.438,-2.951,2.7095,0.679,0.6585,0.01,-26.431,-0.608,0.7495,0.1455,-4.976,-0.423,0.471,57.86,77.795,387.38,1.75,-83.2,0.347,-2.498,1.795,205.8,287.9,3.4595,0.368
1,6.75,0.405,-2.93,2.7935,0.566,0.507,0.022,-22.527,-0.803,1.134,0.037,-5.0385,-0.428,0.4555,59.39,77.81,387.303,1.755,-85.3,0.347,-2.628,1.778,204.9,287.1,3.4835,0.363
1,7.25,0.453,-3.1325,2.809,0.686,0.611,0.033,-25.871,-0.901,0.724,0.1955,-5.1915,-0.433,0.4555,59.83,77.8255,387.3295,1.77,-84.7,0.692,-1.661,2.029,205,286.6,3.425,0.519
1,7.75,0.4,-2.8265,2.7665,0.615,0.5485,0.036,-25.273,0.1245,0.789,0.428,-5.219,-0.4375,0.456,59.52,77.835,387.4885,1.795,-70.41,30.12,16.43,6.598,205.5,286.7,3.2895,21.83
1,8.25,0.451,-2.6365,2.6225,0.581,0.5945,0.016,-12.453,6.3665,1.585,0.214,-5.2055,-0.4435,0.4505,56.78,77.845,387.5565,1.83,-7.481,153.7,96.6,21.14,203.3,287.2,3.3575,73.98
1,8.75,0.505,-1.936,2.9615,0.646,0.6255,-0.043,0.694,12.7305,3.983,0.536,-5.215,-0.451,0.451,53.53,77.865,387.7315,2.035,66.23,336.4,190.4,28.87,205.6,292.8,3.417,103.3
1,9.25,0.562,-0.8825,3.209,0.683,0.786,-0.056,21.622,13.233,8.554,1.064,-5.131,-0.4555,0.4515,51.07,77.89,387.6765,2.3,149.4,535.9,291.2,39.01,207.2,299.8,3.4585,124.7
1,9.75,0.691,-0.317,3.206,0.658,0.7755,-0.143,59.983,13.216,14.914,0.794,-4.7605,-0.403,0.4525,49.24,77.911,387.339,2.56,224.6,733.8,381.6,52.56,202.4,306,3.55,146.7
1,10.25,0.698,0.412,3.382,0.338,0.5875,-0.136,105.951,15.294,20.196,0.903,-4.5465,-0.2725,0.4525,45.11,77.935,387.097,3.045,291.6,897,470.7,65.2,205.6,309.9,3.617,164.9
