DOY2,HR2,NETRAD,G,LE,H,FC,USTAR,CO2,H2O,T_SONIC,PA,TA_1_2_1,RH_1_2_1,WS_1_2_1,TA_1_1_1,RH_1_1_1,WS_1_1_1,SW_IN,SW_OUT,LW_IN,LW_OUT,T_CANOPY_1_1_1,T_CANOPY_2_1_1,PPFD_OUT,PPFD_IN,TS_1_1_A,TS_1_2_A,TS_1_3_A,TS_1_4_1,TS_1_5_A,TS_1_6_A,TS_1_7_A,TS_1_8_A,TS_1_4_A
1,0.25,-73.52,-35.852201055,0.9388520114,-16.2448,0.06765,0.2049,395.8843,5.8096,9.2284,89.1817,7.203,45.8571,1.108,7.857,42.1027,2.36999908,-1.9535,1.4585,268.95,337.5,4.868,2.9715,-0.00515,0,10.138125,11.0755,12.65175,13.00525,12.68575,13.32075,14.74625,14.86,11.51825
1,0.75,-73.06,-34.82035,0.9148,-17.46195305,0.06704564574,0.2078,395.82495,5.75805,9.21035,89.174655,7.177,46.559761265,1.076,7.7595,42.5619,2.397677559,-1.976,1.4375,268.2,337.15,4.706,2.758,0,0.001,9.90135,10.85975,12.50075,13.008,12.7115,13.323,14.755,14.855,11.51925
1,1.25,-72.48,-34.3055,0.90162978975,-16.9882,0.0675,0.20815,395.6891,5.7795,9.2149105,89.1633,6.9685,46.7365,1.0855,7.786,42.85472327,2.3561448335,-1.932,1.431,267.6,336.65,4.632,2.552,0,0.0024,9.687,10.63075,12.37175,13.013,12.75875,13.3295,14.753,14.865,11.52325
1,1.75,-71.92,-34.2266,1.0356,-17.622512345,0.07865,0.22496985,395.6025,5.7983,9.0092,89.16,6.758,47.68365,1.077,7.5835,42.819849655,2.33405,-1.926,1.461,267.8,335.95,4.5455,2.277,0,0,9.48975,10.43025,12.228,13.011,12.75025,13.33975,14.75075,14.86,11.527
1,2.25,-71.29,-33.8711,1.0674,-17.8137,0.09,0.2112,395.969,5.71355,8.9132,89.1593,6.737,47.19675,1.063,7.5835,43.566226095,2.3198235885,-1.848,1.429,267.9,335.55,4.36,2.167,0,0,9.293575,10.24525,12.1095,12.999,12.769,13.34175,14.75075,14.84,11.52125
1,2.75,-71.58,-33.4488,0.8085,-17.2227,0.07,0.21468735,395.7636,5.6544,8.8211,89.150465,6.759,47.4925,1.021,7.595,42.802953245,2.3415,-1.973,1.357,267.2,334.5,4.117,2.001,0,0,9.11395,10.07575,12.01425,13.0005,12.7615,13.35,14.749,14.84,11.49875
1,3.25,-71.71,-32.3692,1.171460713,-17.007240035,0.03706602777,0.21625,395.5439,5.66838392,8.716422,89.14485,6.6865,47.241380995,1.0105,7.4635,42.793867095,2.3457,-1.924,1.395,267.7,333.9,4.0635,1.977,0,0,8.9319,9.90375,11.904,12.991,12.7705,13.351,14.7545,14.86,11.473
1,3.75,-70.935,-32.6906,1.109882994,-16.416778085,0.06905,0.2095118,395.5681,5.6177,8.7538,89.13331,6.5555,47.99545,0.9815,7.408,43.64680417,2.3067,-1.897,1.3855,267.4,333.7,3.849,1.882,0,0,8.7392,9.7365,11.78125,12.9645,12.7685,13.36125,14.7505,14.85,11.452
1,4.25,-70.77,-31.50408562,1.1554,-16.5515,0.0592,0.20875,395.41225,5.6634,8.7233745,89.12804,6.493,48.56775106,0.9475,7.3225,43.88865,2.2891,-1.893,1.427,267.8,332.55,3.7335,1.455,0,0,8.5896,9.60725,11.65225,12.963,12.785,13.36575,14.75,14.845,11.42375
1,4.75,-69.98,-31.2652,1.3013372495,-17.33735,0.0633,0.22023965,395.4731,5.67885,8.53045,89.1252,6.362,48.240994375,1.0425,7.187,43.61095,2.27785,-1.854,1.4045,267.3,332.95,3.815,1.514,0,-0.000399,8.41915,9.4735,11.54175,12.9435,12.78525,13.37225,14.7485,14.85,11.4
1,5.25,-70.09,-31.3167,0.9264,-16.778,0.0504,0.21705535,395.3952066,5.6517761285,8.5752225,89.1254,6.3595,48.237868795,0.9575,7.171,43.49245,2.317620941,-1.852,1.433,266.3,332.1,3.52,1.442,-0.0029,0,8.3278,9.32475,11.404,12.9295,12.789,13.378,14.75,14.85,11.371
1,5.75,-70.13,-31.41880972,1.31895,-17.6949,0.06893030041,0.2119,395.18409855,5.6429,8.352123,89.126,6.363,48.49721232,1.0245,7.124,43.354,2.30695,-1.831,1.407,266.3,331.7,3.809,1.474,0,0,8.12915,9.1844,11.27225,12.90525,12.7705,13.38075,14.75775,14.85,11.34525
1,6.25,-70.085,-30.6245,1.1683,-18.68732707,0.0898,0.2107,395.37173125,5.64165,8.276625,89.1436,6.18,48.30150753,0.986,6.9905,42.98492571,2.281,-1.8655,1.446,265.65,332.1,3.643,1.158,0,-0.0019,7.9484,9.06665,11.139,12.87,12.779,13.391,14.749,14.85,11.31625
1,6.75,-69.86,-29.4672,0.9983936253,-17.8161,0.074,0.2126,394.98305,5.57065,8.349,89.16305,6.2835,47.927059095,0.924,7.0445,42.8157,2.2623,-1.8675,1.4185,264.5,331.4,3.562,1.066,0,0.011,7.8275,8.9218,11.0085,12.854,12.769,13.38775,14.74825,14.85,11.28425
1,7.25,-68.22,-28.493,1.07885,-16.9418,0.0466643518,0.214,395.2879355,5.49635,8.253589,89.18179,6.123,48.305843075,0.986,6.9795,43.229957045,2.2293,0,1.833,264.25,331.8,3.4765,0.9855,0.5558,5.3596,7.66625,8.782625,10.907,12.816,12.7445,13.3975,14.7475,14.85,11.26325
1,7.75,-49.325,-21.5488,1.3964,-16.0109642,0.0331,0.21988,395.26845,5.5255765775,8.36545,89.2024,6.4665,47.572,0.929,7.0235,42.42373544,2.1858,21.855,6.5155,264.9,334.2,3.9895,1.7445,5.6471,56.19435,7.54305,8.65495,10.78825,12.7855,12.7305,13.40425,14.75125,14.85,11.22425
1,8.25,7.1665,-2.1560729145,4.3989444265,-5.0080199455,0.0344,0.2156,395.849,5.6214,9.308416,89.218,8.51,41.4298,0.738,8.35,38.77371527,1.83975,110.3,28.4,264.85,342.2,6.396,3.559,23.7692,247.1336,7.466125,8.5412,10.67375,12.7555,12.7155,13.40275,14.74775,14.845,11.20925
1,8.75,72.465,16.89085,11.89173582,17.9408,-0.0566,0.2163,395.8569,5.6896,10.62235,89.23184,11.11,34.11749612,0.537,10.2,34.4153,1.356336467,206.7,39.76,267.8,356.5,9.46,6.541,45.415,446.4273,7.5688,8.455525,10.558,12.7265,12.704,13.4045,14.7585,14.85,11.17625
1,9.25,151.2,44.43,18.72915092,52.5254,-0.1548,0.2207737,396.5126,5.67479321,11.751085,89.25185,12.75,30.30689563,0.6155,11.51,31.63265092,1.248,304.8,48.55,272.5,368.95,11.76,9.74,62.02472336,643.6185,7.9404,8.47215,10.446,12.67975,12.69675,13.4135,14.76125,14.86,11.14375
1,9.75,223.1,66.0511,22.74928075,90.4658,-0.0333,0.2372628,396.1519,5.6895,12.487335,89.26689,13.89,28.8791,0.8225,12.19,30.39505105,1.403,396,58.1,275.8,379.65,13.43,12.43,78.14,817.935,8.62785,8.66565,10.3715,12.645,12.67,13.416,14.7555,14.85,11.10825
1,10.25,286.7,75.2911,26.76336223,122.4205945,-0.0548,0.25615,396.1243,5.7813,13.03992,89.2789,14.35,27.3259,1.038,12.91,29.1235,1.5248,478.7,68.785,278.6,388.7,14.77,15.09,92.544,972.32,9.4672,9.0625,10.3185,12.606,12.6455,13.414,14.7435,14.85,11.071
1,10.75,336.1,89.092282715,28.9207,149.708186,0.0429,0.27321125,396.50055,5.75535,13.38885,89.27828,14.85,26.39363419,1.147,13.36,27.62520984,1.6354,543.5,78.47,280.9,397.9,15.64,17.28,105.891,1092.135,10.4372,9.623,10.2955,12.568,12.625,13.403,14.7595,14.86,11.03525
1,11.25,375.1,106.5169,30.92142585,170.9218782,0.07328428699,0.2779703,396.2414,5.81505,14.0335,89.26128,15.45,25.48,1.257,13.94,26.9506,1.700076896,598.2,87.8,283.7,405.75,16.68,19.2,117.78218565,1191.2655,11.4922,10.314,10.3505,12.528,12.5985,13.4045,14.7535,14.84,11.0015
1,11.75,398,113.30951175,33.45839918,182.5529044,0.133,0.28762615,396.02143165,5.6639484615,14.8429,89.232995,16.32,23.562596505,1.279,14.43,25.78415,1.7172,635.3,95.5,286.2,414.7,17.84,20.71,129.256,1256.57555,12.554,11,10.448,12.5035,12.5885,13.3975,14.752,14.85,10.976
