DOY2,HR2,FC,LE,H,SW_IN,TA,TS_1,RH,USTAR,PA,SW_OUT,NETRAD,PPFD_IN,PPFD_OUT,TS_2,WS,G_1,G_2,G_3,G_4,SG_1,SG_2,CO2,VPD,TS_3
1,0.25,0,-13.59944,-70.7722,0,-39.61875,-9.17625,56.76125,0.02186,97.15,0,-36.55875,0,0,-6.400375,0.198225,-16.80625,-9.78625,-9.94625,-18.87375,-13.15625,-14.31575,390.83,0.072649875,-5.81985
1,0.75,0,-7.111417129175,-52.886771034,0,-39.655,-9.1825,57.14125,0.01911,97.12,0,-39.413,0,0,-6.405375,0.20693,-16.8825,-9.87375,-9.995,-18.80375,-13.23625,-14.41675,389.4875,0.07283225,-5.825425
1,1.25,0,-4.06683794405,-50.874645,0,-39.61875,-9.215,56.83875,0.02497,97.16,0,-37.506,0,0,-6.424875,0.2105265,-16.965,-9.95,-10.01375,-18.83375,-13.26625,-14.539125,389.52,0.070549975,-5.837275
1,1.75,0,-6.3819575,-65.181345,0,-39.61875,-9.27125,56.89375,0.022175,97.1,0,-36.27575,0,0,-6.44575,0.217569975,-17.03625,-9.89875,-10.025,-18.8325,-13.299375,-14.61325,389.435,0.06946595,-5.8504
1,2.25,0,-5.432205,-60.398885,0,-39.61875,-9.28625,56.8425,0.0186125,97.2,0,-32.756,0,0,-6.4595,0.2092092,-17.0925,-9.8625,-10.02375,-18.8875,-13.325625,-14.655,388.94,0.071125225,-5.86125
1,2.75,0,-5.15943843025,-51.121825,0,-39.61875,-9.31,57.2775,0.022096,97.2,0,-34.164,0,0,-6.471875,0.1997625,-17.1325,-9.875,-10.02625,-18.9325,-13.353125,-14.70625,370.16,0.070214675,-5.87365
1,3.25,0,-8.27443,-55.810765,0,-39.60875,-9.365,56.61125,0.02224,97.16,0,-33.41775,0,0,-6.499375,0.214572525,-17.15625,-9.87875,-10.025,-19.035,-13.379375,-14.788125,388.845,0.071190725,-5.8853
1,3.75,0,-4.428897,-57.4556025,0,-39.60875,-9.41,55.72675,0.02264,97.0575,0,-32.421,0,0,-6.5175,0.194805475,-17.17,-9.7975,-10.01125,-19.19,-13.39125,-14.88125,388.9,0.070835625,-5.8975
1,4.25,0,-7.218216,-48.6166875,0,-39.61875,-9.42125,55.97925,0.02481,97.06,0,-29.55875,0,0,-6.531375,0.212728125,-17.19625,-9.7575,-9.9975,-19.34625,-13.40125,-14.950625,389.31,0.07092915,-5.906975
1,4.75,0,-6.565389384375,-62.89388,0,-39.6175,-9.4225,56.0975,0.02278,97,0,-31.016,0,0,-6.548625,0.1979885,-17.2225,-9.6675,-9.97375,-19.5275,-13.43,-15.003125,389.6,0.07106665,-5.92175
1,5.25,0,-8.7131525,-56.168465,0,-39.6175,-9.44,56.697,0.02133,97,0,-31.343,0,0,-6.561375,0.1946618,-17.145,-9.52125,-9.95625,-19.70625,-13.4,-15.046875,380.16,0.07215685,-5.9119
1,5.75,0,-4.805449,-64.1674925,0,-39.6175,-9.4475,56.885,0.0233025,97,0,-31.26175,0,0,-6.5655,0.19534,-17.03375,-9.5425,-9.95375,-19.88875,-13.33375,-15.089375,390.145,0.071519075,-5.9019
1,6.25,0,-5.43731125,-58.71074,0,-39.619,-9.455,55.62375,0.026115,97.06,0,-31.465,0,0,-6.576875,0.1900055,-16.915,-9.5925,-9.95,-20.07125,-13.278125,-15.025,385.37,0.072891,-5.9007
1,6.75,0,-3.86160834245,-57.409310655,0,-39.62,-9.47125,56.72875,0.0197425,97.01,0,-31.89,0,0,-6.595,0.1894255,-16.88,-9.6325,-9.93625,-20.28,-13.22375,-14.945,388.91,0.0719222,-5.8984
1,7.25,0,-3.0470945,-65.1976174535,0,-39.62,-9.4975,57.32625,0.02011,97.01,0,-31.178,0,0,-6.596875,0.206633275,-16.92625,-9.6525,-9.94375,-20.485,-13.164375,-14.954375,387.57,0.0709994,-5.8952
1,7.75,0,-3.46484651025,-64.16925,0,-39.69,-9.5175,57.2925,0.02457,97.01,0,-30.8205,0,0,-6.60775,0.209174875,-17.04125,-9.61625,-9.9675,-20.68375,-13.1026875,-14.873125,388.635,0.072210025,-5.891825
1,8.25,0,-5.077580023775,-56.32624,0,-39.6475,-9.54375,57.495,0.02641,97.05,0,-30.45375,0,0,-6.62175,0.22090345,-17.145,-9.65375,-9.9975,-20.60875,-13.10875,-14.733125,383.49,0.07157295,-5.8898
