DOY2,HR2,TAU,H,LE,FC,CO2,T_SONIC,TA,PA,RH,VPD,WS,USTAR,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC_SIGMA,NETRAD,G,TS,PPFD_IN
1,0.25,-0.5291719389,-64.104610666,-20.317669752,-3.303265318625,231.9054844125,-5.645384215,-6.1042543857,90.383526495,40.0142581095,0,0.3472698796,0.0471987782,0.220014438,0.2251096398,0.0488569876,0.1061774286,-83.79607423375,-52.6375939985,-0.10634532625,-0.07922640225
1,0.75,-0.5408985251,-59.676055497,-25.10249213,-1.718753053,232.54764725,-5.4337607628,-5.9015424457,90.39551617375,41.663693815,0,0.3063779294,0.0418373871,0.2135513266,0.2262726397,0.0483771259,0.1552331036,-85.11084665975,-49.66240393775,-0.3960012915,-0.0751452975
1,1.25,-0.5715372662,-60.597169287,-15.998716364,-2.102246887125,231.9886996375,-5.5587197926,-5.9937404406,90.4013664945,41.55288007,0,0.3741807903,0.0393199088,0.241383469,0.2323808771,0.051784696,0.1417520517,-84.847327133,-47.94888244675,-0.7417197375,-0.075433622
1,1.75,-0.4939765012,-60.779596627,-16.826232565,-2.771479318625,232.506077675,-5.7880618305,-6.2929096462,90.41298355425,45.759113534,0,0.3712361652,0.0361648647,0.2129377558,0.2167388701,0.0472560217,0.1299958458,-82.936238232,-50.1869236525,-1.11497460375,-0.08849419575
1,2.25,-0.6293475528,-63.481556769,-9.892049145875,-2.41847149435,232.37714711,-5.9415600478,-6.3716570821,90.3837503655,44.0805732825,0,0.3829841501,0.0509752527,0.2145310332,0.2440335183,0.0545613377,0.1089386174,-82.816693421,-49.6031168905,-1.4168254425,-0.08026739025
1,2.75,-0.5290010806,-64.605086766,-8.58012077735,-1.93105320925,233.6600641625,-6.247448965,-6.6730873649,90.39474895475,46.588203188,0,0.4394507706,0.0496592129,0.2278409567,0.2581905393,0.0568983165,0.1002190591,-83.32876461125,-50.257578967,-1.6718881425,-0.082822788
1,3.25,-0.6354667418,-73.9822708,-14.276453383,-1.92257297125,233.3616437875,-6.2349687258,-6.7242101378,90.37013100375,47.154620885,0,0.4572739266,0.0503454736,0.2134284769,0.2220917386,0.0527333135,0.0913398027,-81.99863713175,-49.8252303825,-1.90529345,-0.08574719525
1,3.75,-0.540734328,-62.386472956,-15.579356613,-3.403416990375,235.7462805,-6.6512786533,-7.1288252877,90.340869508,46.52362764625,0,0.4380986034,0.0391944877,0.1954278189,0.2318429353,0.0482321589,0.1220608935,-82.44646135275,-48.13316024625,-2.006854075,-0.08962360575
1,4.25,-0.5445238905,-72.980810064,-16.619698678,-3.667362129,235.78979645,-6.5482141647,-6.9832771348,90.3404667435,45.9070997265,0,0.4542753463,0.0492133207,0.2050680043,0.2156599411,0.0496603293,0.1125716376,-84.54702062975,-49.4857122495,-2.0788972875,-0.0847696345
1,4.75,-0.5588883484,-64.720237033,-6.81407465905,-1.34191882975,236.4769768625,-6.383418517,-6.795104022,90.37150187625,46.79577977375,0,0.5051158956,0.0448318602,0.2301541454,0.2167994122,0.0478920889,0.0971245218,-83.7812639535,-49.15607713925,-2.2216726625,-0.08690933325
1,5.25,-0.4882883996,-68.019591013,-7.8791152358,-4.212014483,237.15778325,-7.2640900962,-7.7980786381,90.38634905475,44.9045615615,0,0.4364544709,0.0404106861,0.2597058176,0.2355901971,0.0509332135,0.0743389305,-82.6470053125,-47.97114847675,-2.31251925,-0.08188993675
1,5.75,-0.4826750435,-70.887308935,-11.86840056025,-2.562678575,235.759745125,-6.9156657519,-7.3636971925,90.41662646575,47.328719441,0,0.3939060226,0.0410190079,0.2315113368,0.2500601294,0.052613238,0.134317989,-82.52072642025,-46.14194268525,-2.40361655,-0.09070840725
1,6.25,-0.5257512261,-61.248707107,-10.506009321825,-4.48012278625,235.3425879125,-6.723971157,-7.2410085778,90.4817308825,45.974331938,0,0.2695101709,0.0502421811,0.2443831517,0.26107774,0.0509458118,0.0822347392,-82.0002557535,-47.400482614,-2.5225341,-0.07823334875
