DOY2,HR2,USTAR,WS,TA_1_1_1,RH_1_1_1,VPD_1_1_1,PA_1_1_1,TA_1_2_1,RH_1_2_1,NEE,FC,H,LE,SW_IN,SW_OUT,LW_IN,LW_OUT,PPFD_IN,PPFD_OUT,CO2,H2O,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,CO2_SIGMA,H2O_SIGMA,G,SG,TAU,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC,T_SONIC_SIGMA,NETRAD,TA_1_3_1,RH_1_3_1,TA_1_4_1,TS_2_1_1
1,0.25,0.1190012,2.3406045,-0.52853665,36.79793,3.733932085,81.793,-2.0395,59.80078,0.223096705,0.149512425,-14.7029168,0.5762781,0,1.099109,228.6345,296.2823,0,0,405.8454,2.586322,0.11,0.4255,1.054,2.0995,3.628,0.363018,0.02952928,-19.86882,-3.586629,-0.024441485,0.504063,0.4763954,0.1440882,0.07988291,0.5040742,-77.28032,-2.704526,55.94644,-2.3978955,-0.9219739
1,0.75,0.1348278,2.324506,-0.6139386,37.451725,3.647993,81.7745,-2.2655,60.217665,0.239021125,0.17749106,-13.65951,0.7290466,0,0.9649406,229.28325,294.4743,0,0,405.85,2.6556345,0.093,0.4265,1.0555,2.1,3.6255,0.38906185,0.03132359,-22.590295,-6.1628175,-0.024681825,0.4817068,0.47228315,0.16671325,0.16460294,0.54668495,-79.752185,-3.0466695,55.43123,-2.7004735,-1.0613165
1,1.25,0.13587865,2.1880545,-0.83398515,40.99626,3.622918,81.741,-2.527579,61.20469,0.23301935,0.1135228,-11.83613,0.405890155,0,1.172801,228.4799,293.4552,0,0,405.8517,2.785054,0.097,0.394,1.077,2.112,3.616,0.388556,0.03401603,-21.56345,-4.018799,-0.022382335,0.502409,0.5890414,0.13488835,-0.32344425,0.49907775,-79.954985,-3.2508765,57.88436,-2.6546665,-1.119895
1,1.75,0.1192727,2.191918,-0.8160897,41.8379,3.482277,81.76,-2.5984835,61.82,0.06790463,0.0813283,-11.7030109,0.080447945,0,1.019886,226.7652,294.19,0,0,405.81,2.8658535,0.129,0.411,1.057,2.101,3.6265,0.4009792,0.038638245,-25.28969,-6.2659705,-0.0261074,0.47318965,0.47388065,0.1306103,-0.0589769,0.5237741,-79.1196,-3.5173175,60.28461,-3.072846,-1.203827
1,2.25,0.12764695,2.2786165,-1.09285395,40.760035,3.617066,81.7493,-2.765796,62.365,0.12963232,0.091118705,-9.4523101,0.1553185,0,1.104823,226.0048,293.47195,0,0,406.02,2.963712,0.1205,0.388,1.056,2.101,3.623,0.4118829,0.03767521,-25.44262,-5.589119,-0.01839048,0.496918,0.4861609,0.116998,-0.71082645,0.57366415,-79.53776,-3.3958305,60.92494,-3.26642,-1.2815145
1,2.75,0.1224205,2.197569,-1.049796,41.1143,3.432254365,81.77883,-2.8685825,61.86,0.18546558,0.04533574,-10.08936,0.21635087,0,1.123991,226.013,292.12,0,0,405.8712,2.880618,0.14,0.3905,1.059,2.105,3.624,0.43811505,0.03037832,-24.746385,-6.454195,-0.01646799,0.41237955,0.5321559,0.1204404,-0.91789995,0.59106925,-79.182375,-3.5800015,61.34316,-3.087422,-1.338703
1,3.25,0.1173573,2.050738,-1.3164016,40.4255,3.401915,81.78557,-3.106,61.71,0.13379715,0.08696905,-8.7451165,0.45967635,0,1.201064,225.72945,291.85525,0,0,406.0464,2.91443,0.121,0.389,1.062,2.107,3.634,0.4023296,0.038140995,-25.1646,-4.642107,-0.01636571,0.45696045,0.4852846,0.1259162,-0.7517576,0.51073365,-77.18805,-3.647051,58.8836,-3.258384,-1.4225475
1,3.75,0.1155111,2.099582,-1.5913086,39.24447,3.36123023,81.773,-3.0375605,61.46,0.098348875,0.07008016,-8.70949,0.0959128,0,1.154986,224.89425,290.82,0,0,406.0852,2.832987,0.108,0.3825,1.0575,2.106,3.632,0.38434125,0.037509735,-22.03515,-4.971319,-0.0161044,0.45423555,0.39950445,0.13470835,-0.978945,0.5070355,-75.36798,-3.5293535,60.81097,-3.4540585,-1.308188
1,4.25,0.1084399,2.068771,-1.6363912,41.414365,3.3162965,81.78519,-3.3748585,63.5402,0.09277983,0.06884189,-8.846359,0.1017448,0,1.184366,225.8835,290.0562,0,0,406.1482,3.056894,0.106,0.3815,1.0555,2.107,3.629,0.37457325,0.034273345,-24.31985,-5.26618,-0.0206687,0.4523246,0.4660545,0.12498565,-1.174947,0.42789705,-76.46779,-3.5268455,58.8276,-3.374737,-1.5641195
1,4.75,0.11986935,2.096011,-1.930611,41.46608,3.26936523,81.74826,-3.484,64.72,0.1626453,0.100497765,-10.54901445,0.112647575,0,1.000169,224.72435,290.7651,0,0,405.97265,3.021738,0.113,0.389,1.061,2.106,3.63,0.4022495,0.03272923,-20.667755,-1.7869825,-0.02068898,0.49319255,0.49064845,0.11919415,-1.4136965,0.51126305,-75.22335,-3.6683615,60.47681,-3.349127,-1.7488575
