DOY2,HR2,FC,CO2,H,LE,G_1_1_1,G_1_2_1,G_2_1_1,G_2_2_1,USTAR,U_SIGMA,V_SIGMA,W_SIGMA,PA,RH,TA,T_SONIC,T_SONIC_SIGMA,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,SW_IN,SW_OUT,LW_IN,LW_OUT,H2O,CH4,FCH4,SC_1_1_1,SC_2_1_1,NEE,SH_1_1_1,SH_2_1_1,SLE_1_1_1,SLE_2_1_1,PPFD_IN,PPFD_OUT,WS_1_1_1,WS_2_1_1
5,10.25,-0.364719,393.3617555,47.487701,19.9314,0.468,1.316,-1.0255,-1.2395,0.355766,0.965057,0.904574,0.4506665,99.938464,45.9950005,2.1525,7.951605,0.277431,2.07975,2.19625,2.1805,1.1655,0.2945,1.68475,-0.01525,0.0405,1.579,2.938,319.149994,31.76,275.0776055,331.513709,4.12211,1974.2799685,-2.480755,-0.089493,-0.045714,-0.3935795,1.47122,0.916675,-0.5978605,-0.3607745,484.957565,44.37022275,3.271475,2.59633
5,10.75,-0.4323225,393.114502,50.66507525,23.3451,0.848,1.692,-0.7545,-1.231,0.372095,0.97159075,0.94321975,0.45723625,99.936537,43.255001,2.486,8.14895,0.2868015,2.47075,2.696,2.59425,1.4325,0.29725,1.689,-0.01225,0.0475,1.583,2.939,334.399994,35.1399995,278.2506405,333.630296,4.14598,1971.100006,-2.93097,-0.0607625,-0.03557575,-0.43499175,1.309345,0.875581,-0.584214,-0.3703465,513.3025205,46.962303,3.205925,2.5490725
5,11.25,-0.288599,393.0345,55.52102475,26.92460075,0.779,1.875,-0.6455,-1.157,0.35937275,0.989172,0.948447,0.458324,99.93247,41.674999,2.856,8.438765,0.2889305,2.776,2.9995,3.03525,1.86,0.299,1.69075,0.004,0.0505,1.585,2.942,347.149994,36.0100005,279.033553,335.7661115,4.168795,1969.397522,-1.67446,-0.06278875,-0.0297755,-0.29742,1.3310025,0.782798,-0.6773675,-0.3648925,554.023346,52.6546975,3.31055,2.568065
5,11.75,-0.295387,392.99150875,53.9412,30.520525,0.899,2.1255,-0.3745,-1.0565,0.38366825,1.02994,0.985934,0.471683,99.9051475,40.6299995,3.2045,8.7339125,0.30135825,3.319,3.81475,3.46825,2.0045,0.304,1.697,0.01775,0.0625,1.588,2.942,363.550003,36.6949995,279.9549375,337.49831,4.15756,1968.75753775,-2.08757,-0.051482,-0.02676175,-0.302157,1.0833025,0.69795,-0.7501585,-0.452504,582.2684325,53.467903,3.38035,2.5861
5,12.25,-0.30381,392.954987,54.9031085,32.370075,0.63,2.04,-0.30425,-0.505,0.37730125,1.0521325,0.985954,0.469592,99.900002,39.64749875,3.686,9.1072975,0.30991825,3.77875,4.18,3.9675,2.19225,0.3055,1.704,0.03325,0.0715,1.58875,2.943,389.0999985,38.85500025,281.24425,339.97825775,4.2042875,1968.550049,-1.3005,-0.050564,-0.0269425,-0.30499225,1.13407,0.661196,-0.5904795,-0.34317175,612.609497,53.6711975,3.5079,2.6183475
5,12.75,-0.313201,393.05950175,56.810999,33.1309645,0.54625,2.041,-0.2945,-0.3835,0.37016775,1.04373,1.00143,0.468702,99.900002,37.9425,3.945,9.4946725,0.28703275,4.1595,4.458,4.35475,2.4495,0.307,1.703,0.027,0.07325,1.588,2.943,396.175003,40.85999825,281.01319825,341.34003225,4.1953575,1966.930054,-1.37147,-0.05208575,-0.026788,-0.316114,0.9328235,0.62951875,-0.5605795,-0.30367875,606.920563,53.467903,3.4617,2.698695
5,13.25,-0.2415875,392.83650225,55.093102,36.170601,0.5,1.956,-0.19975,-0.294,0.3781405,1.067025,0.99400125,0.485283,99.8727205,36.1674995,4.301,9.7216,0.2749655,4.52175,4.9165,4.7085,2.81925,0.30975,1.7025,0.0295,0.0715,1.59075,2.9455,374.349991,39.35249875,282.375574,343.11554275,4.24124,1967.8874815,-1.43285,-0.0508095,-0.023574,-0.246335,0.53091625,0.3477,-0.5407635,-0.330783,593.446747,55.24677775,3.5959,2.810615
5,13.75,-0.22249,393.026001,50.64387375,38.0390985,0.40525,1.926,-0.162,-0.278,0.381542,1.08166,0.996739,0.474118,99.8422125,35.73,4.482,9.8128075,0.2798455,4.91,5.05875,5.20925,3.324,0.31,1.69925,0.0315,0.071,1.591,2.9445,390.399994,39.049999,282.689294,344.150876,4.19228,1966.19751,-2.0219775,-0.0430045,-0.016839,-0.2326555,0.5491475,0.380632,-0.624498,-0.4551075,579.074707,53.4678995,3.748325,2.87141
5,14.25,-0.21044575,393.044998,47.930302,38.4671,0.309,1.937,-0.125,-0.26375,0.38897225,1.0683575,1.02413,0.486278,99.860829,34.9925015,4.724,9.81533,0.259163,5.375,5.302,5.552,3.51725,0.314,1.7065,0.036,0.071,1.58775,2.9425,357.849991,37.26749975,282.6755455,345.38128125,4.155845,1966.040039,-1.25725,-0.02944,-0.01304,-0.199194,0.270078,0.140624,-0.782254,-0.497156,546.837311,49.808502,3.767,2.8993675
5,14.75,-0.178473,392.91823575,41.6245005,37.670101,0.27025,1.189,-0.088,-0.247,0.388197,1.054125,1.01937,0.479918,99.852822,34.92,4.9045,10.0902,0.268097,5.69175,5.69975,5.82725,3.6595,0.315,1.7105,0.0465,0.0755,1.59,2.945,334.699997,34.59,284.2530965,345.618624,4.206515,1964.98999,-1.69909,-0.02723325,-0.013763,-0.1885775,0.205828,0.14626725,-0.87095025,-0.4427685,527.6745605,47.26725075,3.797475,2.901774
5,15.25,-0.1828165,392.99599425,38.13525,35.729599,0.199,1.17225,-0.075,-0.2305,0.38637125,1.066725,0.986254,0.4773395,99.8384945,34.3224995,5.00575,10.314825,0.2517735,5.90975,6.067,6.07,3.89775,0.317,1.711,0.052,0.085,1.5915,2.95075,305.9999925,32.307501,284.781786,346.6992805,4.22791,1964.94003325,-0.4692635,-0.028637,-0.013522,-0.1894825,-0.068557,-0.00354525,-0.831536,-0.43404,475.6756135,42.692997,3.7356,2.9351
5,15.75,-0.0738345,392.9070125,40.6262495,36.1252465,-0.3,0.364,-0.078,-0.1975,0.38783775,1.073985,0.9677075,0.4702915,99.828063,33.73749925,5.08,10.43075,0.237187,6.222,5.9615,6.081,4.13775,0.317,1.7145,0.072,0.105,1.598,2.951,273.574997,29.12999975,284.248797,346.56517725,4.20615,1964.169952,-1.50311,-0.02881675,-0.01183425,-0.072323,-0.33465875,-0.191017,-0.90228575,-0.547028,412.0991515,36.9497745,3.605,2.919428
5,16.25,-0.06452625,392.77301,29.331499,35.681099,-0.84975,-0.0625,-0.013,-0.1805,0.389516,1.0321875,0.971908,0.47637825,99.8612255,33.93500025,5.17375,10.49015,0.218523,6.24,6.051,6.2205,4.25275,0.319,1.7185,0.071,0.106,1.597,2.951,224.6500015,23.712501,284.468365,345.64106175,4.20763,1964.9500125,-3.0607075,-0.0241495,-0.00998175,-0.05359,-0.7432925,-0.48926525,-0.640407,-0.4296245,344.231049,30.6474745,3.822,2.91001
5,16.75,-0.05699775,392.915985,19.863899,31.89272575,-1.37725,-0.43125,0.032,-0.16,0.378,1.01537,0.95176875,0.4648495,99.8534195,33.459999,5.1425,10.6397,0.18629875,6.25875,6.0095,6.0525,4.2875,0.321,1.722,0.07575,0.119,1.598,2.956,187.2999955,19.8149995,283.199785,344.890383,4.220475,1965.6099855,-1.88616,-0.023518,-0.012509,-0.0457325,-1.05098,-0.692627,-0.6152375,-0.4001015,284.6468355,25.2092,3.866,2.97634
5,17.25,0.028407,392.8594975,13.33076,27.4882475,-2.098,-1.832,-0.01,-0.1595,0.3687475,0.994325,0.88976,0.44580475,99.8218645,33.255001,5.0405,10.500525,0.174669,6.246,5.738,6.3355,4.427,0.325,1.7265,0.0825,0.1135,1.6,2.954,161.149994,17.085,282.006014,343.4184855,4.2868,1965.050049,-1.08865,-0.025828,-0.0126225,0.025962,-1.48989,-0.8775385,-0.7102815,-0.528856,246.321312,22.566299,3.6665,2.9711475
5,17.75,0.1169735,392.817993,8.774752,25.87594,-2.846,-2.9585,0.0115,-0.1765,0.353182,0.942006,0.8521005,0.438861,99.8791845,33.66,4.9475,10.4432,0.147928,6.14325,5.3805,6.16575,4.5165,0.327,1.729,0.0975,0.127,1.601,2.956,125.199997,14.775,281.104584,342.059707,4.33102,1965.1550295,0.0577435,-0.027721,-0.00706225,0.1184675,-1.815365,-1.1142135,-0.611087,-0.397843,195.719658,18.7036,3.63495,2.85286
5,18.25,0.19460725,392.8545075,-0.67619875,20.62565,-3.321,-3.92175,0.009,-0.16275,0.3429425,0.882346,0.785296,0.415042,99.8970165,34.2649995,4.77,10.25505,0.13102775,6.10975,5.2175,6.07,4.6,0.328,1.7275,0.0935,0.131,1.606,2.955,95.1000025,11.2,279.108148,340.0857595,4.3422775,1966.1500245,-0.458597,-0.008822,0.000704,0.196196,-2.58366,-1.537181,-0.707474,-0.496787,147.812752,15.2475,3.5,2.82472
5,18.75,0.217339,393.0299985,-6.81357,16.250401,-4.106,-5.03925,0.038,-0.1215,0.3151715,0.782846,0.69051,0.372878,99.900002,35.5549985,4.568,10.159675,0.11299525,5.9645,4.92225,5.8825,4.694,0.326,1.72525,0.0935,0.136,1.611,2.955,58.7649995,7.149,276.69630275,337.311966,4.4024125,1967.46496575,0.416451,-0.00060125,0.00307,0.22249425,-2.7870125,-1.778034,-0.765743,-0.459102,91.222725,9.1485,3.3179,2.648683
5,19.25,0.332921,393.269989,-11.57757,11.146825,-4.72,-5.6595,0.038,-0.1075,0.2751245,0.687664,0.572459,0.334621,99.9024045,36.875,4.229,9.8759675,0.104262,5.858,4.6005,5.72375,4.585,0.329,1.72325,0.10325,0.14925,1.608,2.958,31.504999,4.113,274.3410855,335.152556,4.43896,1969.99749775,0.20361975,-0.001503,0.00835125,0.34815825,-3.381765,-2.116318,-0.746763,-0.5500355,51.2004985,4.8792,2.956825,2.38475
5,19.75,0.329212,393.51924125,-14.38005,5.927895,-4.775,-6.4825,0.018,-0.132,0.2181725,0.54395175,0.435528,0.27489025,99.900002,40.6399995,3.701,9.5673225,0.111313,5.531,4.147,5.4245,4.4515,0.32875,1.7215,0.125,0.16525,1.61,2.957,13.485,2.37,272.4196275,331.887904,4.4524025,1973.02249125,0.187324,0.015093,0.016263,0.379958,-4.774995,-3.0748475,-0.556692,-0.408853,22.556166,2.2363,2.583,2.0876975
5,20.25,0.3028805,393.6722415,-17.58332525,2.511057,-4.915,-6.702,0.012,-0.1495,0.16962,0.42592275,0.36270275,0.215422,99.923477,45.09,2.989,9.49529,0.1244495,5.19525,3.741,5.1465,4.1735,0.334,1.72275,0.128,0.185,1.613,2.956,1.07675,1.085,269.89919525,328.3682005,4.43688,1975.5449825,-0.400276,0.01964625,0.018157,0.371326,-6.70298,-4.035955,-0.81443575,-0.537629,5.189914,0.4066,2.26655,1.7947875
5,20.75,0.3702225,394.11574525,-18.65905,1.507205,-5.3,-6.908,-0.0115,-0.1465,0.143976,0.39278775,0.30735025,0.172162,99.936318,50.6350005,2.447,9.28439,0.12806925,4.76675,3.53275,4.8075,3.9345,0.332,1.7165,0.14125,0.2,1.615,2.957,0,0.561,268.00460825,325.178514,4.4884,1986.0249635,0.008168,0.0283145,0.015618,0.460576,-7.5447775,-4.6651915,-0.93088225,-0.5444335,0.199612,0,2.216275,1.8338025
5,21.25,0.41548575,394.532013,-18.32292575,1.45953675,-5.285,-7.28,-0.063,-0.1635,0.1501455,0.3977355,0.298614,0.172646,99.9407465,55.6000005,1.809,8.96279,0.12432375,4.387,3.16225,4.55675,3.7585,0.33025,1.7115,0.1355,0.192,1.606,2.952,0,0.435,267.4497465,323.159437,4.51453,1983.4349975,-0.0144125,0.014607,0.009557,0.459861,-6.24789,-4.1551855,-0.92849,-0.7079555,0,0,2.2759,1.77793
5,21.75,0.45228725,394.9869915,-18.31505,1.17195,-5.407,-7.109,-0.068,-0.1835,0.15172225,0.3797735,0.3283315,0.1766815,99.9679665,58.93,1.4285,8.5185875,0.12747375,4.00775,3.00275,4.375,3.307,0.322,1.70575,0.1355,0.177,1.601,2.951,0,0.4155,266.767126,321.838811,4.5077645,1991.01000975,-0.381578,0.005816,0.004738,0.493018,-4.99019,-3.173938,-1.20523,-0.7174955,0,0,2.2095,1.79856525
5,22.25,0.46211225,395.40624975,-17.4638005,0.91472275,-5.418,-7.0325,-0.1165,-0.2065,0.1644335,0.42990975,0.3351305,0.187925,99.986833,61.2350005,0.9805,8.2964,0.13099375,3.795,2.6155,4.16125,3.0585,0.3195,1.7025,0.126,0.163,1.597,2.947,0,0.426,266.1986565,320.266266,4.58472,1989.6199955,-0.38246275,0.00263725,-0.000978,0.481238,-4.2521825,-2.7470325,-1.07873,-0.671826,0,0,2.2417,1.8218005
5,22.75,0.42198175,395.641998,-16.30325,0.416243,-5.661,-6.954,-0.1375,-0.232,0.163077,0.4184495,0.33894,0.1955265,99.999594,63.440001,0.5705,7.78409,0.116017,3.566,2.32275,3.86,2.9745,0.318,1.698,0.111,0.148,1.596,2.94,0,0.4205,263.8069425,319.2187325,4.530395,1991.5,0.634243,-0.01463175,-0.007371,0.44540925,-3.90683,-2.5745625,-1.057875,-0.7298715,0,0,2.286975,1.801505
5,23.25,0.4285525,395.821991,-15.9257,0.69606475,-5.436,-6.7665,-0.1705,-0.2405,0.1641025,0.415562,0.342462,0.192075,100,64.9799995,0.276,7.75736,0.114635,3.546,2.14825,3.51125,2.862,0.318,1.69375,0.0935,0.137,1.588,2.938,0,0.4275,261.62919125,318.4211615,4.48741,1991.329956,0.107083,-0.008399,-0.00699375,0.477873,-3.54134,-2.260793,-1.19606,-0.7052825,0,0,2.33095,1.81418
5,23.75,0.443135,395.87749475,-15.8852005,0.4978915,-5.35425,-6.529,-0.19,-0.24925,0.180286,0.4148375,0.34810475,0.209517,99.97545375,65.70000225,-0.04025,7.5768625,0.111096,3.261,1.90775,3.17125,2.74625,0.31525,1.69075,0.09325,0.1255,1.59025,2.9365,0,0.43475,258.732234,318.2092475,4.441445,1994.7849735,0.146234,-0.014451,-0.008861,0.4541085,-3.20233,-2.027095,-1.169375,-0.66878875,0,0,2.1967,1.77075
6,0.25,1.37774,395.208992,-23.44245075,0.2810665,-8.78,-8.3275,0.21525,1.149,0.150864,0.40903725,0.33041525,0.18476075,99.599998,68.52500125,6.306,11.88415,0.1165215,13.6025,11.36,13.3175,14.285,10.3475,5.3905,14.36,9.3475,4.72025,3.6365,0,0.59925,282.599516,347.60620575,7.735168,2037.6225285,13.0802,-0.00832225,-0.00741875,1.419851,-3.681285,-2.42220725,-1.7398725,-0.97425,0,0,2.1431,1.67756
6,0.75,1.2659425,394.925026,-20.767301,0.120771,-8.925,-8.7975,-0.79325,0.28675,0.146252,0.4066865,0.33363425,0.182786,99.599998,70.29749875,5.82125,11.5742,0.11387475,13.26,11.0725,13.0975,14.03,10.365,5.394,14.29,9.3425,4.72575,3.63875,0,0.655,281.26192675,345.97017825,7.5804825,2034.4400025,11.56075,-0.04881675,-0.017836,1.3369005,-3.56016,-2.21650875,-1.569315,-0.9976235,0,0,2.016975,1.6850725
6,1.25,1.2897125,394.754882,-21.285949,-0.21048025,-9.2125,-9.1225,-1.60575,-0.60525,0.140899,0.4125595,0.3389695,0.176463,99.599998,72.609999,5.497,11.34005,0.103918,13.01,10.7675,12.84,13.765,10.395,5.38975,14.23,9.3425,4.73,3.6405,0,0.6255,280.98831275,344.6801135,7.539283,2036.160034,10.83495,-0.046735,-0.031178,1.33487775,-3.2688,-2.103943,-1.53612,-1.04350825,0,0,1.9833,1.65087
6,1.75,1.1949115,395.24463825,-19.8784505,0.06710425,-9.335,-9.405,-2.25025,-1.17775,0.1367125,0.389732,0.326723,0.174458,99.599998,74.18499925,5.043,11.15835,0.1145165,12.7675,10.375,12.6275,13.565,10.415,5.3925,14.16,9.335,4.73475,3.64025,0,0.60625,279.17021375,343.030973,7.39315,2031.23999,10.100275,-0.058096,-0.0168155,1.241502,-3.26455,-2.04057175,-1.626845,-1.02812,0,0,1.98,1.62312
6,2.25,1.3420365,394.7992755,-20.3029,-0.232988,-9.535,-9.6875,-2.893,-1.828,0.150655,0.40256625,0.34059975,0.1840815,99.599998,75.59749825,4.7915,10.9931,0.10815,12.47,10.17,12.275,13.29,10.42,5.3925,14.055,9.34,4.7325,3.6395,0,0.5935,279.25239525,341.33871575,7.36843,2032.800049,11.2286,-0.0311105,-0.017426,1.365095,-3.032105,-1.8654075,-1.5470275,-0.9439705,0,0,1.96845,1.6289545
6,2.75,1.2872125,395.387402,-19.8348505,-0.1505675,-9.6025,-9.81,-3.844,-2.5945,0.15373625,0.410296,0.351329,0.185822,99.599998,76.23000125,4.586,10.84585,0.101722,12.26,9.925,12.09,13.07,10.43,5.3915,13.9925,9.35,4.73125,3.64025,0,0.61525,281.11067225,340.3366635,7.323354,2032.469971,11.820975,-0.04261075,-0.016133,1.344968,-2.46496,-1.58696025,-1.621835,-0.9206495,0,0,1.984125,1.60727
6,3.25,1.28397675,396.070007,-19.132999,-0.112346,-9.595,-9.6375,-4.459,-3.0595,0.1442775,0.414524,0.335105,0.1854525,99.599998,77.00999825,4.1995,10.66425,0.099158,12,9.615,11.91,12.92,10.44,5.3845,13.8725,9.36,4.728,3.64075,0,0.604,280.0742205,338.359433,7.226625,2038.160034,12.6346,-0.0411985,-0.01519025,1.3705465,-2.474215,-1.5891045,-1.39871,-0.822417,0,0,2.00995,1.58818
6,3.75,1.38724,396.334991,-20.057275,-0.231051,-9.4575,-9.52,-5.039,-3.562,0.1511355,0.4054235,0.33010225,0.19292975,99.599998,77.742502,4.00425,10.5966,0.1023985,11.68,9.505,11.675,12.76,10.45,5.384,13.73,9.37,4.7275,3.64025,0,0.65775,280.77773925,337.48198425,7.11193975,2046.7724915,12.4284,-0.036219,-0.021013,1.433491,-2.189315,-1.39696725,-1.390615,-0.85142575,0.199612,0,2.0427,1.66251
6,4.25,1.218873,396.295013,-17.92751475,-0.087178,-9.3975,-9.59,-5.3855,-4.23725,0.157098,0.431563,0.337588,0.204993,99.599998,78.239998,3.7995,10.552575,0.102167,11.415,9.295,11.465,12.54,10.46,5.3855,13.63,9.39,4.73025,3.64075,0.77125,0.95625,281.21384925,336.5053955,7.050981,2042.68246475,11.97175,-0.054017,-0.043189,1.219032,-1.98239,-1.30907875,-1.19331,-0.6873885,3.193794,0.2033,1.916,1.6681975
6,4.75,1.054765,395.7224885,-14.458725,0.1142975,-9.5325,-9.7775,-5.9475,-4.97125,0.1640495,0.43484325,0.35970825,0.20905075,99.599998,78.7424985,3.86575,10.2731,0.09265,11.195,9.145,11.23,12.38,10.47,5.3825,13.4775,9.4,4.7295,3.64175,8.02,1.68425,283.40760025,337.77695975,7.0488375,2046.73999,15.329925,-0.11130375,-0.129575,0.9934805,-1.0733775,-0.717887,-0.61779,-0.35719975,13.37401,1.0165,1.89275,1.60489525
6,5.25,0.568546,395.156006,-10.184,1.08738,-9.3225,-9.56,-6.4815,-5.49875,0.18305475,0.44610925,0.37390625,0.248628,99.599998,77.7724975,4.02875,10.2062,0.0974415,10.97,9.055,11.175,12.22,10.48,5.3765,13.3475,9.37,4.73,3.643,21.53500025,3.287,282.485788,340.24646525,7.074001,2045.6450805,17.860174,-0.307812,-0.2582655,0.450214,-0.231724,-0.19472675,-0.3668695,-0.22649225,35.03192075,2.287125,1.986,1.582585
6,5.75,-0.278626,394.241144,-2.68563,3.032425,-9.1225,-9.465,-6.8905,-5.779,0.2371885,0.5537585,0.45994,0.297754,99.599998,74.910004,4.7425,10.3254,0.11935925,10.85,9.01,10.975,12.06,10.48,5.3765,13.275,9.35,4.732,3.64475,40.68250125,5.18275,285.238097,343.7682215,7.26127875,2046.869995,18.79855075,-0.485932,-0.30551525,-0.450048,0.551703,0.213485,-0.2992815,-0.0120175,63.127325,4.4726,2.289,1.86137
6,6.25,-1.08572,393.02301,2.229696,6.713197,-8.855,-8.775,-7.17475,-6.1385,0.267081,0.6216825,0.5097405,0.329252,99.61569325,70.527502,5.4405,10.822325,0.132318,10.66,9.1,10.77,11.9,10.49,5.3765,13.14,9.37,4.735,3.64525,63.577501,7.91625,286.6948765,348.17931575,7.29918,2036.2950135,18.3393,-0.512377,-0.30545,-1.25829375,0.769354,0.46385375,-0.4768765,-0.25469325,103.04973775,7.5221,2.59325,2.132254
6,6.75,-2.171675,390.584991,11.986475,13.196885,-8.32,-7.8,-7.2705,-6.21525,0.2921855,0.65496825,0.57191375,0.3548125,99.61643875,65.17250275,6.17575,11.0733,0.1679515,10.59,9.19,10.695,11.76,10.49,5.371,13.0125,9.38,4.73975,3.6485,100.37500175,12.5175,287.17686675,352.91717,7.223745,2029.77499375,19.628225,-0.429446,-0.231004,-2.29127025,1.04728,0.599364,-1.046315,-0.42244625,151.75508475,11.7914,2.755,2.1758475
