DOY2,HR2,FC,H,LE,TAU,TA,RH,NETRAD,SW_IN,SW_OUT,PPFD_IN,WS,USTAR,PA,G,TS_1_1_1
1,0.25,-0.1,-29.8,-1,-0.156,-5.875,63.85,-46.325,0,0,0,1.59,0.12,96.645,-18.95,1.1
1,0.75,-0.1,-32.15,-0.9,-0.162,-6,62.5,-46.475,0,0,0,1.52,0.12,96.6325,-19.325,1.1
1,1.25,-0.1,-28.5,-0.85,-0.162,-6.45,63.55,-47.175,0,0,0,1.43,0.125,96.615,-19.45,1.1
1,1.75,-0.1,-27.7,-0.8,-0.144,-6.6,64.7,-46.05,0,0,0,1.46,0.13,96.61,-19.075,1.1
1,2.25,-0.1,-30,-0.6,-0.132,-6.575,66.5,-47.3,0,0,0,1.31,0.1525,96.5875,-19.525,1.025
1,2.75,-0.1,-30.55,-0.975,-0.12,-6.3,66.75,-49.025,0,0,0,1.28,0.115,96.58,-20.375,1.025
1,3.25,-0.1,-26.9,-0.575,-0.12,-6.5,67.275,-48.1,0,0,0,1.41,0.1275,96.5625,-19.875,1.025
1,3.75,-0.1,-29.1,-0.5,-0.144,-6.775,66.7,-48,0,0,0,1.57,0.12,96.54,-19.95,1.025
1,4.25,-0.1,-30.15,-0.6,-0.144,-7.05,66.6,-47.65,0,0,0,1.55,0.1525,96.5325,-19.825,1.025
1,4.75,-0.1,-27,-0.475,-0.156,-7.175,67.825,-46.55,0,0,0,1.44,0.1575,96.515,-19.225,1
1,5.25,-0.1,-26.4,-0.7,-0.144,-7.075,69.35,-47.6,0,0,0,1.67,0.14,96.5175,-18.875,1
1,5.75,-0.1,-29.2,-0.55,-0.144,-7.175,68.125,-46.925,0,0,0,1.3,0.13,96.525,-19,1
1,6.25,-0.1,-31.6,-0.3,-0.168,-6.85,68.1,-48.5,0,0,0,1.44,0.12,96.55,-18.95,1
1,6.75,-0.1,-28.1,-0.25,-0.189,-6.875,68.8,-48,0,0,0,1.37,0.1725,96.585,-19,1
