DOY2,HR2,FC_1_1_1,CO2_1_1_1,H_1_1_1,LE_1_1_1,H2O_1_1_1,NEE_1_1_1,RH_1_1_1,T_SONIC_1_1_1,TAU_1_1_1,USTAR_1_1_1,WS_1_1_1,PA_1_1_1,TA_1_1_1,NETRAD_1_1_1,PPFD_IN_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,TS_1_1_1,TS_1_1_2,TS_1_1_3,TS_1_1_4
1,0.25,0.60351865,400.5535,-5.47133475,0.642516525,4.79011,0.7552203,90,-0.5972,-0.021004575,0.47950415,2.595146,101.24,-3.36725,-4.04475,0,-1.401,0.513,282.3,298.2,-0.037,0.155,1.017,0.276
1,0.75,0.5504614,402.041,-4.961831,0.792001075,4.693172,0.791702375,89.6,-1.2792,-0.017975,0.4585442,2.5144645,101.22,-3.386,-3.40625,0,-1.453,0.511,284,298.5,-0.036,0.1455,1.018,0.284
1,1.25,0.6429783,403.0529,-4.9933195,0.702830475,4.86292425,0.69418975,88.9,-1.048225,-0.0215497925,0.511061775,2.7261705,101.23,-3.54275,-2.97225,0,-1.445,0.519,284.4,298,-0.039,0.168,1.021,0.284
1,1.75,0.6499235,403.96905,-5.4489565,0.6416376,4.664692,0.81232685,89.1,-1.16245,-0.01697884,0.513305725,2.683367,101.24,-3.62075,-2.58425,0,-1.356,0.524,282,297.6,-0.0245,0.1625,1.03,0.288
1,2.25,0.73365545,402.03095,-5.3732625,0.724645425,4.7142045,1.0210741,89.7,-1.3152,-0.023479065,0.4789021,2.62652,101.27,-4.082,-2.656,0,-1.419,0.502,282.7,296.6,-0.0345,0.1345,1.03075,0.28475
1,2.75,0.7124227,403.7,-5.254051,0.55005365,4.7589725,0.7904878,89.3,-1.2342,-0.023041995,0.50148895,2.72155225,101.28,-4.069,-2.50225,0,-1.512,0.516,282.3,296.4,-0.0265,0.14525,1.0205,0.28
1,3.25,0.76583165,404.58595,-4.53924425,0.53863535,4.804831,0.8082794,89.5,-1.552525,-0.0213578375,0.5318316,2.70895525,101.25,-4.031,-2.57925,0,-1.492,0.561,282.1,296.1,-0.02325,0.1305,1.03075,0.27075
1,3.75,0.57287365,404.497575,-3.97747625,0.400046625,4.862924,0.7990864,89.5,-1.4502,-0.01807067,0.515501025,2.711881,101.25,-4.238,-2.361,0,-1.469,0.556,281.7,295.3,-0.021,0.12975,1.013,0.288
1,4.25,0.73736685,404.73925,-5.4859865,0.476106525,4.8553635,0.81666245,89.5,-1.52335,-0.019184755,0.53721735,2.71192725,101.23,-4.28,-2.38125,0,-1.426,0.502,280.1,295.1,-0.02375,0.13025,1.02125,0.2955
1,4.75,0.626288325,403.65455,-5.1630685,0.5401682,4.7664335,0.7703952,89.5,-2.1897,-0.019111975,0.5230358,2.673365,101.26,-4.48125,-2.2615,0,-1.375,0.507,281.6,294.9,-0.026,0.125,1.018,0.2705
1,5.25,0.647977,403.0734,-5.3636155,0.549249775,4.70318,0.958121625,90.3,-1.9446,-0.021617165,0.53708775,2.87116575,101.29,-4.48,-2.1715,0,-1.365,0.516,279.3,294,-0.02675,0.11625,1.00975,0.27775
1,5.75,0.6904064,404.225925,-4.259365,0.5812773,4.68056825,0.840219875,89.6,-1.791,-0.02159907,0.498204675,2.7203075,101.29,-4.63,-1.4865,0,-1.332,0.561,278.6,293.7,-0.02175,0.10625,1.01875,0.2735
1,6.25,0.7069118,403.09655,-5.1354525,0.420826625,4.64642025,0.794529,89.5,-1.945,-0.022850525,0.49723805,2.618705,101.29,-4.60725,-1.4295,0,-1.292,0.559,279.3,293.1,-0.022,0.105,1.024,0.276
1,6.75,0.7842265,403.0678,-4.113546,0.5700278,4.66262,0.824109275,89.6,-2.4623,-0.01962471,0.4797174,2.610115,101.3,-4.58025,-1.2315,0,-0.731,0.66,279.6,293.3,-0.031,0.11,0.992,0.277
1,7.25,0.74357095,403.3356,-2.387314,0.71522755,4.45604525,0.799740525,88.5,-2.64104125,-0.02652436,0.52169865,2.625873,101.3,-4.726,1.91875,24.03,10.3,3.6695,280.4,294.1,-0.031,0.101,1.01025,0.2745
1,7.75,0.776297875,403.5383,2.29481525,0.87467315,4.2859975,0.673532,89,-2.8393,-0.0352003,0.5633481,2.756029,101.3,-4.608,11.7175,103.64712385,55.35,12.75,281.6,294.5,-0.028,0.09325,0.9965,0.2875
