DOY2,HR2,LE,H,CH4,FCH4,CO2,FC,WS,USTAR,PA,RH,TA,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT,T_SONIC,TS_1_1_1,TS_1_2_1
1,0.25,10.04,-1.2075,2399.9,48.71,435,6.715,1.8125,0.19,99.85,96.8,23.9,-11.615,-0.465195,1.2988825,433.204575,446.56905,28.1633925,27.36079,27.3554075
1,0.75,11.1825,-1.06,2396.2,34.0975,434.94,6.45,1.8625,0.2,99.81,96.905,23.9,-11.45,-0.4359925,1.4981925,430.221375,446.26235,28.076335,27.335515,27.3535375
1,1.25,8.07,-1.5025,2398.4,43.585,442.715,7.0425,1.8225,0.2,99.7725,97.0175,23.8025,-11.34,-0.4724625,1.516575,430.438075,445.062175,28.0113125,27.325,27.3476625
1,1.75,5.73,-0.9925,2405.7,60.16,440.7,6.6625,1.76,0.18,99.77,97.1025,23.7,-8.395,-0.325765,1.3771475,432.92995,444.6473,27.9152525,27.325,27.3472625
1,2.25,7.3725,-1.1575,2414.7,40.36,442.475,5.8675,1.68,0.1625,99.755,97.135,23.6325,-9.4025,-0.3648375,1.36278,432.069675,444.463575,27.7832825,27.317985,27.3443975
1,2.75,7.22,-0.6425,2447.805,21.545,443.2,5.2275,1.605,0.1625,99.75,97.0325,23.6,-10.385,-0.3879675,1.3809125,431.39885,444.095625,27.71929,27.305895,27.3424675
1,3.25,4.7675,-0.41,2463.56,23.63,449.49,6.12,1.605,0.14,99.73,97.0725,23.5075,-10.395,-0.4664175,1.3422275,432.309425,443.9058,27.708005,27.2826675,27.3396
1,3.75,5.9925,-1.0225,2465.0475,26.835,454.0075,6,1.66,0.15,99.7325,97.07,23.425,-9.9925,-0.530145,1.4844525,431.19185,443.4143,27.6232925,27.2072975,27.3396
1,4.25,4.295,-0.5075,2463.72,25.635,455.225,6.705,1.615,0.1625,99.7425,97.2225,23.4,-8.605,-0.38452,1.31215,433.4787,443.6986,27.5823075,27.2,27.336605
1,4.75,5.85,-0.605,2448.125,26.455,460.415,5.2575,1.6625,0.1675,99.77,97.255,23.405,-8.995,-0.29411,1.35469,433.5255,443.7695,27.4848075,27.2,27.3316125
1,5.25,9.56,-0.68,2425.875,30.08,458.845,6.735,1.65,0.18,99.78,97.2925,23.4,-6.275,-0.34152,1.33738,432.38,443.7294,27.38211,27.19021,27.33128
1,5.75,3.9575,-1.0075,2448.8,40.765,457.4425,7.77,1.66,0.19,99.82,97.3125,23.4,0.2125,0.9092225,1.5351725,433.886025,444.37975,27.3322475,27.1395575,27.327095
1,6.25,9.85,-0.225,2412.38,42.8,462.215,6.565,1.67,0.2075,99.8625,97.43,23.4075,18.9775,28.1218825,6.3151375,433.937825,444.388625,27.3560275,27.089925,27.3236325
1,6.75,33.18,0.57,2397.57,54.165,468.63,8.11,1.6775,0.23,99.9,97.715,23.83,72.865,110.125,20.44235,430.8148,446.4452,27.4877225,27.046815,27.3233
1,7.25,81.97,10.255,2393.3825,116.7625,449.79,11.21,1.845,0.27,99.9225,97.6475,24.4925,153.86,231.29645,42.6298375,431.70105,451.1389,28.12163,27.01801,27.318915
1,7.75,131.155,21.14,2338.18,110.105,431.075,5.2325,2.2225,0.34,99.95,96.9925,25.3225,251.25,347.73745,60.11845,433.663125,456.117025,28.8237425,27.040285,27.3152475
