DOY2,HR2,USTAR,TA,WS,NEE,FC,SC,H,LE,RH,PA,VPD,NETRAD,PPFD_IN,SW_IN,SW_OUT,H2O,CO2,TS_1_1_1,TS_1_2_1,CO2_SIGMA,H2O_SIGMA,T_SONIC,T_SONIC_SIGMA,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,U_SIGMA,V_SIGMA,W_SIGMA,CH4,FCH4,SCH4,SH,SLE,G_1,G_2
1,0.25,0.03011696,7.35250000000003,0.02,-0.17,-1.9774813,-0.605425,-33.0300985,-5.1311296,48.1089675,101.09635,0,-101.88,0,-1.72,0.785,7.288525,356.95415,15.05625,16.75,0.00956556704017586,1.47266357339535,9.49872343092181,0.0074425,18.844,19.6,20.578,16.426,16.60675,17.81,18.606,18.98,0.133452179138708,0.106263968626167,0.0391370255070374,1973.7389,-61.55058,-21.68561,-1.1878615,-3.14837525,-4.321575,-2.25125
1,0.75,0.0310565725,7.15082500000005,0.02,0.147125,-1.5953571,-0.822799825,-36.3858625,-7.10532525,47.0509595,101.050715,0,-102.93,0,-1.72,0.705,6.996325,354.121215,15.0125,16.74875,0.00934636079498584,1.58394887913768,9.28206250000004,0.0080695,18.846,19.574,20.544,16.312,16.45675,17.772,18.576,18.968,0.119127568833186,0.106137602031979,0.0367208604792069,1979.73765,-105.052315,-18.06366,-1.1867898,-2.8006702,-4.3211,-2.202525
1,1.25,0.026888445,6.8829,0.025625,-0.16795,-3.39409686532127,-0.6501241,-31.276507832453,-9.328175,45.4712555,101.027285,0,-102.785,0,-1.72,0.4,6.9594,357.925755,15.04,16.76125,0.00818881771283302,1.45404975799202,9.00856000000005,0.009128,18.908,19.606,20.578,16.202,16.3695,17.784,18.634,18.972,0.132451712533664,0.119194849813512,0.042316986004972,1981.33935,-85.81664,-32.23339725,-1.1119596,-2.503875,-4.328625,-2.15465
1,1.75,0.03485,6.4865,0.024875,-0.0236,-2.442443,-0.701266475,-30.70234975,-16.433327,45.3316052929194,101,0,-103.14,0,-1.72,0.7045,7.1645,357.7509375,15.02625,16.78125,0.0107153292152716,1.47338112191434,8.83214000000002,0.00593175,18.864,19.58,20.614,16.096,16.2815,17.74,18.596,18.928,0.116849032044141,0.108225927655618,0.0459140199698035,1995.9266,-114.641075,-27.209258,-1.162107,-3.751775,-4.3501,-2.105475
1,2.25,0.03159253,6.599,0.026625,-0.0292,-2.5256898,-0.876414461060674,-30.981183,-12.17796025,44.2917175669546,101,0,-102.385,0,-1.72,0.381,6.759,355.033785,14.95,16.77875,0.00871313062280515,1.61134590343322,8.74016,0.008651,18.838,19.584,20.62,15.968,16.18525,17.694,18.544,18.914,0.128206016949813,0.104742029336208,0.0409468565713685,1984.787825,-139.6806825,-59.4304055000001,-0.856391025,-2.795620225,-4.37395,-2.062175
1,2.75,0.0319,5.8993,0.024875,0.0274,-1.854502375,-1.5145,-30.94534875,-10.522819,42.19533,101,0,-103.035,0,-1.72,0.3125,6.7648,357.01499,14.8775,16.77875,0.00897704080786881,1.53177407225478,8.56703750000002,0.007699,18.858,19.57,20.638,15.864,16.12075,17.738,18.548,18.942,0.117238614453397,0.118229636382513,0.0475446828916516,2000.777,-69.981885,-37.84416,-1.03431725,-2.184166025,-4.4103,-2.03465
1,3.25,0.02662374,5.81375,0.026,-0.109,-2.554529,-0.8162,-29.2900595,-12.9946937386659,40.208795,101,0,-101.97,0,-1.72,0.3585,7.025425,358.967145,14.84125,16.78,0.00972756143596851,1.35591644978128,8.33327500000004,0.008765,18.87,19.638,20.7,15.83,16.11625,17.81,18.634,19.014,0.137422819696791,0.116908666696142,0.0434677154404668,2009.11705,-257.48392,-21.5374628931817,-1.135452975,-2.80547125,-4.453,-2.058475
1,3.75,0.029925,5.6026,0.026,-0.1536,-2.24751905,-1.17965,-28.786760468184,-13.0456226472191,39.65377,101,0,-102.795,0,-1.72,0.303,6.712,361.524875,14.70625,16.79375,0.00843106163753361,1.36247714812356,8.21578750000004,0.0068575,18.836,19.63,20.642,15.722,16.00625,17.778,18.624,18.998,0.137307935242136,0.122131873321444,0.0397976946517187,2004.452025,-171.4403275,-65.0984565,-1.20364525,-2.10106532328988,-4.49965,-2.059925
1,4.25,0.029837809,5.44625,0.026,0.11055,-3.639563,-0.820846981237829,-28.37968825,-13.97054975,36.497176,101,0,-102.965,0,-1.72,0.224,6.67319575,361.2572775,14.7075,16.815,0.0103345237271822,1.38207097146976,7.97224000000005,0.008356,18.844,19.588,20.636,15.62,16.00325,17.764,18.61,18.99,0.12660544245764,0.114263262510605,0.0451836499688173,2021.16175,-95.4896775,-43.69064075,-0.991825937492632,-2.35184875,-4.552325,-2.0525
1,4.75,0.02385,5.2,0.026,-0.37425,-3.062955925,-0.74556455,-31.518814379878,-14.0032101654314,38.905,100.95679,0,-103.285,0,-1.72,0.2,6.4627,359.8032675,14.61875,16.81375,0.00912082957911997,1.31328345389931,7.92348000000001,0.008361,18.846,19.586,20.638,15.544,15.9295,17.784,18.602,18.968,0.126332005826064,0.11230979901474,0.0472497341554555,2028.09,-82.1683,-32.036624695642,-0.9093715075,-2.103798175,-4.607,-1.95915
1,5.25,0.02826307,5.04,0.02375,-0.3323,-2.872957125,-1.00910775,-30.57935,-11.7328365,26.97745225,100.953635,0,-102.275,0,-1.72,0.5,6.1666,357.8231,14.59125,16.835,0.00897944672589728,1.1942084614018,7.59748,0.007732,18.854,19.614,20.646,15.482,15.83425,17.762,18.586,18.984,0.128730498221359,0.120985275585032,0.0433006169743635,2024.36725,-68.4266025,-42.69025325,-0.91923475,-3.3377451,-4.659925,-1.8738
1,5.75,0.023,5.11225,0.02725,-0.44375,-2.21855,-1.072666125,-33.2473775,-12.76363575,34.86375,101,0,-102.065,0,-1.72,0.5175,6.038594,356.601045,14.56875,16.86125,0.00828605578352369,1.19699785576214,7.04727750000004,0.01042,18.84,19.614,20.614,15.424,15.7425,17.738,18.524,18.954,0.131371100369892,0.103480175421714,0.043040587403273,2026.419675,-99.5894,-20.3590895,-0.9263678,-1.670905,-4.713625,-1.817625
1,6.25,0.03,4.8,0.02,-0.29605,-3.368049375,-0.82066975,-29.459,-11.37496,28.4980548729704,101,0,-102.5475,0,-1.72,0.4,5.382603,360.59522,14.51625,16.835,0.00983878988384546,1.07723367275271,6.62824000000002,0.008454,18.832,19.626,20.648,15.396,15.6925,17.764,18.546,18.954,0.123898571496493,0.123735185350092,0.0484703598624369,2030.80175,-78.875305,-35.381495,-1.0384615,-2.320018675,-4.763575,-1.749875
1,6.75,0.026,4.9,0.02,-0.2454,-2.15249835,-0.745034,-33.207984,-19.1126,26.419775,101.015555,0,-99.665,0,-1.72,0.4925,5.788955,355.836625,14.40125,16.82625,0.00955463119285238,1.10070483558319,6.41732000000003,0.00816275,18.78,19.54,20.612,15.29,15.628,17.72,18.522,18.924,0.121009801652092,0.115059776167699,0.0434287821114243,2033.4025,-52.2204775,-19.6976,-0.760129775,-1.9871,-4.8115,-1.694425
1,7.25,0.033,4.798375,0.02,-1.01825,-2.76,-1.17319475,-30.61605225,-16.02172,26.5072125,101.011305,0,-89.995,2.88,2.1,0.2,5.8815592,355.0776,14.34875,16.845,0.00847245007701685,2.04477699197975,6.3049275,0.008712,18.746,19.544,20.586,15.256,15.62075,17.638,18.502,18.924,0.132755804002153,0.121885938867559,0.0497026521301798,2043.67985,-44.0530795,-67.3271032494116,-0.979615,-2.5177952,-4.86135,-1.682175
