DOY2,HR2,FC,LE,H,SW_IN,TA,TS_1,RH,USTAR,PA,SW_OUT,NETRAD,PPFD_IN,PPFD_OUT,TS_2,WS,G_1,G_2,G_3,G_4,SG_1,SG_2,CO2,VPD,TS_3
5,19.25,-1.196489958,19.878475,-4.348184193,84.15,11.2075,0.562,26.265,0.196605,98.8,8.97,11.56,140.57925,6.62217,1.551,1.059215,1.89,9.62,1.606,4.0935,7.66945,3.7445,400.475,8.69175,6.51825
5,19.75,-0.6047520215,13.9632,-13.2408,54.4325,10.445,0.53025,27.5875,0.154345,98.8,6.24275,-8.2,98.4882,4.576365,1.5635,0.9009675,1.8935,9.715,1.612,4.236,7.4152,3.5092,400.625,7.5919,6.30225
5,20.25,-0.229672382,7.9228,-22.65961005,33.12,9.7025,0.49575,30.4075,0.11446,98.8,4.1475,-22.5,59.7026,2.5694825,1.54275,0.618539,1.8645,9.9875,1.608,4.0985,7.3100510635,3.2415,401.275,6.3285,5.94725
5,20.75,0.235857824,3.64616200225,-27.708,18.5,8.77,0.472,33.185,0.08532,98.8,2.84975,-34.76,34.218,1.428275,1.5395,0.48748,1.923,9.8,1.64,4.23225,7.238408805,3.0573,402.55,5.514175,5.61675
5,21.25,0.475456,0.95337,-28.53015,8.245,7.94475,0.436,36.05,0.06815,98.8,1.809,-41.02,15.4816,0.53092,1.549,0.4620575,1.9315,9.57,1.631,4.27025,6.9558,2.8182,404.8,4.5297,5.13125
5,21.75,0.3308701785,0.043525,-34.20825,1.4865,6.85725,0.412,39.3,0.069825,98.8,1.288,-42.21,4.971275,0.0433705,1.506,0.3779465,1.89275,9.4,1.633,4.158,6.581181848,2.4076,406.7,3.7776,4.7055
5,22.25,0.5248022055,0.25067775,-32.53182876,0,5.79625,0.366,41.9,0.05805,98.9,0.985,-43.48,1.06402,0,1.4385,0.3923975,2,9.1975,1.6525,4.2625,6.4223,1.74995,406.95,3.108125,4.13425
5,22.75,0.04825,-0.606709,-30.21702457,0,4.87675,0.335,43.72,0.057125,98.9,0.745,-41.9,0.1778575,0,1.439,0.374775,1.98125,8.8,1.66225,4.31775,6.0527,1.35903405,407.675,2.093325,3.62125
5,23.25,0.25055580825,-0.9949554385,-28.1880831275,0,4.0675,0.282,46.66,0.05025415,98.9,0.646,-42.095,0.02646445,0,1.435,0.350446,1.8635,8.325,1.69775,4.4585,5.547792503,1.2343,408.65,2.05435,3.30925
5,23.75,0.0996153775,-1.44673632175,-27.005,0,3.5325,0.268,49.46,0.048,98.9,0.58,-42.395,0.001459135,0,1.384,0.344331,2.145,7.6935,2.122,5.09575,5.7916,1.2962,410.125,1.68255,2.7315
6,0.25,-0.187612,-1.912025,-23.879475,0.1635,9.19,2.954,62.82,0.053375,98.8,0.567,-32.15,1.8375675,0,3.705,0.345715,8.97,8.54,14.06,21.74,6.394895581,12.243,405.65,1.460375,5.87175
6,0.75,0.342512832,-2.648165,-22.5801,0.0405,8.66,2.842,62.68,0.05505,98.8,0.555,-30.82,1.608795,0,3.689,0.353155,8.54,8.05,13.04,20.1625,5.8415,9.9088,405.275,1.169075,5.3395
6,1.25,-0.363836466,-2.3730524185,-22.0085,0.27875,8.09,2.736,65.64,0.0585,98.8,0.536,-29.6125,1.7969975,0,3.61,0.33619,8.07,7.535,12.24,18.7575,5.273440912,7.778,405.65,1.0587,4.88175
6,1.75,-0.6541715,-2.400945,-22.761675,0.862,7.706,2.61,66.95,0.053,98.8,0.578,-28.44,2.655315,0,3.547,0.3293845,7.756,7.006,11.47,17.36,4.8668,6.6291,407.2,0.95657,4.41925
6,2.25,-0.451773,-3.277929902,-21.66,1.8365,7.309,2.504,68.7375,0.0531,98.8,0.707,-27.1775,4.3692,0.023173475,3.50825,0.34059275,7.32475,6.66075,10.7575,16.1025,4.310875,4.79554435175,405.7,0.7938925,3.8775
6,2.75,-0.921895,-3.3808774985,-21.84455,4.10425,7.116,2.39025,70.8275,0.05535,98.9,0.8685,-25.4275,8.6007675,0.18789,3.44175,0.339081,6.9915,6.1385,10.07,14.9675,3.88051507825,2.85301601675,405.6,0.6936975,3.391
6,3.25,-0.198836,-3.0655,-17.559225,8.7575,7.17,2.2905,71.875,0.0548,98.9,1.2975,-19.78,16.91475,0.524381,3.3535,0.330965,6.672,5.7125,9.355,13.91,3.64095,1.449053214,406,0.662275,3.0125
6,3.75,-0.63454338175,-2.82814,-15.107475,16.75,7.386,2.189,71.795,0.050192925,98.9,1.9505,-12.1125,31.972075,1.087525,3.246,0.35068,6.3115,5.3605,8.75,13.125,3.3652,0.1348498665,405.7,0.729895,2.7425
