DOY2,HR2,NEE,FC,LE,H,USTAR,SC,CO2_1_1_1,CO2_1_2_1,H2O,NETRAD,PPFD_IN,PPFD_OUT,PPFD_BC_IN,SW_IN,SW_OUT,LW_IN,LW_OUT,TA,RH,WS,PA,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,G_1_1_1,G_2_1_1,G_3_1_1,G_4_1_1,W_SIGMA,V_SIGMA
1,0.25,-0.06875,-0.024,-0.29475,-39.07825,0.273,-0.33575,387.396,366.9,2.038,-57.85325,0,0,-0.009,-2.8985,0.1545,240.255,274.777,-8.52,66.95,2.41325,100.7,-0.028,0.37,0.675,1.111,2.188,4.093,-0.173,0.02,0.365,0.964,2.096,3.761,-5.796,-5.292,-5.67,-7.056,0.36865,0.61215
1,0.75,0.0935,0.07,-0.319,-36.4475,0.295,-0.30125,387.7105,366.85,2.006,-60.441,0,0,-0.009,-3.07375,0.21075,240.47975,275.1405,-8.24,66.98,2.42625,100.65,-0.0365,0.3815,0.6825,1.1055,2.2015,4.091,-0.1665,0.017,0.3575,0.9615,2.1135,3.7835,-5.88,-5.271,-5.67,-7.119,0.38295,0.61995
1,1.25,0.20725,0.10075,-0.352,-31.293,0.274,-0.222,387.1635,367.1,2.08225,-65.07675,0,0,-0.009,-3.24725,0.18925,237.731,276.019,-8.037,67.96,2.55375,100.65,-0.0245,0.3685,0.6795,1.1105,2.1925,4.0935,-0.1725,0.02,0.364,0.961,2.117,3.7865,-5.922,-5.418,-5.691,-7.119,0.37115,0.59915
1,1.75,0.1325,0.0475,-0.508,-36.951,0.265,-0.275,386.3995,367.425,2.07025,-66.35825,0,0,-0.009,-3.201,0.2055,238.447,275.802,-7.98175,68.045,2.54475,100.625,-0.03175,0.37825,0.6855,1.0975,2.2025,4.0865,-0.19525,0.009,0.36075,0.96225,2.116,3.7785,-6.006,-5.376,-5.628,-7.266,0.3758,0.64045
1,2.25,0.163,0.12625,-0.406,-36.139,0.268,-0.287,386.6055,367.3,2.076,-55.384,0,0,-0.009,-2.98225,0.2235,243.89275,275.7435,-7.8735,69.835,2.481,100.75,-0.0365,0.3775,0.6765,1.1055,2.19,4.0985,-0.213,0.0235,0.352,0.9585,2.1145,3.7985,-6.069,-5.565,-5.691,-7.287,0.39385,0.66855
1,2.75,0.103,0.02625,-0.521,-37.323,0.33075,-0.18,386.906,367.3,1.99325,-63.681,0,0,-0.009,-3.2435,0.19975,240.801,275.93,-8.0725,70.9375,2.66975,100.75,-0.0445,0.379,0.6815,1.101,2.1945,4.1005,-0.2065,0.0145,0.363,0.963,2.117,3.786,-6.1215,-5.586,-5.67,-7.287,0.41655,0.68225
1,3.25,0.20575,0.085,-0.448,-36.598,0.339,-0.1545,386.859,367.5,2.045,-65.874,0,0,-0.009,-3.323,0.2195,235.681,275.71,-8.2325,71.395,2.63625,100.65,-0.047,0.384,0.6785,1.106,2.1985,4.0955,-0.22,0.017,0.3615,0.9645,2.1185,3.78,-6.1635,-5.6175,-5.7435,-7.2555,0.42555,0.69875
1,3.75,0.1065,0.04625,-0.241,-33.049,0.30225,-0.2285,386.957,367.5,2.042,-66.49925,0,0,-0.009,-3.2395,0.23025,236.5695,275.723,-8.25,70.795,2.563,100.6,-0.048,0.373,0.6795,1.1075,2.1945,4.099,-0.2275,-0.007,0.3655,0.9615,2.1175,3.7895,-6.3,-5.6175,-5.754,-7.2555,0.43235,0.65565
1,4.25,0.1585,0.1305,-0.36875,-37.455,0.312,-0.165,386.7055,367.7,2.01225,-62.40975,0,0,-0.009,-3.155,0.229,235.8645,276.124,-8.46,70.005,2.58975,100.6,-0.061,0.3695,0.681,1.1075,2.1995,4.095,-0.2345,0.0075,0.3595,0.963,2.123,3.7855,-6.3105,-5.5755,-5.796,-7.2135,0.4457,0.67245
1,4.75,0.23975,0.109,-0.31,-37.8775,0.303,-0.205,386.941,367.9,2.00125,-62.365,0,0,-0.00675,-3.194,0.2225,230.4295,276.0245,-8.6,69.855,2.5525,100.6,-0.0475,0.3775,0.6805,1.101,2.202,4.1045,-0.2595,0.011,0.368,0.9635,2.115,3.768,-6.237,-5.5335,-5.796,-7.182,0.3694,0.6207
