DOY2,HR2,CO2_1_1_2,H2O_1_1_2,CO2_1_1_3,H2O_1_1_3,CH4_1_1_1,CO2_1_2_2,H2O_1_2_2,CO2_1_2_3,H2O_1_2_3,CH4_1_2_1,CO2_1_3_2,H2O_1_3_2,CO2_1_3_3,H2O_1_3_3,CH4_1_3_1,CO2_1_4_2,H2O_1_4_2,CO2_1_4_3,H2O_1_4_3,CH4_1_4_1,CO2_1_5_2,H2O_1_5_2,CO2_1_5_3,H2O_1_5_3,CH4_1_5_1,CO2_1_6_2,H2O_1_6_2,CO2_1_6_3,H2O_1_6_3,CH4_1_6_1,WS_1_1_1,T_SONIC,T_SONIC_SIGMA,CO2_1_1_1,H2O_1_1_1,FC,SC,NEE,LE,SLE,USTAR,H,SH,V_SIGMA,WS_1_2_1,WS_1_3_1,WS_1_4_1,WS_1_5_1,WS_1_6_1,TA_1_1_1,TA_1_1_2,TA_1_2_1,TA_1_3_1,TA_1_4_1,TA_1_5_1,TA_1_6_1,PA,RH,VPD,T_CANOPY_1_1_1,T_CANOPY_1_2_1,T_CANOPY_1_3_1,T_CANOPY_1_4_1,T_CANOPY_2_4_1,SW_DIF,SW_IN_1_1_1,SW_IN_1_1_2,SW_IN_1_1_3,SW_OUT,LW_IN,LW_OUT,NETRAD,LW_BC_IN,LW_BC_OUT,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,PPFD_IN_1_5_1,PPFD_IN_1_6_1,PPFD_OUT,PPFD_BC_IN_1_1_1,PPFD_BC_IN_2_1_1,PPFD_BC_IN_3_1_1,G_1_1_1,G_2_1_1,G_3_1_1
1,0.25,406.6569,1.724,403.9835,1.58075,1848.054,407.3632,1.75795,404.585525,2.1622,1840.3343,407.759875,2.196375,403.699,3.35095,1835.232275,408.9452,3.21,409.552625,4.353375,1806.385625,411.9687,6.472,408.323625,5.37025,1752.603675,413.7543,8.276,409.05035,7.97925,1718.13185,0.91375,9.79765,0.1723,404.00545,0.8462,0.0403,-1.9445,-0.718975,-40.8509,-39.07835,0.08055,-136.7893,-22.0403,0.2879,0.51925,0.363,0.23,0.21975,0.17975,8.690575,8.8512,8.551125,8.416225,6.5855,5.263575,4.97135,83.016675,5.84225,0.1736,7.42675,6.767,6.42825,7.596,8.412,0,-8.162,0.2,-2.89275,-0.9605,245.77,357.9775,-130.6975,348.18,354.77,-0.83,-0.17,-0.2,-0.03,0.01,0.02,-0.06525,-0.04175,-0.93,0.36,-4.25615,-6.14385,-8.3782
1,0.75,406.3947,1.710575,401.9358,1.75395,1845.0549,407.225625,1.823625,402.682125,1.383625,1837.93625,408.137625,2.274425,403.53275,1.86725,1837.517275,408.925,3.175675,408.581875,4.5446,1819.7679,411.783875,6.239475,410.09175,6.1485,1761.5942,415.0016,8.04,410.943,7.988875,1704.846875,0.9188,9.7184,0.1078,403.6721,0.548,-1.1839,-2.2289,-0.841875,-57.32025,-67.457525,0.0799,-153.992325,-33.8502,0.3299,0.549,0.32625,0.229,0.1995,0.17975,8.301325,8.8483,8.3424,7.813375,5.9925,5.0107,4.73985,83.006025,5.57,0.1547,7.3055,6.85175,6.03975,7.40975,8.1575,0,-7.862,0.295,-2.752,-1.2755,247.0825,356.7775,-125.633,347.74,354,-0.83,-0.17,-0.21,-0.03,0.01,0.02,-0.07525,-0.04,-0.93,0.36,-4.9788,-6.319,-7.8306
1,1.25,406.763625,1.682775,403.3055,2.8357,1831.6266,406.73165,1.7955,403.365,3.244775,1838.5342,407.8588,2.35035,403.7039,3.5255,1835.469725,409.00525,3.12335,405.5172,4.8838,1812.8099,410.7701,6.362575,409.045675,5.691,1761.30625,413.928575,8.1969,411.7099,7.921,1723.17,0.720775,9.668775,0.1377,403.157575,1.2455,-0.014875,-3.1968,-1.5664,-104.9857,-27.06935,0.06875,-130.8834,-12.283625,0.250725,0.49,0.335,0.20975,0.20925,0.15975,8.370975,8.5197,8.221,7.712525,5.728475,4.84385,4.596725,82.994475,6.2145,0.1068,7.1875,6.52725,6.1575,7.3395,7.9795,0,-7.764,0.2,-2.59525,-1.13575,246.16,356.8775,-124.952,347.42,353.175,-0.82025,-0.17,-0.2,-0.03,0.02,0.02975,-0.08,-0.03,-0.93,0.36,-5.2622,-6.86785,-9.0542
1,1.75,406.88775,2.187725,403.4174,1.502,1839.06905,407.045175,2.507025,403.5562,1.3968,1843.9215,407.842,2.658,403.7215,1.81555,1832.75,408.93065,3.897775,405.686,5.105525,1815.00225,411.4065,6.29,410.978925,5.97625,1747.8781,414.431,8.418725,412.213975,7.79695,1725.817,0.79775,9.86575,0.11975,403.69635,0.95855,-0.6035,-2.3612,0.03915,-55.00885,-30.0254,0.08025,-144.39355,-16.965375,0.3125,0.48925,0.28525,0.17,0.19,0.16,8.721775,8.9684,8.3913,7.7452,5.5025,4.66035,4.351425,82.97135,7.085,0.13075,6.69625,6.20575,5.95525,7.04925,7.947,0,-7.77,0.1,-2.61825,-1.4765,245.4425,355.985,-126.54925,342.695,352.855,-0.82025,-0.17,-0.2,-0.03,0.02,0.02975,-0.07,-0.047,-0.93,0.35525,-5.653575,-7.07125,-9.8726
1,2.25,407.1068,2.897,403.288325,3.2863,1835.43715,407.40425,2.789775,403.813425,3.3212,1837.90505,408.007,3.537675,403.9745,3.5652,1835.3905,409.2391,5.404,405.533125,5.1867,1804.53075,411.26875,6.850175,408.638125,5.542,1759.2581,413.95625,8.99695,410.0404,8.1652,1719.89665,1.072,9.939,0.138,403.4629,1.23135,-1.421,-1.8079,-1.007175,-137.75915,-36.401,0.087,-142.436,-13.7546,0.329,0.629,0.45,0.2295,0.1995,0.1795,8.55855,8.689,8.29815,7.6392,5.4882,4.6749,4.228825,82.9475,6.62225,-0.0401,6.667,6.186,5.7395,6.8795,7.65725,0,-7.415,0.1,-2.527,-1.635,245.4,354.955,-126.322,342.31,351.8775,-0.82,-0.17,-0.1905,-0.03,0.0195,0.03,-0.07,-0.03,-0.93,0.36,-5.9605,-7.539425,-10.205
1,2.75,406.2456,1.619975,403.288575,1.3481,1841.027,406.4147,1.83455,402.1413,1.353,1843.135625,407.486125,2.16265,403.543,1.8002,1828.4975,408.96075,2.964825,406.16675,5.08745,1820.2897,411.6069,5.961775,408.1859,5.6763,1754.1015,415.2739,8.23515,410.6216,7.5578,1730.06505,0.96145,9.387475,0.120125,403.67855,1.17215,0.059675,-2.274,-0.146,-104.3326,-23.4305,0.076025,-121.341225,-12.2423,0.29825,0.564,0.37,0.2185,0.22,0.19925,8.50855,8.62775,8.1249,7.37425,5.15805,4.48765,4.23735,82.9306,5.50475,0.2066,6.518,6.15775,5.73925,6.997,7.745,0,-7.2725,0.3,-2.6225,-1.244,244.4475,353.025,-126.273,343.99,352.08,-0.82,-0.17,-0.2,-0.03,0.01,0.03,-0.0755,-0.04,-0.93825,0.36,-6.2558,-8.27925,-10.50485
1,3.25,405.99755,1.5631,403.8855,2.6381,1839.7567,406.27625,1.69,404.411,3.1805,1847.760875,407.98925,2.176675,403.866,3.392,1845.86615,409.2355,3.143475,405.5875,4.65525,1827.25085,410.865775,5.86485,408.3688,5.8532,1751.8194,414.9917,8.097425,413.0372,7.88125,1683.9994,0.88555,9.599675,0.13015,402.87495,1.718225,-0.538475,-2.16025,-1.01785,-88.05155,-24.896125,0.07205,-147.6155,-17.8696,0.2911,0.58475,0.3715,0.23,0.2585,0.19775,8.6129,8.73305,8.3369,7.154775,5.3132,4.3967,4.331775,82.9242,5.836,0.15835,6.528,6.086,5.09325,6.78725,7.388,0,-7.526,0.3,-2.78125,-1.40075,244.25,354.035,-127.402,343.35,350.65,-0.82,-0.17,-0.2,-0.03,0.01,0.03,-0.071,-0.0535,-0.93825,0.36,-6.2708,-7.6686,-10.75585
1,3.75,405.677625,3.06805,404.538125,1.98465,1840.2908,406.3769,3.319875,404.915,1.874125,1838.6837,407.3827,3.868975,405.6809,2.2004,1841.6375,409.39005,4.462,407.8959,7.44215,1824.907,411.18445,6.843725,412.221725,6.042875,1715.5081,414.43955,8.6599,411.835,7.842,1715.9235,1.12705,9.209175,0.137675,402.2635,1.693,-0.3995,-1.6205,-0.01025,-55.474875,-20.877,0.06915,-176.1552,-15.493675,0.306425,0.5485,0.39,0.2185,0.21925,0.18925,8.5951,8.61225,8.2303,7.17445,5.27,4.20415,4.227625,82.9294,5.915,0.1955,6.7955,5.98825,4.95925,6.59425,7.3,0,-7.534,0.195,-2.7425,-0.90475,242.51,353.7625,-125.84,341.46,349.53,-0.82075,-0.17,-0.2,-0.03,0.01925,0.03,-0.06,-0.0445,-0.94,0.365,-6.01235,-7.75055,-10.0189
1,4.25,406.1539,3.17705,403.25025,2.79555,1840.36325,406.5514,3.28995,403.6041,3.2605,1846.92375,407.2964,3.548,405.03495,3.5278,1842.987875,409.50825,4.531,406.17965,6.79845,1823.1005,412.41105,6.68455,409.65545,5.45115,1745.8361,415.2962,8.380925,412.9158,7.9062,1715.74,0.754925,9.18035,0.10945,402.8745,1.391,-0.8226,-1.25975,-1.4984,-72.6906,-31.303,0.06535,-135.884525,-26.51215,0.2773,0.48775,0.355,0.2285,0.2485,0.17,8.52395,8.57235,8.1098,7.3772,5.336,4.283,4.196775,82.9402,6.44,0.227425,7.10875,6.0505,5.09725,6.6355,7.356,0,-7.3955,0.2,-2.72225,-1.0415,247.8125,354.27,-122.447,342.67,348.79,-0.82,-0.17,-0.2,-0.03,0.01,0.03,-0.0655,-0.04,-0.93825,0.36,-7.32585,-9.40625,-11.8489
1,4.75,405.89,2.26975,402.25925,2.1628,1843.68125,406.541275,1.8383,402.471675,1.91135,1842.295675,407.27245,3.818,402.122925,2.892775,1839.07605,408.534325,4.1307,405.928875,5.3935,1809.939125,410.132,7.474525,408.6695,7.2885,1761.403325,415.512,8.71305,412.795825,7.5265,1734.343125,0.7572,8.0641,0.1114,402.6501,1.44365,-0.4676,-1.92695,-0.466925,-33.9765,-28.14595,0.0702,-151.5022,-21.0895,0.308125,0.478,0.395,0.2585,0.24,0.1885,7.7878,7.72125,7.504,6.703325,5.3652,4.44535,4.4542,82.952275,7.885,0.15645,7.04,6.145,5.293,6.947,7.5685,0,-7.569,0.3,-2.5275,-0.9045,248.23,353.75,-124.4745,343.925,349.8875,-0.8205,-0.17,-0.2,-0.03,0.01,0.02,-0.06525,-0.04,-0.94,0.36,-6.469,-8.562875,-11.4169
