DOY2,HR2,LE,H,FC,USTAR,TA,WS,CO2,VPD,H2O,RH,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT,G,APAR
1,0.25,5.79691,-26.5565,-0.1612675,0.455768,-6.8574495,2.58596,416.781,0.5779743,3.916975,79.9669,-12.422185,-1.177052,0.70644285,272.8116,283.6684,-4.2175,1.296401e-07
1,0.75,5.89566,-31.2236,-0.322868,0.406841,-6.426,2.34321,416.265,0.5901281,3.810275,80.7779,-13.19549,-1.361947,0.7673924,272.754,286.4817,-3.956,1.490116e-09
1,1.25,4.92986,-30.5889,0.0721029,0.409681,-6.7265995,2.59686,416.8375,0.58422555,3.72117,79.574795,-14.48064,-1.5777955,0.76610275,269.35925,284.9016,-4.084,2.5331975e-07
1,1.75,5.50204,-26.3379,0.218247,0.3907575,-6.6961,2.544055,416.6455,0.5793468,3.64467,80.78219,-15.93715,-1.396748,0.8784475,274.3357,286.006,-4.1635,3.874302e-08
1,2.25,4.477455,-31.86975,-0.047575,0.394122,-7.1829495,2.58194,416.957,0.5720679,3.813745,80.24405,-14.72031,-1.536052,0.7395813,271.16595,282.04625,-4.164,3.427267e-07
1,2.75,3.79818,-34.2452,-0.57948,0.368052,-6.695475,2.44161,416.713,0.5609793,3.75361,81.04369,-17.76442,-1.580192,0.8607525,271.7789,285.3743,-4.1465,4.962087e-07
1,3.25,3.83535,-29.63,-0.38386,0.34482,-7.4155495,2.16719,416.9925,0.5186273,3.92856,80.318245,-17.150535,-1.670169,0.7834395,267.77795,280.7933,-4.1845,0.041511455
1,3.75,3.05804,-27.7183,-0.3857675,0.365654,-6.955199,2.35148,417.1795,0.5363445,3.71635,82.2308,-13.97723,-1.494663,0.812763,270.1808,283.9088,-4.193,0
1,4.25,4.259225,-40.8423,-0.277383,0.427479,-7.425299,2.58533,417.236,0.50590275,3.59723,80.823245,-12.042645,-1.449705,0.80277775,268.34435,281.7926,-4.184,1.5944245e-07
1,4.75,3.20095,-29.9115,-0.181708,0.4170045,-7.002,2.471495,415.972,0.5100784,3.84949,81.98009,-11.50715,-1.240056,0.7817527,272.0659,282.6205,-4.19,0.04151591
1,5.25,5.50727,-29.4081,-0.458712,0.3787865,-7.8576,2.401485,416.642,0.4876947,3.753635,81.67805,-11.895105,-1.3835985,0.71118855,269.32985,279.42145,-4.177,0
1,5.75,5.48984,-28.9971,-0.150108,0.356016,-7.124,2.473345,416.018,0.4933314,3.75386,82.5123,-12.11,-1.337027,0.7342169,269.8571,281.4079,-4.177,2.205372e-07
1,6.25,5.005695,-26.66905,-0.427638,0.377907,-7.90435,2.20701,416.56,0.4887712,3.70412,81.2713,-14.349705,-1.45489,0.79445805,268.67765,279.65045,-4.306,1.579523e-07
1,6.75,4.3638,-32.2833,-0.304463,0.3728665,-7.3119,2.320995,416.411,0.5005779,3.80719,82.76534,-10.23099,-0.8949345,0.9744737,271.158,281.3981,-4.0275,0.64392905
1,7.25,4.964985,-36.3204,-0.162327,0.386611,-7.57145,2.36572,416.584,0.5343848,3.75656,80.9638,-6.227133,6.6010455,2.893268,268.33225,280.64575,-4.1265,16.029845
1,7.75,7.43777,-31.863,-0.2852155,0.360015,-6.704099,2.44408,416.665,0.5600244,3.685145,82.1887,6.532974,26.13342,7.13745,274.5947,283.0717,-4.1645,59.959215
1,8.25,5.57658,-12.3271,-0.708976,0.441018,-6.7593,2.10526,415.273,0.64003275,3.64291,78.076995,37.030745,71.878765,14.75556,272.85785,284.86875,-4.183,130.7114
1,8.75,8.413965,3.64981,-0.5661665,0.407737,-5.9295,1.70422,416.072,0.7189247,3.88074,76.8643,55.86075,93.92846,19.73581,275.8862,288.3264,-4.15375,200.8276
1,9.25,10.0142,22.12715,-1.6221,0.382673,-5.9800995,1.44351,415.0945,0.79162615,3.98795,74.28485,95.41442,135.5771,29.08734,275.8913,289.36765,-4.1475,267.04925
1,9.75,12.198,30.8736,-2.26618,0.4869015,-5.4502,1.691485,414.6425,0.8398519,3.90055,75.74059,119.1124,171.6824,37.39869,277.5872,293.5408,-4.1585,322.68865
1,10.25,14.51255,46.52825,-1.76553,0.535711,-5.4181,2.02375,415.151,0.876859,3.81923,73.70645,133.02305,199.92505,39.65644,277.50735,293.0381,-4.16225,348.49175
1,10.75,14.6324,57.52725,-1.677875,0.5040145,-4.4119,1.903165,415.183,0.9726413,3.90287,71.606,173.0443,238.3607,46.69212,278.1492,297.0784,-4.15775,479.64515
1,11.25,16.6351,66.9135,-1.06903,0.550559,-4.7778,2.00871,414.2085,1.0382925,3.846685,69.804345,190.2611,265.4076,50.37403,277.14605,296.943,-4.1745,475.6086
