DOY2,HR2,USTAR,TA_1,WS,FC,H,LE,G_1_2_1,RH_1,PA,VPD,NETRAD,PPFD_IN,H2O_1
1,0.25,0.266,6.35325,1.8605,1.13025,-0.854,3.4155,-3.43,91.94275,87.2085,6.31,-8.453,0.005,6.92275
1,0.75,0.267,6.403,1.92625,1.174,-2.2555,3.442,-3.483,92.56225,87.2,6.175,-6.9745,0.0255,6.93125
1,1.25,0.27175,6.419,1.8655,1.044,-1.6665,3.0225,-3.55225,90.76575,87.195,6.12,-6.544,0.014,6.89825
1,1.75,0.2645,6.17275,1.9885,1.319,-2.7625,2.5935,-3.56325,90.942,87.183,6.13,-8.6325,0.00675,6.90575
1,2.25,0.268,6.21625,1.91375,1.187,-2.96925,2.546,-3.5525,90.32275,87.1875,6.3075,-7.938,0.0105,6.9775
1,2.75,0.284,6.076,1.882,1.33225,-3.1795,2.6805,-3.49675,90.537,87.193,6.2975,-7.436,0.0035,6.87925
1,3.25,0.307,6.2045,1.9315,1.316,-3.81775,2.5465,-3.5465,90.29325,87.182,6.435,-7.2605,0.002,6.877
1,3.75,0.269,5.9995,1.91375,1.172,-2.843,3.085,-3.5585,91.2325,87.166,6.25,-8.393,0.00825,6.93225
1,4.25,0.281,6.1065,1.9845,1.0715,-3.255,2.3845,-3.6105,91.0985,87.1575,6.22,-8.025,0.0295,6.878
1,4.75,0.2845,6.15,1.9965,1.25325,-2.11475,2.8515,-3.6015,91.14775,87.148,6.165,-5.97,0.01125,6.803
1,5.25,0.266,5.9055,1.8745,1.00275,-3.154,2.87725,-3.59725,92.705,87.143,6.13,-5.592,0.01575,6.7225
1,5.75,0.264,5.9095,1.90625,1.03775,-1.1005,3.49275,-3.60925,92.8685,87.153,6.2375,-7.9285,0.0235,6.7075
1,6.25,0.26225,5.81525,1.9605,0.969,-3.1865,2.959,-3.6015,92.87,87.1745,6.25,-6.8845,0.04475,6.75225
1,6.75,0.25575,5.771,1.85575,1.142,-1.733,2.933,-3.602,92.39875,87.176,6.13,-5.841,0.248,6.75225
1,7.25,0.288,5.70375,1.891,1.192,-2.473,2.916,-3.62125,92.05325,87.1855,6.17,-4.397,11.59525,6.6565
1,7.75,0.277,5.88175,1.9265,0.90425,-3.218,3.92575,-3.63775,92.1095,87.1855,6.185,2.116,68.2065,6.6255
1,8.25,0.28875,6.5015,1.90075,0.562,-4.25925,8.4215,-3.65625,90.34925,87.225,6.61,29.9875,260.7725,6.757
1,8.75,0.3305,7.26425,1.89,0.45575,0.39,21.0465,-3.65475,89.06475,87.2515,6.82,76.184,433.45,6.83925
1,9.25,0.369,8.001,2.1535,0.513,17.9815,44.658,-3.6385,88.0235,87.2635,7.29,134.455,589.9675,7.07575
1,9.75,0.4065,9.16475,2.036,-0.49575,58.1405,67.4905,-3.57725,84.95125,87.286,8.0725,187.925,731.405,7.19275
1,10.25,0.43375,10.167,2.3385,-1.168,95.956,78.036,-3.548,82.444,87.29575,8.76,235.9925,848.19,7.131
1,10.75,0.463,10.5665,2.552,-1.88325,117.90475,80.38,-3.4655,81.4645,87.2875,8.99,272.3,943.58,7.1905
1,11.25,0.487,11.1105,2.527,-2.05125,130.52275,79.05525,-3.406,79.6105,87.26275,9.49,297.0325,1005.85,7.2575
1,11.75,0.46625,11.1845,2.598,-2.20675,141.207,83.935,-3.241,77.1295,87.22225,9.4625,309.835,1036,7.319
1,12.25,0.494,11.52475,2.618,-2.9185,155.80875,87.1205,-3.00775,81.004,87.1955,9.535,319.84,1043.8,7.3445
1,12.75,0.489,11.385,2.528,-2.565,162.65925,87.9105,-2.84175,82.38775,87.177,9.47,310.53,1015.775,7.51725
1,13.25,0.49625,11.214,2.5655,-2.72325,157.613,85.2835,-2.29775,83.79225,87.164,9.3475,294.18,963.36,7.77175
1,13.75,0.5,11.511,2.55275,-2.61225,134.254,77.09175,-0.648,82.716,87.153,9.17,266.5075,893.4825,7.903
1,14.25,0.4745,11.258,2.54975,-2.057,111.61525,70.92,-0.4375,84.724,87.1345,8.975,221.865,762.7975,8.1555
1,14.75,0.43975,11.0245,2.363,-1.4865,94.113,56.588,0.2945,84.657,87.1405,8.73,177.205,632.725,8.36975
1,15.25,0.4195,10.903,2.2045,-1.11975,67.843,48.043,0.6885,82.626,87.14775,8.025,119.005,481.595,8.355
1,15.75,0.36,10.311,2.05225,-0.437,31.364,32.8535,0.712,85.624,87.1595,7.5325,56.5345,330.25,8.518
1,16.25,0.319,9.53625,1.927,0.03975,4.2155,18.0525,0.8835,88.48725,87.155,6.8975,11.685,176.3125,8.66175
1,16.75,0.265,8.6185,1.7695,0.4925,-0.06225,6.8015,1.021,91.4145,87.1545,6.195,-3.7585,51.97725,8.692
1,17.25,0.23325,8.045,1.66275,0.734,-1.11125,1.7205,0.78225,92.40225,87.15525,5.2,-12.537,6.5225,8.598
1,17.75,0.246,7.3335,1.7405,0.7995,-0.203,1.73425,0.4815,92.99525,87.177,5.135,-11.045,0.09,8.3685
1,18.25,0.251,6.912,1.69375,1.188,-0.50975,2.04825,-0.01575,93.49075,87.1735,4.8625,-10.857,0,8.2505
1,18.75,0.25575,6.94675,1.74625,1.281,-0.932,2.38,-0.65525,93.924,87.1745,4.84,-12.986,0,8.16525
1,19.25,0.26325,6.7995,1.765,1.2635,-0.8135,2.206,-1.65225,93.997,87.1895,5.13,-13.4645,0,7.9615
1,19.75,0.2235,6.693,1.63825,1.312,-1.374,1.925,-2.5865,93.8435,87.20375,5.15,-13.895,0,7.806
1,20.25,0.201,6.63425,1.727,1.074,-0.92775,2.2935,-2.9475,93.9245,87.201,5.11,-10.2195,0,7.63875
1,20.75,0.242,6.5685,1.674,1.0805,-1.02825,2.87275,-2.97825,93.8095,87.2005,5.2125,-11.815,0,7.54375
1,21.25,0.243,6.377,1.912,1.1,-1.153,2.123,-3.0615,92.94975,87.2175,5.4425,-13.0225,0,7.412
1,21.75,0.25,6.64225,1.898,1.0825,-2.12475,2.8995,-3.1265,93.048,87.221,5.7875,-11.487,0.003,7.43
1,22.25,0.2505,6.4265,1.704,1.168,-1.524,3.29,-3.191,92.55075,87.2325,5.645,-11.36,0.002,7.2205
1,22.75,0.2265,6.3255,1.769,1.053,-0.83475,2.793,-3.24325,92.37425,87.2465,5.7975,-12.171,0.0295,6.99625
1,23.25,0.233,6.444,1.8325,1.028,-1.7245,3.186,-3.31,91.695,87.2505,5.96,-11.2415,0.00925,7.02125
1,23.75,0.248,6.4165,1.89875,1.08325,-1.0475,2.6455,-3.3465,91.91525,87.22,5.9725,-8.6705,0.00775,6.9075
2,0.25,0.284,5.32275,2.05475,1.546,-2.8615,2.8315,-2.65775,94.7805,87.004,5.275,-4.536,0.0105,7.53425
2,0.75,0.277,5.402,2.13975,1.426,-1.802,2.157,-2.7415,95.15325,87.004,5.3025,-4.2475,0.0145,7.53625
2,1.25,0.301,5.05025,2.2205,1.37325,-1.6935,2.2285,-2.77375,94.9685,87.001,5.325,-3.9655,0.0275,7.48325
2,1.75,0.3075,5.03375,2.172,1.352,-1.678,3.097,-2.801,94.85025,86.98,5.2275,-4.01425,0.0155,7.3865
2,2.25,0.32225,5.084,2.15375,1.415,-1.909,3.085,-2.801,95.033,86.983,5.18,-4.54975,0.042,7.2845
2,2.75,0.326,4.83375,2.1315,1.304,-2.92725,2.7035,-2.807,94.2505,86.983,5.1175,-4.16075,0.0135,7.22
2,3.25,0.293,4.85125,2.11025,1.312,-3.3125,2.8355,-2.809,93.759,86.967,5.095,-4.3995,0.0215,7.16825
2,3.75,0.336,4.8105,2.16475,1.4335,-2.938,3.08975,-2.82525,93.9125,86.95,5.0575,-4.7695,0.0235,7.138
2,4.25,0.317,4.849,2.096,1.406,-3.51,3.093,-2.814,94.105,86.948,5.185,-4.249,0.032,7.113
2,4.75,0.304,4.937,2,1.366,-2.3505,3.724,-2.811,93.556,86.9485,5.14,-4.016,0.03425,7.054
2,5.25,0.29075,4.998,1.96,1.40675,-3.974,3.311,-2.8395,93.559,86.95375,5.425,-4.362,0.011,7.058
2,5.75,0.28025,5.229,1.981,1.347,-5.043,2.915,-2.835,93.391,86.9665,5.3575,-4.805,0.02575,7.066
2,6.25,0.278,5.161,2.08,1.395,-2.95575,3.375,-2.831,92.917,86.97325,5.43,-4.102,0.19,6.969
2,6.75,0.291,4.66,1.989,1.505,-3.606,3.1555,-2.829,92.898,86.976,5.365,-3.931,6.9135,6.94
2,7.25,0.3015,4.76475,1.99825,1.336,-1.8925,4.367,-2.84125,92.22175,86.99325,5.63,1.971,58.5625,6.9175
2,7.75,0.334,5.189,2.175,0.793,-5.099,6.982,-2.847,92.1285,87.0015,5.845,31.638,230.545,6.9835
2,8.25,0.347,5.85325,2.163,0.795,-0.0775,20.195,-2.85825,91.231,87.02325,6.335,86.338,425.55,7.119
2,8.75,0.4035,6.761,2.152,0.2755,32.945,45.373,-2.811,90.246,87.0415,6.95,152.35,607.965,7.322
2,9.25,0.4405,8.07,2.388,-0.7625,69.49,64.163,-2.76575,88.482,87.05475,7.81,202.92,782.925,7.4055
