DOY2,HR2,G_1_1_1,G_1_2_1,H,WS,USTAR,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC,T_SONIC_SIGMA,TAU,RH,TA,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT,PPFD_IN,PPFD_OUT
9,14.25,29.91,17.05,193.4940308,4.363146694,0.468649305,1.41292403775,1.51170417925,0.56970361655,20.3342616,1.09585697115,-0.07845,55.18,18.94,12.3,14.05,11.89,31.14,419.825,772.3,155.175,316.4,474.5,1329,153.6
9,14.75,28.24,17.52,179.8391165,4.164548414,0.4537093425,1.4531955113,1.4917117632,0.5477912216,19.87847285,1.0207173071,-0.04745,57.85,19.06,12.4,14.34,11.86,30.43,382.55,697.3,146.15,316.9,466.5,1200,145
9,15.25,26.09,17.55,148.7600834,4.276211045,0.4548286175,1.4807837966,1.548698946,0.5635033309,19.5249283,0.8987547261,-0.05675,58.68,19.31,12.47,14.73,11.83,28.58,330.85,623.6,138.225,317.5,457.3,1078,133.3
9,15.75,24.23,16.65,114.2288769,4.002103757,0.441119911,1.3504981618,1.5691100701,0.5370880254,19.6022569,0.7369018008,-0.0555,59.67,19.11,12.61,15.05,11.83,26.25,249.8,499.4,124.7,321,440.7,865,115.6
9,16.25,22.19,15.87,82.90019276,3.834777292,0.417450326,1.3443887403,1.3813306056,0.4963761709,19.1954008,0.5979421151,-0.0466,59.92,18.66,12.7,15.34,11.81,24.05,186.6,423.4,109.4,317.8,429.4,742.8,101.3
9,16.75,19.01,14.97,51.55796982,3.858860118,0.413680535,1.2835496118,1.2826580526,0.5162996281,19.3009329,0.4849244292,-0.035,63.3,18.88,12.8,15.51,11.79,21.99,126.8,329.7,89.5,318.5,424.4,560.1,82.3
9,17.25,16.3,13.92,17.60645494,3.440982061,0.372723077,1.2184979069,1.2071276146,0.4680287416,18.7899032,0.3804448304,-0.0393,67.79,18.66,12.94,15.67,11.76,18.91,63.58,231.2,62.94,315.1,410.7,390,60.51
9,17.75,13.58,12.4,-5.63312440075,3.0510656195,0.32979400925,1.06660808665,1.012290146725,0.408740493925,17.87553475,0.39208898095,-0.026,72,17.5,13.05,15.71,11.75,17.6,5.399,113.6,34.44,315.8,394.3,202.6,37.92
9,18.25,10.85,10.75,-11.5965576405,2.5349165495,0.26769835425,0.88224558995,0.868835174225,0.33135989865,16.853423225,0.55352560755,-0.015275,71,17.06,13.14,15.73,11.75,15.19,-21.22,41.92,11.41,319.2,383.3,74.26,11.67
9,18.75,8.29,9.28,-13.21323263,2.36789152625,0.24123657475,0.826883605,0.7452186887,0.324367635875,16.23074025,0.706572333325,-0.0086225,72.88,16.55,13.27,15.7,11.73,12.51,-37.2,3.12,2.245,313.7,375.4,15.66,2.018
9,19.25,5.5,7.595,-14.49106567,2.2940445665,0.2347649055,0.839977157875,0.723142576675,0.3106846573,15.9821095,0.66332660185,-0.0091875,76.6,16.2,13.39,15.64,11.74,11.75,-42.6,-2.008,0.912,315.9,370.2,1.518,0.248
9,19.75,2.942,5.832,-17.6772721725,2.67643793475,0.239156403,0.943833666325,0.816384874125,0.34037521035,15.8106454,0.69189415625,-0.0096575,79.46,16.09,13.47,15.51,11.75,11.07,-35.23,-1.74,0.896,315.3,369.2,0.393,0
9,20.25,1.091,4.324,-15.87596335,2.68989063775,0.23789347925,0.89166162855,0.78816278015,0.29569646985,15.237843175,0.696339544025,-0.01055,83.5,15.4,13.53,15.38,11.79,10.23,-32.24,-1.916,0.803,316.6,364.8,0.393,0.016
9,20.75,-0.342,2.934,-16.80713938,2.555216611,0.238751965,0.7559241728,0.6912826925,0.2949576241,14.5868401,0.6589033632,-0.0089,78.14,15.19,13.56,15.21,11.8,9.62,-21.54,-1.858,0.857,311.7,362.8,0.393,0.016
9,21.25,-1.608,1.929,-15.841079285,2.64331995075,0.25377755225,0.8490818842,0.721887409,0.3140458035,14.197806875,0.77327137375,-0.009325,83.8,14.52,13.6,15.04,11.77,8.83,-23.03,-1.565,0.806,314.9,359.4,0.449,0.031
9,21.75,-2.836,0.914,-14.2761159125,2.4841623525,0.22838281725,0.794754991025,0.657021462175,0.3122457735,14.308035225,0.723877190625,-0.00784,88.7,14.1,13.56,14.84,11.78,8.34,-30.41,-1.533,0.837,311.6,355.4,0.45,0.031
9,22.25,-3.358,0.223,-16.145806905,2.557405274,0.24365060225,0.81754390085,0.73246108715,0.330855239975,14.401021675,0.6953930771,-0.006245,91.2,13.23,13.59,14.63,11.84,7.772,-19.4,-1.195,0.74,314.8,352.6,0.393,0.031
9,22.75,-3.948,-0.547,-11.9230388225,2.491655267,0.21429923425,0.837539169775,0.739072277475,0.324432630975,13.739855325,0.703789387775,-0.0055175,93.4,13.64,13.58,14.41,11.85,7.755,-7.121,-1.181,0.683,315.4,353.5,0.562,0.047
9,23.25,-4.299,-1.073,-15.40190544,2.55817255375,0.20185096825,0.8505822779,0.77826303415,0.323069525725,13.5520056,0.722614342475,-0.008775,90.2,13.18,13.57,14.17,11.87,7.234,-14.29,-1.385,0.732,315,348.9,0.561,0.078
9,23.75,-4.392,-1.325,-12.3963626825,2.64826667925,0.2044681485,0.875148178725,0.755273160475,0.3270866787,13.348279875,0.71529677715,-0.0064875,93.4,13.4,13.56,13.93,11.89,6.829,-15.68,-1.551,0.623,313.8,348.5,0.787,0.14
10,0.25,-3.464,-2.794,-16.666192335,4.1974280925,0.4516059575,1.36174961675,1.2202778876,0.58597058805,7.0308416,0.50399992395,-0.02975,93.5,5.62,4.313,3.697,5.28,1.155,-4.193,-1.046,0.583,296.9,318.4,0.281,0
10,0.75,-3.62,-2.812,-14.5738872,4.4761419235,0.4207605735,1.29650716035,1.15957130385,0.53707873465,6.690749,0.49326271795,-0.0292,92.9,5.676,4.276,3.66,5.286,1.197,-4.473,-0.937,0.625,297.2,320.1,0.169,0.016
10,1.25,-3.753,-2.876,-16.804566605,4.2755210895,0.403068115,1.27233068345,1.08358019255,0.5425450163,6.7530536,0.48899243955,-0.0271,91.4,5.514,4.26,3.654,5.286,1.028,-4.335,-1.006,0.599,298.1,317.6,0.281,0.016
