DOY2,HR2,USTAR,TA_1_1_1,WS,FC,H,LE,G,TS_1_1_1,TS_1_2_1,RH_1_1_1,PA_1_1_1,CO2,VPD_1_1_1,NETRAD,PPFD_IN,SW_IN,PPFD_OUT,SW_OUT,LW_IN,LW_OUT,H2O
1,0.25,0.35225,3.581,4.427,0.479,-7.09,5.92775,-6.31275,3.67525,4.371,92.151,94.95225,384.4205,2.55,-38.5465,0,-0.76525,0,1.67375,271.352,326.606,10.33775
1,0.75,0.367,3.278,4.432,0.512,-7.36175,6.201,-6.07525,3.601,4.3165,91.9,94.9515,384.119,2.445,-38.90425,0,-1.03625,0,1.822,266.9305,325.67625,10.26025
1,1.25,0.3745,3.56975,4.353,0.45375,-8.745,6.208,-6.8845,3.5795,4.253,92.7,94.94625,384.406,2.395,-38.827,0,-0.9695,0,1.781,267.4515,325.5685,10.1675
1,1.75,0.37675,3.30375,4.608,0.49975,-4.27975,6.017,-7.01325,3.53325,4.187,92.525,94.95725,384.2505,2.3075,-36.382,0,-0.86375,0,1.7875,274.13725,325.00425,9.9425
1,2.25,0.35025,3.14625,4.669,0.49675,-3.30025,6.36125,-7.14525,3.45425,4.128,92.801,94.9825,384.956,2.36,-35.73125,0,-0.8785,0,1.75925,279.27675,325.56125,9.94475
1,2.75,0.3315,2.86075,4.471,0.43925,-2.77625,6.586,-6.862,3.42825,4.0775,93.1,94.9905,384.64575,2.27,-36.003,0,-0.85325,0,1.676,277.24,324.82,10.1095
1,3.25,0.363,2.49625,4.553,0.452,-4.45825,5.989,-6.944,3.39725,4.034,93.1,94.97225,384.844,2.15,-28.95925,0,-0.8235,0,1.6965,278.31025,323.153,10.021
1,3.75,0.339,2.309,4.373,0.4685,-4.461,6.023,-7.01675,3.344,3.9815,93.401,94.9935,386.02025,1.995,-29.24975,0,-0.8295,0,1.69475,280.54725,320.949,9.9035
1,4.25,0.362,2.07475,4.536,0.349,-3.129,5.175,-7.35525,3.2845,3.9355,96.301,94.9875,385.947,1.87,-29.25675,0,-0.813,0,1.63175,281.19925,321.18625,9.8425
1,4.75,0.3345,1.3955,3.961,0.462,-3.2785,5.715,-7.69025,3.23025,3.89675,97.5,94.98025,385.262,1.95,-32.05975,0,-0.722,0,1.6945,280.4595,321.4545,9.831
1,5.25,0.32,1.42025,4.179,0.4525,-1.5585,7.334,-7.7315,3.173,3.8615,97.4505,94.97175,385.713,1.765,-25.807,0,-0.7795,0,1.718,280.04425,319.729,10.19025
1,5.75,0.3205,0.92075,4.266,0.3995,-2.584,6.307,-7.4785,3.0605,3.8165,97.7505,94.97775,386.292,1.815,-28.743,0,-0.82175,0,1.773,280.69675,319.4285,10.04875
1,6.25,0.329,0.975,4.386,0.396,-3.9265,6.299,-7.9435,2.981,3.77275,97.4,94.9945,387.616,1.8,-28.72075,0,-0.678,0,1.69675,280.7165,320.7155,10.25
1,6.75,0.3535,0.74725,4.392,0.537,-3.877,4.9455,-8.344,2.90625,3.7385,96.8,95.0435,387.899,1.675,-32.627,0,-0.8465,0,1.72175,279.9025,319.32575,9.664
1,7.25,0.3455,0.692,4.225,0.423,-0.181,6.278,-7.9755,2.83875,3.70125,95.90075,95.0725,386.988,1.6925,-27.89475,1.6315,-0.14425,0.11,1.759,281.89775,319.52075,9.9765
1,7.75,0.3295,1.44025,4.233,0.6575,-1.148,5.773,-8.26875,2.75525,3.663,96.05025,95.0765,388.18,1.5325,-19.82075,29.4575,17.55325,3.16975,5.2595,279.45475,319.67025,9.74025
1,8.25,0.346,1.88125,4.47525,0.3965,0.64675,9.7775,-7.27925,2.72675,3.64625,95.50075,95.106,386.847,1.51,-3.78775,120.06,87.21075,13.82325,18.59825,283.303,322.516,10.023
1,8.75,0.36825,2.56,4.6245,0.49525,16.1335,16.559,-6.23075,2.68775,3.62675,93.7,95.128,386.5,1.85,23.25,246.45775,167.83525,28.29025,30.17975,278.478,328.9715,10.649
1,9.25,0.39325,3.9575,5.119,0.3615,44.209,25.011,-3.556,2.692,3.607,89.95,95.1305,385.346,2.495,58.58625,395.39825,261.77025,46.48475,45.68075,273.96925,338.01,10.3965
1,9.75,0.386,5.04575,4.976,0.3225,70.463,33.768,2.17925,2.72775,3.59575,84.52575,95.1275,384.5805,3.0475,100.41425,520.78075,349.88325,61.13025,58.17325,277.99225,348.424,10.464
1,10.25,0.396,6.17625,5.1415,0.2675,100.71325,35.27275,7.883,2.80875,3.58475,80.15,95.12875,384.928,3.8125,149.5885,685.96025,425.2625,81.53675,72.53075,280.4635,358.3785,10.546
1,10.75,0.41375,7.035,5.28575,0.36475,129.048,37.347,14.12625,3.02975,3.56325,77.401,95.1425,383.1745,4.54,185.21,798.1185,495.511,97.33975,83.83575,283.26025,371.6695,10.6705
1,11.25,0.431,8.355,5.28725,0.3735,152.64875,37.93075,19.37,3.2005,3.56425,71.7,95.14125,382.39875,5.41,224.29775,886.5635,557.05275,102.3365,92.86725,280.6065,385.00075,10.7155
1,11.75,0.43325,9.80075,5.3565,0.1465,174.381,38.218,22.538,3.36825,3.5795,65.06,95.1105,382.19425,5.87,247.19775,944.0085,589.455,109.7925,100.97825,288.5235,394.2495,10.80375
1,12.25,0.4215,10.66,5.23625,0.19325,184.22,43.41775,24.091,3.663,3.647,65.27,95.055,382.0865,6.88,260.93,989.56,608.28,118.651,104.57,292.271,402.445,10.5905
1,12.75,0.43025,11.211,5.337,0.1635,188.402,40.36275,25.674,3.987,3.694,64.25,94.994,381.5985,7.5,258.87,996.31,618.31,119.39,110.46,291.903,407.591,10.489
1,13.25,0.426,12.33,5.344,0.182,189.43025,38.7395,26.63,4.318,3.76,66.345,94.94,381.729,7.9325,247.25,971.91,601.771,113.26,106.35,293.637,409.678,10.45725
1,13.75,0.43325,12.521,5.421,0.129,174.029,39.9825,32.834,4.557,3.85,66.411,94.891,381.9515,8.4175,229.31,929.88,569.16,116.92075,108.0575,294.703,410.885,10.409
1,14.25,0.451,12.54,5.7825,0.391,159.864,36.27425,32.174,4.826,3.958,64.505,94.848,381.9715,8.7825,208.53,861.66,527.69,107.35,101.07,299.698,408.634,10.442
1,14.75,0.45,13.101,5.8495,0.267,132.3745,35.48975,28.63,5.061,4.158,61.14,94.845,382.0395,8.975,165.58,763.961,467.691,90.577,90.55675,302.089,404.984,10.486
1,15.25,0.442,13.171,5.66275,0.29225,112.2055,27.76775,24.524,5.276,4.323,63.35,94.85,382.3605,9.045,130.76,658.071,403.171,86.7985,78.544,300.854,398.436,10.53425
1,15.75,0.45075,13.28,5.56475,0.3325,75.217,27.365,21.914,5.452,4.412,64.0255,94.862,382.158,9.305,74.468,515.75,310.3,70.8445,68.09275,295.992,391.567,10.6395
1,16.25,0.41,12.771,5.428,0.3045,36.59125,17.19,15.917,5.506,4.55,65.27525,94.891,382.16475,9.2825,30.504,366.34,220.79,56.373,55.009,296.397,380.631,10.632
1,16.75,0.366,12.08,4.827,0.396,9.015,12.954,11.062,5.52,4.627,66.3175,94.897,382.2385,8.7475,-3.233,220.21,127.59,37.23,39.259,295.566,369.256,10.7625
1,17.25,0.3345,10.98,4.251,0.3745,-6.077,7.559,5.178,5.474,4.721,70.1625,94.866,382.81875,7.58,-28.368,79.192,48.544,14.625,17.93,290.692,357.899,10.6745
1,17.75,0.305,9.49,3.872,0.6585,-7.689,4.954,0.149,5.357,4.799,75.90075,94.847,384.35975,6.4525,-46.54,10.027,3.632,1.394,2.231,288.623,348.628,10.455
1,18.25,0.275,8.305,3.687,0.3925,-5.304,4.92,-2.73425,5.20175,4.80575,79.6,94.84775,385.07525,5.53,-42.83675,0,-1.52125,0,1.4825,288.12775,341.79775,10.57
1,18.75,0.299,7.18,3.699,0.533,-3.011,3.417,-3.104,5.0565,4.82625,78.7,94.888,384.72975,5.16,-41.08,0,-1.35975,0,1.526,286.80325,337.16425,10.703
1,19.25,0.321,6.294,3.962,0.55375,-4.00175,4.011,-4.2135,4.88975,4.832,82.45075,94.913,384.90575,4.4825,-41.78775,0,-1.4105,0,1.615,283.5755,334.107,10.6535
1,19.75,0.304,5.54675,4.137,0.496,-4.5865,2.841,-3.78425,4.75275,4.808,83.70025,94.92725,384.68925,4.035,-40.58675,0,-1.3765,0,1.61175,281.50725,332.7725,10.38725
1,20.25,0.31075,5.33375,3.875,0.387,-5.50975,3.8705,-4.387,4.61125,4.764,87.3,94.91625,384.49525,3.775,-38.98175,0,-1.1155,0,1.7055,276.934,331.09225,10.4485
1,20.75,0.329,4.66375,3.692,0.464,-4.9085,3.466,-5.241,4.45925,4.73025,89.1505,94.9385,384.5,3.555,-38.56125,0,-1.07925,0,1.62125,276.9025,331.08625,10.477
1,21.25,0.31825,4.34,4.253,0.522,-8.56875,3.482,-5.8165,4.3265,4.67725,89.97525,94.92975,384.73625,3.3725,-38.08675,0,-1.05625,0,1.801,278.52175,330.0145,10.78525
1,21.75,0.332,4.236,4.272,0.472,-5.14075,4.421,-6.1775,4.1955,4.62075,90.1,94.94425,384.5185,3.045,-38.0555,0,-0.904,0,1.846,276.35475,328.9765,10.75225
1,22.25,0.312,3.6825,4.344,0.59,-3.67,4.21425,-6.29825,4.0755,4.5705,91.6,94.94,384.028,2.635,-37.6875,0,-1.016,0,1.75775,279.8075,327.6715,10.664
