DOY2,HR2,USTAR_1_2_1,WS_1_2_1,FC_1_2_1,H_1_2_1,LE_1_2_1
1,0.25,0.5225,2.114,2.194,-9.86975,7.7755
1,0.75,0.502,1.998,1.826,-6.74475,6.6965
1,1.25,0.466,1.871,1.541,-7.927,4.418
1,1.75,0.457,1.688,1.84,-9.68,5.566
1,2.25,0.4165,1.848,1.8955,-6.365,3.32
1,2.75,0.392,1.606,1.24,-8.337,3.752
1,3.25,0.4615,1.67225,1.829,-7.983,3.82975
1,3.75,0.48625,1.6435,1.68025,-10.1105,3.2645
1,4.25,0.478,1.8165,1.3515,-7.935,2.054
1,4.75,0.464,1.726,0.968,-9.825,3.198
1,5.25,0.40325,1.69475,1.40875,-8.8245,2.41925
1,5.75,0.43825,1.60475,1.416,-7.13525,3.01275
1,6.25,0.446,1.694,1.482,-8.571,3.881
1,6.75,0.409,1.6215,1.82625,-9.6335,2.69775
1,7.25,0.4135,1.4965,1.68925,-9.28275,2.814
1,7.75,0.477,1.71,1.3075,-6.561,4.3945
1,8.25,0.47,1.679,1.919,0.912,8.298
1,8.75,0.51775,1.756,0.6515,30.32975,19.28
1,9.25,0.60725,2.03925,0.5155,51.53275,31.56725
1,9.75,0.638,2.11025,-0.539,92.71975,46.08575
1,10.25,0.71,2.4985,-1.7445,144.089,55.874
1,10.75,0.77475,2.5625,-2.947,158.72625,71.75
1,11.25,0.823,2.4795,-4.59575,196.4345,90.9405
1,11.75,0.838,2.553,-6.45675,211.5035,105.3925
1,12.25,0.84725,2.82475,-6.4905,202.44975,127.256
1,12.75,0.8835,2.88125,-5.9965,187.76075,110.13825
1,13.25,0.814,2.681,-5.706,209.041,114.583
1,13.75,0.838,2.869,-5.6395,174.757,123.799
1,14.25,0.868,2.805,-5.29075,179.379,131.373
1,14.75,0.863,2.8435,-5.808,156.2455,127.1
1,15.25,0.815,2.83425,-4.6295,130.6335,121.49575
1,15.75,0.766,2.7345,-3.989,111.284,113.64
1,16.25,0.7175,2.463,-2.039,49.9025,89.2925
1,16.75,0.64225,2.18025,-0.8165,10.62525,76.918
1,17.25,0.55675,2.01125,0.13475,-1.1615,44.838
1,17.75,0.52775,1.88375,0.45225,-3.29025,35.60175
