DOY2,HR2,CO2,FC,H2O,H,LE,PA,RH,T_SONIC,TA,VPD,TS_1_2_1,TS_2_2_1,USTAR,WS,G_1_2_1,G_2_2_1
1,10.25,604.9573,-0.6764888275,4.74501,63.05,10.4,94.1243,32.4387,15.49998,14.19,11.4,13.62,13.12,0.2962978,1.592321164,-4.935,-10.6
1,10.75,607.5694,-0.8331742985,4.366211,94.15,13.65,94.16622,26.7901,17.26589,16.12,14,15.81,14.12,0.3754347,1.855476092,4.78,-6.7605
1,11.25,606.54125,-0.900541343,4.439287,121,14.85,94.197295,24.63745,19.34772,18.19,16.8,17.51,15.15,0.3430333,1.769021644,12.66,-3.243
1,11.75,605.2191,-0.897763443,4.295571,147.5,17.65,94.19435,22.0777,20.954935,20.05,19.3,19.69,15.8,0.32238975,1.5991350745,19.54,0.657
1,12.25,603.582,-1.0637949235,4.143931,171,18.95,94.17559,20.2557,22.28786,21.07,21.3,21.71,17.09,0.3008411,1.514804064,24.77,4.438
1,12.75,600.964,-0.9657439885,4.059697,196,20.3,94.13702,18.6348,23.13333,21.99,22.9,23.01,18.28,0.29440165,1.644728194,26.69,10.87
1,13.25,600.2743,-1.10935577,3.921695,215,22.1,94.09025,17.4561,23.53528,22.41,24.2,23.43,18.96,0.30758975,1.9424418555,36.09,20.46
1,13.75,595.1993,-0.812571063,3.805087,205,20.05,94.04062,17.1529,23.93035,22.8,24.4,24.29,19.64,0.2986743,2.02788861,47.97,25.12
1,14.25,595.668,-0.890984586,3.747524,212,18.2,93.99399,16.239,24.29899,23.13,25.2,25.41,20.34,0.327249,2.247083767,66.89,23.82
1,14.75,594.1876,-0.981625754,3.724484,207,17.65,93.96444,15.8463,24.67394,23.45,25.7,26.47,20.07,0.3485445,2.295896823,70.87,21.48
1,15.25,594.8334,-0.95941176,3.579666,196,17.9,93.9465,15.8313,24.89839,23.74,26.2,27.22,19.93,0.3556124,2.406758034,63.92,22.61
1,15.75,594.8267,-0.90974183,3.670689,168.5,15.45,93.94176,15.7284,25.0762,23.89,26.7,27.37,19.8,0.3446016,2.242178042,47.93,20.46
1,16.25,594.4189,-0.690932307,3.574349,147,13.55,93.92072,15.0625,25.15706,23.68,26.9,26.62,19.67,0.3324884,2.468265948,30.28,17.85
