DOY2,HR2,FC,LE,USTAR,H,SH,V_SIGMA,CO2_1_1_1,H2O_1_1_1,CO2_1_1_2,H2O_1_1_2,CO2_1_1_3,CO2_1_2_2,H2O_1_2_2,CO2_1_2_3,CO2_1_3_2,H2O_1_3_2,CO2_1_3_3,CO2_1_4_2,H2O_1_4_2,CO2_1_4_3,CO2_1_5_2,H2O_1_5_2,CO2_1_5_3,CO2_1_6_2,H2O_1_6_2,CO2_1_6_3,WS_1_1_1,T_SONIC,T_SONIC_SIGMA,WS_1_2_1,WS_1_3_1,WS_1_4_1,WS_1_5_1,WS_1_6_1,TA_1_1_1,TA_1_1_2,TA_1_2_1,TA_1_3_1,TA_1_4_1,TA_1_5_1,TA_1_6_1,PA,RH,VPD,T_CANOPY_1_1_1,T_CANOPY_1_2_1,T_CANOPY_1_3_1,T_CANOPY_1_4_1,T_CANOPY_2_4_1,SW_DIF,SW_IN_1_1_1,SW_IN_1_1_2,SW_OUT,LW_IN,LW_OUT,LW_BC_IN,LW_BC_OUT,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,PPFD_IN_1_5_1,PPFD_IN_1_6_1,PPFD_OUT,PPFD_BC_IN_1_1_1,PPFD_BC_IN_2_1_1,PPFD_BC_IN_3_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_5_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,TS_5_5_1,TS_5_6_1,G_1_1_1,G_2_1_1,G_3_1_1,NETRAD
1,0.25,-26.0132806342768,-49.810935895111,0.0803923995872901,-99.6398985123017,-27.4698816714157,0.194346055616208,380.138199834847,1.69663399451545,391.891715759627,1.31980237263431,413.041848233284,392.02311529565,1.31185898394142,414.40175245211,392.040949573574,1.31482452615886,414.549528097314,392.961892546289,1.38592705156631,414.370788534583,392.893123622834,1.55511976725091,414.471670430852,396.201415559063,1.52933391655472,415.746208233483,0.58990564296121,-10.516271787898,0.0327117076603792,0.40975,0.32925,0.24375,0.249,0.16975,-10.20649,-11.78695,-10.336615,-10.451245,-6.931725,-10.739775,-10.6112575,93.907069,35.1515,0.2357175,-7.8745,-8.60825,-7.63525,-8.00975,-5.131,0.1,-4.15525,0.5,-1.906,186.7975,267.815,243.7975,285.55,0.06975,-0.56,-0.29,-1.01,-0.52,-0.2,0.12,-0.24,-0.3,-0.41,-1.369,-0.9696,1.35195,3.637,-1.658225,-0.16665,2.0575,0.892525,2.09205,4.6122,5.8963,0.047575,0.93735,2.566275,-1.432875,-0.467975,2.221425,3.14415,4.361875,5.3678,-19.815675,-12.8206,-11.02975,-84.522
1,0.75,-4.44148124775018,-156.558982794972,0.056479759644153,-78.8349210764738,-26.4232640596816,0.169838525739792,380.171586234664,1.62398783962671,392.036560137984,1.49957365423112,411.917493972958,392.325294614901,1.51794036634132,411.783452993949,392.257673127678,1.74286492499343,411.767655928057,392.645652739021,1.5637394198704,414.226152946875,392.689570912216,1.5761814795001,416.5793986518,393.337318190144,1.60673097409407,415.749852015657,0.460900270138699,-10.851846133121,0.0377292060671044,0.46,0.31975,0.2095,0.28225,0.16975,-10.5188425,-12.0662,-10.6706575,-10.7805,-7.0342225,-11.04105,-10.8546025,93.92974325,35.42525,0.247085,-7.8485,-8.66875,-7.69575,-8.0485,-5.19475,0.1,-4.05,0.5975,-1.9425,186.9675,266.72,243.4675,285.3675,0.06,-0.55025,-0.29025,-1.01,-0.52,-0.2,0.11975,-0.24025,-0.31,-0.41,-1.3611,-1.0184,1.3322,3.6306,-1.698575,-0.162175,2.06735,0.846125,2.0462,4.60205,5.883025,0.0235,0.93295,2.5758,-1.5383,-0.505925,2.220375,3.14335,4.359925,5.36525,-19.96025,-13.0589,-10.8176,-83.00725
1,1.25,-4.99732791402671,-116.699625305321,0.0624080712265726,-96.6201666035519,-20.7276523130904,0.126796961398436,379.95082355047,1.56916684898457,392.19856989844,1.3319206923086,412.635820131891,392.541158000701,1.3471763826449,414.280655069133,392.370933096062,1.35675941541977,414.218716580502,392.875440405714,1.38226337922848,413.951467467995,392.912804147668,1.45533383226166,414.574962393468,393.567490375017,1.50849651650405,416.77121224057,0.556035601157038,-10.9996755080362,0.0330550755275457,0.389,0.318,0.28425,0.32225,0.17975,-10.6738475,-12.1852,-10.850645,-10.9897625,-6.8807925,-11.2125,-10.9530775,93.8755395,39.0275,0.2633325,-7.87025,-8.76125,-7.72025,-8.0925,-5.108,0.1,-4.075,0.495,-2.04225,187.995,265.9425,243.2575,285.765,0.07,-0.55025,-0.29,-1.01,-0.53,-0.19025,0.12,-0.24025,-0.31,-0.41,-1.4315,-1.0572,1.3153,3.6242,-1.73675,-0.13525,2.0752,0.802575,2.004,4.595275,5.867925,0.00425000000000001,0.930075,2.585375,-1.577575,-0.547125,2.2191,3.143325,4.3584,5.3627,-20.42675,-13.294375,-11.017725,-85.2615
1,1.75,-1.61492245072298,-119.317263837641,0.0692630443442937,-124.271753546419,-23.7683419576573,0.197965641784879,379.994800405061,1.41783234191449,392.233671333791,1.33692891094238,412.723481610286,391.908179990071,1.3375079614132,412.502492149457,392.766618478633,1.36851167292454,412.233409959368,392.26371817013,1.43928476809488,414.053611906875,392.79094682282,1.46631592935327,416.726609319342,393.838292682012,1.51034017743746,415.96316202993,0.528990728928035,-11.2737964811947,0.038797879667674,0.44925,0.36,0.24225,0.28225,0.17,-11.0667825,-12.33685,-11.02116,-11.0678025,-7.02055,-11.2495525,-11.018015,93.8170645,39.74,0.25005,-7.9315,-8.79925,-7.81625,-8.16825,-5.11875,0.1,-4.192,0.5975,-1.76025,187.9125,265.63,242.995,285.31,0.06975,-0.56,-0.29,-1.00025,-0.5105,-0.2,0.11,-0.2505,-0.31,-0.41025,-1.49955,-1.0818,1.29935,3.6178,-1.773375,-0.12475,2.082975,0.764225,1.964,4.5876,5.852725,-0.00519999999999999,0.93245,2.594875,-1.601275,-0.5794,2.2196,3.1433,4.35545,5.3582,-20.814725,-13.4668,-11.563175,-91.4405
1,2.25,-0.748181992076292,-33.1234561356487,0.0902466839506468,-146.035979200021,-32.0849623692086,0.202539035671362,380.054509408474,1.25306091667252,391.095696319666,1.36114961912253,412.814858747392,391.602636938357,1.36569385640657,413.337605282958,391.265359071872,1.40324213123067,413.36693676923,391.648778448431,1.44465626645471,414.527015165698,392.358955152567,1.51283659028485,414.876361531061,393.219084450617,1.48915140455251,417.494047006099,0.55571214864518,-11.3779019369366,0.0358328042299525,0.5195,0.38,0.25425,0.28225,0.16975,-11.2211,-12.5681,-11.3196675,-11.38533,-6.8657325,-11.4698525,-11.2186675,93.82374175,40.7935,0.2204575,-8.08425,-8.98775,-7.93625,-8.30575,-5.1335,0.1,-4.1935,0.5,-1.73775,188.4875,264.54,243.2675,285.4375,0.07,-0.56,-0.29,-1.01,-0.53,-0.2,0.12,-0.24,-0.31,-0.41025,-1.55575,-1.1114,1.28445,3.6114,-1.8061,-0.1542,2.09,0.727975,1.92655,4.580475,5.838075,-0.010775,0.935875,2.60345,-1.622,-0.60105,2.22255,3.141725,4.3535,5.3547,-20.3566,-13.09375,-10.9508,-85.33175
1,2.75,-2.09978805607208,-39.2188709431136,0.0576697271804431,-111.456963980564,-37.2718901507117,0.209416880095914,379.72084672361,1.24905236942455,390.791926545947,1.35227720548458,412.491861544744,390.526847156734,1.36171850172706,412.640909985796,391.742106559335,1.33134288716431,412.479005233853,390.917083281008,1.42217415346692,414.428436087021,391.265176060832,1.49423277855391,417.424138918531,391.578694515028,1.55386785803939,416.097408935878,0.431338201753545,-11.50181951945,0.0282259690904613,0.3885,0.2885,0.22375,0.26225,0.1695,-11.3646775,-12.63995,-11.4573425,-11.5155925,-6.6956075,-11.6023925,-11.4294025,93.76295575,41.7195,0.176415,-8.0645,-9.04675,-7.9955,-8.335,-5.219,0.1,-4.18,0.5975,-2.09025,189.3575,264.1475,243.0375,285.5,0.07,-0.56,-0.29,-1,-0.5105,-0.2,0.12,-0.24,-0.31,-0.42175,-1.61005,-1.1488,1.2795,3.605,-1.832775,-0.093775,2.089175,0.699275,1.893925,4.553625,5.822425,-0.0115,0.9393,2.611025,-1.653275,-0.63215,2.2255,3.1417,4.35155,5.3512,-20.5179,-13.1376,-11.166625,-85.544
1,3.25,-1.97740466588702,-65.8510331352646,0.0572698590750104,-158.109661896055,-49.6667244471543,0.181370508098761,380.691387121071,1.25916032044168,389.913789936576,1.37756869407447,412.69273493948,389.561077281264,1.39196541533907,413.064134919614,389.594986572166,1.4099753005879,413.459063930628,389.708807147899,1.47109648365658,414.176351735316,389.897365404519,1.51687581562034,414.483398460226,391.955453845765,1.55809373713938,413.390308234667,0.458732232416852,-11.7980502813235,0.0365123383576799,0.37925,0.309,0.259,0.28225,0.17975,-11.6606775,-12.84235,-11.6305625,-11.642925,-6.8758025,-11.8782375,-11.71875,93.80748475,40.74225,0.165855,-8.107,-9.19475,-8.12375,-8.4525,-5.385,0.0975,-4.27625,0.4975,-1.6725,188.8675,263.3625,243.335,285.4825,0.07,-0.55,-0.29,-1.01,-0.52,-0.2,0.12,-0.24,-0.31,-0.43025,-1.67045,-1.19645,1.28445,3.5976,-1.85055,-0.0585749999999999,2.0795,0.674125,1.863575,4.52375,5.8075,-0.010275,0.94325,2.61955,-1.6892,-0.667025,2.228,3.141675,4.3496,5.347725,-20.87525,-13.73515,-11.7677,-84.62125
1,3.75,-0.327258643943459,-14.7175017730636,0.0645151151236482,-100.546856803507,-23.6195462802642,0.203500692170616,380.49482930186,1.21213075803889,389.838815213359,1.48378698912135,413.915525877429,389.921451882093,1.49021523405778,414.698972833987,389.611420447855,1.49686242139235,414.191123572251,390.294629760742,1.5276616070023,414.399647087195,389.910865713726,1.54825001261586,416.407438366935,390.760454480409,1.57600976678894,416.805708229787,0.445629200714327,-11.9260021494813,0.0285935805819782,0.409,0.2995,0.2495,0.2445,0.17,-11.8252925,-12.99045,-11.7701875,-11.796265,-7.0157675,-12.0708725,-11.86119,93.781338,42.4065,0.20298,-8.288,-9.35175,-8.2615,-8.571,-5.47975,0.0975,-4.166,0.4975,-2.1225,188.7425,262.6675,240.1975,281.44,0.07,-0.56,-0.29,-1.01025,-0.53,-0.2,0.11,-0.24,-0.30725,-0.42,-1.7179,-1.227025,1.28655,3.5912,-1.874025,-0.0700249999999999,2.068825,0.648075,1.8336,4.49415,5.803,-0.00609999999999998,0.946675,2.6281,-1.732025,-0.705725,2.2284,3.142425,4.34765,5.35275,-21.2898,-13.88605,-11.80775,-86.334
1,4.25,-2.5941862438857,-59.2430175780553,0.0696109258717235,-121.234376039486,-38.0738527729809,0.151234964484974,379.788489435601,1.25892483263836,390.411715549338,1.39621827110419,413.109765703898,390.095705176025,1.41964465267534,413.549616745454,390.552459613553,1.4598311311931,413.278918395406,390.366177423543,1.50496412352803,414.893331445902,390.588818630904,1.53839263965766,414.374655796464,392.078836197164,1.54155718452995,413.56061937975,0.550502118167392,-12.2777698544339,0.0218302192117969,0.4095,0.2995,0.24475,0.25,0.18,-12.2629075,-13.37525,-12.2012625,-12.138815,-6.92484,-12.1610825,-11.936675,93.83340825,42.0925,0.17811,-8.4425,-9.49,-8.39025,-8.6815,-5.41725,0.1,-4.16775,0.4,-1.76425,182.555,262.07,240.515,279.265,0.07,-0.55025,-0.29,-1.01,-0.52025,-0.2,0.12,-0.24,-0.31,-0.4305,-1.76285,-1.25695,1.2868,3.58475,-1.904175,-0.153625,2.05815,0.6254,1.805,4.46655,5.8053,0.00107500000000002,0.950625,2.627875,-1.7686,-0.74435,2.223475,3.143175,4.3457,5.36925,-22.363725,-14.00195,-11.50125,-87.01975
1,4.75,-17.455637692334,-58.9825617211315,0.0711273433008198,-143.0631259611,-40.8571811115497,0.170115273745747,381.307501865263,1.1755736152603,392.620493121746,1.36453791010744,413.212234882732,393.187270489333,1.37000394924361,413.381762958333,392.191664035794,1.39315102552855,412.80526341081,390.669658144235,1.488119313564,414.675646322586,391.445341930242,1.51638670660514,416.753865839197,392.995861182291,1.5899609509052,416.736711761508,0.426172323746206,-12.3581780082394,0.0378505024660629,0.3695,0.27875,0.22475,0.209,0.15975,-12.3620075,-13.5731,-12.30642,-12.2197575,-6.8582725,-12.358345,-12.2422125,93.8825145,43.479,0.19267,-8.521,-9.6205,-8.50075,-8.742,-5.5045,0.1,-4.1045,0.5,-1.9125,185.545,261.465,241.0775,278.24,0.07,-0.56,-0.29,-1.00025,-0.52,-0.20025,0.11,-0.24,-0.31,-0.42,-1.8283,-1.2762,1.288,3.5774,-1.9412,-0.243175,2.048275,0.600825,1.77695,4.4375,5.809225,0.00720000000000002,0.954575,2.6179,-1.79375,-0.772375,2.217,3.1447,4.343225,5.385725,-22.7525,-14.104075,-11.8352,-85.967
