DOY2,HR2,CO2,H2O,CH4,FC,FCH4,H,LE,WS,USTAR,V_SIGMA,W_SIGMA,PA,RH,TA,VPD,T_SONIC,T_SONIC_SIGMA,TS_1,TS_2,TS_3,TS_4,TS_5,TS_6,NETRAD,PPFD_IN,PPFD_OUT,SW_IN,SW_OUT,LW_IN,LW_OUT,TAU
1,5.25,433.621676,8.3081415,2718.0461045,1.23492,16.096026,-13.715405,-0.506911,0.668209,0.090708,0.3104755,0.0941235,102.207,95.3,4.0625,0.373305,12.7342985,0.267811,7.8751665,7.569,7.729667,8.08,8.8461665,11.528,-13.071713,0,0,-1.376812,1,314.7592435,331.5265545,-0.006289
1,5.75,429.048823,8.272073,2767.169328,1.128174,11.943729,-8.104432,-0.732206,0.696234,0.0957415,0.303218,0.0924225,102.227,95.4,4.075,0.3687105,12.5356925,0.2726345,7.872,7.569,7.718333,8.092,8.841,11.5405,-12.9880235,0,0,-1.449275,1,317.203166,331.2227875,-0.006784
1,6.25,429.190736,8.160434,2692.1710485,1.2225,26.2386725,-4.875548,-0.3956555,0.697856,0.090639,0.2952605,0.09258,102.234,95.55,3.83635,0.3521775,12.388749,0.290054,7.8693335,7.5653335,7.709,8.089667,8.844833,11.528,-12.2520305,0,0,-1.376812,0.923077,317.23741,330.6360345,-0.006229
1,6.75,429.026049,8.173649,2730.717489,0.682535,25.0739345,-9.27319,-1.3481015,0.704533,0.092086,0.299967,0.09946,102.245,95.893,3.77075,0.3445325,12.306299,0.2705665,7.8738335,7.547333,7.7075,8.086833,8.856,11.528,-12.239442,0,0,-1.304348,1,315.11041,330.67418,-0.007572
1,7.25,430.783016,8.158409,2741.386174,1.3404515,20.719381,-9.186412,0.629981,0.75026,0.092361,0.292213,0.109193,102.265,95.95,3.678,0.322534,12.268604,0.273644,7.878667,7.5543335,7.683,8.075,8.804167,11.528,-8.919033,5.625,0.425532,1.195652,1.2692305,314.3314135,330.461262,-0.007607
1,7.75,432.032551,7.652793,2770.8009485,1.457116,22.881259,-4.3670115,1.556572,0.744089,0.111927,0.308356,0.1210695,102.279,95.7,3.945,0.3553305,11.8932965,0.277972,7.8721665,7.5368335,7.664167,8.040833,8.804,11.528,6.6799025,45.625,2.765957,21.594203,3.7307695,315.598249,331.0087325,-0.012368
1,8.25,433.6591245,7.9764925,2680.15937,1.412874,34.1608315,-1.258081,13.020284,0.8000435,0.1325155,0.321051,0.152389,102.31,94.4,4.673,0.455128,12.522345,0.360354,7.856,7.508833,7.6231665,8.0023335,8.802,11.528,35.32264,124.791667,7.234043,64.42029,9.1153845,321.3165975,336.4683425,-0.021773
1,8.75,434.532411,8.3890875,2528.923874,1.842316,39.841348,12.039432,32.4891695,0.9671385,0.1660285,0.3691905,0.184794,102.3285,92.2,6.291,0.7193155,13.569737,0.3680775,7.842333,7.506333,7.603,7.993667,8.804667,11.516,86.988829,242.5,12.340426,126.521739,14.307692,327.162409,343.817002,-0.03588
1,9.25,432.659997,8.831725,2414.684953,1.354045,30.312722,31.528915,50.4156535,1.142296,0.204329,0.428962,0.230717,102.345,88.4,7.41,1.167243,14.723993,0.4347135,7.86,7.5258335,7.594,7.999,8.8255,11.516,146.6042775,390.416667,19.574468,207.6811595,20.8076925,329.6452965,350.752291,-0.0552835
1,9.75,431.622665,9.000409,2371.421627,1.49898,35.1915535,59.3216945,57.334791,1.180749,0.21297,0.466355,0.253929,102.377,82.9,8.22,1.942199,15.457423,0.466743,7.883,7.544,7.634667,8.032667,8.843667,11.516,197.274532,525.6675,28.510638,278.623188,27.461538,330.320895,356.536991,-0.060548
1,10.25,427.463056,9.161456,2300.051744,1.771294,32.847377,99.652892,63.416433,1.314676,0.234555,0.51972,0.280541,102.392,78.98,9.2613,2.516729,16.550043,0.5019085,7.881333,7.554667,7.642333,8.038333,8.867,11.516,236.3535,633.645833,38.723404,332.173913,33.461538,324.803238,364.449926,-0.073835
1,10.75,425.818272,9.356298,2271.8508385,1.736666,33.5637075,114.366197,65.747716,1.386894,0.244509,0.565672,0.290405,102.39,75.91,9.95845,3.0545915,17.158315,0.5233545,7.892,7.569,7.666667,8.061167,8.889,11.516,266.537796,714.166667,46.595745,375.8333335,41.1923075,325.0198185,370.6824425,-0.076773
1,11.25,423.927345,9.3782485,2238.4325475,2.2428525,36.052382,130.454277,66.894659,1.4356455,0.2568505,0.589173,0.3071955,102.363,71.935,10.665,3.6981735,18.0272465,0.595436,7.9166665,7.5731665,7.6546665,8.0758335,8.8966665,11.516,295.502827,777.916667,57.3404255,419.637681,50.461538,322.846503,377.1052635,-0.0837635
1,11.75,422.196362,9.435834,2206.268412,1.874052,35.296769,170.833379,67.843531,1.4725815,0.2653485,0.616428,0.319101,102.315,67.89,11.17,4.294985,18.612392,0.6056125,7.93,7.599333,7.711667,8.093667,8.914,11.516,308.855436,832.8941665,63.829787,442.101449,53.846154,324.440631,382.322259,-0.0899245
1,12.25,418.937329,9.6213725,2171.678593,2.271373,35.821869,159.5455895,56.136912,1.4644,0.280127,0.630549,0.327038,102.279,64.55,12.06,4.956301,19.27226,0.618657,7.972,7.612333,7.730333,8.105667,8.916,11.516,307.384604,830.815,67.87234,443.84058,57.923077,324.52221,386.139435,-0.098073
1,12.75,418.213733,9.45831,2144.5882825,1.956979,35.05504,150.366595,59.170558,1.449239,0.271178,0.65186,0.328675,102.2335,62.63,12.52,5.447822,19.720838,0.650139,7.987667,7.644667,7.764333,8.114333,8.92,11.516,298.124542,846.25,70.425532,445.217391,61.384615,324.430921,389.383655,-0.090817
1,13.25,416.3733345,9.5086625,2117.3139675,1.7971345,38.272522,165.980795,49.367751,1.395088,0.280219,0.648729,0.330664,102.2005,61.53,12.77,5.835479,20.230774,0.6232665,7.975,7.708667,7.818667,8.090333,8.940667,11.516,282.309205,833.9108335,71.276596,443.26087,59.538462,325.095708,390.651042,-0.096156
1,13.75,415.755215,9.582306,2109.5170475,2.23596,37.20603,150.376542,50.1167535,1.488084,0.271574,0.654631,0.321607,102.168,59.55,13.09,6.178932,20.339595,0.578832,7.970667,7.756,7.840667,8.107667,8.953,11.516,249.538894,760.4083335,67.87234,407.608696,57.769231,324.283044,390.078765,-0.090695
