DOY2,HR2,CO2,FC,G_1,H,H2O,LE,NEE,NETRAD,PA,PPFD_IN,SC,SW_IN,RH,SW_OUT,TA,TS_1_1_1,TS_2_1_1,USTAR,VPD,WS,CO2_SIGMA,CH4,FCH4,SCH4,H2O_SIGMA,G_2,SH,SLE,T_SONIC,T_SONIC_SIGMA,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,U_SIGMA,V_SIGMA,W_SIGMA
7,17.25,365.458125,-7.43355,-2.599,2.9062647440711,22.00015,39.488,-3.294,-19.93025,101.101,50.685,-2.0733415,23.74,50.3501705,5.109775,24.7361,27.2895,26.8,0.121360125,1.5595,0.75625,0.0243550533126736,1833.68877061515,-56.5240975,-103.9244,4.82702321954335,-0.740775,-2.619467575,-4.42629205,26.485815,0.117732880343415,28.2245,27.63875,27.1135,28.699,28.7745,28.35175,28.7235,27.74475,0.390218092584288,0.384509918571284,0.167265177657392
7,17.75,365.070825,-6.769104,-1.3882,-3.2093,23.25925,34.6115,-2.5552,-27.68,101.2,7.8,-1.4566,5.98765,53.0528254337587,-4.375,24.8730813366021,27.28075,26.8,0.114025,1.685,0.7241,0.0227681226084299,1835.65989036589,-72.170633,-300.1233975,4.55994257823626,-0.3381,-4.438672,-6.4263325,26.9681,0.111392446805758,28.168,27.3415,26.842,28.627,28.657,28.474,28.50525,27.477,0.354144645607937,0.347096740859076,0.158205844401048
7,18.25,364.0424,-4.6610505,-1.37625,-10.909875,23.60063,15.535125,-2.65165,-38.95,101.2,2.34,-3.2588225,5.634713875,58.746072,-4.1,24.628,27.379,26.9475,0.102,0.5555,0.60015,0.0175415096725867,1836.92840947463,-11.20875,-91.0644807499999,4.29286193692917,-0.4193,-3.025535,-6.350157,26.4903,0.0956982678183551,28.248,27.708,26.94,28.273,28.35225,28.29,28.45725,27.014,0.358946463092739,0.324140382475427,0.146330366711103
7,18.75,369.17709872419,-4.2656225,-1.8,-17.277785,23.3672,14.914625,-0.75455,-60.2645,101.2,1.8525,-2.1022925,0,60.7898,-1.0575,24.4067,27.19325,26.9,0.0707,0.4765,0.54005,0.0169306022720603,1837.1431526278,-24.27985,-296.5871,4.02578129562208,-0.5486,-3.25833,-4.83451,26.5106,0.0786472773237147,28.244,27.8645,27.079,28.142,28.2035,28.146,28.3445,26.885,0.269594235016483,0.275478143387325,0.128468092906878
7,19.25,367.0621375,-5.0611165,-2.2525,-23.30525,23.4976,12.44775,-0.30795,-74.705,101.2,0,-1.8078555,0,62.065066,-0.854,24.3669925,27.0165,26.81425,0.053375,0,0.3,0.0129070701258897,1860.048,-26.86668,-56.749029,3.75870065431499,-1.2029,-3.41681637720738,-3.5670572,26.27235,0.0663448873717757,28.231,27.84725,27.106,27.871,28.05175,27.734,28.28725,26.799,0.232198693911356,0.23703985105676,0.0972379044114336
7,19.75,369.95296,-5.75961625,-2.5715,-22.611375,23.8204,3.6555375,-0.414325,-76.32,101.2,0,-2.31891525,0,62.3716,0.96,24.175975,26.87375,26.676,0.036925,0,0.2234,0.0117467943781371,1860.24325,-128.0855,-71.9055165,3.4916200130079,-1.5339,-3.28734011075467,-1.95176927920315,25.960525,0.0705728961186977,28.255,27.86625,27.121,27.738,27.808,27.446,28.18,26.538,0.215083242880916,0.21752874817964,0.0871874002517092
7,20.25,371.0703,-4.5859195,-3.3,-21.2144825,23.67989,3.8635615,-0.584,-76.76,101.2,0,-1.348425,0,64.256625,0.8555,24.1343,26.76,26.645,0.03975,0,0.26645,0.0138493137386597,1860.46455,-72.7807835,-204.6259375,3.22453937170081,-2.68375,-2.3841248,-2.965438,25.7089,0.0558153339399839,28.33075,27.89625,27.11675,27.55825,27.57975,27.455,28.08725,26.1405,0.197250151228255,0.179294283105786,0.0725989869614163
7,20.75,370.404425,-4.7875625,-4.0025,-20.66977,23.7438,13.5453,-0.1459,-75.92,101.301,0,-1.756869,0,67.8941,0.733,24.0862,26.55,26.36,0.04035,0,0.13225,0.0114639696512869,1874.29055,-28.49475,-254.3203625,2.95745873039372,-3.718425,-2.4323135,-9.84557095,25.4733,0.0616648349752947,28.354,27.79925,27.1605,27.4735,27.3625,27.37825,27.91875,25.8835,0.187084269518301,0.163535146792041,0.0722997497708793
7,21.25,371.032,-4.661785,-5.1,-23.20654,24.08389,13.49415,-0.0124999999999999,-75.7,101.301,0,-0.71535,0,71.744075,0.8925,23.7,26.52,26.305,0.0346,0,0.012725,0.011875273510412,1884.372725,-127.98544,-863.07271,2.49102833514791,-5.333025,-1.89285375,-4.621392,25.4444500000001,0.0562813313686019,28.277,27.8185,27.104,27.1825,27.15525,27.0235,27.84775,25.574,0.176760043177887,0.180282758437926,0.0585564709626194
7,21.75,371.3937,-6.12270775,-5.735,-24.045525,24.19112,1.940183425,0.18025,-74.0375,101.301,0,-1.3059,0,71.2946885170599,0.5915,23.62688,26.35,26.14,0.03155,0,0.040525,0.0156617076476832,1883.7337,-38.80676125,-61.23820625,2.77588990113253,-6.983025,-2.9001435,-5.21564040354624,25.52757,0.0509817214524051,28.24725,27.86675,27.19425,26.89525,26.75525,26.80325,27.40675,25.6585,0.14748211884046,0.170973747396715,0.0571812992145987
