DOY2,HR2,FC,SC,LE,SLE,USTAR,H,SH,V_SIGMA,CO2_1_1_1,H2O_1_1_1,CO2_1_1_2,H2O_1_1_2,CO2_1_1_3,H2O_1_1_3,CO2_1_2_2,H2O_1_2_2,CO2_1_2_3,H2O_1_2_3,CO2_1_3_2,H2O_1_3_2,CO2_1_3_3,H2O_1_3_3,CO2_1_4_2,H2O_1_4_2,CO2_1_4_3,H2O_1_4_3,WS_1_1_1,T_SONIC,T_SONIC_SIGMA,WS_1_2_1,WS_1_3_1,WS_1_4_1,TA_1_1_1,TA_1_1_2,TA_1_2_1,TA_1_3_1,TA_1_4_1,PA,RH,VPD,T_CANOPY_1_1_1,T_CANOPY_1_2_1,T_CANOPY_2_2_1,SW_DIF,SW_IN_1_1_1,SW_IN_1_1_2,SW_IN_1_1_3,SW_OUT,LW_IN,LW_OUT,LW_BC_IN,LW_BC_OUT,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,PPFD_OUT,PPFD_BC_IN_1_1_1,PPFD_BC_IN_2_1_1,PPFD_BC_IN_3_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1,TS_1_9_1,TS_2_1_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,TS_2_7_1,TS_2_8_1,TS_2_9_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_3_6_1,TS_3_7_1,TS_3_9_1,TS_4_1_1,TS_4_2_1,TS_4_4_1,TS_4_5_1,TS_4_6_1,TS_4_7_1,TS_4_8_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,TS_5_5_1,G_1_1_1,G_2_1_1,G_3_1_1,NETRAD
2,2.25,0.184073023552955,0.113232705554788,3.75344873757636,0.567589574819558,0.223685827219401,-3.71104809246101,3.07584114242132,0.955982872028634,419.211647378246,4.54659058488284,422.453199116438,6.64700422086579,420.114567491395,4.87233094218022,422.972746930154,6.43489695038129,420.692351578561,4.80495921338617,423.480584607306,6.4187084658257,420.748191123194,4.93314425521138,424.224759025165,6.32504179627036,421.639526731219,5.00312498544075,3.64104697734723,2.84848907704553,0.599419371919862,2.665,2.0425,0.7,2.51375,1.722,1.756,1.4924,0.1591,83.64946,78.07,2.8533,0.3425,0.545,0.48,1.8,-1.3825,3.5,-0.885,1.06,277.55,316.25,288.3,313.1,0.295,0.23,0.31,0.16,0.11,0.015,0.085,0.12,-0.213,-0.088,2.6995,3.672,4.014,4.83125,7.55825,8.0005,8.604,0.3665,1.8165,2.3105,3.1295,5.827,8.35475,9.0115,9.61625,0.3245,0.866,2.007,2.52,4.26525,5.6825,7.45725,9.7305,0.327,0.4415,2.83675,4.1815,6.00675,8.5385,8.974,0.354,0.71,1.7455,2.3565,4.02575,-2.4335,-2.321,-2.92675,-25.9875
2,2.75,0.143180163976664,0.0678208272204733,5.10794367943478,0.820481416883212,0.244578182735985,-3.74607497955987,1.44926895395748,0.936623300840727,419.244535881933,4.58095596343528,422.040316054665,6.88249838341989,419.979083253538,5.15233396514725,422.171345270001,6.50775549510339,420.223995744589,5.07691196881025,422.254316710195,6.35030167879364,420.397384988636,4.91195141394474,423.127127922957,6.44429993325843,420.682835347078,4.89942213970339,3.78451976145903,2.79070286840386,0.623935199222302,2.775,2.175,0.73,2.18425,1.9,1.5386,1.2488,0.12395,83.61968,77.57,2.9541,0.37,0.605,0.44,1.7,-1.485,3.4,-0.855,1.0125,276.8,315.65,288.5,312.8,0.295,0.24,0.31,0.155,0.11,0.01,0.08,0.11,-0.216,-0.128,2.634,3.653,4.014,4.8395,7.55825,8.0005,8.603,0.378,1.7595,2.287,3.131,5.8255,8.3545,9.0115,9.616,0.307,0.87,1.9345,2.499,4.265,5.683,7.457,9.7315,0.3345,0.4145,2.80225,4.189,6.00975,8.537,8.9735,0.3475,0.672,1.678,2.3245,3.9975,-2.5345,-2.5745,-3.035,-27.04
2,3.25,0.232018045697823,0.0379697541456649,5.85498652005188,1.03121644078013,0.274159695783665,-2.71227287177893,2.28615342613735,0.933139742473873,419.116978598466,4.74930080485618,422.609343572707,6.63949213302833,420.353301786167,4.77788577114198,422.0525234006,6.65295503741244,420.835092785287,4.92763367917133,423.38101547599,6.45874319411885,420.536127003165,4.96270863844865,423.301449169958,6.3211945667328,420.668870929204,5.0096814666682,3.56299859167992,2.89475607254871,0.760247010209501,2.72,2.055,0.6975,2.39595,1.82,1.50085,1.09935,-0.118975,83.601645,76.9,2.6004,0.105,0.425,0.22,1.8,-1.2375,3.4,-0.825,0.8,277.45,314.4,289.35,312.6,0.27,0.24,0.31,0.16,0.11,0.04,0.09,0.11,-0.185,-0.146,2.5615,3.639,4.0125,4.8485,7.559,7.9995,8.603,0.334,1.708,2.2655,3.1345,5.825,8.3545,9.01325,9.61525,0.2625,0.853,1.8565,2.4695,4.2645,5.6835,7.45675,9.73125,0.328,0.3955,2.7925,4.1945,6.0105,8.53625,8.973,0.3275,0.6195,1.6195,2.3045,3.968,-2.475,-2.57,-3.059,-21.745
2,3.75,0.254696992524547,0.0599075471065582,6.87641528241009,0.385129914454768,0.235188655730014,-4.84403352407572,4.01707293416422,0.904626254765865,419.161707432173,4.70383567750583,422.124807813149,6.27924432595779,420.352221961039,4.89523904808875,422.608268177363,6.41003640077737,420.684855441441,4.7627639274099,423.171303018393,6.58222759497104,421.321563658604,4.82674066167006,423.636098042206,6.11185622654305,421.288622008756,4.96284145588507,3.30111448205786,2.80112260920723,0.714287084067363,2.61,1.99,0.6675,2.2506,1.558,1.3879,1.351,-0.461175,83.577565,74.96,2.6172,0.13,0.465,-0.03,1.65,-1.095,3.25,-0.85,0.9525,275.8,315.3,289.1,311.45,0.275,0.235,0.31,0.16,0.11,0.01,0.09,0.12,-0.177,-0.1735,2.5055,3.626,4.011,4.8475,7.56,7.9995,8.603,0.304,1.6545,2.2455,3.138,5.8235,8.3545,9.0125,9.6145,0.2195,0.829,1.782,2.4375,4.263,5.6855,7.45575,9.73075,0.296,0.385,2.758,4.1975,6.0105,8.5375,8.972,0.137,0.566,1.5655,2.2755,3.94375,-2.528,-2.491,-3.03975,-20.055
2,4.25,0.219339741632244,0.0655161832748533,5.04805574653044,0.501800147498634,0.2535113335562,-3.8129085990727,3.0434158571292,0.8280647886598,419.44229121488,4.62500525991847,423.233693087556,6.51980133111809,420.405686368228,4.72271741232173,422.464389016639,6.34816905679201,420.666144680251,4.68720259997914,422.821150029383,5.99249436448483,420.932732169842,4.68370778268647,423.630859610001,6.06443819052734,421.457945713297,4.6245219582504,3.35092338930538,2.17863011928529,0.696794688664624,2.6375,1.9925,0.72,1.6268,1,0.999925,0.960675,-0.442875,83.5650675,77.7,2.59685,0.085,0.475,0.0625,1.7,-1.29,3.4,-0.81,0.945,280.225,313.5,292.05,311.475,0.295,0.24,0.3,0.195,0.11,0,0.1225,0.11,-0.1545,-0.1925,2.49875,3.594,4.01425,4.8135,7.559,7.99475,8.60025,0.3155,1.60575,2.2195,3.13875,5.82175,8.35525,9.0105,9.61425,0.23875,0.80875,1.64125,2.393,4.2595,5.68525,7.44725,9.7335,0.29125,0.3805,2.673,4.199,6.01,8.537,8.9645,0.23625,0.49325,1.488,2.23275,3.918,-2.541,-2.519,-3.10925,-22.925
2,4.75,0.279564147308381,0.0986008392527223,3.41798245688283,0.478425850109956,0.231560720833053,-4.28105582803362,2.45920846647133,0.879140288474323,419.601181071519,4.50765743657306,422.814018382068,6.65915380642848,420.593754944578,4.55162446932221,423.054226749562,6.68736459550394,420.714244099522,4.87047286772767,424.056312136048,6.3166783878552,420.861951929064,4.58904056804576,424.411339250116,6.47593975878498,421.333664099736,4.74642020188352,3.46153232155136,2.35491977000679,0.866426123879877,2.3525,2,0.7175,1.972275,1.38925,1.355775,0.80705,-2.50000000000042e-05,83.5676125,74.6125,2.625775,-0.0075,0.455,0.2925,1.8,-1.205,3.525,-0.815,0.9175,276.15,313.9,289.625,310.775,0.3025,0.24,0.31,0.1625,0.11,0.0025,0.13,0.11,-0.19075,-0.2505,2.47825,3.5635,4.00525,4.81175,7.558,7.99475,8.6,0.29525,1.55775,2.19175,3.1375,5.81975,8.35525,9.00875,9.6135,0.213,0.80175,1.569,2.35575,4.256,5.685,7.448,9.73225,0.28425,0.39825,2.638,4.198,6.01075,8.53725,8.9575,0.19675,0.508,1.47975,2.2,3.89125,-2.6305,-2.4335,-3.16125,-20.845
2,5.25,0.202339698857899,0.0270252460488044,4.15007148994015,0.110792531256055,0.223827143551016,-4.69838637824235,2.80465850649087,0.999508184892232,419.293158065196,4.51466067134945,422.411357250944,6.36017355218131,420.495795942857,4.5580432408705,422.705980211577,6.22733753385477,420.909299852125,4.63720009498856,423.062063378287,6.13750303492984,420.870989303719,4.61116528404699,423.147916182607,5.68549022567097,421.493564257365,4.68249995651922,3.25944157544687,2.06238015172166,0.694589734665716,2.335,1.865,0.735,1.77435,1.109,1.2246,0.9738,-0.19365,83.566625,74.185,2.9353,0.2325,0.445,0.22,1.825,-1.2725,3.525,-0.8575,0.855,281.075,313.625,290.85,310.675,0.295,0.23,0.3025,0.195,0.11,0,0.1375,0.11,-0.1965,-0.257,2.457,3.534,4.00075,4.814,7.555,7.994,8.59925,0.24975,1.51175,2.1635,3.13325,5.81825,8.35525,9.0085,9.61325,0.14275,0.79625,1.52475,2.31925,4.25175,5.685,7.447,9.7355,0.28425,0.3585,2.602,4.195,6.01175,8.538,8.9565,0.155,0.47025,1.4505,2.166,3.86375,-2.649,-2.328,-3.04575,-20.2225
2,5.75,0.380235779209583,0.0774514099794903,3.84518717596384,0.426882397344069,0.250040975659424,-5.53226877213021,1.82785205307297,1.02149468445149,419.197969914298,4.52124093937709,423.274538147161,5.49019633163887,420.287581787084,4.7871641604786,423.053169813212,5.51516492254703,420.870735710191,4.62452394693647,424.476260533067,5.49765503147063,421.252638193514,4.8201567765062,424.214713657496,5.34038931396267,421.619772726718,4.85175976308832,3.32276591609872,2.18555932470295,0.844257724383219,2.53,2.0675,0.6875,1.65195,1.04425,0.98255,0.837625,-0.974725,83.57505,74.14,2.8908,-0.2675,0.195,-0.2075,1.7,-1.1975,3.325,-0.85,0.88,280.825,312.65,292.575,307.825,0.31,0.23,0.31,0.24,0.11,0.0025,0.1275,0.12,-0.2225,-0.26325,2.43575,3.5055,4.0005,4.82475,7.555,7.993,8.59975,0.21525,1.4655,2.135,3.135,5.8185,8.35525,9.0085,9.61325,0.15825,0.805,1.47225,2.2835,4.2465,5.6855,7.45425,9.7355,0.2845,0.32975,2.564,4.19075,6.01275,8.537,8.95725,0.12425,0.43275,1.41775,2.13175,3.83625,-2.61775,-2.3525,-3.178,-18.5425
2,6.25,0.207110902394203,0.0455944864330988,3.35323421435969,0.839032366557896,0.211247749971331,-3.80866430161557,2.31562367757323,0.887818411859968,418.937932079926,4.29428745830498,422.725700406839,6.52273067424216,420.429445334213,4.82504614724911,423.877623322335,6.20681161087556,420.714217364286,4.87720488775149,424.103561948048,5.93184120707509,421.203817908066,4.68038802051336,424.709439803882,5.65743735968432,421.936627794567,4.40904409900052,3.38808949939893,1.7304300737281,0.741858752863315,2.5625,1.93,0.6275,1.520075,1.0775,0.849425,0.78385,-0.63705,83.58502,73.7825,2.7882,-0.1375,0.2675,-0.0375,1.825,-1.1975,3.6,-0.85,0.83,278.825,311.025,295.5,308.675,0.285,0.2325,0.31,0.1875,0.11,0.0125,0.1425,0.1175,-0.26725,-0.27475,2.4235,3.481,3.99675,4.8255,7.555,7.99225,8.599,0.20575,1.421,2.10475,3.137,5.819,8.3545,9.00775,9.614,0.10825,0.8095,1.418,2.24775,4.24,5.68525,7.451,9.7355,0.28225,0.324,2.503,4.1845,6.01125,8.5355,8.96875,0.12275,0.35625,1.38025,2.0985,3.80775,-2.71375,-2.5715,-3.257,-20.35
2,6.75,0.211020560978284,0.030840016265825,2.65156375277687,0.447916938924487,0.267343688313129,-2.79701874870636,2.4840729050144,0.82817176381815,418.974987027217,4.40049274551333,421.664586224271,6.40259502721825,420.666974835586,5.00267433184707,421.826656597827,6.47255856989361,420.640954177404,4.67043888463295,422.535216473386,6.10950006123377,421.100475842666,4.68847141579311,422.763221944888,6.29735080956208,422.127746612903,5.02099256223807,3.44413977734367,1.68509689336393,0.640667041222075,2.32,1.8175,0.6375,1.383575,0.935,0.795575,0.5195,-0.90125,83.5554325,75.6325,2.7102,0.0425,0.2775,0.125,1.825,-1.3125,3.5,-0.71,1.035,278.925,311.75,293.925,308.925,0.635,0.4425,0.36,0.3225,0.15,0.07,0.27,0.175,-0.2785,-0.31575,2.40775,3.4595,3.99725,4.82675,7.554,7.99125,8.59875,0.19125,1.37825,2.076,3.13975,5.8195,8.35375,9.0075,9.61275,0.08075,0.799,1.36725,2.21125,4.2325,5.6895,7.45325,9.734,0.22575,0.3085,2.441,4.17575,6.01025,8.53475,8.9635,0.117,0.30275,1.32675,2.06625,3.77825,-2.803,-2.463,-3.18,-19.075
