DOY2,HR2,PA,TA,RH,PPFD_IN,PPFD_OUT,WS,USTAR,TS_1,TS_2,T_SONIC,G_1,G_2,CO2,H2O,FC,LE,H
1,0.25,99,-18.7025,80.621,0.00284565,-0.0012906,2.0428,0.140305,-1.4553,-3.0496,-23.2465,-7.9542,-14.595,395.5044,0.59165,0.20909,0.234862,0.020482
1,0.75,98.995,-19.0225,80.5755,0.00664205,-0.0016132,2.0428,0.140305,-1.4559,-2.933,-23.2465,-7.0285,-14.209,395.5044,0.59165,0.20909,0.234862,0.020482
1,1.25,98.92,-18.773,81.4935,0.0026641,-0.0024163,2.0428,0.140305,-1.4598,-2.99315,-23.2465,-7.07375,-13.355,395.5044,0.59165,0.20909,0.234862,0.020482
1,1.75,98.85,-18.7055,81.438,0.00482845,-0.0019318,2.14171333333333,0.140305,-1.4606,-3.0051,-23.2465,-7.7835,-13.0215,395.5044,0.59165,0.20909,0.234862,0.020482
1,2.25,98.87,-18.8425,81.6885,0.0026649,-0.00096562,2.24062666666667,0.140305,-1.45915,-3.0854,-23.2465,-7.4718,-12.653,395.5044,0.59165,0.20909,0.234862,0.020482
1,2.75,98.88,-18.53,81.7135,0.0023296,-0.00032242,2.33954,0.140305,-1.467,-3.1082,-23.2465,-8.2684,-13.204,395.5044,0.59165,0.20909,0.234862,0.020482
1,3.25,98.95,-18.343,81.083,0.00174685,-0.000966125,2.43845333333333,0.140305,-1.47835,-3.02095,-23.2465,-7.50255,-12.298,395.5044,0.59165,0.20909,0.234862,0.020482
1,3.75,99.05,-18.823,81.002,0.00101561,-0.00096561,2.53736666666667,0.140305,-1.4768,-3.1217,-23.2465,-7.7307,-13.018,395.5044,0.59165,0.20909,0.234862,0.020482
1,4.25,99.145,-18.4515,81.2595,0.00289605,0,2.63628,0.140305,-1.4724,-3.1323,-23.2465,-8.2618,-14.812,395.5044,0.59165,0.20909,0.234862,0.020482
1,4.75,99.18,-18.163,81.0345,0.003328,-0.00032187,2.73519333333333,0.140305,-1.46875,-2.8796,-23.2465,-7.9363,-13.28,395.5044,0.59165,0.20909,0.234862,0.020482
1,5.25,99.17,-18.29,80.3505,0.0041459,-0.0012875,2.83410666666667,0.140305,-1.46585,-3.172,-23.2465,-8.0039,-13.16,395.5044,0.59165,0.20909,0.234862,0.020482
1,5.75,99.245,-18.502,80.891,0.00149765,-0.000966175,2.93302,0.140305,-1.4884,-3.0125,-23.2465,-8.0738,-12.906,395.5044,0.59165,0.20909,0.234862,0.020482
1,6.25,99.205,-18.431,80.886,-0.00116628,-0.00080499,3.03193333333333,0.140305,-1.49855,-3.0203,-23.2465,-8.3608,-13.9865,395.5044,0.59165,0.20909,0.234862,0.020482
1,6.75,99.155,-18.404,81.251,0.00116533,0,3.13084666666667,0.140305,-1.5134,-3.226,-23.2465,-8.44865,-14.09,395.5044,0.59165,0.20909,0.234862,0.020482
1,7.25,99.04,-18.3865,80.8505,0.0049568,0,3.22976,0.140305,-1.5072,-3.0103,-23.2465,-8.51135,-14.169,395.5044,0.59165,0.20909,0.234862,0.020482
1,7.75,98.975,-18.2305,80.6835,0.15011,0.00965965,3.32867333333333,0.140305,-1.50835,-3.01145,-23.2465,-8.0552,-13.568,395.5044,0.59165,0.20909,0.234862,0.020482
1,8.25,98.945,-17.915,80.748,4.09675,3.60775,3.42758666666667,0.140305,-1.51135,-3.01395,-23.2465,-8.00295,-13.7295,395.5044,0.59165,0.20909,0.234862,0.020482
1,8.75,99,-17.4205,80.5615,34.756,30.422,3.5265,0.140305,-1.4925,-3.2528,-23.2465,-8.3347,-14.518,395.5044,0.59165,0.20909,0.234862,0.020482
1,9.25,98.965,-17.121,79.9985,100.85,101.385,3.4685,0.140305,-1.47085,-3.24465,-23.2465,-8.44475,-14.518,395.5044,0.59165,0.20909,0.234862,0.020482
1,9.75,98.94,-16.3945,78.2845,194.07,174.13,4.95015,0.140305,-1.46315,-3.2253,-23.2465,-8.4453,-14.225,395.5044,0.59165,0.20909,0.234862,0.020482
1,10.25,98.995,-16.0935,77.3495,292.75,253.12,4.8856,0.22194,-1.4556,-3.2171,-21.913,-8.3333,-12.499,395.8276,0.65067,0.20909,0.234862,-0.85523
1,10.75,99.065,-15.741,76.039,376.01,297.87,4.20795,0.18159,-1.4529,-2.7751,-20.578,-8.2443,-12.137,396.9584,0.965885,0.15856,0.081389,-1.190636
1,11.25,99.12,-15.522,75.8395,457.505,386.605,3.72005,0.19119,-1.45165,-2.9468,-21.178,-8.14965,-11.349,397.22445,0.86525,0.039565,0.597445,4.68385
1,11.75,99.155,-15.443,74.8325,531.405,406.215,4.8659,0.23649,-1.44735,-2.98635,-17.682,-7.91405,-7.50695,396.8143,1.03825,0.14573,0.646365,-0.4749
1,12.25,99.12,-15.3655,74.832,551.43,423.09,4.7401,0.2166,-1.4408,-3.1454,-17.324,-8.0364,-6.9104,397.91,1.0699,0.0824045,1.53995,7.442
1,12.75,99.105,-14.9085,75.624,576.385,418.52,5.2172,0.23393,-1.4459,-2.7186,-15.642,-8.0731,-5.8494,398.7793,1.0825,0.1295225,0.97323,5.3303
1,13.25,99.095,-14.815,75.844,544.72,424.955,5.0756,0.21919,-1.4404,-2.90665,-14.8675,-8.2237,-7.27435,396.9322,1.44895,0.056949,0.91249,8.6049
1,13.75,99.085,-14.9155,76.0845,523.275,363.04,4.8932,0.22642,-1.43995,-3.3172,-16.146,-7.9945,-5.1678,397.95735,1.1735,0.085104,1.05825,2.76035
1,14.25,99.075,-15.5595,75.3355,441.88,322.91,4.777,0.21566,-1.44815,-3.1668,-14.906,-8.4942,-9.3336,398.1292,1.5278,0.0579435,1.533,1.6521
1,14.75,99.015,-15.5695,76.9435,363,265.25,4.6955,0.231125,-1.4509,-3.1345,-15.8725,-8.2673,-5.5327,397.6382,1.4129,0.082246,0.63063,0.9669
1,15.25,99.035,-15.936,78.705,287.68,197.02,4.0604,0.19765,-1.44065,-3.1423,-15.8085,-8.0502,-5.9115,397.1528,1.95085,0.075277,0.1776715,-6.6744
1,15.75,99.08,-16.4025,79.0135,166.375,110.91,5.1983,0.202835,-1.4368,-3.1367,-15.5635,-8.1485,-8.9715,396.896,2.00325,0.0477125,0.001742,-8.70265
1,16.25,99.085,-16.7925,78.927,83.7015,50.187,4.8275,0.228235,-1.4279,-3.11645,-17.954,-7.851,-7.53525,394.4053,1.192,0.067659,-0.045013,-14.78395
1,16.75,99.12,-16.9945,79.372,23.883,9.4333,3.3459,0.184375,-1.43255,-3.1124,-19.2655,-7.3613,-6.7955,394.7036,1.018675,0.062693,-0.39616,-12.98845
1,17.25,99.18,-17.4255,80.792,2.07505,0.32285,3.9825,0.17985,-1.4718,-3.1295,-21.0055,-7.9169,-8.5531,395.3002,0.95276,0.039225,-0.20965,-9.1882
1,17.75,99.19,-17.954,80.2755,0.06187,0,4.4813,0.174455,-1.4776,-3.1246,-20.912,-6.9926,-7.7549,395.867,0.9281,0.055866,-0.26116,-11.1591
