DOY2,HR2,USTAR_1_1_1,TA_1_1_1,WS_1_1_1,NEE_1_1_1,FC_1_1_1,SC_1_1_1,H_1_1_1,LE_1_1_1,G_1_1_1,TS_1_1_1,RH_1_1_1,PA_1_1_1,CO2_1_1_1,VPD_1_1_1,NETRAD_1_1_1,SW_IN_1_1_1
1,0.25,0.3045,-0.952,1.733,1.145,0.811,0.085,-23.373,0.582,-4.657,2.38,70.9,101.5,406.975,1.43,-51.1,0
1,0.75,0.3225,-1,1.741,1.169,0.889,0.1205,-24.86,0.536,-4.7235,2.395,70.7,101.5,406.4855,1.37,-44.725,0
1,1.25,0.3085,-1.088,1.7695,1.1055,0.814,0.116,-26.515,0.47,-4.754,2.405,70.9,101.45,407.147,1.36,-44.245,0
1,1.75,0.314,-1.167,1.7045,1.095,0.872,0.1345,-25.778,0.481,-4.7445,2.405,71.85,101.5,407.496,1.31,-46.465,0
1,2.25,0.32,-1.344,1.762,1.1085,0.707,0.041,-23.964,0.3515,-4.77,2.389,72.1,101.5,407.6705,1.275,-44.37,0
1,2.75,0.322,-1.3515,1.7075,1.2325,0.856,0.084,-24.374,0.431,-4.715,2.3665,73.2,101.5,407.9725,1.295,-45.03,0
1,3.25,0.293,-1.5445,1.7015,1.141,0.7795,0.0755,-22.659,0.614,-4.76,2.2375,73.05,101.5,408.045,1.23,-44.125,0
1,3.75,0.292,-1.632,1.7355,1.0235,0.8295,0.0495,-22.348,0.507,-4.7675,2.2225,72.43,101.5,407.679,1.21,-41.1,0
1,4.25,0.314,-1.83,1.769,0.976,0.764,0.016,-23.1945,0.638,-4.791,2.1815,72.6,101.5,408.154,1.215,-40.68,0
1,4.75,0.345,-1.805,1.763,1.165,0.8105,0.054,-23.657,0.399,-4.8185,2.146,72.7,101.5,407.982,1.195,-43.42,0
1,5.25,0.324,-1.7925,1.7575,1.217,0.88,0.092,-21.599,0.343,-4.8525,2.0975,74.2,101.5,408.494,1.14,-39.05,0
1,5.75,0.317,-1.722,1.7215,1.274,0.927,0.087,-20.224,0.364,-4.8835,2.099,73.85,101.5,408.1745,1.15,-38.715,0
1,6.25,0.329,-1.555,1.703,1.386,0.991,0.087,-22.701,0.42,-4.8725,2.0995,74.3,101.5,408.452,1.105,-36.985,0
1,6.75,0.325,-1.7635,1.736,1.3845,1.132,0.085,-20.7775,0.6445,-4.9255,2.0975,75.45,101.5,408.644,1.065,-40.645,0
1,7.25,0.344,-1.9515,1.6965,1.439,1.124,0.102,-18.33,0.821,-4.9935,2.0895,75.25,101.5,409.025,1.12,-37.3,3.88
1,7.75,0.3565,-1.686,1.7275,1.142,1.1675,-0.16,-9.275,1.277,-5.006,2.0885,73.65,101.5,409.218,1.195,-16.98,26.5
1,8.25,0.4195,-1.1645,1.8275,0.615,1.0655,-0.447,3.799,3.076,-5.024,2.074,70.7,101.5,409.003,1.36,11.95,73
1,8.75,0.4965,-0.481,2.05,0.373,1.0005,-0.655,33.356,7.276,-5.031,2.0545,66.865,101.6,408.66,1.645,49.725,126.6
1,9.25,0.574,0.4275,2.2565,0.22,0.9465,-0.7685,68.748,13.232,-5.0445,2.0555,62.675,101.6,406.3355,1.915,92.35,189.75
1,9.75,0.619,1.067,2.56,-0.163,0.776,-0.783,101.5015,18.556,-5.0055,2.084,60.7,101.6,405.088,2.13,137.8,254.95
1,10.25,0.645,1.6305,2.6605,-0.0685,0.712,-0.678,136.2445,22.1455,-4.8885,2.148,57.25,101.6,403.76,2.45,179.05,303
1,10.75,0.654,1.9765,2.767,-0.09,0.676,-0.519,159.81,28.106,-4.733,2.16,53.275,101.5,402.4185,2.725,209.75,341.8
1,11.25,0.6975,2.1535,2.7905,0.15,0.544,-0.425,190.107,32.0435,-4.681,2.1395,51.545,101.5,401.724,2.94,235.1,371.15
1,11.75,0.683,2.625,2.7905,-0.311,0.111,-0.315,181.6755,33.248,-4.473,2.2205,50.415,101.45,401.397,3.12,225.1,361.85
1,12.25,0.7125,2.863,2.8175,0.0435,0.268,-0.262,187.8485,33.293,-4.2155,2.2485,48.515,101.4,401.428,3.295,234.45,371.5
1,12.75,0.718,3.26,2.892,0.492,0.477,-0.167,167.381,35.445,-3.9975,2.4635,47.685,101.4,401.551,3.295,207.05,332.3
1,13.25,0.709,3.389,2.9015,0.096,0.457,-0.1885,155.76,35.365,-3.813,2.5475,47.065,101.3,401.728,3.315,195.1,314
1,13.75,0.696,3.4875,2.864,0.2995,0.462,-0.146,138.9245,29.672,-3.5535,2.692,47.555,101.3,401.453,3.43,178.85,291.75
1,14.25,0.698,3.714,2.829,0.301,0.279,-0.059,111.075,29.966,-3.375,2.735,47.265,101.3,401.198,3.535,163.7,279.35
1,14.75,0.669,3.627,2.62,0.479,0.4475,0.017,77.55,23.766,-3.199,2.745,46.52,101.3,401.2705,3.55,111.2,232.85
1,15.25,0.636,3.3645,2.5795,0.6345,0.505,0.12,37.665,18.242,-3.193,2.6845,45.9,101.3,401.412,3.58,56.505,158.95
1,15.75,0.5725,2.8665,2.3955,1.123,0.743,0.292,6.0555,15.329,-2.926,2.6025,48.395,101.3,401.62,3.475,17.125,99.15
1,16.25,0.5155,2.6135,2.226,1.428,0.995,0.3755,-12.8065,8.903,-3.01,2.542,49.845,101.4,402.0875,3.24,-12.225,43.75
1,16.75,0.452,1.9015,1.925,1.6835,1.025,0.498,-20.0615,3.9495,-3.0825,2.5135,52.02,101.4,402.894,2.98,-48.205,8.44
1,17.25,0.373,1.273,1.7605,1.696,0.896,0.5065,-22.821,1.6265,-3.328,2.473,55.36,101.4,403.369,2.735,-61.15,0.2
1,17.75,0.308,0.7305,1.6255,1.676,0.92,0.451,-21.362,0.896,-3.405,2.4275,57.32,101.4,403.686,2.53,-59.365,0
1,18.25,0.291,0.4545,1.635,1.535,0.956,0.396,-22.977,0.717,-3.582,2.4025,58.905,101.4,403.83,2.415,-58.215,0
1,18.75,0.307,0.3185,1.6685,1.501,0.933,0.279,-24.431,0.421,-3.724,2.401,61.13,101.4,404.076,2.22,-57.235,0
1,19.25,0.3195,0.0975,1.695,1.254,0.823,0.311,-23.936,0.6835,-3.888,2.399,62.215,101.45,404.301,2.075,-54.85,0
1,19.75,0.3255,0.013,1.62,1.26,0.8385,0.271,-25.872,0.6365,-4.102,2.4035,65.0905,101.5,404.826,1.955,-52.025,0
