DOY2,HR2,FC,LE,H,G_1_1_1,G_2_1_1,G_3_1_1,G_4_1_1,G_5_1_1,G_6_1_1,G_7_1_1,G_8_1_1,CO2,H2O,PA,T_SONIC,T_SONIC_SIGMA,TA_1_1_1,TA_1_1_2,TA_1_1_3,RH,PPFD_IN,PPFD_DIF,SW_IN,SW_OUT,LW_IN,LW_OUT,NETRAD,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,USTAR,U_SIGMA,V_SIGMA,W_SIGMA,WS
1,0.25,0.70589,1.32415,-24.129,-1.805,-1.224,-2.214,-2.4605,-2.3,-0.98397,-1.598,-1.55808,389.9,5.2457,87.02,1.43605,0.2097,0.89375,0.091,0.194835,81.085,0,0,0,0,262.83,308.93,-41.5795,0.255,0.452,0.703,1.056,1.748,3.13,0.335,0.87535,0.81382,0.40615,2.72
1,0.75,0.682365,1.088,-24.7345,-1.781,-1.26,-2.214,-2.4525,-2.298,-1.4886,-1.8373,-1.843385,390.28,5.280435,87.0145,1.4774,0.21602,1.01,0.16133,0.212,81.132165,0,0,0,0,263.6,309.23333,-37.905,0.2435,0.452,0.699,1.055,1.7455,3.1205,0.339,0.91978,0.86686,0.411665,2.76
1,1.25,0.64,1.0261,-24.055,-1.7815,-1.229,-2.2145,-2.457,-2.296,-1.567975,-2.130395,-2.1646,389.7,5.24354,87,1.46355,0.2084,1.08,0.103,0.1505,81.45,0,0,0,0,262.805,308.5,-39.017,0.249,0.4535,0.6955,1.0565,1.7465,3.125,0.32222,0.87591,0.8686,0.4093,2.7555
1,1.75,0.72,1.559,-23.736775,-1.7905,-1.229,-2.212,-2.4655,-2.289,-1.568,-2.147935,-2.52833,389.52,5.229,87,1.5309,0.221235,0.9551,0.092333,0.146335,81.5665,0,0,0,0,264.13,308.37,-38.878335,0.245,0.4495,0.6915,1.057,1.747,3.126,0.34,0.8999,0.8299,0.4224,2.66
1,2.25,0.7,1.004,-23.23,-1.803,-1.225,-2.208,-2.4675,-2.2945,-1.6368,-2.271985,-2.5963,389.21,5.23,87,1.40455,0.228105,0.91,0.007,0.081,81.4,0,0,0,0,266.69,308.54,-36.695,0.2455,0.4485,0.695,1.0565,1.748,3.118,0.342,0.92865,0.86088,0.44393,2.6445
1,2.75,0.66,1.348,-24.491,-1.83,-1.2225,-2.2095,-2.4515,-2.306,-1.5935,-2.192105,-2.59649,390.06,5.18132,87,1.340155,0.22045,0.780745,0.019,0.076335,81.43333,0,0,0,0,266.49,308.03,-35.7495,0.249,0.449,0.7095,1.055,1.7505,3.1175,0.36,0.93842,0.86993,0.407,2.725
1,3.25,0.67,1.36,-21.05335,-1.832,-1.221,-2.2045,-2.439,-2.3095,-1.63735,-2.3343,-2.59673,389.595,5.27411,87.01,1.1976,0.2285,0.69525,-0.095333,-0.0235,82.109,0,0,0,0,269.6,308.11,-32.32,0.2405,0.447,0.712,1.0585,1.7625,3.127,0.33166,0.8767,0.79247,0.39041,2.56585
1,3.75,0.62395,1.6606,-24.04,-1.8405,-1.222,-2.206,-2.458,-2.314,-1.628145,-2.5838,-2.5968,389.72,5.261,87,1.3222,0.221,0.70668,-0.025333,-0.01050015,81.771,0,0,0,0,270.34,307.63,-34.2315,0.2385,0.4495,0.7155,1.0545,1.7625,3.123,0.32642,0.8948,0.8207,0.4071,2.64
1,4.25,0.609055,1.3659,-22.828,-1.8365,-1.224,-2.2135,-2.4825,-2.32,-1.6548,-2.62735,-2.5968,390.25,5.28444,87.019,1.1632,0.22542,0.68974,-0.10933,0.0931665,81.467,0,0,0,0,271.833335,307.57,-31.734,0.2415,0.4475,0.7195,1.0545,1.765,3.127,0.33,0.87545,0.8609,0.4019,2.67285
1,4.75,0.741055,1.30455,-20.5795,-1.839,-1.2355,-2.2135,-2.4885,-2.3195,-1.69824,-2.5036,-2.5967,390.05,5.307,87.019,0.9394,0.22942,0.585,-0.099607,0.0185,82.433,0,0,0,0,271.198335,307.83,-31.25,0.245,0.4465,0.722,1.0625,1.76,3.128,0.299,0.85445,0.8208,0.394525,2.583
1,5.25,0.70309,0.9601,-22.525,-1.8375,-1.239,-2.21,-2.4785,-2.322,-1.82875,-2.4059,-2.596695,389.42,5.318,87,1.08944,0.2275,0.45632,-0.085,-0.025835,82.8,0,0,0,0,271.285,307.72,-31.94,0.2415,0.4485,0.7145,1.056,1.761,3.128,0.317,0.83143,0.822115,0.39674,2.5665
1,5.75,0.52098,0.8964,-21.757,-1.847,-1.2465,-2.2115,-2.4785,-2.3205,-1.672405,-2.43174,-2.59675,389.64,5.3377,87.049,1.10767,0.24564,0.39354,-0.181335,-0.136,82.7415,0,0,0,0,268.56,307.38,-33.08333,0.241,0.451,0.7165,1.0615,1.7645,3.13,0.32,0.8484,0.83405,0.3763,2.6018
1,6.25,0.63899,1.466,-21.733,-1.849,-1.2475,-2.2125,-2.4665,-2.319,-1.793965,-2.58304,-2.5968,389.755,5.27752,87.038,1.11347,0.2199,0.552085,-0.1885,-0.34333,82.799835,0,0,0,0,267.77,307.4,-36.5,0.237,0.4525,0.7145,1.0645,1.7625,3.126,0.318,0.84862,0.86256,0.38315,2.65605
1,6.75,0.661,1.0173,-21.712,-1.85,-1.25,-2.207,-2.484,-2.316,-1.80298,-2.5925,-2.5968,389.415,5.26605,87.04,0.856995,0.225005,0.34243,-0.29583,-0.3,83.344,0,0,0,0,269.175,307.015,-35.603,0.238,0.448,0.714,1.063,1.771,3.1215,0.310865,0.82326,0.76337,0.3855,2.7085
1,7.25,0.61,1.0768,-21.94,-1.8585,-1.239,-2.207,-2.494,-2.317,-1.73305,-2.60977,-2.5968,389.555,5.2052,87.032,1.06933,0.2349,0.38981,-0.341075,-0.3265,82.9,0,0,0,0,268.545,307.4,-33.0915,0.24,0.449,0.718,1.064,1.763,3.12,0.31172,0.828675,0.81381,0.39407,2.60755
1,7.75,0.3225,1.26148,-20.09,-1.85,-1.245,-2.215,-2.488,-2.312,-1.70708,-2.63678,-2.5968,389.54,5.26449,87.0405,1.1367,0.22592,0.56096,-0.186665,-0.258,83.086,13.9,12.105,0,0,268.32,307.22,-30.13,0.241,0.445,0.708,1.057,1.75,3.1145,0.29651,0.8211,0.812495,0.4069,2.549
1,8.25,0.285,2.17935,-16.04177,-1.851,-1.247,-2.216,-2.493,-2.317,-1.66319,-2.5745,-2.5968,389.62659,5.313795,87.1,0.986115,0.2117,0.68,-0.25033,-0.0436665,82.4,59.613335,49.517,29.454,6.99465,271.06,307.83333,-8.35265,0.23,0.438,0.699,1.048,1.753,3.1095,0.3246,0.86966,0.82854,0.4364,2.496835
1,8.75,0.05,5.843,-7.11,-1.8485,-1.221,-2.215,-2.47,-2.319,-1.680465,-2.53858,-2.5968,390.045,5.3538,87.1,1.16622,0.19815,1.09,-0.142,0.0525,81.9,123.1,94.3905,62.7865,14.277,269.96,309.57,20.499,0.23,0.43,0.687,1.039,1.749,3.097,0.33887,0.830245,0.79205,0.42715,2.395
1,9.25,0.078,10.285,-0.289,-1.838,-1.204,-2.2105,-2.443,-2.3115,-1.57654,-2.29952,-2.5966,390.015,5.379425,87.113,1.3109,0.203845,1.3083,0.1195,0.397335,80.4,199.066665,132.45,100.41,21.778665,269.89,311.68,53.310665,0.24,0.4375,0.6815,1.033,1.7405,3.083,0.35626,0.869,0.8012,0.456,2.2783
1,9.75,-0.305,17.9645,12.10781,-1.8325,-1.168,-2.206,-2.391,-2.299,-1.567965,-2.184295,-2.57986,389.95,5.40877,87.109,1.7141,0.2165,1.74365,0.417,0.776,79.1515,274.5,166.16667,139.6,25.88,269.535,313.1,81.4085,0.243,0.433,0.682,1.0175,1.725,3.071,0.38,0.888065,0.8217,0.494795,2.264
