DOY2,HR2,NETRAD,G,LE,H,FC,USTAR,CO2,H2O,T_SONIC,PA,TA_1_2_1,RH_1_2_1,WS_1_2_1,TA_1_1_1,RH_1_1_1,WS_1_1_1,SW_IN,SW_OUT,LW_IN,LW_OUT,T_CANOPY_1_1_1,PPFD_OUT,PPFD_IN,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_2_1_A,TS_2_2_A,TS_2_3_A,TS_2_4_A,TS_2_5_A,TS_2_6_A,TS_3_1_A,TS_3_2_A,TS_3_3_A,TS_3_4_A,TS_3_5_A,TS_3_6_A
1,0.25,-8.567,-12.889278948,13.84516758475,30.0098804575,0.53049097866,0.5278303775,412.87558626,12.41423,12.2093,87.14725,11.281,97.48446,6.6559,12.377,94.390497133,6.9881353231,0,1.0456,344.165,362.815,9.882,0.84608,0.1962125,10.435,13.1895,14.021,10.45865,11.533325,12.761625,13.050975,14.110525,15.5722,10.932825,11.611,13.017,13.2191,14.02505,15.504
1,0.75,-7.51152500000003,-12.17074,16.37098379,25.4226820125,0.4813,0.50877469,412.926077045,11.929,12.26652,87.1419275,11.02575,97.6528699935,6.49415,12.1195,94.4774125,6.9365211789,0,0.950574999999999,345.0275,360.7075,9.321,0.83382,0.1761125,10.365,12.97175,14.00325,10.3103,11.388975,12.7495,13.0614,14.10725,15.567825,10.85185,11.46675,12.9959,13.22225,14.025825,15.50055
1,1.25,-8.53000000000001,-10.9747321275,13.10712123575,27.13653163,0.53338161355,0.501394535,413.33066215,12.09993,12.24718975,87.1487575,10.86225,97.893604564,6.254275,12.3465,94.007766065,6.731974600825,0,1.185825,342.86,360.9,9.404,0.8791325,0.1982,10.265,12.742,13.951,10.2894,11.25765,12.747175,13.066875,14.1142,15.56515,10.765875,11.34185,12.97725,13.23415,14.02225,15.4992
1,1.75,-7.2407,-10.4515277775,13.0590632485,32.4486088375,0.54327527743,0.48341579,413.12235565,12.0466625,12.0489925,87.1502725,10.862,98.2295015895,5.85485,11.94275,94.08850001,6.61423,0,1.182375,343.0125,359.1175,8.96425,0.884105,0.182571999955,10.065,12.593,13.9,10.187975,11.146,12.74295,13.076975,14.10915,15.560675,10.643625,11.21875,12.959625,13.2382,14.0233,15.4973
1,2.25,-7.03125000000001,-11.14846,13.84070384175,28.630175,0.55344278136,0.50601325,413.4170999,11.906777811,11.9575475,87.146555,10.748,98.034829937,6.04829999835,11.991,94.288088862,6.813092969875,0,1.0243,343.9225,358.2025,8.9055,0.89105,0.17863,9.83,12.321,13.9,10.1208,11.0368,12.727525,13.07855,14.111575,15.563825,10.543325,11.1116,12.9238,13.245875,14.0213,15.49285
1,2.75,-8.20825000000001,-10.7257896215,16.160203774,22.83382,0.486387697625,0.4842259525,412.7998556125,11.9545575,11.9948975,87.1440325,10.731,98.0523952405,5.9833,11.97,94.33264,6.28724,0.0203500000000004,1.0287,342.1125,357.41,8.7855,0.8864,0.2321,9.66,12.106,13.83,10.048875,10.94255,12.710775,13.088875,14.10725,15.553775,10.43545,11.011125,12.90185,13.248675,14.015525,15.489725
1,3.25,-6.69015000000002,-10.4260948255,15.3666401599999,24.9405237985,0.71922012295,0.502198445,412.9044043125,11.72481884,11.8158,87.1515375,10.499,98.0795240785,5.45355,11.78375,95.0675542935,5.88993129707499,0.0238000000000004,0.968524999999999,341.3475,357.3075,8.74775,0.8915,0.1929,9.651,12,13.8,9.9796,10.84235,12.6814,13.099975,14.109525,15.548775,10.350625,10.9163,12.8759,13.258525,14.017725,15.4862
1,3.75,-6.045275,-10.223747853,11.1701228375,32.12926902575,0.528988119510001,0.4260225,413.26423555,11.3338875,11.62426275,87.1496475,10.6465,98.9443543255,5.31295,11.67,95.488702342,5.48183343702499,0.037,1.058975,342.62,356.43,8.6965,0.8956,0.313135,9.416,11.9,13.73,9.906725,10.761975,12.657625,13.10035,14.111525,15.549575,10.267475,10.823225,12.844875,13.266825,14.01915,15.483
1,4.25,-5.5725,-10.5691445775,17.3371875,25.93504732675,0.843954908875,0.457045,412.630635755,11.631185,11.38098,87.1330125,10.644,98.944295,5.51015,11.27575,95.232855,5.77223500000001,0.0372500000000002,0.949549999999998,343.935,355.66,8.4265,0.893755,0.255215,9.1,11.73,13.7,9.68555,10.6747,12.6314,13.106675,14.10925,15.543775,10.2304,10.725675,12.8152,13.2701,14.0173,15.476775
1,4.75,-5.8343,-9.13324641184999,24.557235,30.114711355,0.48386713393,0.49465203,412.88569196,11.23825468,11.285304,87.133635,10.24,98.3492050335,5.45285,11.2875,95.16322,6.1211548192,0.0280500000000001,0.8965,344.8075,356.0475,8.563,0.909625,0.2576,9.12,11.63,13.63,9.5161,10.589875,12.59625,13.1167,14.106775,15.54515,10.0707,10.630725,12.78635,13.2773,14.01605,15.479875
1,5.25,-7.13045000000001,-10.087095,13.91227093225,24.360423892,0.4938387394325,0.46232,413.18323913,10.874872772,11.41821,87.1150425,10.3555,99.670575,5.1488,11.31275,95.4459575,5.5766556468,0.0114000000000001,1.049925,344.3,355.455,8.45499999999999,1.04848,0.278135,9.048,11.53,13.6,9.37905,10.50735,12.56675,13.117525,14.106625,15.5382,9.924025,10.541475,12.7482,13.278675,14.01235,15.469475
1,5.75,-5.99555000000003,-10.3569681325,23.540645,30.1591322685,0.45007,0.434778895,412.0319293,10.904224275,11.302921,87.1130775,9.9875,98.689005,5.49115,11.24425,95.417823062,5.85665952175,0.00565000000000003,1.1015,339.5025,356.11,8.361,1.23045000000001,0.21594,9.024,11.43,13.5,9.2594,10.41965,12.55425,13.126675,14.107625,15.53505,9.8145,10.4533,12.7155,13.284525,14.01325,15.4722
1,6.25,-6.11915000000002,-9.89489161265,22.3747131345,22.976277855,0.926141183992495,0.4345500825,412.71419099,10.767041591,10.68634775,87.141675,9.587,98.923565,4.89030000055,11.07875,96.065445,5.458912836225,0.0312,0.8542,340.7175,355.8075,8.35725,1.37724500000001,0.24268,8.8,11.26,13.5,9.19095,10.318925,12.537075,13.134625,14.104525,15.5299,9.775875,10.331325,12.681,13.28955,14.0153,15.470475
1,6.75,-5.08100000000004,-7.74563766894999,14.83091643275,20.97743029875,0.667364999999997,0.4540568,411.84739972,10.926245937,10.578064,87.1664,9.5575,99.131985,5.3413,10.42925,95.94392957375,6.0721564822,0.11905,0.977949999999999,338.8125,354.52,8.24975,1.37603500000001,0.36816,8.793,11.16,13.412,9.140525,10.203975,12.50425,13.133575,14.10915,15.528,9.72855,10.203025,12.64485,13.29105,14.0223,15.4701
1,7.25,-2.92867500000003,-6.3946358566,19.91442116875,41.4785599999999,0.649025,0.483912105,412.66918719,11.286613044,10.47951,87.1878025,9.5455,98.618121054,5.50305,10.72425,96.0057901695,6.17769985795,6.80285,3.9712,339.445,354.315,8.33525,3.142775,14.96468,8.709,11.074,13.327,9.109475,10.06495,12.4772,13.1381,14.1081,15.528275,9.667175,10.13805,12.60815,13.2965,14.0122,15.46395
