DOY2,HR2,H,LE,FC,SH,SLE,SC,CO2,H2O,RH,VPD,WS,USTAR,LW_IN,LW_OUT,RH_1_1_1,NETRAD,SW_IN,SW_OUT,G_1_1_1,G_2_1_1,G_3_1_1,TAU,T_SONIC,TA,PA,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC_SIGMA,CO2_SIGMA,H2O_SIGMA
1,0.25,-2.5745075,22.40022,1.9890385,0.353386225,0.2078118,0.281901875,396.932775,17.862865,99.856765,2.351625,3.554459,0.368820275,373.811925,404.910425,96.955265,-20.346855,-0.1908661,1.603642,-4.20754,-9.391183,-10.973485,-0.00422268275,25.834835,18.29183,103.03575,0.92418475,0.68582117325,0.46683985,0.32938705,8.2683245,0.4894708
1,0.75,-3.7329835,16.87166,2.459199,0.341625525,0.8276862,0.22145775,398.691475,17.676855,99.858025,2.5133235,3.59433975,0.396690075,375.226775,403.6565,97.3721175,-18.9450225,-0.0726718,1.61222,-5.042816,-10.6066,-11.8686825,-0.00548029075,25.68692,18.369745,103.025925,0.99070705,0.717451975,0.48819595,0.3386674,7.90435575,0.4196021675
1,1.25,-5.0993885,21.03093,2.1259185,0.43058445,0.8482169,0.1845776,397.9011,17.607635,99.855245,2.154634,3.482995,0.384249925,376.279525,402.9965,97.1255375,-22.5867625,-0.024,1.59581575,-3.9782625,-8.680935,-10.27065,-0.006548429,25.37875,18.235535,103.02225,1.044437161,0.70678675475,0.482122575,0.33279062,8.04791825,0.4182376
1,1.75,-7.46707,15.4204125,2.56843,0.52885845,1.4432785,0.0828275675,398.011875,17.7010475,99.85296,2.2834085,3.302365,0.378033,374.0745,402.510975,97.3273125,-17.739725,-0.12776855,1.72704575,-5.923735,-11.821795,-11.2720425,-0.00628499,25.7407025,18.11789,103.0015,0.921204,0.663488725,0.4548591,0.303980625,4.64687662775,0.411417971
1,2.25,-5.1777425,20.897455,2.45849525,0.61650525,0.577211,0.1596349,397.4138,17.420185,99.8537475,2.305297,3.5473335,0.381141,374.9384,401.796875,97.3815125,-17.0483375,-0.2194814,1.49378325,-6.60544,-11.5354,-10.5578,-0.006197691,25.90396,17.8310125,102.98,0.94869125,0.721897825,0.4912448,0.336321069,5.234507526,0.5005306
1,2.75,-7.1666005,22.2917825,2.5087825,0.104554205,0.346949,0.2747705,399.8819,17.460725,99.85194,2.2286175,3.59655425,0.38894115,379.307675,402.913175,97.4566375,-16.788455,-0.03262173,1.49197725,-7.188435,-11.4879225,-9.815017,-0.0077904385,25.761345,18.053305,102.978825,0.94006965,0.73383094725,0.4888017,0.32341740075,6.083254,0.5371193
1,3.25,-9.854252,19.1004,2.31733,0.451714875,0.9721262,0.3362037,401.8161,17.512675,99.8530325,1.7923395,3.5173705,0.400045025,375.728775,403.806625,97.4180125,-18.21481,-0.144079475,1.49724475,-6.8727025,-11.3414725,-9.59207725,-0.0132640025,25.580165,17.89265,102.980825,0.9606638,0.7392983,0.492224575,0.3438052,6.244017,0.4423064
1,3.75,-10.372835,30.01965,2.63524,0.603042,1.23723,0.1186128,400.8119,17.8001875,99.85305,1.67509575,3.3694435,0.386811125,372.727725,404.5945,97.852905,-17.835125,-0.27642655,1.532609,-6.592285,-11.5240075,-9.383825,-0.01285855,25.367065,18.021255,102.98895,0.966774475,0.66913965,0.4531996,0.35189481375,4.892743,0.4068678
1,4.25,-9.45621825,22.51817,2.433703,0.4181073,0.60878975,0.111486,399.741,18.68325,99.85399,1.596927,3.38805825,0.37882505,381.538275,403.007525,97.958475,-16.75226,-0.14994555,1.55458275,-6.2188825,-12.4475525,-9.2473345,-0.0089629925,25.396635,18.06475,102.992475,0.9406932085,0.7290282,0.487902025,0.31428928525,4.116848,0.36569655
1,4.75,-8.4037305,17.72325,2.67306,0.4355615,0.7567086,0.2375149,402.1198,18.2765,99.8511125,1.6989195,3.269,0.3558181,378.9639,401.8728,98.4356375,-16.182635,-0.255822725,1.492426,-5.7327025,-13.411075,-9.32457025,-0.0179405475,25.3675275,17.786145,102.97175,0.87297,0.678133875,0.451728625,0.33339064525,5.399977602,0.543077473
1,5.25,-7.222461,24.1181425,2.07657,0.5433613,0.6697638,0.1018675,401.4026,18.1531725,99.855105,1.807702,3.376327,0.366675275,381.731775,402.551,98.715335,-15.9705675,-0.2420878,1.4946875,-6.0711825,-13.7484075,-10.2575125,-0.015390765,25.24703,17.82862,102.9617,0.946003325,0.6928606,0.460044675,0.334173675,5.213801,0.4565370205
1,5.75,-11.4359,28.5149,1.99085425,0.693369,0.71614875,0.16559825,401.1135,18.47303,99.857445,1.853797,3.649931,0.3881473,378.2978,403.5051,98.906355,-14.76735,-0.14965945,1.488667,-6.6401525,-13.026715,-10.4861375,-0.0152501,25.35824,18.16434,102.9945,0.9692901,0.7366568,0.4923533,0.323528979,5.204466,0.3245184
1,6.25,-8.893033,28.7598,2.34409,0.4567901,0.676304,0.220634,400.0392,18.1657775,99.8558525,1.83887125,3.4411225,0.375254625,375.31035,402.2645,98.44175,-16.256195,-0.2601156,1.4566115,-6.9548775,-12.213105,-9.71302425,-0.012592305,25.0333725,17.87355,103.014725,0.931913875,0.701272813,0.4840186465,0.30025515,5.036376,0.295561075
1,6.75,-7.842542,24.352405,2.17799675,0.5974463,0.9653582,0.08265695,399.313,18.3725075,99.853785,1.7474775,3.49447525,0.38036455,379.18095,402.855775,98.33267,-15.797505,-0.178847275,1.48972,-6.9057325,-11.67772,-9.77169925,-0.013927495,25.149065,17.8539275,103.0456,0.932984275,0.7001929,0.485529434,0.341993075,5.83887,0.39815255625
1,7.25,-7.0189275,26.224835,2.00934075,0.93053645,1.122408,0.17814,400.799,18.10274,99.855885,1.86204975,3.707162,0.38156005,380.280525,401.79605,98.697365,-12.6670375,5.04077625,2.577626,-5.23348125,-9.4714095,-6.9839625,-0.01611332,25.1093175,17.7377125,103.06655,0.967121175,0.734530225,0.4878942,0.319165125,4.539039,0.414367775
