DOY2,HR2,FC,LE,H,SW_IN,TA,TS_1,RH,USTAR,PA,SW_OUT,NETRAD,PPFD_IN,TS_2,WS,G_1,G_2,G_3,G_4,SG_1,SG_2,LW_IN,LW_OUT,VPD,CO2
10,16.25,0.74937960325,13.6531,1.33615,69.121,6.34333,4.81154,85.53865,0.20303,100.11075,20.5046,13.289725,126.18225,5.01817,2.01585,-1.6314,-1.66145,-3.20459,-3.15402,1.983869164,0.63708811,296.7675,320.175,4.2631,423.9898
10,16.75,0.980734038,9.90239598175,-0.91118025,37.529875,5.61846,4.8268,87.521,0.1795509985,100.118,8.7910975,0.178898,64.477,5.0508,1.87557,-1.4776,-1.5852025,-3.3729625,-3.102895,1.332033683,0.193387043,298.0525,319.225,3.7806,427.3175
10,17.25,1.23392,7.3409125,-1.55889964975,13.242325,4.47328,4.9038375,88.81,0.15168453625,100.137,3.1438075,-9.10706,29.374,5.1832825,1.657,-1.639635,-1.4786925,-3.56648,-3.128995,1.385142343,-0.38007455525,299.54,316.625,2.7938,429.6784
10,17.75,1.367662847,5.71884,-1.00449,2.480455,3.7818025,4.919725,90.06525,0.151703,100.131,1.93,-11.424,7.98061,5.2045925,1.628135,-1.756525,-1.39732,-3.6626675,-3.11248,0.50100701175,-1.6159427345,296.7125,316.495,2.037075,432.6494
10,18.25,1.46434,4.457,-0.38433825,0,2.9251875,4.87915,93.499075,0.1430505,100.108,1.5532775,-14.382,0.71322,5.1629,1.578825,-2.152515,-2.135525,-3.8302875,-3.1235325,-0.8320396935,-1.88184463925,293.5,315.89,1.8808,436.309925
10,18.75,1.58734640575,4.6686025,0.0125,0,2.34363,4.8558,96.71625,0.14641475,100.11775,1.45177,-14.03935,0.073278425,5.125675,1.5383,-2.39337,-2.3896725,-3.8545375,-3.202845,-2.15766197225,-2.76663875,293.22,315.87,1.512125,437.55
10,19.25,1.52557010875,5.42598,0.2708655,0,1.91052,4.84535,98.0005,0.15799775,100.132,1.6522125,-12.328,0.058426,5.11955,1.584,-3.0965075,-2.6764,-3.952515,-3.31924,-3.31838202375,-3.92488012275,288.8825,315.5775,1.47445,439.2925
10,19.75,1.58342747325,6.057327934,-0.092107,0,1.8464875,4.8020825,99.43315,0.171620729,100.131,1.77452,-11.932625,0.05118275,5.0664575,1.6223,-3.182735,-2.79229,-3.9113275,-3.429125,-4.35434529175,-4.4427142155,291.77,315.385,1.5123,439.55
10,20.25,1.51689475875,5.79275310225,0.498765,0,1.77085,4.8073775,100,0.173867,100.137,1.81647,-10.715475,0.04900605,5.049175,1.75504,-3.331205,-2.8439525,-3.94937,-3.42505,-4.04283348025,-4.19641632775,291.61,315.2925,1.7198,442.8065
10,20.75,1.527661689,7.20718763,0.82647913,0,1.72971,4.80141,100,0.1786578905,100.12,1.757895,-11.0676,0.0447378,5.0516975,1.79145,-3.11023,-2.7444375,-3.9667275,-3.45812,-4.2964654695,-4.46497625,293.08,314.52,1.738425,443.9645
