DOY2,HR2,FC,FCH4,LE,H,PPFD_IN,TA,TS,RH,VPD,USTAR,WS,V_SIGMA,TAU,T_SONIC,CO2,H2O,CH4,U_SIGMA,W_SIGMA,PA,LW_IN,LW_OUT,NETRAD,SW_IN,SW_OUT
1,0.25,2.347171,33.34225,12.6602,-7.6035,0,18.14,17.36,87.4511,11.6739375,0.2736,3.051622108,0.490661561,-0.0056628025,21.3436,438.923,23.2821,2622.99,0.789384,0.343827,101.288,312.555661274976,263.029914529915,-3.21266600862464,-4.45693815987934,-0.526973013493253
1,0.75,2.084052,30.6521,13.477,-6.0040925,0,18.88,17.285,79.6295,11.95815,0.2832085,3.272087096,0.483461935,-0.0136314,21.2142,437.631,23.0399,2472.34,0.71888,0.31608,101.288,311.724072312084,266.855413105413,-3.52962681555152,-2.02257164404223,2.14414542728636
1,1.25,2.0854605,29.62075,5.542,-7.65775,0,17.83885,17.24,89.636,11.898305,0.3034315,3.2857203515,0.460978724,-0.00437904,20.9388,439.096,23.032425,2752.09,0.808775,0.376819,101.288,313.748810656518,267.533475783476,-2.41405791900428,-0.531564856711916,2.7552023988006
1,1.75,1.9883245,27.7581,10.75025,-4.4790875,0,17.93885,17.2525,90.5625,11.7887375,0.2548,3.071098505,0.402279445,-0.00335043,20.8987,442.061,22.894875,2601.28,0.909438,0.332655,101.288,314.115128449096,266.260683760684,-2.62572350702476,-0.726933634992459,2.85898050974513
1,2.25,2.19159,38.061625,9.633,-6.108,0,18.483,17.285,89.93,11.55459,0.26645,3.2011319535,0.453476894,-0.01066573,20.6824,445.805,22.7342,2525.15,0.89731,0.365165,101.288,327,261.636752136752,-3.00919502918219,-1.03454751131222,2.71140179910045
1,2.75,2.1692005,37.5997,11.638,-5.91669,0,19.109825,17.245,89.223,11.86326,0.267,3.2558405905,0.4965304105,-0.0126211225,20.9306,458.171,22.9075,2446.05,0.685428,0.32031775,101.288,325.519029495719,263.460826210826,-2.49737224628635,-0.899558823529412,2.77143740629685
1,3.25,1.99101,35.64785,13.9006,-4.4555,0,19.11215,17.1275,86.609,11.35414,0.2693,3.377267028,0.4833889915,-0.00358322,20.9961,452.383,22.92285,2456.61,0.786257,0.374174,101.288,319.937202664129,261.413105413105,-2.71020849303858,-0.959781297134238,2.46517991004498
1,3.75,2.3230995,39.881175,10.4,-5.1595,0,19.15565,17.015,83.3025,11.99392,0.2772125,3.1702722955,0.395275583,-0.00167,21.0177,452.644,22.6949,2454.7575,0.750489,0.322841,101.288,320.260704091342,263.571225071225,-2.40236765101611,-1.41877828054299,2.39582458770615
1,4.25,1.974742,39.8043,5.71075,-6.7676,0,19.4277,16.96,81.61825,11.9842375,0.2646,3.0789343565,0.4028934545,-0.00347043,21.2035,457.773,22.4175,2496.95,0.644188,0.288486,101.288,330.061845861085,263.061965811966,-2.62214056094126,-0.924140271493213,2.24322338830585
1,4.75,2.06724,45.8796625,3.506,-5.066,0,19.66385,16.935,85.923925,11.42062,0.2342,2.778788007,0.38135116,-0.000823186,21.1056,459.737,22.2658,3255.35,0.607786,0.282149,101.288,326.545195052331,263.326210826211,-3.57300390528718,-0.733119909502262,2.39292353823088
1,5.25,2.291672,51.955025,7.4095,-5.962,0,19.83595,16.905,79.8202,11.675785,0.2143685,2.711869845,0.355028413,-0.00154505375,20.9264,465.044,22.5208,3299.1375,0.744603,0.280624,101.288,332.982873453853,259.80698005698,-2.34385895287653,-0.628549773755656,2.33973763118441
1,5.75,2.20021,57.1307,7.482655,-4.9685,0,19.84755,16.875,75.143375,11.125845,0.22915,2.7390495085,0.348387632,-0.0007984575,20.4621,442.11025,22.5031,3944.1,0.646061,0.282638,101.288,337.481446241675,259.066239316239,-2.24019408847613,-1.06441176470588,2.66096701649175
1,6.25,2.03179,38.939,4.9605,-2.5939225,0.000505980552,19.9216,16.845,81.8686,10.80931,0.24075,2.861142702,0.4560168945,-0.0026842875,20.8845,461.518,22.1668,3118.96,0.695612,0.306153,101.288,335.495718363463,257.564102564103,-2.18614493771213,-0.753693815987934,2.3757796101949
1,6.75,2.445134,43.131,0.841,-5.283,0.0830570114,19.818375,16.815,86.422,10.64114,0.2506,2.8461490415,0.39955632975,-0.0045225775,21.817125,472.166,22.538575,2826.9675,0.71437825,0.3227425,101.32475,335.850142721218,259.583689458689,-0.759531017014112,0.978978129713423,3.0016604197901
1,7.25,2.7305605,49.704075,9.16325,-7.11,35.43334524,19.852125,16.7925,86.0676,10.73549,0.256175,3.01288290875,0.4074071085,-0.0100642433333333,21.646625,472.37875,22.783825,2529.83,0.94486625,0.36100475,101.3245,339.933634633682,264.100071225071,20.9168297073183,36.5079374057315,15.598931784108
1,7.75,2.20614925,52.361675,18.81625,1.612,123.22,20.1274,16.7625,89.3455,10.4084575,0.3068,3.303974357,0.530813739,-0.0156059091666667,21.8386125,464.9635,23.14925,2458.92,0.995689375,0.39170675,101.328125,345.451474785918,268.714387464388,92.9779564403319,122.886877828055,28.815179910045
