DOY2,HR2,TAU_1_1_1,H_1_1_1,LE_1_1_1,FC_1_1_1,WS_1_1_1,USTAR_1_1_1,T_SONIC_1_1_1,PA_1_1_1,CO2_1_1_1,H2O_1_1_1,U_SIGMA_1_1_1,V_SIGMA_1_1_1,W_SIGMA_1_1_1,T_SONIC_SIGMA_1_1_1,TA_1_1_1,RH_1_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,G_1_1_1,G_1_2_1,G_1_3_1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,PPFD_IN_1_1_1,NETRAD_1_1_1
1,0.25,-0.009961125,1.4603225,17.1465,2.02109,3.129275,0.205891,19.351425,102.52175,482.60225,11.60705,0.6267335,0.558995,0.234159,0.2838585,9.05,93.7,10.68,10.69,10.8725,1.74959,1.3427425,2.106555,-1.68792,1.93333,332.93175,363.015,0,-25.15495
1,0.75,-0.007638265,2.09237,16.8312,1.599535,3.1656225,0.186657,19.0573,102.51625,483.614,11.3472,0.685027,0.50763225,0.23561175,0.304702,8.93,94.4,10.635,10.6325,10.83,1.18271,1.0403225,1.7991825,-1.5566375,2,333.13275,363.049,0,-23.9803
1,1.25,-0.008846395,1.278015,18.499975,1.508925,3.1071175,0.2011305,18.835675,102.502,481.615,11.10455,0.64893325,0.5776175,0.2144595,0.29989,8.83,94.65,10.565,10.595,10.765,0.8809135,0.822581,1.5983575,-1.500375,2,327.997,363.01575,0,-25.748175
1,1.75,-0.00869275,1.259055,18.31695,2.035265,3.1846075,0.1967525,18.682375,102.51175,488.16875,11.334725,0.60314025,0.547997,0.207404,0.296134,8.66,94.7,10.505,10.54,10.74,0.5301795,0.709677,1.15164,-1.65041,2.033335,326.452,362.734,0,-25.0918
1,2.25,-0.01151935,0.89065125,16.4625,2.1406325,3.48132,0.209607,18.677375,102.52125,492.1345,11.275325,0.73392725,0.652198,0.223198,0.3312405,8.465,94.85,10.45,10.495,10.71,0.1549755,0.403226,0.91393425,-1.68792,2.1,329.566,362.6435,0,-22.979575
1,2.75,-0.01199205,0.367362,20.94675,2.310275,3.2133175,0.196454,18.420525,102.5285,492.8265,11.025625,0.625458,0.56022875,0.22728875,0.267902,8.23,95.2,10.37,10.465,10.685,0.0163132,0.1532255,0.606557,-1.76294,2,328.393,361.659,0,-21.28815
1,3.25,-0.01235535,2.83393,23.025975,1.967465,3.7495425,0.215944,18.4294,102.531,490.4425,11.0501,0.707397,0.626344,0.234881,0.32181375,8.35,95.35,10.335,10.445,10.655,-0.440457,-0.016129,0.262295,-1.65041,2.1,329.7785,360.485,0,-23.6125
1,3.75,-0.0086174525,3.33191,19.0365,1.7498825,3.571285,0.21737725,18.36955,102.5215,494.9725,10.8752,0.7061245,0.607591,0.2505425,0.2939285,8.265,95.1,10.32,10.385,10.59,-0.8564435,-0.241935,-0.03688525,-1.50038,1.93333,332.0665,359.702,0,-26.6567
1,4.25,-0.0127877,2.8057225,17.6842,1.4924075,3.143475,0.2253065,18.5799,102.514,489.5565,11.08075,0.7601535,0.5241705,0.25343275,0.29635175,8.215,95.2,10.285,10.355,10.565,-1.39478,-0.6532255,-0.147541,-1.65041,1.93333,325.613,357.8835,0,-26.03875
1,4.75,-0.00863678,3.3877175,18.543,2.1700475,2.950555,0.20442975,18.52855,102.531,491.47975,11.051,0.66411475,0.50815025,0.25196575,0.2884205,8.1,95.25,10.25,10.32,10.535,-1.786295,-0.967742,-0.672131,-1.68792,1.833335,326.7485,355.52575,0,-23.8025
