DOY2,HR2,CO2,CH4,H2O,FC,FCH4,G_1_1_1,G_2_1_1,H,LE,PA,RH,T_SONIC,TA,VPD,LW_IN,LW_OUT,SW_IN,SW_OUT,NETRAD,PPFD_IN,PPFD_OUT,TS_1_1_1,TS_2_1_1,TS_2_2_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_3_6_1,TS_3_7_1,TS_3_8_1,TS_3_9_1,TS_3_10_1,TS_3_11_1,TS_3_12_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_6_1,TS_4_7_1,TS_4_8_1,TS_4_9_1,TS_4_10_1,TS_4_11_1,TS_4_12_1,TAU,U_SIGMA,V_SIGMA,W_SIGMA,USTAR,WS
4,5.75,452.206,2055.46,1.37211,0.02337115,0.359474,-5.40675,-4.68625,-14.89065,-0.192395,101.346025,81.075,-15.81575,-16.74,0.253097100568,217.375,238.95,18.725,16.4410268905273,-21.265,36.6375,35.78,-5.32525,-6.53468405108115,-6.10925,-4.99481203750837,-5.403,-5.2505,-5.176,-5.1045,-5.08897474139278,-4.96009260602344,-4.92481490233354,-4.8825,-4.70296245155681,-4.73951479080877,-4.78925,-10.02,-8.45797222157189,-6.865,-6.044,-5.86175495818041,-5.724,-5.2955,-4.974,-4.83601602828273,-4.7485,-4.63271821947449,-4.69542243966517,-0.0669846,0.326675025400804,0.261893395317848,0.107933188757148,0.09894035,0.798
4,6.25,452.17125,2055.2525,1.440155,0.0269492,0.018238,-5.5962914263699,-4.76375,-10.88895,-0.255445,101.339492793766,81.0735322546292,-15.4315,-16.4275,0.256810449987565,217.044422028551,242.325,57.1469003552345,44.1114732676019,-15.625,93.9,95.15,-5.33806529894536,-6.57075,-6.1289249315756,-5.01300531082296,-5.40399378784326,-5.24025,-5.17274233041882,-5.10290928279709,-5.08804433967643,-4.961,-4.9225,-4.87628537243668,-4.71643785371957,-4.75695870381715,-4.786,-9.56713574467564,-8.54551421743463,-6.71472299585722,-6.0435,-5.8605,-5.714,-5.2855,-4.97004730260772,-4.8345,-4.75202565953339,-4.6516264538711,-4.70084239554465,-0.072734,0.313941526067902,0.227461401734775,0.128995675503649,0.1165255,1.612
4,6.75,452.08275,2056.4675,1.6395675,0.023587375,-0.1766375,-5.76150020268849,-4.80625,-12.047475,-0.2560255,101.351225,80.33828634731,-14.489,-15.5790939155305,0.261536684950212,217.367306774028,248.643572247503,111,88.225,-1.97039720639527,209.325,206.65,-5.35167503056171,-6.6088980140241,-6.14723426193338,-5.01625,-5.3955,-5.2505,-5.1735,-5.10265765605467,-5.077,-4.95077385482772,-4.90964157962382,-4.88364343850627,-4.71853370671113,-4.7627954811182,-4.78175,-9.48,-8.5,-6.786,-6.04544095775247,-5.84742153585493,-5.70348315056628,-5.28396583019337,-4.971,-4.82465359891354,-4.7501931688183,-4.65804952592751,-4.69696437605134,-0.069771,0.381456682134388,0.271515944358858,0.127999657887188,0.11618,1.482
4,7.25,451.84425,2055.63,1.7006125,0.03813675,0.412103,-5.90309423061403,-4.8275,-8.9149825,-0.2515275,101.351225,78.705,-14.10725,-14.652527886975,0.259269129251825,212.6,253.494720179405,154.125,129.8,7.54,315.525,317.125,-5.36875,-6.6519038985112,-6.166,-5.0125,-5.39,-5.26342532164798,-5.182,-5.0995,-5.073,-4.938,-4.9126120293962,-4.87691796210699,-4.7065,-4.752,-4.78125,-9.4325,-8.4875,-6.78575,-6.0435842583381,-5.84050024481713,-5.69313529343731,-5.283,-4.978,-4.812,-4.7385,-4.6465,-4.6835,-0.076523975,0.392293407022142,0.294858892242,0.119462443667963,0.1132575,1.23175
4,7.75,451.6995,2055.37,1.69065,0.01330165,0.328766,-6.01621352840922,-4.77615255444613,-7.401095,-0.14268925,101.3449,75.9075,-13.912,-13.785,0.280075281530182,211.2,257.22830480907,204.675,167.544345476157,14.51,439.338096301818,412.290447113606,-5.37480740329291,-6.6955,-6.19025,-5.00818288053392,-5.30164091954921,-5.26025,-5.16175,-5.07562234005741,-5.06125,-4.92025,-4.88675,-4.84878157248402,-4.675,-4.7085,-4.684,-9.11695761305956,-8.46,-6.74360429959232,-6.00375,-5.79198483117489,-5.6615,-5.221,-4.92775,-4.7925,-4.711,-4.59925,-4.64325,-0.08193345,0.420563281396774,0.298185868980351,0.144476123611088,0.1356395,1.409
4,8.25,451.335,2052.785,1.866885,0.0279635,-0.126621325,-6.07825,-4.74575,-7.88704,-0.17342025,101.326579479207,71.95,-12.4735,-12.7175,0.295947318962096,206.925,261.85,253.95,221.137489673392,17.0723405477764,570.4,552.325,-5.38725,-6.7365,-6.205,-4.99875,-5.34525,-5.2835,-5.1305,-5.072,-5.038,-4.90025,-4.867,-4.838,-4.64675,-4.67225,-4.6595,-8.7925,-8.0985,-6.8125,-5.937,-5.77825,-5.64025,-5.2085,-4.89175,-4.782,-4.694,-4.56775,-4.62025,-0.0852635,0.395707453155561,0.358119574250005,0.1428371177572,0.1375525,1.2415
4,8.75,450.823,2051.425,2.1053825,-0.0024522125,-0.268976,-6.06700253286776,-4.705,-3.25949,0.208132,101.319883186235,71.7275,-12.193,-11.7026410582577,0.29723762430567,204.775,265.369197307124,306.9242907168,259.435968279804,23.495,687.75,660.4,-5.40061730386745,-6.75125,-6.22,-4.9865,-5.33720451979784,-5.28773046898762,-5.13575,-5.07890611496892,-5.0397343772779,-4.90369655370834,-4.869,-4.827,-4.63625,-4.66,-4.62664095279727,-8.7125,-7.99125,-6.76925,-5.93377884251542,-5.77706211653768,-5.62066193716208,-5.196,-4.89308306496952,-4.775,-4.69475,-4.5785,-4.62625,-0.095043225,0.456166048800387,0.326286577985675,0.14601388021326,0.1420405,2.657
4,9.25,450.41325,2051.8525,2.1993325,-0.0216204,-0.58703675,-5.98725,-4.55275,2.634415,0.47061,101.344165588744,73.5775,-11.69025,-11.0325,0.302944477845066,204,268.725,364.95,310.05,34.250868096908,840.25,791.875,-5.40925,-6.74475,-6.2355,-4.97646746158959,-5.32575,-5.28925,-5.13752464463057,-5.07725,-5.05425,-4.89225,-4.864,-4.82423786879203,-4.63365955325947,-4.65451947554919,-4.6145,-8.5175,-7.85375,-6.6755,-5.93125,-5.773,-5.60570479413653,-5.18675,-4.893,-4.7744846309324,-4.69077294155623,-4.57565439218379,-4.62844815040504,-0.092828875,0.489346124841087,0.339731716264918,0.153864368995825,0.125462,2.269
4,9.75,450.52225,2050.4875,2.24667,0.0046665525,-0.561216,-5.75875,-4.39069873479866,-1.424215,0.5777655,101.3766,73.11,-10.95925,-10.6125,0.313587156913047,205.55,270.25719686946,403.1,344.775,42.095,933,882.5,-5.414,-6.70728566835158,-6.2525,-4.96697519657593,-5.3120676107372,-5.2795,-5.13425,-5.04525,-5.05325,-4.8885,-4.84068887272184,-4.81775,-4.62275,-4.64,-4.61070313480936,-8.2325,-7.6752640365926,-6.607,-5.93075,-5.76825,-5.59375,-5.18775,-4.887,-4.76775,-4.6785,-4.533,-4.6255,-0.092177475,0.483426316081732,0.420408244063939,0.167001981569336,0.1462995,2.454
4,10.25,450.39775,2049.56,2.3372025,0.01544305,-0.0948042425,-5.54636583973406,-4.22775186711435,1.6438835,0.698244,101.3909,72.8295877203825,-10.595,-10.5102935384557,0.32144245522018,205.128476328981,274.1,472.083608203798,396.385980684724,49.3587577413946,1049.8036578792,993.732245548452,-5.42375,-6.61966223342917,-6.2645,-4.95479988228076,-5.34079824728389,-5.2815,-5.152,-5.0485,-5.053,-4.8875,-4.837,-4.819,-4.6225,-4.635,-4.611,-7.66876297794303,-7.52061585097524,-6.59128050956206,-5.963,-5.774,-5.59930784525928,-5.1905,-4.9135,-4.776,-4.68,-4.5365,-4.62,-0.0879737,0.484996134413611,0.401155096521108,0.164581403029176,0.14647225,2.85
