DOY2,HR2,CO2_1_1_1,H2O_1_1_1,FC_1_1_1,SC_1,G_1_1_1,G_1_1_2,G_1_1_3,H_1_1_1,LE_1_1_1,SH_1_1_1,SLE_1_1_1,WS_1_1_1,USTAR_1_1_1,TAU_1_1_1,U_SIGMA_1_1_1,V_SIGMA_1_1_1,W_SIGMA_1_1_1,RH_1_1_1,TA_1_1_1,VPD_1_1_1,T_SONIC_1_1_1,TS_1_1_1,TS_1_2_1,NETRAD_1_1_1,PPFD_IN_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,NEE_1_1_1,PA_1_1_1
1,0.25,409.066122,5.745466,0.814842,0.036378,-13.46901,-11.22347,-10.27707,-9.008545,2.500731,-0.443435,-0.100896,1.11562,0.119887,-0.019107,0.455855,0.372192,0.18755,91.802355,2.600693,0.495085167,3.0450435,8.750382,9.389542,-38.847695,0,-0.741795,1.1863415,279.9415,317.6143,1.019553,101.775777
1,0.75,410.8196005,5.6938435,0.879608,-0.013037,-13.38326,-11.03,-10.6013,-8.832771,1.7897925,-0.73639,-0.1312355,1.0708355,0.117029,-0.0176015,0.4407875,0.37894,0.1644285,92.544673,2.401384,0.5364370825,2.857077,8.790254,9.369123,-36.644695,0,-0.653051,1.298032,281.511,314.45125,1.044751,101.745553
1,1.25,411.367895,5.666353,0.9246395,0.034991,-13.21371,-11.22468,-11.2028,-9.751291,0.743516,-0.561585,-0.059125,1.1253725,0.113511,-0.0167225,0.3886105,0.367572,0.1457835,92.571443,2.1687945,0.58283,2.6324215,8.757648,9.2367,-33.094305,0,-0.7320025,1.2321715,282.84125,315.55075,1.140348,101.7269535
1,1.75,409.379213,5.650574,0.88421,-0.0083515,-13.29309,-11.49,-10.90243,-7.9981475,1.808058,-0.390648,0.078789,1.115618,0.10152,-0.013705,0.427091,0.391963,0.15169,92.574876,2.17975,0.5449068005,2.16672,8.74,9.256697,-32.46215,0,-0.713575,1.187079,281.6931,314.5923,0.985666,101.755469
1,2.25,409.497363,5.5904845,1.005793,-0.018434,-13.603505,-11.906685,-10.843925,-10.8626285,3.7853805,-0.4531505,0.026804,1.329531,0.128037,-0.0207455,0.458622,0.402558,0.19862,93.131538,2.167588,0.5021159375,2.3652085,8.6185395,9.2706065,-29.2163925,0,-0.791812,1.131731,283.8733,313.9223,1.045781,101.75
1,2.75,409.108899,5.65383,0.9853195,-0.0465015,-13.50805,-12.16333,-10.85644,-12.3912365,3.004766,-0.345055,-0.149045,1.352481,0.16366,-0.0328245,0.456528,0.449491,0.206596,92.998169,2.121722,0.517297837,2.254747,8.528453,9.2342585,-30.828373,0,-0.790677,1.163137,283.34965,313.793,1.306596,101.778765
1,3.25,410.343486,5.65572,0.979247,0.030114,-13.22493,-12.03871,-10.73661,-12.9095665,3.677255,-0.121739,-0.0029925,1.46244,0.127791,-0.020378,0.434392,0.476368,0.19522,92.749928,2.2523775,0.594842775,2.170405,8.5093685,9.190446,-26.9999685,0,-0.828538,1.181147,287.69505,313.6795,1.047148,101.78
1,3.75,409.355212,5.526989,0.8806335,0.022261,-13.24331,-11.979605,-10.743935,-12.602949,4.582073,-0.48763,-0.0894335,1.321378,0.15098,-0.029149,0.449803,0.427811,0.204778,92.654061,2.067918,0.5579233395,2.329335,8.5024095,9.14,-24.88657,0,-0.968199,1.187042,289.1476,315.4561,0.902247,101.782
1,4.25,409.259263,5.672731,0.760618,-0.015562,-13.087515,-11.957145,-10.645855,-14.008987,3.3553415,-0.295285,-0.0473315,1.432526,0.148269,-0.028165,0.428713,0.404422,0.207897,92.801125,1.7817515,0.589543,1.736948,8.4968315,9.078366,-28.39649,0,-1.0048475,1.149768,282.84255,313.35125,0.8459685,101.779
1,4.75,408.890132,5.4701085,0.917212,-0.007926,-13.24393,-12.155,-10.59493,-11.169673,5.180743,-0.319183,-0.1380855,1.245297,0.1562875,-0.030336,0.460298,0.40117,0.195461,91.91262,1.512365,0.636680185,1.356868,8.509309,9.1272885,-28.92117,0,-0.758374,1.224745,288.454,311.952,1.056357,101.8
1,5.25,409.523863,5.3314,0.8315215,0.0001525,-13.45,-12.39,-10.92234,-11.2731715,3.619026,-0.4353875,-0.114857,1.3276,0.156838,-0.030554,0.490029,0.467317,0.225783,92.25058,1.192212,0.68722258,1.082896,8.43648,9.001358,-27.19721,0,-0.809498,1.274481,290.7848,310.7971,0.941047,101.8135
1,5.75,409.8940065,5.250862,0.838341,0.023144,-13.52,-12.43437,-10.92182,-8.0990305,3.220157,-0.25997,-0.041744,1.3036315,0.1581545,-0.027429,0.451962,0.419432,0.2088135,91.79785,0.902394,0.654121,0.630142,8.368765,8.9316725,-23.214871,0,-0.935805,1.287752,290.6833,311.1712,0.833786,101.810663
1,6.25,410.944692,5.1511935,0.936972,0.0225355,-13.72456,-12.66,-10.72535,-13.066156,2.9911505,-0.512539,0.042096,1.1684915,0.1284075,-0.021572,0.4278285,0.400135,0.17676,92.08283,0.410262,0.578390837,0.113142,8.228587,8.81,-26.36244,0,-1.182568,1.194085,291.3202,310.027,1.191882,101.821185
1,6.75,410.8788035,5.2260005,0.983775,-0.004124,-13.70557,-12.6689,-10.65,-10.937898,2.873025,-0.312884,-0.0678655,1.231997,0.1190825,-0.017787,0.42783,0.378655,0.1783785,92.3884,0.3912175,0.515383091,0.265,8.23698,8.7,-24.84515,0.122541,-0.988527,1.148358,290.5123,309.7569,1.066864,101.8395145
1,7.25,410.790807,5.1865935,0.760464,0.011521,-13.63971,-12.69,-10.8602,-7.373937,4.949105,-0.184945,-0.079036,1.275866,0.1364475,-0.023773,0.442203,0.4232315,0.186376,93.36544,0.1476995,0.419444,0.5982225,8.29,8.8497545,-17.67245,11.34297,3.354893,2.261378,290.8195,311.12,0.896855,101.880515
1,7.75,412.387222,5.571238,0.9827365,-0.0241295,-13.02932,-12.74526,-10.542835,-5.301744,10.156711,0.899118,0.2547785,1.449986,0.1848825,-0.043412,0.4956395,0.4413615,0.230763,93.9667605,0.53218,0.513133333,1.0644245,8.3270435,8.831496,1.722492,77.1623,39.016595,12.799665,296.9505,312.277,1.154155,101.920405
1,8.25,409.875746,6.104478,0.3568145,-0.049307,-12.47,-12.75854,-10.73318,1.19605,25.357068,2.52242,0.466892,1.794887,0.272095,-0.095154,0.675559,0.575557,0.358852,88.941694,2.126272,0.993387,2.485062,8.175014,8.8166985,30.51025,217.1637,118.7289,27.18728,298.2784,318.1596,0.502918,101.919448
1,8.75,408.1237225,6.349098,-0.0009875,-0.128649,-11.70054,-11.9906,-10.11056,24.691279,38.337944,2.6646355,0.303402,2.01378,0.331575,-0.14156,0.809133,0.740717,0.436234,84.218201,3.511836,1.353039496,3.895106,8.588846,9.056245,77.95238,356.93605,197.56665,34.81455,286.05025,329.0024,-0.1480625,101.884776
1,9.25,406.83342,6.711594,-0.2606815,-0.1150195,-9.92,-10.92012,-9.470885,39.827501,45.544248,2.20068,0.063639,2.226196,0.388725,-0.191666,0.943418,0.844271,0.47437,78.41748,4.808964,1.852094984,4.887,8.691631,9.184785,144.91936,552.1047,282.1849,45.31272,273.3304,336.1299,-0.327836,101.8863245
1,9.75,406.1951245,6.714037,-0.95181,-0.0944475,-7.53,-10.24513,-8.795986,84.596563,52.339263,2.49947,-0.335587,2.562502,0.421611,-0.222668,1.072536,0.958387,0.528526,74.947347,6.094361,2.223978146,5.705547,9.105519,9.515,201.38577,678.03345,356.59175,50.23188,271.3836,345.2517,-1.0081855,101.9068525
1,10.25,404.5049995,6.667919,-1.074783,-0.081054,-4.212994,-8.951869,-7.531051,105.866087,61.402788,2.369456,-0.124682,2.619402,0.442026,-0.241194,1.095418,1.009276,0.54389,69.75364,6.662471,2.750065,6.529246,9.344954,9.6073215,246.7831,757.31445,383.0874,55.37429,273.3933,353.5401,-1.198142,101.830009
1,10.75,404.4306,6.596726,-1.590896,-0.058283,-0.7275435,-6.705935,-5.528811,119.498215,63.367391,2.167337,-0.129204,2.82093,0.439256,-0.24845,1.134009,1.058653,0.557401,65.58304,7.288896,3.13529,7.631214,9.513028,9.5,273.6446,808.2256,423.8475,56.77058,278.4806,359.66,-1.704538,101.85065
1,11.25,403.8381235,6.5889625,-1.362427,-0.0511855,0.5019475,-4.306634,-3.220682,146.862473,69.5087025,1.655028,-0.007564,2.851234,0.463252,-0.2745715,1.1390025,1.1313355,0.5615625,62.1011775,8.2377465,3.634878086,8.4165235,9.525166,9.53,299.87385,884.9927,477.35675,60.15839,283.9996,365.732,-1.5341305,101.757965
1,11.75,403.178238,6.459692,-1.523601,-0.0538865,2.933,-2.903886,-1.449693,140.602866,72.136845,1.715535,0.011729,2.827884,0.450201,-0.256084,1.177922,1.158663,0.593592,62.10211,8.957887,3.9065965,9.061825,9.440696,9.569052,320.0093,969.2555,483.8196,62.82268,279.3926,370.2063,-1.69482,101.719
1,12.25,402.6769025,6.497581,-1.444272,-0.053835,4.626158,-1.198055,0.121285,126.483298,76.9393585,1.0767595,-0.0302905,2.824787,0.452807,-0.25622,1.225082,1.165308,0.568429,59.363318,9.355867,4.324507168,9.617319,9.4,9.6,308.6141,939.7073,465.259,61.00948,283.6015,370.951,-1.595109,101.677754
1,12.75,402.064956,6.3480765,-1.609215,-0.04,5.539157,1.540068,1.261826,133.971788,74.541639,0.86147,0.077907,2.9017985,0.4770405,-0.277842,1.2029475,1.1891325,0.581263,57.416235,9.627796,4.696425766,9.9362335,9.552363,9.718078,279.31025,897.0177,453.5501,62.51313,286.27755,372.41885,-1.6752415,101.64825
1,13.25,401.925572,6.305235,-1.699966,-0.031908,6.505476,1.909836,1.8286415,130.975595,69.8743375,1.101141,0.1520985,2.838596,0.45628,-0.254778,1.176006,1.193786,0.5575,54.5135845,9.954869,5.05706037,10.235475,9.71558,9.778189,286.749045,968.6283,456.61245,61.77791,283.8167,374.19915,-1.841695,101.612075
1,13.75,401.673148,6.401679,-1.5837635,-0.008023,8.177221,2.086193,2.345189,111.850283,67.175318,0.590474,0.01386,2.854888,0.465355,-0.272944,1.168009,1.185801,0.5556685,54.51125,10.10382,4.9521696995,10.1445475,9.707679,9.8701475,237.1899,840.6053,410.9105,57.793395,280.8537,374.0676,-1.601622,101.588182
1,14.25,401.6299465,6.3466645,-1.44013,-0.026105,5.536,1.536927,3.3056445,90.610747,64.9187505,0.569024,-0.03192,2.616089,0.4441205,-0.242682,1.1663855,1.1565745,0.5499265,52.28999,10.4297,4.961980328,10.161921,9.887447,9.9245435,211.5404,778.92875,383.53885,56.55746,281.12325,371.77775,-1.6378115,101.564253
1,14.75,401.656316,6.093896,-0.9784265,-0.014367,5.466561,1.6432315,2.647303,60.255821,55.987002,0.074067,-0.046419,2.617596,0.424447,-0.218757,1.077752,1.01203,0.505293,52.5610205,10.53473,5.058354949,10.25,10.08523,9.9665235,154.11493,665.22825,321.57675,46.31799,278.9117,369.60485,-1.1600035,101.6117595
1,15.25,401.980549,6.05875,-0.5669785,-0.015308,4.36169,0.534435,0.996325,36.167575,47.2150625,-0.205812,0.090141,2.564895,0.409673,-0.197841,1.018015,0.937004,0.473114,53.86204,10.30314,4.951219048,10.075,10.24043,9.9990765,99.67746,507.8523,233.9131,39.219705,279.2173,366.0028,-0.687037,101.6146925
1,15.75,401.917155,6.244983,-0.159231,0.00686,2.707085,0.075648,0.3118345,12.640059,38.952854,-0.4314415,0.0317685,2.29502,0.350804,-0.15674,0.912133,0.866063,0.430361,55.96836,9.916418,4.837381729,9.900472,10.229235,9.9389275,44.95395,359.5359,163.036,28.73643,280.5627,360.5481,-0.289053,101.617724
1,16.25,401.7540305,6.144935,0.185067,0.005294,0.6469365,-1.219105,-1.0480875,-6.8696915,25.706566,-0.94112,-0.063797,2.085143,0.3038435,-0.1116745,0.8163805,0.709461,0.373654,56.37029,9.323235,4.6278645,9.3798105,10.30721,9.965408,1.749264,200.377,90.82303,18.27689,276.222,354.8454,0.247411,101.58735
