DOY2,HR2,USTAR,TA,WS,NEE,FC,SC,H,LE,SLE,G,TS_1,TS_2,TS_3,RH,PA,CO2,NETRAD,PPFD_IN,SW_IN,SW_OUT,LW_IN,LW_OUT,H2O,TAU,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC,T_SONIC_SIGMA,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1
1,0.25,0.2695935,-3.591,4.00547025385,1.1031109096,1.0817,-0.003129418,-22.79225,1.493385,-0.001218221,-1.3265278,0.104,0.1,0.279,88.820845363,78.80507,399.01452561,-38.03,1.382,0,0.673,255.1,288.2,4.0141886331,-0.04091775,0.8652255953,0.7624854597,0.34022908685,-3.7305,0.3391390653,0.3,0.05,1,1.8,3.1
1,0.75,0.266857,-3.515,3.83276,0.99569872225,0.987623,-0.0020833335,-20.0008,0.333070341,-0.007968672,-1.539310944,0.108,0.101,0.281,88.598486989,78.79042,399.95516118,-38.918,1.386,0,0.651,253.6,287.5,4.05658886895,-0.0307465,0.8816172639,0.827149926,0.3354802528,-3.6555,0.3451217177,0.3,0.05,1,1.8,3.1
1,1.25,0.255783,-3.588,3.89255,0.9487945,0.9453375,-0.003194444,-19.3149,1.68488609705,0.0188804779,-1.730502269,0.101,0.11,0.275,88.913051843,78.775025,400.381171555,-37.583,1.381,0,0.707,252.7,288.7,4.0376432744,-0.03551865,0.8266920598,0.8080522699,0.3521550089,-3.577,0.3565038569,0.3,0.05,1,1.8,3.1
1,1.75,0.274151,-3.644,3.6878385527,1.0221922222,1.04227,0.0025,-18.722169415,1.69494,0.0156560174,-1.598571264,0.093,0.114,0.28,89.559925109,78.763485,401.183428985,-35.663,1.378,0,0.633,256,288.1,3.9664839666,-0.0378752,0.8423161664,0.7905721197,0.34409129625,-3.449,0.3526499681,0.3,0.05,1,1.8,3.1
1,2.25,0.289732,-3.669,3.953678342,0.9347967778,0.986632,-0.001884152,-22.625,1.0199677536,0.05636846115,-1.211198654,0.092,0.113,0.28,89.68359302,78.76647,400.641819435,-31.618,1.366,0,0.646,258.1,288.1,4.0135381261,-0.0414277,0.8364437842,0.81917603455,0.33487683525,-3.523,0.3698526734,0.3,0.05,1,1.8,3.1
1,2.75,0.2706505,-3.666,3.94065,0.94732366665,0.92961,0.0027777778,-20.839760685,1.547835,0.0140238051,-1.784528573,0.123,0.121,0.287,89.544627592,78.7779,400.76854484,-31.446,1.392,0,0.659,261.5,288.3,4.0501419641,-0.031413,0.9196825539,0.8348490882,0.362513448,-3.505384,0.35890635515,0.3,0.05,1,1.8,3.1
1,3.25,0.262858,-3.574,3.95596,1.0533145279,1.0635255706,0.0021527778,-22.31201724,1.91526472875,0.0210999151,-1.64923668,0.125,0.114,0.283,89.609926627,78.7804,400.32614682,-33.846,1.412,0,0.6,261.6,287.6,3.7813786562,-0.0331128,0.8960362328,0.8397969623,0.3614181803,-3.37,0.341739667,0.3,0.05,1,1.8,3.1
1,3.75,0.250172,-3.6255,3.8704318372,1.15062833855,1.1804,0.005,-21.53065,1.99194,0.00120805635,-1.585271091,0.1185,0.125,0.277,89.1139693375,78.77605,400.82852175,-28.792,1.4075,0,0.6285,264.25,287.05,3.93313031725,-0.033524,0.8671068076,0.7780339964,0.34960635715,-3.591,0.3709915028,0.3,0.05175,1,1.8,3.1
1,4.25,0.2613621949,-3.749,3.97167,1.0859122222,1.080855,0,-23.2194,3.11966,0.0254664462,-1.3596681785,0.122,0.1225,0.279,89.000782295,78.7685,401.38265343,-30.3825,1.419,0,0.6355,262.05,286.95,3.9116862386,-0.0328514,0.8818738247,0.791915989,0.36004169915,-3.656963,0.3698996527,0.3,0.0675,1,1.8,3.1
1,4.75,0.2546612442,-3.745,4.10311601685,0.9772136484,0.97725751965,-0.000694444,-20.8001,2.544548527,-0.008791135,-1.8069682385,0.1355,0.119,0.28,89.0367549395,78.74805,400.91831699,-31.1995,1.442,0,0.56,259.95,286.7,3.9085156698,-0.0358901,0.8222913109,0.8080853915,0.3394790126,-3.741585,0.3636825714,0.3,0.05,1,1.8,3.1
1,5.25,0.2555625,-3.7165,4.05282,1.04112333335,1.01967,0.0003345199,-18.6213,2.57869623965,-0.0564516565,-1.4709613285,0.135,0.1125,0.2835,86.9870782525,78.7319,400.765165965,-29.273,1.4325,0,0.6145,258.6,286.2,3.8434914394,-0.0342618,0.8668940978,0.80327559005,0.3276158881,-3.653,0.3548596804,0.3,0.0865,1,1.8,3.1
1,5.75,0.2650775,-3.6245,3.912085,0.95542881245,0.9353745,0.0040277778,-18.8989,2.509865,0.0164155493,-1.7874840945,0.133,0.1115,0.281,87.8100257335,78.73199,401.09024273,-27.9995,1.4205,0,0.57,263.15,286.3,3.8641460428,-0.0350453,0.8704664438,0.7970589771,0.3206542176,-3.682,0.3831096388,0.3,0.05175,1,1.8,3.1
1,6.25,0.254146,-3.6315,3.8171,1.06167,1.07367,-0.001458333,-23.48608914,3.425425,0.0147548179,-1.6022294395,0.1445,0.117,0.2835,88.082048168,78.7266,401.591026035,-31.497,1.3985,0,0.6455,261.1,286.55,3.9590709129,-0.0304416,0.7981528676,0.7152398199,0.314693025,-3.728,0.3643555955,0.3,0.06575,1,1.8,3.1
1,6.75,0.273824,-3.694,3.7881932559,1.0190811111,1.0118246032,-0.002638889,-21.8376,3.16431,0.02229126105,-1.548547346,0.139,0.1235,0.2845,87.572795373,78.740815,401.244249985,-29.3275,1.397,0,0.554,259,286.3,3.8879057713,-0.0286682,0.8202347225,0.8018584663,0.3122840054,-3.779,0.3975693077,0.3,0.06925,1,1.8,3.1
1,7.25,0.2570399146,-3.627,3.75904,0.9647933333,0.938994,0.0055555556,-21.95545,2.77219,-0.002909298,-1.637638536,0.14,0.1285,0.2845,87.6533040915,78.76147,401.405513,-28.8145,1.405,0,0.5845,258.7,286.3,3.9479925516,-0.0348763,0.8209890768,0.8262951451,0.31337874375,-3.8905,0.40636601195,0.3,0.07025,1,1.8,3.1
1,7.75,0.2750150935,-3.716,3.51342,0.9921268889,0.959422,0.0025,-17.6304,2.4695,-0.0360782435,-1.4579934645,0.138,0.1085,0.287,89.296023857,78.78886,400.93119083,-27.7725,1.7195,0,0.747,259.8,286.55,3.7153039728,-0.0253703,0.8473883407,0.8121477698,0.3288023723,-3.838,0.418597702,0.3,0.05,1,1.8,3.1
1,8.25,0.279267,-3.7665,3.6391,0.9859866667,0.9808231825,0.00596202885,-18.087417995,3.901095,-0.0447409465,-1.618668819,0.1405,0.125,0.279,89.330605751,78.7936,399.51293889,-25.892,12.635,2.8555,4.4995,260.7,286.55,3.7822478928,-0.0283226015,0.8468485819,0.8397172477,0.35512609835,-3.4665,0.39166904685,0.3,0.06925,1,1.8,3.1
1,8.75,0.2785405,-3.683,3.569674382,0.9680820576,0.969679,0.0043555915,-20.8953,2.71677,0.0017776141,-2.109215726,0.1295,0.114,0.279,88.39509786,78.79634,399.74490375,-19.615,54.17,20.735,19.1,261.35,287.8,3.8785385162,-0.0256921,0.8640259218,0.77776151165,0.33934592585,-3.819215,0.37109755245,0.3,0.0885,1,1.8,3.1
1,9.25,0.278007,-3.32,3.6977209619,0.8967318889,0.882782,-0.005,-20.13005,4.09334,0.0280154529,-2.5716549285,0.103,0.086,0.254,88.8616278675,78.82654,400.32695541,1.74,137.7,65.595,41.1,262.05,289.15,3.9425026935,-0.034549,0.8523115628,0.7876839468,0.3333181663,-3.613,0.36628331825,0.3,0.05,1,1.8,3.1
1,9.75,0.28771,-3.0345,4.0306540431,0.9783037778,0.9960045,-0.011706998,-17.1419,3.4153,0.06377338375,-3.33859778,0.0395,-0.002,0.181,87.5446562995,78.831,399.01531215,15.995,237.25,120.3,78.845,264,289.35,3.8900705898,-0.0332644,0.89596862915,0.8113941117,0.34357383,-3.271,0.3364460905,0.3,0.06825,1,1.8,3.1
1,10.25,0.2879815,-2.836,3.99359,0.9875607176,0.999039,-0.0064583335,-17.3314119,5.785445,0.1144468753,-2.112582175,0.0225,-0.0275,0.1695,87.307610814,78.8417,398.432324315,28.25,341.3,181.2,116.85,255.85,290.7,4.018211543,-0.0394213,0.8478283627,0.82172326425,0.35194681115,-3.293,0.3190173921,0.3,0.09075,1,1.8,3.1
1,10.75,0.28180970015,-2.633,3.9723424415,0.8836183333,0.914112,-0.012306231,-15.8326,9.30606,0.12828059815,-1.614889784,0.013,-0.0315,0.162,86.2103363045,78.86515,399.60496108,48.7,454.9,234.05,151.85,256.75,292.45,4.2078656257,-0.03735415,0.88120586405,0.8209552507,0.3415469089,-2.705,0.30877517465,0.3,0.09675,1,1.8,3.1
