DOY2,HR2,FC,SC,LE,SLE,USTAR,H,SH,V_SIGMA,CO2_1_1_1,H2O_1_1_1,CO2_1_1_2,H2O_1_1_2,CO2_1_1_3,CO2_1_2_2,H2O_1_2_2,CO2_1_2_3,CO2_1_3_2,H2O_1_3_2,CO2_1_3_3,CO2_1_4_2,H2O_1_4_2,CO2_1_4_3,CO2_1_5_2,H2O_1_5_2,CO2_1_5_3,WS_1_1_1,T_SONIC,T_SONIC_SIGMA,WS_1_2_1,WS_1_3_1,WS_1_4_1,WS_1_5_1,TA_1_1_1,TA_1_1_2,TA_1_2_1,TA_1_3_1,TA_1_4_1,TA_1_5_1,PA,RH,VPD,T_CANOPY_1_1_1,T_CANOPY_1_2_1,T_CANOPY_1_3_1,T_CANOPY_2_3_1,SW_DIF,SW_IN_1_1_1,SW_IN_1_1_2,SW_OUT,LW_IN,LW_OUT,LW_BC_IN,LW_BC_OUT,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,PPFD_IN_1_5_1,PPFD_OUT,PPFD_BC_IN_1_1_1,PPFD_BC_IN_2_1_1,PPFD_BC_IN_3_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_9_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,TS_2_8_1,TS_2_9_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_3_6_1,TS_3_7_1,TS_3_8_1,TS_3_9_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_6_1,TS_4_7_1,TS_4_8_1,TS_4_9_1,TS_5_1_1,TS_5_2_1,TS_5_4_1,TS_5_5_1,TS_5_6_1,TS_5_7_1,TS_5_8_1,TS_5_9_1,G_1_1_1,G_2_1_1,G_3_1_1,NETRAD
1,0.25,-1.42515809656978,-2.25016271618664,-20.0839631816277,-3.25327581769512,0.0620450296734438,-143.37730199289,-13.2237927821967,0.297717063362826,410.172287696537,4.75141442237155,410.824201188868,4.64298104164286,412.602150895023,411.076657523319,4.78339357301718,412.621553484247,411.33939199454,4.87149109305015,413.487900058554,411.388893877122,4.90325212176382,412.32122077301,412.128704748148,4.89684266617912,412.660821470026,0.633879537938649,-0.886426009310086,0.0955525627607157,0.504,0.42875,0.172,0.07925,-1.125065,-1.43855,-1.512975,-1.3370825,-1.88593,-3.2102,95.79587475,58.065,0.04391,-1.139,-0.458,-0.40375,0.828,0,-3.733,0.595,-1.17075,239.8,304.945,302.785,314.35,-0.0605,-0.15,0.12,-0.04,-1.49,-0.04,-0.16,-0.04,-0.2405,2.18875,2.72655,3.36745,4.473175,5.410875,6.66485,6.74475,8.946175,1.8721,1.8494,3.50075,4.00605,4.3153,5.4559,6.66605,7.5482,1.88385,2.8092,3.78045,4.00435,5.05995,5.50805,5.70445,7.155,7.55455,1.858525,2.525125,3.2522,3.90295,4.1351,4.91815,5.845425,6.4722,7.68435,1.7817,2.51705,4.5353,4.262275,5.627825,6.52065,7.298975,8.1956,-7.3224,-8.8735,-6.42805,-73.596
1,0.75,-1.36342582377526,-4.02322985668262,-12.9756688607887,-6.48974416431384,0.0547051548666141,-149.743288524315,-11.9375223803788,0.303104124557224,410.099085064886,4.70062712676516,410.640968324701,4.43170562982775,412.913664274736,410.745638524928,4.55619278908965,413.214826829126,410.711138399256,4.74973347014103,413.16256445951,410.981042916103,4.74567217119604,413.31284094655,411.335871039173,4.5965705612441,413.460331595863,0.560779253561447,-0.924991456261078,0.0899509125834567,0.5385,0.41,0.1735,0.07,-0.9199225,-1.2452,-1.38319,-1.520415,-2.0185025,-3.25267,95.7971685,59.239,0.03029,-1.172,-0.51675,-0.486,0.7605,0,-3.6955,0.6,-1.12675,239.955,303.985,302.2,314.195,-0.07,-0.15,0.11,-0.04,-1.49,-0.04,-0.16,-0.04,-0.24075,2.18885,2.729575,3.33825,4.4762,5.413125,6.6706,6.75425,8.94575,1.8411,1.836975,3.500975,3.9972,4.31355,5.4569,6.665275,7.54895,1.86995,2.7967,3.775175,3.978075,5.058325,5.5099,5.704175,7.1557,7.55325,1.8626,2.503925,3.2276,3.901725,4.1316,4.919,5.8435,6.4716,7.6841,1.7935,2.472675,4.53005,4.2686,5.626975,6.5224,7.29805,8.193475,-7.5183,-9.5695,-6.5472,-61.6935
1,1.25,-0.80099767113082,-2.94949000900915,-17.751214413551,-9.90976602204051,0.0540670748158968,-114.685261160782,-11.8317211025453,0.265994787368653,410.558541734995,4.66217296870172,410.410210440423,4.44354943713302,411.93858000179,410.346053808701,4.56330702253613,412.227978281161,410.502955196749,4.67741637187882,412.150825993665,410.906655928067,4.76189398797394,412.695025887938,411.168587462171,4.69062354824206,412.920865702596,0.624862339427203,-0.970995688421402,0.117276073237483,0.448,0.39,0.18,0.07,-1.02671,-1.44575,-1.43693,-1.606025,-2.16622,-3.3066,95.788376,57.545,0.039065,-1.20675,-0.557,-0.562,0.704,0,-3.87375,0.59,-1.112,240.5,304.11,302.37,314.21,-0.07,-0.15,0.11725,-0.04,-1.49,-0.04,-0.16,-0.04,-0.261,2.1758,2.7324,3.3119,4.4763,5.4154,6.672125,6.76365,8.945325,1.7948,1.8258,3.5002,3.9965,4.31235,5.4572,6.6645,7.5479,1.8602,2.7822,3.7407,3.9532,5.05615,5.51075,5.703,7.1564,7.5519,1.866,2.466,3.206,3.9006,4.1294,4.9188,5.841,6.4724,7.6848,1.794,2.4446,4.5178,4.2738,5.6235,6.5232,7.2965,8.1915,-7.5801,-9.798,-6.629475,-70.26125
1,1.75,-0.581003242280109,-1.62107231641067,-7.82482381520808,-4.91773300159151,0.0552573055971214,-192.083835130734,-11.1413139337016,0.235330812234862,410.466035091653,4.62244868003817,410.787407294999,4.19420564704085,412.498832871696,411.006720059337,4.48859803621153,412.913667422781,411.027101434758,4.6537511599803,412.689443578184,411.300778453124,4.77449642785071,413.115822504559,412.384286821586,4.63188205487555,413.3596716976,0.606318617068272,-1.32359447767725,0.0986860214235986,0.44,0.3865,0.173,0.08,-1.40881,-1.759,-1.71648,-1.914375,-2.20715,-3.36042,95.785865,57.3975,0.040955,-1.162,-0.591,-0.65,0.705,0,-3.834,0.5,-1.111,240.64,304.02,302.65,314.36,-0.06,-0.15,0.11725,-0.04,-1.49,-0.04,-0.16,-0.04,-0.241,2.166,2.7369,3.2948,4.4782,5.4178,6.65865,6.764,8.944325,1.7556,1.8175,3.5042,3.9955,4.31115,5.4582,6.668375,7.5491,1.8216,2.7719,3.73245,3.9394,5.053975,5.511175,5.7021,7.1572,7.55,1.8728,2.4312,3.19,3.9009,4.1271,4.9205,5.839,6.4724,7.685,1.7737,2.4413,4.5112,4.2807,5.6245,6.526,7.2956,8.1906,-7.807625,-9.898525,-6.715875,-72.59375
1,2.25,-0.318342277543878,-3.17673564368817,-26.2760000423481,-4.06422099919251,0.0575657793099033,-171.822745394605,-13.6304595666597,0.203815043459741,410.651113029337,4.62178319979909,410.947575654753,4.25908664229708,412.725333313288,411.402323338119,4.31271718482382,412.865710943556,411.528849030144,4.3766690042176,413.147573268506,411.782257033441,4.70148325780808,412.85591753762,412.963822579055,4.43402082990001,414.794668736383,0.576618180853055,-1.07010585649111,0.0917435435920267,0.49,0.39,0.18125,0.07,-1.25332,-1.5823,-1.72037,-1.89056,-2.45777,-3.40042,95.841593,57.765,0.035705,-1.5925,-1.192,-0.781,0.557,0,-3.7875,0.49,-1.15,241.15,303.25,302.46,313.94,-0.061,-0.15,0.1175,-0.047,-1.49,-0.04,-0.16,-0.04,-0.24,2.1535,2.7425,3.2776,4.4802,5.4206,6.65025,6.753,8.9436,1.7176,1.8075,3.5083,3.9948,4.30995,5.4602,6.67945,7.5494,1.7702,2.7627,3.71345,3.9248,5.05135,5.51155,5.701875,7.158,7.5481,1.8797,2.3997,3.1757,3.9011,4.1248,4.9213,5.838,6.473975,7.684875,1.7711,2.4399,4.5052,4.2868,5.6246,6.5286,7.2947,8.1896,-7.9137,-9.5885,-6.7539,-65.95375
1,2.75,-1.86174572555947,-1.91821469680537,-15.1993004158408,-5.88369854000358,0.0519227294403394,-132.510129821498,-7.0452924760952,0.259358772458638,410.664567130609,4.61060724635102,410.781680319217,4.11311451182907,412.481832445598,410.889851004396,4.30221426952683,412.759555322726,410.918224844444,4.52666189433438,413.313101935989,411.330828541489,4.54479188452145,413.668874820435,413.301901844148,4.3630924124847,413.465419466883,0.594230795191597,-1.3070505247379,0.0969297944528976,0.428,0.374,0.18125,0.07,-1.30212,-1.7477,-1.80585,-1.946895,-2.58528,-3.49552,95.863556,57.3445,0.039375,-1.5375,-1.247,-0.536,0.302,0,-3.372,0.6,-1.049,241.34,303.31,304.41,312.9,-0.07,-0.15,0.12,-0.04,-1.49,-0.04,-0.16,-0.04,-0.25,2.1366,2.751,3.266,4.4803,5.4222,6.63975,6.7546,8.943325,1.6794,1.8019,3.5134,3.9941,4.308525,5.4612,6.683475,7.5506,1.7363,2.7466,3.7099,3.9119,5.049175,5.511975,5.71525,7.1579,7.5453,1.8829,2.3994,3.1631,3.9005,4.1225,4.923,5.8361,6.473975,7.68425,1.769,2.4352,4.4988,4.2938,5.6256,6.5302,7.2937,8.1895,-8.008425,-9.89335,-6.71725,-69.932
1,3.25,-2.82621070084256,-3.76093722691034,-9.56374312798442,-4.18831525253359,0.0397994646299825,-109.008545150155,-10.849640291379,0.22810125071194,410.867394056752,4.81429917880353,410.792160695407,4.29020649705432,413.057104152905,411.25769752209,4.43605572672642,412.823275440548,410.975338841804,4.48375765053454,413.013814247802,411.96639091192,4.61522457300483,413.085606404579,412.243578157596,4.22125518631778,416.718100894924,0.633601610216345,-1.19447143314468,0.0933390499597211,0.523,0.417,0.2,0.07,-1.32194,-1.8254,-1.71522,-2.055955,-2.56743,-3.40489,95.875892,57.1945,0.03412,-1.3725,-1.199,-0.78,0.34,0.09,-3.661,0.6,-1.126,242.59,303.73,303.74,312.13,-0.06,-0.15,0.12,-0.047,-1.49,-0.03,-0.16,-0.04,-0.294,2.1092,2.7614,3.2538,4.4807,5.423,6.6302,6.7536,8.9426,1.6465,1.8148,3.5185,3.9937,4.307325,5.4632,6.685275,7.5526,1.7226,2.7233,3.7143,3.9,5.048,5.512925,5.734375,7.1579,7.5434,1.8852,2.3992,3.1522,3.9007,4.1209,4.9247,5.835,6.47475,7.6835,1.7427,2.4178,4.4928,4.3007,5.6248,6.5325,7.2926,8.1875,-8.087,-9.6805,-6.879,-67.068
1,3.75,-0.426948798116369,-2.19029965361686,-18.5928417345896,-4.7884875230542,0.0456041788088738,-90.4347240391092,-13.0157309518517,0.189325495852039,410.898060019901,5.04036823451537,410.870709964764,4.34417721184004,412.416911200243,410.639716910999,4.3674807509189,412.452114088661,410.93229292419,4.4159318035181,412.733284617029,411.578854888397,4.54914648563426,413.028104352361,412.698305206929,4.28725048115847,413.613796991984,0.649913940578639,-1.19540072946294,0.0923471722404545,0.52925,0.45375,0.1845,0.07,-1.456085,-1.949825,-1.75671,-2.18988,-2.35551,-3.36461,95.8554725,57.499,0.02886,-1.258,-0.79375,-0.90075,0.50475,0,-3.736,0.6,-1.1045,243.025,304.185,302.8175,312.1725,-0.06,-0.15,0.12,-0.04,-1.49,-0.03075,-0.16,-0.04,-0.24,2.086575,2.77505,3.25105,4.4821,5.42575,6.6249,6.7575,8.942325,1.642825,1.834575,3.532275,3.9985,4.3038,5.4669,6.68505,7.55385,1.71595,2.703875,3.721625,3.89475,5.046375,5.51335,5.741775,7.1591,7.541625,1.8876,2.402075,3.1441,3.9,4.1244,4.9278,5.8355,6.47475,7.68285,1.68805,2.392475,4.490975,4.311025,5.626575,6.53575,7.2919,8.187625,-8.201,-9.74515,-6.93475,-61.535
1,4.25,-1.16343154365646,-1.79181877709845,-18.3332581311878,-5.60570889885306,0.058769696676967,-119.327640827331,-11.1337824770508,0.236206137190046,411.140543676019,4.72306187025234,410.908492784554,4.12809296257551,412.931340652171,411.349096517799,4.40606457515155,414.073924293265,411.093913524603,4.62578690727469,412.68649793808,411.426940432752,4.56808981195596,412.86139911881,412.968031528723,4.3546893663317,413.537146003319,0.678352405759958,-1.51132173598086,0.0861285317662038,0.47,0.387,0.16375,0.079,-1.66966,-2.1182,-1.96826,-2.376395,-2.42797,-3.36233,95.953717,60.92,0.027505,-1.431,-1.226,-0.504,0.176,0,-3.847,0.69,-1.042,241.43,304.12,303.05,312.92,-0.07,-0.15,0.12,-0.047,-1.49,-0.04,-0.16,-0.04,-0.24,2.0714,2.7797,3.235,4.4826,5.4259,6.607525,6.761775,8.942325,1.6379,1.849,3.529,3.9939,4.3032,5.4671,6.6844,7.5504,1.6967,2.6875,3.718,3.8761,5.04375,5.51215,5.73775,7.1596,7.5398,1.849,2.3915,3.1351,3.9016,4.1266,4.9281,5.8321,6.474,7.6819,1.665,2.3721,4.484725,4.3147,5.6242,6.5366,7.2909,8.1854,-8.2619,-10.220775,-7.08335,-65.9275
1,4.75,-0.837427438657473,-2.314502804838,-28.6862122475148,-6.17860004255974,0.0599519647075583,-106.844403458304,-12.7433286846404,0.240774187422537,411.434738920666,4.74081476354634,411.392709784684,4.14310839344156,412.42994165392,412.060354149804,4.32153702305945,412.428320117144,411.628786846832,4.61240266346789,412.915804547986,412.238804766535,4.45479728152199,414.118823445093,412.592433047996,4.23793349070969,413.933396045049,0.675594431624696,-1.56773307435486,0.107226764197097,0.487,0.4,0.1815,0.07,-1.64018,-2.3151,-2.00313,-2.3072625,-2.557555,-3.53585,95.932125,60.6275,0.017175,-1.748,-1.095,-0.71,-0.00399999999999995,0,-3.524,0.59,-0.99,248.23,302.65,302,313.15,-0.07,-0.15,0.12,-0.04675,-1.49,-0.04,-0.16,-0.04,-0.293,2.0539,2.7899,3.2264,4.4858,5.431,6.60235,6.765375,8.9416,1.6314,1.8515,3.5198,3.9942,4.3016,5.4682,6.6844,7.5497,1.6668,2.6669,3.71235,3.865,5.041575,5.51295,5.736875,7.1595,7.538875,1.8163,2.3695,3.1274,3.9025,4.1299,4.9307,5.831,6.4748,7.6827,1.6751,2.3673,4.4769,4.3207,5.6243,6.5393,7.29,8.18325,-8.235,-10.36295,-6.8908,-68.4775
