DOY2,HR2,WS,U_SIGMA,V_SIGMA,W_SIGMA,TA,T_CANOPY,RH,PA,T_SONIC,T_SONIC_SIGMA,CO2,H2O,FC,NEE,H,LE,USTAR,SW_IN,SW_OUT,LW_IN,LW_OUT,SW_DIF,PPFD_IN,PPFD_OUT,NETRAD,G_1_1_1,G_1_1_2,G_1_1_3,G_1_1_4,G_1_1_A,TS_1_1_1,TS_1_1_2,TS_1_1_A,TS_1_2_1,TS_1_2_2,TS_1_2_A
1,8.75,3.34255,0.70985,0.5583,0.3028,1.068,2.334,78.05,97.8634,0.85225,0.2634,409.0167,6.6661,0.06215,0.06215,14.8731,29.3171,0.29135,122,33,265.7,313,34.25,329,40.22,31.606,-11.62,-17.23,-11.64,-18.47,-14.9425,3.125,2.636,2.8805,4.793,4.378,4.52
1,9.25,3.48675,0.7275,0.7569,0.3792,2.601,4.04,76.98,97.8904,2.72605,0.2398,407.717,6.9982,0.6403,0.6403,31.1519,38.13455,0.30175,200.3,42.53,261.9,323.6,41.38,526.9,48.64,64.91,-6.587,-4.406,-7.631,-14.03,-8.9995,3.102,2.645,2.8735,4.769,4.366,4.4955
1,9.75,4.252,0.7781,0.7791,0.4386,3.476,5.632,76.17,97.8978,3.5547,0.1422,407.011,7.2565,0.28185,0.28185,42.1759,51.408,0.3153,279.6,54.57,268.3,331.7,51.21,711.1,60.34,120.83,-1.747,9.69,-0.704,-6.357,1.4448,3.106,2.742,2.924,4.744,4.344,4.4695
1,10.25,4.5925,0.78955,0.7937,0.4252,5.122,7.284,70.21,97.9017,5.4537,0.2556,406.2981,7.4095,0.0642,0.0642,60.8384,67.9244,0.29935,339.3,64.61,271.6,340.8,58.93,869,72.32,155.8,8.43,20.46,3.386,6.38,12.845,3.168,2.939,3.067,4.721,4.328,4.4435
1,10.75,4.5187,0.9803,0.863,0.40735,6.498,8.31,64.83,97.8982,7.15715,0.276,404.8836,8.2633,0.93285,0.93285,83.78665,70.7792,0.37175,415.4,75.39,278.3,348.4,65.29,1003,85.9,192.3,14.14,33.97,9.64,12.63,18.2575,3.243,3.114,3.1785,4.696,4.301,4.4195
1,11.25,4.1502,1.0493,0.9233,0.416,7.559,9.93,61.24,97.8643,8.6863,0.23825,403.6864,8.4167,0.89465,0.89465,97.46675,78.9838,0.3884,457.1,83.8,288.6,358.6,82.1,1108,98.4,237.5,20.92,55.81,16.18,24.08,23.2208,3.304,3.407,3.3555,4.673,4.284,4.396
1,11.75,4.6121,1.0126,0.8918,0.4865,8.64,10.7,59.61,97.8154,10.02515,0.2914,403.7912,8.03915,1.0074,1.0074,94.5577,78.53945,0.5018,493.1,86.7,284.5,362,89.1,1183,96.7,229.1,29.48,64.47,23.01,31.75,34.4625,3.418,3.811,3.6145,4.648,4.264,4.372
1,12.25,5.0581,1.0102,0.8595,0.4699,8.71,11.28,58.29,97.7586,10.5183,0.27745,404.6987,8.5627,1.467,1.467,87.8775,93.5993,0.4646,514.8,86.3,285.6,365,86.4,1155,96.9,219.61,32.36,71.98,29.17,45.27,41.9375,3.581,4.06,3.867,4.628,4.259,4.364
1,12.75,4.5297,0.9434,0.9675,0.4435,8.76,11.82,57.31,97.6918,10.9223,0.2702,404.9492,7.8676,1.28605,1.28605,81.2312,95.8177,0.4386,521.2,96.7,290.6,367.9,67.6,1264,104.9,260.5,36.02,77.17,31.75,65.63,47.26,3.795,4.625,4.217,4.604,4.256,4.3585
1,13.25,4.8909,1.0582,0.9764,0.4848,9.28,12.65,55,97.6204,11.79435,0.269,404.0106,7.89615,1.48085,1.48085,78.9981,95.679,0.4702,516.5,91.7,296,371.5,72.84,1213,96.9,272.5,36.66,77.33,31.85,71.06,49.8175,4.049,5.171,4.6885,4.584,4.271,4.364
1,13.75,5.0116,1.1009,1.0223,0.5125,10.775,13.015,51.985,97.59065,12.2963,0.2902,405.9121,8.03615,1.1979,1.1979,79.6213,95.8075,0.4445,523.3,91.15,297.35,374.3,55.735,1205,100.9,296.605,32.305,75.775,34,63.335,52.3075,4.4975,5.642,5.111,4.755,4.4905,4.602
1,14.25,5.2397,1.2199,1.04,0.5207,11.48,13.185,49.045,97.5591,13.7273,0.28425,403.89375,8.0345,1.485,1.485,50.7386,98.04135,0.4867,485.05,86,299.65,375.8,51.975,1124,96,228,29.45,71.585,27.445,60.43,47.125,4.592,5.923,5.39975,4.507,4.5045,4.60125
1,14.75,5.5373,1.18,1.1717,0.5142,11.44,12.81,47.21,97.5276,13.8937,0.4336,403.70315,7.7656,1.6272,1.6272,50.12055,80.1041,0.4981,433.85,81.55,300.1,373.6,53.385,1012,96.85,196.1,28.235,60.02,25.235,49.895,41.235,4.826,6.247,5.642,4.487,4.398,4.366
1,15.25,5.2611,1.005,1.0292,0.48,11.575,12.285,45.405,97.5201,14.00795,0.49785,403.7205,7.6619,1.3705,1.3705,35.3687,81.73565,0.4138,353.5,70.34,303.8,369.65,48.49,873.5,91.6,149.9,22.25,35.86,20.855,34.765,29.18125,5.077,6.446,5.824,4.515,4.321,4.418
1,15.75,4.6412,1.0061,0.7736,0.4261,11.53,11.87,43.54,97.5318,13.98785,0.41445,403.4547,7.63925,1.09425,1.09425,27.051,65.46435,0.3855,282.85,59.15,297.45,367,42.26,705.7,79.265,104.9,17.13,23.66,15.27,26.555,21.375,5.336,6.718,6.11275,4.546,4.4855,4.508
1,16.25,4.3509,0.896,0.7355,0.3766,11.41,11.47,43.005,97.5191,13.9406,0.3952,403.57065,7.1845,0.6363,0.6363,0.7851,49.7265,0.337,211.75,45.84,295.7,363.35,37.555,501.6,56.16,61.94,12.85,13.43,11.555,19.74,14.80125,5.5075,6.785,6.20125,4.59,4.5855,4.573
1,16.75,3.7569,0.7996,0.6548,0.3177,11.1,11.035,45.43,97.50375,13.5185,0.42165,404.0017,7.74515,0.40475,0.40475,-5.3613,34.39315,0.2853,130.65,31.27,295,358.3,31.575,304.95,37.59,23.2895,8.5615,5.5065,5.4365,14.29,7.97445,5.6295,6.75,6.22275,4.638,4.6865,4.6405
1,17.25,3.0525,0.7287,0.5041,0.29285,10.365,9.485,50.445,97.52575,12.83,0.3133,403.6839,7.9565,0.39175,0.39175,-19.9261,20.44645,0.2497,52.655,13.7,294.5,348.2,23.26,108.4,15.74,-26.685,2.3015,1.1425,1.0515,8.127,2.48775,5.765,6.6425,6.21875,4.6925,4.7595,4.71175
1,17.75,2.66865,0.4306,0.4115,0.2424,8.3555,7.32,56.14,97.6167,11.4947,0.2775,404.73715,7.57825,0.8798,0.8798,-34.9052,17.2491,0.1968,6.1805,2.569,284.3,334,12.38,18.23,1.3675,-52.315,-2.829,-8.7645,-4.108,0.1475,-4.3122,5.668,5.9985,5.83325,4.6575,4.7695,4.73325
