DOY2,HR2,PA,TA,RH,SW_IN,SW_OUT,LW_IN,LW_OUT,NETRAD,PPFD_IN,PPFD_OUT,WS,TS_1,TS_2,G_1,G_2
1,0.25,98.2775,-21.6785,76.6775,0,0.105618,219.67895,249.2297,-47.3399,-0.00379455,-0.091545,2.9922,-3.635425,-4.4048,-11.645,-9.68715
1,0.75,98.3175,-21.83125,75.792,0,0.1022975,217.899075,241.21945,-44.6302,-0.00416135,-0.090497,2.283175,-3.64345,-4.390325,-11.69175,-9.723975
1,1.25,98.365,-21.94425,75.15325,0,0.16766,217.235525,243.3059,-40.229475,-0.005218425,-0.08966875,2.7229,-3.65025,-4.393275,-11.706,-9.779425
1,1.75,98.3825,-22.53125,75.721,0,0.1365625,215.575625,243.953475,-38.21995,-0.0041858,-0.09111875,2.5448,-3.671575,-4.424925,-11.65575,-9.8428
1,2.25,98.3525,-22.55625,75.81575,0,0.12858125,214.58855,243.2365,-37.85895,-0.004082475,-0.0880205,3.249525,-3.68175,-4.43685,-11.607,-9.9129
1,2.75,98.31,-22.80425,75.1435,0,0.08349825,214.194025,239.5155,-37.969125,-0.00341305,-0.0855425,2.718125,-3.691725,-4.446225,-11.55625,-9.99055
1,3.25,98.2925,-22.80525,74.96,0,0.0648605,214.223975,238.083775,-40.457225,-0.0025841,-0.08357025,3.2156,-3.702425,-4.448825,-11.50825,-10.06915
1,3.75,98.305,-22.642,74.71025,0,0.16531,215.4171,238.881,-40.01105,-0.003661725,-0.08449625,3.41505,-3.715025,-4.4607,-11.471,-10.121075
1,4.25,98.32,-22.99775,75.1125,0,0.1461425,214.624275,240.363325,-39.839325,-0.00590835,-0.086454,3.1609,-3.724275,-4.479375,-11.43625,-10.17475
1,4.75,98.3525,-23.23075,75.28675,0,0.11656525,214.2444,239.34155,-36.9689,-0.00891185,-0.0872105,2.609975,-3.72695,-4.491625,-11.401,-10.23
1,5.25,98.3725,-23.806,76.55675,0,0.040486,214.04885,237.906625,-39.65015,-0.00341415,-0.080987,3.0251,-3.740525,-4.51075,-11.36625,-10.27525
1,5.75,98.36,-23.51125,76.8435,0,0.1353325,214.530475,238.45775,-34.3701,-0.00566095,-0.08115325,2.7153,-3.726575,-4.49175,-11.34125,-10.31675
1,6.25,98.3125,-23.77075,76.5345,0,0.06535025,215.13155,238.617625,-34.2609,-0.00674185,-0.08828725,3.4489,-3.7237,-4.48375,-11.35675,-10.35625
1,6.75,98.2925,-23.8265,76.42475,0,0.040508,215.154775,239.184925,-29.030375,-0.008384375,-0.086145,3.0701,-3.730575,-4.4861,-11.2985,-10.38425
1,7.25,98.2825,-24.09125,76.29575,0,0.0628029,215.03865,239.93525,-29.920525,-0.0044976,-0.089069,3.03825,-3.73555,-4.489825,-11.292,-10.379
1,7.75,98.28,-23.9005,75.787,0,0.110514,215.839875,240.943725,-27.015325,0.10749,-0.01044245,3.148775,-3.731225,-4.48495,-11.17375,-10.3885
1,8.25,98.2925,-23.40575,75.613,1.0028425,1.411425,217.427975,237.9283,-32.662575,3.387425,2.6039,3.7637,-3.736125,-4.477925,-11.2275,-10.503
1,8.75,98.3275,-22.86725,75.45175,10.82625,9.194675,216.68045,239.687225,-33.429625,29.93475,24.591,3.7797,-3.7441,-4.4665,-11.215,-10.61875
1,9.25,98.3375,-22.71325,74.93475,33.69175,27.773,219.5632,245.853075,-25.0872,85.82775,71.9645,2.302275,-3.74085,-4.45075,-11.27625,-10.72
1,9.75,98.36,-22.205,74.39675,59.05525,48.25125,224.3446,250.561,-25.939075,148.145,127.8075,2.9554,-3.7388,-4.4351,-11.191,-10.7685
1,10.25,98.3175,-21.6815,73.7115,85.0055,70.75625,226.460225,254.4536,-24.24925,220.38,183.4475,2.97215,-3.726675,-4.3934,-10.99575,-10.812
1,10.75,98.2525,-20.48925,72.25475,112.515,89.4825,227.7725,260.534975,-23.76175,292.2775,238.3125,2.827825,-3.741,-4.3717,-11.01275,-10.7865
1,11.25,98.2125,-19.8545,72.183,136.89,114.16,230.541375,269.75485,-26.02475,336.985,309.765,2.846025,-3.769375,-4.400475,-11.109,-10.736
1,11.75,98.1925,-19.48175,71.671,162.345,134.445,232.341975,275.4836,-21.457,422.6875,353.83,2.7943,-3.687275,-4.2543,-11.1235,-10.67125
1,12.25,98.2225,-19.344,71.7675,174.8575,150.7425,235.467075,279.8593,-13.343425,450.0325,390.9725,3.45785,-3.69795,-4.2818,-11.07,-10.62
1,12.75,98.2525,-19.21975,70.8795,175.2275,145.1075,236.85095,282.430575,-12.342025,447.8725,383.4075,3.286675,-3.679675,-4.2446,-11.024,-10.5895
1,13.25,98.2325,-18.60675,69.44725,173.0975,139.8675,238.2469,284.44155,-20.24975,415.3375,363.4525,3.5774,-3.657475,-4.217275,-11.0905,-10.53875
1,13.75,98.2525,-18.517,69.737,155.23,123.295,238.673825,278.852025,-20.23485,399.245,315.3,3.8346,-3.642875,-4.239375,-11.09,-10.5205
1,14.25,98.265,-18.67375,68.46675,136.5875,111.9625,236.157,276.248225,-27.360825,338.0225,291.9275,3.420225,-3.637,-4.2353,-11.02525,-10.532
1,14.75,98.2675,-18.2975,69.04875,114.0275,86.052,235.4866,283.478575,-39.04585,275.1475,226.965,3.111175,-3.599475,-4.242325,-11.1205,-10.53875
1,15.25,98.34,-18.5255,69.90775,90.0985,70.306,235.017075,278.40545,-56.15575,219.9475,181.3575,3.4897,-3.5903,-4.26765,-11.22075,-10.4895
1,15.75,98.33,-18.5885,70.744,57.3425,44.222,233.122125,268.311425,-64.860675,139.7325,110.95,2.82675,-3.5672,-4.3004,-11.247,-10.425
1,16.25,98.3425,-18.7915,71.4985,30.21425,25.0065,231.243875,271.47485,-73.23245,70.264,56.09025,2.897125,-3.543075,-4.31205,-11.3545,-10.35425
1,16.75,98.3325,-19.14975,71.9345,5.99355,5.9042,228.027375,272.822625,-73.743825,15.64075,12.74225,2.5372,-3.51365,-4.34445,-11.51225,-10.3305
1,17.25,98.36,-19.46925,72.987,0,0.8038875,225.0449,268.326175,-71.13185,0.7294925,0.499655,2.886075,-3.511975,-4.383275,-11.4755,-10.26425
1,17.75,98.33,-19.693,75.23225,0,0.1596,224.69445,260.729,-65.146575,0.0245415,-0.075494,2.57255,-3.52485,-4.38805,-11.55525,-10.1545
1,18.25,98.235,-19.75275,76.1525,0,0.017974025,222.9129,259.196175,-67.01895,0.00557795,-0.08457675,2.34745,-3.523,-4.374725,-11.58125,-10.0595
1,18.75,98.19,-20.073,76.21125,0,0.1574875,224.440475,255.52645,-64.726725,-0.001139855,-0.083519,2.3615,-3.518075,-4.348825,-11.6775,-10.22325
1,19.25,98.1425,-20.297,75.6865,0,0.070493425,224.748575,251.378525,-59.675175,-0.000582475,-0.085037,2.8092,-3.517075,-4.3326,-11.74375,-10.21625
1,19.75,98.1425,-20.45375,75.8985,0,0.09353775,223.98405,249.052925,-59.476175,-0.001415925,-0.0874375,2.5925,-3.5258,-4.337325,-11.795,-10.01195
1,20.25,98.1325,-20.8015,76.0985,0,0.148405,227.04105,246.8401,-59.53665,-0.00333065,-0.08951575,2.77255,-3.541975,-4.351275,-11.8495,-9.85965
1,20.75,98.1925,-20.9745,75.2005,0,0.0900405,226.09655,246.2745,-58.10205,-0.001406775,-0.08494625,2.71975,-3.557875,-4.353625,-11.892,-9.761675
1,21.25,98.17,-20.99425,75.5565,0,0.047854,225.356125,247.83925,-56.0258,-0.001998725,-0.08341,2.973,-3.564275,-4.35355,-11.9345,-9.679975
1,21.75,98.1925,-21.16725,76.337,0,0.0733025,224.520375,249.220575,-56.515125,0.0012490475,-0.0879575,3.1783,-3.56455,-4.36305,-11.9365,-9.68055
1,22.25,98.195,-21.4845,76.81125,0,0.12257675,223.761125,247.90555,-47.1946,0.0003330175,-0.088512,2.27345,-3.577525,-4.370575,-11.85775,-9.667375
1,22.75,98.215,-21.73525,76.7765,0,0.194935,222.82655,246.823225,-49.956175,-0.00583045,-0.08271275,3.195025,-3.590175,-4.367375,-11.7845,-9.63835
1,23.25,98.2525,-21.60775,76.235,0,0.037365,221.522375,246.228,-48.092775,-0.00266575,-0.085937,3.0337,-3.60255,-4.371475,-11.69425,-9.60555
1,23.75,98.29,-21.66675,76.35075,0,0.080298,221.59175,243.64135,-47.669975,-0.0003079175,-0.08877375,1.99975,-3.616475,-4.374575,-11.602,-9.60855
2,0.25,98.0725,-21.94875,75.046,0,0.1855975,217.7648,258.8297,-69.6231,-2.553825,-0.0763665,0.6702975,-5.2415,-6.0998,-9.17815,-5.73895
2,0.75,98.0275,-22.08025,75.59575,0,0.23214,216.5571,254.70375,-72.97495,-2.52475,-0.0792385,0.8095575,-5.2318,-6.1207,-9.1168,-5.76545
2,1.25,98.01,-21.81175,75.7475,0,0.215595,215.919225,256.62235,-66.7013,-2.329625,-0.074325,0.711,-5.2242,-6.15005,-9.089,-5.7963
2,1.75,98.0275,-21.83475,76.404,0,0.05260325,216.17615,246.833175,-65.3048,-1.963225,-0.0661485,0.66096,-5.2158,-6.16645,-9.0586,-5.8297
2,2.25,98.04,-22.10225,75.818,0,0.1125175,217.05635,245.64065,-63.261875,-2.61565,-0.073007,0.795075,-5.219,-6.20305,-9.0112,-5.8301
2,2.75,98.0125,-21.927,74.993,0,0.0770935,215.190925,245.821,-59.30755,-2.639225,-0.076788,0.81545,-5.1959,-6.21775,-8.97655,-5.83255
2,3.25,97.9975,-21.357,75.56775,0,0.1840775,215.0621,245.643575,-57.899675,-2.21015,-0.071922,0.959415,-5.1872,-6.22945,-8.9509,-5.83855
2,3.75,98.035,-21.366,75.83025,0,0.1435025,216.82205,246.15765,-54.62535,-2.382525,-0.069788,0.87154,-5.1864,-6.25155,-8.88485,-5.8442
2,4.25,98.015,-21.14075,77.1485,0,0.13889925,217.98645,245.194725,-52.4296,-2.16585,-0.0838265,0.7475275,-5.18915,-6.26925,-8.8214,-5.86215
2,4.75,98.0125,-20.8005,76.31,0,0.1701325,216.221425,244.966875,-56.49215,-2.334425,-0.0851375,0.76653,-5.2205,-6.3257,-8.80095,-5.87875
2,5.25,98.0925,-21.412,76.5285,0,0.08142875,218.076925,238.63275,-57.288875,-3.0196,-0.0811275,0.80625,-5.24895,-6.3479,-8.7766,-5.9065
2,5.75,98.1,-21.6615,76.1115,0,0.224795,216.354675,237.456225,-51.783475,-2.339775,-0.0842855,0.84928,-5.25885,-6.3626,-8.76295,-5.9503
2,6.25,98.0875,-22.14125,76.12825,0,0.2261125,215.37105,239.119875,-46.485675,-1.9661,-0.0833695,0.754725,-5.2597,-6.3884,-8.7864,-5.99265
2,6.75,98.0225,-21.95975,75.3155,0,0.1923375,213.598175,236.813425,-44.298225,-1.983375,-0.0582465,0.85481,-5.26925,-6.3942,-8.82125,-6.0317
2,7.25,98.0075,-22.189,75.37025,0,0.354875,213.010575,241.59485,-45.518875,0.00349935,-0.0044369,0.657185,-5.2743,-6.38545,-8.87325,-6.05385
2,7.75,98.015,-22.37825,74.99625,1.460325,2.4049,211.927875,242.638125,-58.02435,4.019875,3.20525,0.77734,-5.2932,-6.39295,-8.8931,-6.0861
2,8.25,98.01,-22.449,73.85575,17.381,17.43,211.46205,250.009875,-58.298975,51.53625,33.1615,1.046,-5.30945,-6.3987,-8.93025,-6.1136
2,8.75,98.02,-22.0255,73.97725,58.16925,48.547,215.938075,260.60345,-46.3804,138.9575,113.14,1.1590675,-5.3206,-6.40955,-8.99995,-6.1414
2,9.25,98.03,-21.3615,73.22375,102.01,88.33125,220.87115,269.54235,-39.325825,244.065,206.82,1.03834,-5.3295,-6.3964,-9.07905,-6.16075
2,9.75,98.0125,-20.875,71.46975,136.6425,124.875,224.460825,276.095225,-32.39755,353.815,304.725,1.485225,-5.3222,-6.3604,-9.1297,-6.1829
2,10.25,98.0425,-20.0755,71.43,185.575,155.1425,227.7236,280.361075,-31.722175,448.8,386.15,1.5699,-5.303,-6.3332,-9.2395,-6.26145
2,10.75,98.0825,-19.1135,68.60625,230.78,185.0675,232.8322,286.780275,-12.342725,540.4075,475.44,1.394,-5.29855,-6.32235,-9.29635,-6.22795
2,11.25,98.08,-18.68675,68.42,248.875,206.76,236.4134,294.4237,-10.11975,601.7175,532.265,1.5936,-5.29215,-6.3115,-9.2809,-6.19655
2,11.75,98.07,-17.7275,65.772,297.9975,242.5275,240.769025,300.8828,-2.18725,688.815,646.82,1.6163,-5.29445,-6.29315,-9.24615,-6.1777
2,12.25,98.0625,-17.64675,66.11375,332.345,257.2475,243.94965,307.082475,-1.39225,777.77,685.065,1.70145,-5.30275,-6.292,-9.1972,-6.13065
2,12.75,98.0225,-17.44625,64.47525,353.5525,276.35,243.790825,315.50755,-0.99275,852.3575,733.435,1.8433,-5.31245,-6.28055,-9.1276,-6.1125
