DOY2,HR2,USTAR,TA_1_1_1,WS,NEE,FC_1_1_1,SC,H_1_1_1,SH,LE_1_1_1,SLE,G_1_1_1,TS_1_1_1,TS_1_2_1,RH_1_1_1,PA,CO2_1_1_1,VPD,NETRAD,PPFD_IN_1_1_1,SW_IN,PPFD_OUT,SW_OUT,LW_IN,LW_OUT,PPFD_DIF
1,0.25,0.4795,-10.89,2.842,0.45575,0.41,0.13525,-2.448,2.145,0.687,0.3885,-1.74425,1.332,1.241,88.5,97.2,394.8855,0.28,-1.434,2.2315,-0.28825,0.259,0.807,257.89,264.33,7.42
1,0.75,0.4665,-11.02,2.891,0.435,0.427,0.133,-1.77075,1.923,0.889,0.6455,-1.773,1.334,1.24175,88,97.2,394.8655,0.28,-1.307,2.181,-0.3175,0.232,0.758,258.86,262.101,7.42
1,1.25,0.4915,-11.18,2.811,0.57325,0.536,0.1465,-1.83175,2.13975,1.081,0.413,-1.785,1.3555,1.24625,88,97.2,394.87,0.28,-1.169,2.234,-0.264,0.232,0.658,260.26,263.77,7.42
1,1.75,0.499,-11.37,2.819,0.451,0.43225,0.1775,-2.342,2.7505,0.811,0.61475,-1.76925,1.348,1.253,88.1,97.2,395.028,0.27,-1.086,2.2445,-0.27225,0.254,0.741,259.53,265.39,7.421
1,2.25,0.499,-10.54,2.894,0.506,0.4375,0.1405,-1.4435,2.2205,0.7945,0.662,-1.7815,1.347,1.242,88.1,97.3,394.943,0.27,-0.166,2.2285,-1.3835,0.249,0,259.471,265.99,7.421
1,2.75,0.4945,-10.47,2.854,0.51975,0.456,0.1255,-2.08675,2.302,1.112,0.4195,-1.76025,1.36625,1.24375,88.2,97.2,395.093,0.27,-0.148,2.243,-1.374,0.272,0,259.2,267.99,7.42
1,3.25,0.5005,-10.44,2.786,0.517,0.45,0.1435,-2.561,1.867,0.55375,0.386,-1.79525,1.35725,1.24275,88.3,97.2,395.0515,0.28,-0.505,2.2655,-0.75,0.259,0.1445,258.69,269.34,7.42
1,3.75,0.479,-10.63,2.989,0.549,0.4315,0.181,-1.37875,2.14,0.7095,0.462,-1.77325,1.35575,1.244,88.2,97.3,395.206,0.28,-0.647,2.214,-0.34,0.255,0.6785,257.18,266.63,7.422
1,4.25,0.49325,-10.73,2.944,0.5,0.4175,0.1465,-1.741,2.4465,0.6125,0.484,-1.80375,1.345,1.24425,88.2,97.3,395.24875,0.27,-0.668,2.2065,-0.2565,0.247,0.7155,258.62,265.69,7.42
1,4.75,0.49975,-11.0975,2.951,0.49,0.37125,0.153,-1.763,2.692,0.716,0.5965,-1.78,1.35175,1.2525,88.1,97.3,395.2625,0.28,-0.841,2.2475,-0.195,0.249,0.687,263,265.04,7.421
