DOY2,HR2,CO2,FC,H2O,H,LE,PA,RH_1_1_1,RH_1_2_1,T_SONIC,TA_1_1_1,TA_1_2_1,TA_2_1_1,VPD_1_1_1,VPD_1_2_1,USTAR,WS_1_1_1,WS_1_2_1,G_1_3_1,G_2_3_1,G_3_3_1,G_4_3_1,LW_OUT,SW_IN,SW_OUT,LW_IN
1,0.25,654.628,-0.00117408075,6.00374,-27.417575,-0.88762975,95.942025,33.96,39.32,15.6569,12.16,10.09,13.2675,4.179388795,2.979516362,0.09015815,0.322,0.025,-19.95,-29.97,-24.11,-20.22,364.8,-2.23525,1.8305,293.05
1,0.75,653.61425,-0.0053021225,6.138605,-25.03055,-0.511988,95.941475,33.62,40.59,15.20855,11.72,9.93,13.095,3.886987495,2.625058652,0.084457975,0.329,0.04625,-20.56,-30.08,-24.425,-20.51,363.6,-1.93625,2.106,292.725
1,1.25,656.65775,-0.008043325,6.0577325,-25.666775,-0.263413,95.927025,35.4475,42.6775,15.025175,11.5575,9.2775,13.2725,3.6036781515,2.06190396775,0.089244475,0.37975,0.033,-20.71,-30.08,-24.8875,-21.13,361.55,-1.982,1.9,292.575
1,1.75,655.8055,-0.0077167525,5.94009,-29.34235,-0.455683,95.90305,36.505,42.795,14.56225,11.08,8.89,12.7625,3.228682979,2.1662181555,0.080027975,0.3645,0.113,-21.075,-29.915,-25.285,-20.9225,359.9,-2.04025,1.8935,291
1,2.25,655.916,0.00034788075,6.045555,-31.585175,-0.547374,95.894575,36.9,41.665,14.174475,11.0725,8.96,12.3625,2.8962560215,1.86172386175,0.094332925,0.38725,0.079,-21.69,-30.555,-26.0025,-21.45,357.525,-2.01625,1.9895,289.375
1,2.75,657.25425,0.0046356025,6.0042425,-29.48415,-0.07111235,95.905575,39.385,43.4475,13.76875,10.615,9.08,12.0975,2.82124789125,1.998865106,0.090678725,0.38325,0.0545,-22.015,-30.5525,-26.4325,-21.7,356.35,-1.93075,1.873,290
1,3.25,657.5085,-0.005497985,5.816405,-34.650525,-0.796769,95.90455,36.92,41.26,14.212875,10.2,9.295,11.6,3.0351260425,2.040479252,0.08146845,0.37875,0.072,-22.1975,-30.0475,-26.1225,-22.035,357.7,-1.8525,2.028,288.65
1,3.75,656.264,-7.198675e-05,5.78583,-32.124025,-0.2414555,95.87985,39.2,43.9225,14.153725,10.5,8.805,12.155,2.89480094875,1.6609081285,0.097462125,0.3665,0.037,-22.0825,-29.8275,-25.9025,-21.7575,356.25,-1.895,2.1275,290.25
1,4.25,657.477,0.00222079,5.70569,-29.7191,-0.8654615,95.8642,37.8325,43,13.6862,10.31,8.7725,11.43,2.773446775,1.58358771,0.0902523,0.4015,0.03025,-21.845,-29.61,-26.19,-21.8575,355.8,-2.057,1.836,287.6
1,4.75,657.271,0.00466645,5.43559,-41.61855,-0.1505411,95.8576,38.59,46.0625,13.49315,9.7725,9.1175,11.21,2.53188448725,1.7493889175,0.0957902,0.42725,0.111,-21.9275,-29.385,-26.7225,-21.675,354.1,-1.909,1.986,285.2
1,5.25,657.55275,0.01171505,5.5588725,-29.9049,-0.1655715,95.8582,39.4525,45.6075,13.035525,9.79,8.8275,11.3475,2.3508792275,1.64357994875,0.122556,0.46175,0.066,-21.8275,-29.0875,-25.765,-21.5425,354.7,-1.802,1.92,285.9
