DOY2,HR2,PA,RH,TA,NETRAD,PPFD_IN,PPFD_OUT,SW_IN,SW_OUT,LW_IN,LW_OUT,TS,G
1,0.25,101.56145,82.1,-21.3,-18.783,3.342,6.7365,-6.8475,-5.628,188.1,207.35,-21.53,-7.587375
1,0.75,101.56365,81.9,-21.21,-17.8585,3.1455,6.736,-6.9795,-5.6705,187.9,206.3,-21.555,-7.53275
1,1.25,101.5755,81.75,-21.46,-19.102,3.3495,6.738,-7.038,-5.518,186.75,206.45,-21.575,-7.48775
1,1.75,101.56565,81.8,-21.635,-20.046,3.2285,6.738,-6.963,-5.6275,188.2,206.8,-21.645,-7.43425
1,2.25,101.5669,82.1,-21.68,-18.485,3.473,6.738,-6.8175,-5.7085,189.2,206.5,-21.71,-7.488
1,2.75,101.58355,82.1,-21.755,-20.374,3.575,6.738,-6.877,-5.785,187.1,206.8,-21.765,-7.481625
1,3.25,101.5939,82.1,-21.49,-19.785,3.374,6.738,-7.2045,-5.7385,190.5,206.45,-21.81,-7.453
1,3.75,101.5847,82.05,-21.66,-21.513,3.4675,6.738,-7.141,-5.6605,185.3,207.55,-21.64,-7.40875
1,4.25,101.5747,81.95,-21.73,-21.32,2.807,6.737,-7.035,-5.575,187.8,208,-21.725,-7.365
1,4.75,101.56835,82.05,-21.76,-17.7225,3.166,6.737,-6.986,-5.694,193.25,207.1,-21.905,-7.327375
1,5.25,101.55525,81.9,-21.885,-18.9145,3.492,6.736,-7.0045,-5.739,189.5,205.9,-21.965,-7.42175
1,5.75,101.5526,82,-21.705,-18.6795,3.181,6.736,-6.9265,-6.026,192.65,207.25,-21.77,-7.51775
1,6.25,101.54345,82.05,-21.735,-20.349,3.3715,6.736,-6.783,-5.861,189.15,206.55,-21.825,-7.81325
1,6.75,101.53715,82.05,-21.66,-21.6555,3.3085,6.7355,-6.869,-5.8645,190.25,207.55,-21.59,-8.00875
1,7.25,101.53665,81.8,-21.505,-21.9715,3.2005,6.734,-7.151,-5.9765,189.55,207.65,-21.6,-8.06475
1,7.75,101.557,81.85,-21.345,-22.636,3.325,6.735,-7.26,-5.8685,190.05,206.75,-21.765,-8.059125
1,8.25,101.5637,81.9,-21.79,-21.3585,2.975,6.7355,-6.996,-5.8885,186.85,206.5,-21.745,-8.038
1,8.75,101.56005,81.75,-22.01,-20.365,3.039,6.7355,-7.35,-5.994,183.65,205.75,-21.66,-7.981375
1,9.25,101.5737,81.85,-22.07,-21.0355,3.3325,6.7345,-7.1705,-5.758,187.1,206.85,-21.62,-7.936125
1,9.75,101.59415,81.9,-21.795,-20.31,2.9455,6.735,-7.2395,-5.9355,186.5,207.5,-21.445,-7.901
1,10.25,101.60335,81.95,-21.565,-25.9085,3.4605,6.7345,-7.2615,-5.783,179.45,207.25,-21.35,-7.868125
1,10.75,101.60425,81.9,-21.665,-25.5885,3.583,6.7345,-7.4125,-5.845,181.85,207.7,-21.585,-7.720875
1,11.25,101.61025,81.9,-21.5,-24.4685,5.383,6.736,-7.0055,-5.609,185.95,207.9,-21.24,-7.684
