DOY2,HR2,NEE,FC,LE,H,USTAR,SC,CO2,H2O,NETRAD,PPFD_IN,PPFD_OUT,TA,RH,WS,PA,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,G_1_1_1,G_2_1_1,W_SIGMA,V_SIGMA
1,0.25,2.056,2.545625,15.09945,5.03147499999999,0.832,0.43,430.1564,9.06575,4.36879999999999,0,0,8.3915,100,5.8692,100.8105,4.34009999999999,5.141425,5.462375,5.24045,4.808575,7.184,4.5696,7.0908,4.861825,4.6329,5.6452,7.030025,8.82999999999999,10.0135,1.18185,2.0226625
1,0.75,1.8425,1.90375,18.56155,4.86862500000001,0.8102,0.683149999999999,434.24895,8.65425,4.14599999999999,0,0,8.36549999999999,100,5.5729,100.80525,4.741475,5.1286,5.38895,5.26425,4.8634,7.385,4.4542,7.12337499999999,4.85375,4.7659,5.5056,6.9967,9.03599999999999,11.08575,1.12322,1.83935
1,1.25,1.97745,2.231,15.24495,6.92434999999996,0.82805,0.31425,432.25975,9.53864999999999,5.39755,0,0,8.684,100,5.5917,100.79525,4.5034,5.052,5.454575,5.2004,4.787325,7.3464,4.3406,7.3254,4.9618,4.6266,5.5012,6.9406,7.798,8.969,1.143895,1.954815
1,1.75,1.834125,1.964825,13.6358,5.84012499999996,0.81225,0.305099999999999,431.734,9.7724,6.21525,0,0,9.04649999999999,100,5.34615,100.78575,4.23719999999999,4.9442,5.248675,5.203925,4.8896,7.34375,4.18764999999999,7.19522499999999,4.7388,4.6985,5.43839999999999,6.866675,10.442,7.10885000000002,1.1339,1.8387
1,2.25,1.9192,1.9189,13.849,5.8216,0.7896,0.297375,432.02645,9.64960000000001,3.86564999999999,0,0,9.18699999999999,100,5.5024,100.81575,3.99995,4.9904,5.345925,4.968125,4.86055,7.2805,3.89475,7.265525,4.71825,4.6536,5.41827499999999,6.842475,9.728,7.541525,1.064,1.85995
1,2.75,1.816375,2.138725,16.361,9.38174999999996,0.81135,0.381,432.6762,9.52507499999999,5.38405,0,0,9.41549999999999,99.89,5.40705,100.8315,4.1778,4.6924,5.33565,4.9836,4.8951,7.2935,4.05669999999999,7.196125,4.91635,5.0171,5.509,6.78055,9.726,8.21425000000002,1.07639,1.90186
1,3.25,2.065,2.298725,19.763375,6.83274999999994,0.81075,0.3311,433.71,9.85359999999999,5.5597,0,0,9.39449999999999,99.89,5.45505,100.842,4.010475,4.697,5.332175,4.94925,4.85405,7.3165,4.19764999999999,7.172825,4.687975,5.0097,5.6352,6.76474999999999,9.47599999999998,8.78075000000001,1.1041,1.86257
1,3.75,2.06825,2.4212,16.3657,4.20899999999999,0.8054,0.550399999999999,433.1514,9.88459999999999,4.237,0,0,9.34699999999999,100,5.44115,100.83675,4.11102499999999,4.7652,5.302125,5.17382499999999,4.79529999999999,7.321,4.30445,7.174525,4.91122499999999,4.92175,5.640625,6.808325,9.062,8.28475000000002,1.08553,1.810485
1,4.25,2.143,2.197225,13.18175,4.4126,0.8135,0.3836,431.9308,9.96714999999999,4.1165,0,0,9.03699999999999,100,5.34545,100.8525,4.353625,4.7234,5.05542499999999,5.01977499999999,4.80425,7.344,4.258175,7.17962499999999,4.87955,4.89419999999999,5.6812,6.726,7.93999999999998,8.20500000000001,1.066555,1.7943975
1,4.75,1.928,2.01045,21.767675,4.121575,0.808875,0.3754,431.5884,9.80269999999999,3.86779999999999,0,0,9.023,100,5.3243,100.85915,4.0965,4.73492499999999,5.02534999999999,5.066,4.7955,7.3774,4.2955,7.39325,5.11755,4.9703,5.5515,6.725175,8.222,8.17250000000002,1.10307,1.79801
