DOY2,HR2,USTAR,WS,TA,T_SONIC,RH,SW_IN,SW_OUT,NETRAD,H,LE,FC
1,0.25,0.27,2.8925,3.875,3.63,64.3575,-2.3025,1.3,-32.3325,-1.27,3.7875,0.1975
1,0.75,0.28,2.88,3.5375,3.625,64.2075,-2.8125,1.1975,-37.7025,-2.01,3.8075,0.1925
1,1.25,0.27,2.905,3.725,3.535,59.3725,-2.615,1.2225,-33.8425,-1.39,5.3975,0.165
1,1.75,0.28,2.9475,3.9475,3.5225,61.5625,-2.08,1.2275,-24.885,-0.2,4.2775,0.135
1,2.25,0.28,2.8375,3.85,3.5875,54.525,-2.0375,1.045,-29.7525,-0.85,2.6775,0.18
1,2.75,0.2625,2.76,3.72,3.45,51.525,-2.2275,1.24,-30.82,-1.26,8.545,0.25
1,3.25,0.2975,2.785,3.58,3.52,51.885,-1.8525,1.1325,-26.755,-1.815,6.44,0.255
1,3.75,0.31,2.9725,3.415,3.2,59.095,-1.6625,1.0275,-24.395,-2.1175,4.6,0.2125
1,4.25,0.2925,2.83,3.775,3.4,56.825,-1.6625,1.3675,-21.775,-0.47,4.155,0.265
1,4.75,0.26,2.7225,3.765,3.39,51.94,-1.765,1.3225,-25.88,-1.26,4.4325,0.27
1,5.25,0.27,2.73,3.965,3.51,53.165,-1.86,1.3025,-27.5425,-1.2625,2.6575,0.16
1,5.75,0.26,2.9025,3.645,3.225,56.77,-1.595,1.04,-21.52,-1.02,2.51,0.18
1,6.25,0.26,2.9925,3.655,3.3825,53.11,-1.79,1.185,-24.0825,-1.485,3.25,0.31
1,6.75,0.2825,2.9575,3.855,3.66,52.26,-1.0275,1.355,-22.51,0.0625,4.66,0.13
1,7.25,0.24,2.8425,3.855,3.575,52.065,12.1725,10.145,-22.1275,-0.31,3.975,0.125
1,7.75,0.32,2.73,4.355,3.9675,53.035,84.6075,41.2975,-1.5,-0.51,4.4675,0.215
1,8.25,0.3,2.46,4.625,4.42,54.875,179.64,60.09,23.5675,6.47,5.895,0.24
1,8.75,0.37,2.27,5.12,4.89,55.8,273.13,72.6775,63.255,37.29,15.2675,0.37
1,9.25,0.4,2.12,5.575,5.4,63.495,358.9225,95.515,102.24,74,39.0225,0.48
1,9.75,0.48,2.23,6.13,5.74,56.585,436.1375,122.6725,146.175,112.07,35.59,0.81
1,10.25,0.5,2.34,6.455,6.27,56.455,502.6775,144.8625,185.03,140.45,56.3975,1.28
1,10.75,0.57,2.49,6.425,6.37,57.69,549.2725,168.8375,210.5025,172.52,64.3825,1.05
1,11.25,0.65,2.71,6.635,6.515,59.7375,587.95,190.88,233.795,179.3,90.6975,1.28
1,11.75,0.67,3.04,6.805,6.5675,56.555,613.685,201.155,237.83,197.5575,80.0225,1.3
1,12.25,0.73,3.15,6.87,6.595,60.08,607.43,203.0625,231.9225,222.515,93.345,1.46
1,12.75,0.73,3.2325,6.93,6.52,62.5,591.165,200.915,229.5775,195.635,97.5275,1.195
1,13.25,0.705,3.26,6.665,6.395,60.725,554.32,183.04,215.975,195.77,73.16,1.5375
1,13.75,0.7025,3.07,6.7,6.2725,58.57,508.2225,154.445,195.515,187.645,84.2025,1.42
1,14.25,0.67,3.12,6.725,6.255,57.86,455.34,122.0375,161.0125,167.7,64.0875,1.085
1,14.75,0.65,3.0275,6.495,6.15,57.115,365.9575,94.9675,122.9825,142.21,62.375,1.215
1,15.25,0.615,2.82,6.2325,5.89,56.4075,293.5825,73.9625,81.78,108.37,71.4075,1.065
1,15.75,0.55,2.59,5.6725,5.64,58.4375,191.2525,52.005,33.07,61.89,35,1.005
1,16.25,0.445,2.46,5.19,4.93,60.9775,98.6225,32.2375,1.29,31.0575,20.64,0.86
1,16.75,0.37,2.35,4.5425,4.38,64.11,29.705,11.7725,-12.04,5.08,10.07,0.63
1,17.25,0.2525,2.18,4.1875,4.32,69.32,0.1175,1.055,-22.8625,-0.17,4.37,0.34
1,17.75,0.28,2.33,4.31,4.17,73.1525,-2.2825,0.9575,-21.295,-0.2025,5.51,0.455
1,18.25,0.27,2.67,4.095,3.86,75.0675,-2.865,1.17,-24.1825,-0.7075,3.88,0.38
1,18.75,0.27,2.4975,3.87,3.5475,75.47,-2.535,1.1775,-25.36,-1.325,4.35,0.2575
1,19.25,0.265,2.475,3.96,3.575,75.035,-2.6875,1.27,-26.515,-2.145,2.78,0.295
1,19.75,0.285,2.5825,3.95,3.8875,76.4775,-2.51,1.3575,-27.1325,-0.105,2.57,0.285
1,20.25,0.29,2.5925,3.875,3.615,73.6625,-2.385,1.3575,-30.925,-1.28,5.8825,0.2125
1,20.75,0.27,2.815,3.7575,3.5575,70.38,-2.33,1.2575,-30.9625,-2.5375,2.85,0.225
1,21.25,0.275,2.825,3.65,3.48,68.6925,-2.6275,1.205,-33.2125,-1.28,3.095,0.275
1,21.75,0.3,2.935,3.93,3.72,68.7225,-2.215,1.34,-32.54,-0.955,4.835,0.19
1,22.25,0.2775,2.83,3.8075,3.86,67.575,-2.6475,1.4075,-29.925,-1.135,3.5,0.23
1,22.75,0.235,2.64,3.98,3.74,64.5425,-2.755,1.2325,-35.4175,-1.095,3.1475,0.23
1,23.25,0.2525,2.7125,3.935,3.77,63.42,-1.935,1.295,-24.6325,-2.22,4.395,0.23
1,23.75,0.29,2.83,3.8275,3.63,65.0325,-2.4,1.215,-28.5775,-2.26,4.7575,0.22
2,0.25,0.315,2.8975,2.745,2.83,68.915,-3.1975,0.7275,-36.7725,-0.025,3.0525,0.41
2,0.75,0.275,2.99,2.7125,2.945,68.655,-3.33,0.8375,-31.2925,-0.2525,2.565,0.355
2,1.25,0.275,2.8725,2.94,2.9575,72.965,-3.335,0.9175,-29.9625,0.1875,3.13,0.365
2,1.75,0.31,2.785,2.6775,2.4775,69.895,-2.795,0.8875,-31.24,-1.0825,2.9,0.28
2,2.25,0.3,2.88,2.81,2.43,60.8,-2.9,0.95,-28.755,-0.37,3.84,0.36
2,2.75,0.305,2.935,3.12,2.245,63.44,-3.5925,0.995,-35.1225,-0.22,2.625,0.2275
2,3.25,0.3,2.9625,2.73,2.11,62.35,-3.965,0.9075,-37.06,0.175,2.91,0.375
2,3.75,0.2675,2.9325,2.56,2.015,62.68,-3.6175,1.0775,-38.525,-0.91,2.14,0.355
2,4.25,0.32,2.845,2.61,2.23,59.57,-3.64,1.0275,-44.905,-0.465,2.01,0.63
2,4.75,0.325,2.815,2.59,2.03,62.11,-3.3325,0.9625,-42.1225,-0.585,2.015,0.49
2,5.25,0.295,2.83,2.5,2.21,62.45,-3.41,1.075,-39.3325,-0.06,3.225,0.56
2,5.75,0.295,3.045,2.46,2.28,64.39,-3.97,0.9725,-45.025,0.415,2.445,0.4575
2,6.25,0.33,2.78,2.35,2.135,65.47,-3.23,1.1375,-43.6,-0.035,1.87,0.335
2,6.75,0.315,2.905,2.31,2.19,65.34,8.54,5.2175,-36.335,-0.34,2.66,0.3425
2,7.25,0.35,2.8425,2.86,2.62,67.81,77.6025,34.5575,-4.5275,-0.83,2.75,0.3825
2,7.75,0.38,2.6175,3.25,3.0875,65.49,175.02,59.6475,36.3975,8.48,5.155,0.61
2,8.25,0.42,2.45,3.92,3.665,64.05,279.8,79.125,88.49,33.805,16.4525,0.87
2,8.75,0.49,2.4475,4.36,4.05,60.8,365.895,99.2925,151.74,78.8425,22.5525,0.93
2,9.25,0.5725,2.4925,5.06,4.53,59.32,469.435,129.9425,208.1925,133.7475,38.52,1.4
2,9.75,0.59,2.47,5.87,5.01,60.41,559.6025,169.0975,252.28,190.23,46.755,1.95
2,10.25,0.65,2.73,5.99,5.41,60.1,630.8225,190.14,296.9275,220.2125,63.0575,1.51
2,10.75,0.69,2.65,6.43,5.82,57.44,688.2825,219.4,322.03,245.8175,70.04,1.415
2,11.25,0.71,3.07,6.73,6,57.9,734.9775,241.68,347.9125,255.34,66.8475,1.615
2,11.75,0.73,3.21,6.98,6.1,59.84,755.2325,254.28,361.1125,285.86,77.685,1.54
2,12.25,0.77,3.41,7.13,6.17,63.65,762.21,256.395,360.7375,285.56,79.375,1.845
2,12.75,0.77,3.2075,7.09,6.2025,65.83,747.585,252.1675,365.075,292.2,64,1.82
2,13.25,0.77,3.345,6.94,6.145,71.34,706.3025,232.9925,338.34,304.76,70.41,1.625
2,13.75,0.76,3.4325,6.95,6.27,74.63,666.7175,203.8425,324.72,283.1675,66.39,1.3675
2,14.25,0.75,3.405,6.67,6.02,74.89,603.6175,168.715,294.915,251.78,65.99,1.64
