DOY2,HR2,H,LE,FC,SH,SLE,SC,CO2,H2O,RH,VPD,WS,USTAR,LW_IN,LW_OUT,RH_1_1_1,NETRAD,SW_IN,SW_OUT,G_1_1_1,G_2_1_1,G_3_1_1,TAU,T_SONIC,TA,PA,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC_SIGMA,CO2_SIGMA,H2O_SIGMA
1,6.25,-91.09858625,-44.555182,-13.5625886,-2.1872604,-4.1127193,-1.772211225,355.14461,4.612971725,63.32691025,0.000920160000000002,0.7718825625,0.02411778375,235.0972625,317.2560125,63.8498755,-96.33693375,-0.930264145,0.178859375,-35.49208625,-52.2574125,-49.2873125,-0.516878525,14.5538525,1.044444475,101.621025,0.1024666575,0.106714625,0.019070718875,0.0879515975,0.34930763,0.0375832128
1,6.75,-86.6218875,-59.042252,-5.6911807,-3.148832,-5.716702475,-2.6481729,355.73689,4.6790836,65.00556,0.012545225,0.607753625,0.030468075,234.17875,316.871775,65.09885775,-96.81193125,-0.9687093125,-0.09405778125,-35.29795875,-51.865825,-46.7584125,-0.5749854625,14.50850875,0.9440908875,101.6060375,0.174829625,0.110702275,0.0221245215,0.1158037375,0.3570702,0.0402278971
1,7.25,-83.40146625,-36.042399,-6.49780155,-2.6103955,-3.014859,-3.432412,359.97001,4.7334076,66.4197775,0.013265865,0.6159996875,0.0337222525,234.113675,317.4181,66.8442975,-87.89636875,0.319135925,0.302187575,-33.6908075,-50.6815375,-46.600975,-0.5897815875,14.87125875,1.464299125,101.6117,0.140742875,0.1099755375,0.01983221375,0.1171601625,0.31066955,0.027542064875
1,7.75,-73.20867375,-71.0732075,-3.0327883,-0.1138505875,-0.37607529,-2.2571248,365.43766,5.3209826,63.272522,0.00159502,0.44367495,0.036978555,234.79445,320.21365,62.971148,-46.5526,3.337721125,0.66223975,-35.01358125,-53.17927125,-50.511775,-0.599365425,14.2268125,3.418587,101.650275,0.18013955,0.151401490625,0.03200843,0.09828887375,0.20273077,0.068194665
1,8.25,-67.4237675,-58.112407,-9.3492982,-0.38666165,-32.03731,-6.2957677,372.77866,5.0790096,49.38961,0.02164619,0.3295894625,0.060900325,237.4421,325.517475,60.4098825,1.279921375,15.2860875,1.6270435,-34.576725,-52.256285,-47.0226,-0.7083833625,14.3534325,5.475896375,101.67915,0.213377895125,0.1712547375,0.08409434775,0.08606601125,0.2443234607,0.08968334975
1,8.75,-71.8544375,-42.6642735,-22.96754,-3.2764455,-6.6757375,-8.5423356,373.6475,5.893113,58.1867615,0.0269879505,0.6387463875,0.09553626875,240.5276125,333.6613125,58.12136925,26.97021125,52.71798125,5.25969425,-33.36041875,-49.79445,-42.0718375,-0.5418514125,14.56490625,6.909897375,101.70595,0.2464239125,0.2365792625,0.13930555,0.106995962125,0.3723491963,0.10811693675
1,9.25,-43.7048888,15.78461625,-22.6769252,-2.12803375,-36.46915,-8.095092125,373.67776,6.576838,56.891149,0.0317962165,1.0589098,0.126775405,244.57279,343.105215,56.1083035,61.3974175,85.7066775,8.2918352,-31.385572,-47.538188,-39.842296,-0.6298786,15.0556345,7.88927795,101.736965,0.337122515,0.31917479,0.19045574,0.12380832,0.453299115,0.13527745
1,9.75,-49.477209,-15.384994,-8.75238075,-1.9657641,-10.913021,-3.55543545,370.921335,7.3804693,51.656726,0.032282061,0.748995475,0.13310781,248.933645,352.78773,51.0024875,60.6282055,81.747773,9.58774895,-29.033282,-43.761678,-36.635872,-0.619017975,16.01028,9.2340614,101.748495,0.4247307,0.486703635,0.23417466,0.18884823975,0.588949135,0.1322018895
1,10.25,-1.094378425,6.87107225000001,-8.015811375,-4.15917005,-12.6591765,-0.89024345,373.8309375,8.094231775,48.66339875,0.1201938775,1.154601,0.1946961725,254.01867,359.0287075,49.27973375,57.8967335,72.95771225,7.4759723,-26.49893125,-39.01320525,-31.92382925,-0.7495976125,16.72641675,11.12135775,101.76088,0.4671902475,0.467591975,0.2685809825,0.2226843775,0.749450449075,0.139250922075
1,10.75,0.00784281250000002,32.03726375,-20.7458525,-7.32418755,-14.855128625,-1.05384891,373.161925,8.449461,44.590102,0.120077375,0.84767765,0.2069548625,259.461565,366.07414,47.375817,69.937588,84.0354905,10.0938873,-24.160228,-34.043134,-28.242716,-0.690216525,17.2616465,11.590756,101.79414,0.522869725,0.515004205,0.270875025,0.30828178865,0.747073725,0.12212467475
