DOY2,HR2,USTAR_1_1_1,TA_1_1_1,WS_1_1_1,NEE_1_1_1,FC_1_1_1,SC_1_1_1,H_1_1_1,LE_1_1_1,G_1_1_1,TS_1_1_1,RH_1_1_1,PA_1_1_1,CO2_1_1_1,VPD_1_1_1,NETRAD_1_1_1,SW_IN_1_1_1
1,0.25,0.50975,2.836,2.605,1.691,1.4495,0.3595,-11.30225,3.091,-3.26,4.2285,89.2,102,412.9755,2.02,-13.53,0
1,0.75,0.56225,2.7125,2.70075,1.9075,1.663,0.36175,-12.981,2.89275,-3.36825,4.183,90.1,102,413.841,2.0075,-15.0775,0
1,1.25,0.5575,2.569,2.60125,1.7865,1.433,0.44,-12.256,2.66725,-3.38775,4.141,90.425,102,414.421,1.985,-13.79,0
1,1.75,0.524,2.599,2.53775,1.75325,1.448,0.38175,-12.031,3.054,-3.4335,4.08575,90.9,102,414.4295,1.955,-13.4825,0
1,2.25,0.503,2.482,2.53075,1.6005,1.2935,0.388,-10.389,2.4515,-3.4745,4.0765,90.65,102,415.027,1.9375,-13.6275,0
1,2.75,0.517,2.45,2.54275,1.77325,1.3205,0.365,-10.397,3.25075,-3.373,4.02475,89.49,102,414.69875,1.93,-12.02,0
1,3.25,0.52125,2.61075,2.615,1.57,1.31075,0.2935,-9.161,3.02575,-3.407,4.0925,90.225,102,414.7905,1.93,-12.165,0
1,3.75,0.51675,2.459,2.48,1.5525,1.3475,0.287,-10.852,2.2795,-3.40525,4.085,90.675,102,414.8135,1.895,-13.98,0
1,4.25,0.525,2.74475,2.4885,1.7345,1.5465,0.32225,-9.31475,3.34525,-3.4655,4.08025,90.16,102,415.21425,1.9075,-14.4275,0
1,4.75,0.525,2.7075,2.5,1.6765,1.51925,0.3615,-10.082,2.7185,-3.553,4.05125,90.1925,102,414.27,1.875,-12.735,0
1,5.25,0.521,2.58975,2.44,1.797,1.519,0.3345,-7.906,3.0865,-3.50875,4.02575,90.335,102,414.172,1.8075,-12.6725,0
1,5.75,0.537,2.48875,2.5255,1.89025,1.4615,0.45,-6.581,2.1895,-3.5245,3.98325,90.575,102,414.459,1.77,-12.4175,0
1,6.25,0.51,2.2535,2.588,1.87,1.62875,0.4985,-8.4635,2.6925,-3.573,3.9445,90.2,102.1,416.00425,1.7275,-12.85,0
1,6.75,0.50025,2.10925,2.474,2.036,1.7405,0.4535,-10.45125,2.6965,-3.617,3.918,91.425,102.1,416.385,1.7125,-12.455,0.05875
1,7.25,0.516,2.0865,2.4275,2.15025,1.769,0.509,-7.37225,2.9855,-3.6065,3.898,91.6025,102.1,417.2315,1.6775,-11.0325,5.6045
1,7.75,0.5415,2.3715,2.521,1.6235,1.7225,0.2,0.40075,4.30775,-3.536,3.8835,90.72,102.1,416.5,1.7875,-3.162,45.65
1,8.25,0.60325,2.72225,2.60875,1.4225,1.83625,-0.0895,25.048,8.696,-3.62175,3.86475,89.55,102.2,416.2845,1.97,20.59,121.675
1,8.75,0.667,3.409,2.99125,1.432,1.9175,-0.202,72.257,17.453,-3.61625,3.835,87.6,102.2,414.2235,2.275,69.0575,196.575
1,9.25,0.762,4.33125,3.18075,1.429,2.03225,-0.3385,119.072,24.9935,-3.5305,3.85075,84.6,102.2,413.21375,2.7075,125.3,268
1,9.75,0.79425,5.11275,3.43425,1.3575,1.9,-0.3555,150.721,34.40775,-3.37,3.88325,80.4825,102.2,411.397,3.035,178.625,331.75
1,10.25,0.811,5.9825,3.487,0.94775,1.669,-0.329,184.55825,40.67075,-3.1045,4.0255,77.11,102.1,408.9355,3.4175,228.65,392.3
1,10.75,0.833,6.54375,3.53825,1.1435,1.51925,-0.25,220.4585,50.2595,-2.8775,4.1965,75.475,102.1,407.44,3.7975,268,434.6
1,11.25,0.85875,7.16,3.6175,1.486,1.78,-0.104,236.42725,53.83975,-2.59,4.2895,73.15,102.1,406.388,4.1675,296.5,462.8
1,11.75,0.844,7.4125,3.48875,0.9665,1.3465,-0.0095,236.7345,55.95425,-2.101,4.411,69.34,102.025,406.151,4.3575,307.325,477.975
1,12.25,0.88325,7.7525,3.62625,1.21375,1.4375,0.02525,241.983,61.198,-1.52125,4.52925,67.1025,102,406.103,4.6675,311.875,478.325
1,12.75,0.8915,8.1175,3.5945,1.647,1.654,0.109,239.941,63.395,-0.85225,4.73275,66.135,101.925,405.923,4.8325,298.45,463.75
1,13.25,0.88,8.0975,3.68525,1.492,1.64,0.058,213.16225,62.601,-0.3685,4.8815,66.0075,101.925,405.523,5.05,275.775,440.6
1,13.75,0.854,8.0925,3.61275,1.482,1.5865,0.083,194.9395,55.63725,0.233,5.0205,67.4925,101.9,405.37,5.0975,239.375,399.55
1,14.25,0.859,8.035,3.52875,1.20225,1.32775,0.12925,159.417,51.16825,0.6545,5.20275,68.9925,101.9,405.315,5.285,195.475,348.575
1,14.75,0.844,8.0625,3.53175,1.60975,1.46925,0.297,116.4465,44.78,0.62425,5.2645,67.2625,102,405.64425,5.28,145.25,285.15
1,15.25,0.80175,7.8575,3.5555,1.51625,1.38425,0.3275,75.911,35.72675,0.718,5.266,69.84,102,405.617,5.0925,83.8,212.9
1,15.75,0.76925,7.5275,3.39275,1.7035,1.3885,0.513,28.68925,25.01,0.598,5.343,68.6825,102,406.04275,4.86,35.2025,144.8
1,16.25,0.71875,7.07,3.05975,1.9235,1.57825,0.56475,0.86125,17.222,0.3965,5.3175,70.25,102,406.49075,4.6525,0.05125,66.45
1,16.75,0.634,6.36,2.741,2.2875,1.639,0.799,-7.55075,10.3015,0.00825,5.17025,73.3,102,406.85425,4.0625,-15.66,18.65
1,17.25,0.56,5.74175,2.5975,2.335,1.594,0.847,-8.2545,5.01,-0.43425,5.087,77.4,102.025,407.419,3.4775,-17.715,1.2
1,17.75,0.54,5.25575,2.452,2.1625,1.494,0.714,-8.8115,3.7795,-0.766,5,78.025,102.1,407.919,3.2175,-19.2075,0
1,18.25,0.518,4.85,2.4485,2.2275,1.459,0.656,-8.373,3.412,-1.167,4.9455,80.15,102.1,408.622,3.0775,-17.105,0
1,18.75,0.497,4.5075,2.36125,2.2655,1.634,0.621,-11.797,3.0875,-1.60775,4.91075,81.645,102.1,408.893,2.8675,-16.6725,0
1,19.25,0.496,4.17725,2.387,1.934,1.365,0.573,-10.945,3.82875,-2.093,4.8495,82.325,102.1,409.58,2.715,-16.24,0
1,19.75,0.511,3.87575,2.40475,1.951,1.429,0.58475,-11.39,3.3615,-2.4005,4.77,82.65,102.1,410.083,2.64,-16.89,0
1,20.25,0.5,3.85675,2.483,1.686,1.355,0.49075,-13.3655,2.75,-2.72675,4.71825,83.1,102.1,409.9505,2.565,-17.32,0
1,20.75,0.52325,3.5595,2.4945,1.746,1.24275,0.537,-11.2,2.75275,-2.7225,4.651,83.025,102.1,410.30125,2.41,-17.3575,0
1,21.25,0.50325,3.3895,2.63775,1.8005,1.5145,0.43075,-10.89,2.7805,-2.7515,4.542,84.5,102.1,410.87075,2.34,-17.045,0
1,21.75,0.524,3.18025,2.588,1.717,1.497,0.407,-11.24475,2.32075,-2.98275,4.474,86.3,102.1,410.913,2.2575,-15.1325,0
1,22.25,0.5215,2.9795,2.54075,1.75975,1.549,0.4385,-11.5135,2.759,-3.044,4.418,87.7,102.1,411.852,2.1875,-12.52,0
1,22.75,0.526,2.83925,2.62375,1.8325,1.557,0.43,-9.99775,3.143,-3.0775,4.35025,88.725,102.1,411.968,2.12,-13.005,0
