DOY2,HR2,USTAR,TA_1_2_1,WS,NEE,FC,SC,H,LE,RH,PA,CO2_1_1_1,CO2_1_2_1,VPD,NETRAD,PPFD_IN,H2O_1_2_1
1,0.5,0.213,24.7055,2.226,6.702,4.956,1.131,-13.258,1.715,90.2,97.6405,389.454,392.404,3.06,-24.343,0,28.069
1,1.5,0.205,24.319,2.159,6.834,5.434,0.831,-11.914,2.023,91.4,97.6145,391.087,394.467,2.655,-22.502,0,28.005
1,2.5,0.22,24.068,2.178,8.228,6.617,0.937,-12.442,0.55,92.5505,97.598,394.33,396.69,2.295,-22.829,0,28.174
1,3.5,0.2475,23.7785,2.225,8.25,6.9675,0.943,-13.581,1.233,93.75,97.597,394.805,398.5555,1.82,-21.9865,0,28.045
1,4.5,0.247,23.617,2.215,7.811,6.7085,0.681,-14.216,1.145,94.8,97.6155,398.587,401.39,1.545,-20.6875,0,27.973
1,5.5,0.2585,23.424,2.224,7.489,7.094,0.3675,-13.655,0.044,95.55,97.6725,399.044,402.727,1.29,-15.821,7.81,27.796
1,6.5,0.303,23.5375,2.093,2.1365,6.11,-4.3085,-5.742,8.292,95.2,97.741,399.017,401.294,1.36,33.6145,163.018,27.94
1,7.5,0.4315,24.211,2.209,-4.698,2.3275,-6.607,17.103,58.308,93.7,97.807,393.64,394.814,1.89,150.536,449.109,28.536
1,8.5,0.526,25.265,2.552,-13.553,-6.831,-5.8615,50.357,156.388,88.9,97.867,389.107,389.03,3.545,277.653,788.826,28.528
1,9.5,0.5545,26.2375,2.6085,-15.8355,-11.643,-3.695,70.618,196.749,83,97.873,382.56,382.91,5.78,353.7615,1031.748,28.359
1,10.5,0.531,26.989,2.564,-16.621,-14.559,-1.643,80.071,226.024,78.6505,97.8435,379.074,380.01,7.675,395.453,1161.783,28.174
1,11.5,0.531,27.537,2.557,-15.579,-14.866,-0.621,88.938,242.532,75.65,97.795,375.967,376.516,8.97,442.1445,1265.578,28.1255
1,12.5,0.489,27.991,2.314,-14.328,-13.909,-0.411,88.772,246.143,74.1,97.74,375.45,376.022,9.81,443.626,1276.2395,28.134
1,13.5,0.4615,28.2545,2.095,-12.749,-12.269,0.135,79.152,225.778,74.35,97.641,374.9385,375.217,9.95,400.3235,1172.934,28.2705
1,14.5,0.414,28.353,1.966,-8.369,-8.831,0.319,53.184,192.892,73.25,97.524,374.8635,375.3485,10.32,344.519,998.1295,28.246
1,15.5,0.3595,28.118,1.862,-4.768,-6.018,1.42,29.995,143.144,75.6,97.464,374.387,375.177,9.19,229.9655,723.971,28.552
1,16.5,0.285,27.9685,1.726,0.5655,-1.557,2.355,4.439,75.866,75.8,97.432,375.134,376.124,9.025,80.385,363.219,28.6325
1,17.5,0.175,27.518,1.5,5.1235,0.505,4.106,-4.474,20.072,78.0505,97.4445,376.9005,378.507,8.035,-6.382,73.705,28.488
1,18.5,0.124,26.838,1.757,6.6065,1.503,4.636,-6.059,6.49,80.9,97.5,380.807,383.307,6.75,-31.272,0,28.391
1,19.5,0.144,26.261,2.005,6.061,2.3255,3.248,-9.1155,4.7,83.7,97.577,383.954,387.237,5.635,-31.6765,0,28.238
1,20.5,0.162,25.948,2.13,5.377,3.4225,1.7785,-10.155,3.18,85.25,97.626,386.6685,389.7325,4.9,-29.375,0,28.262
1,21.5,0.161,25.695,2.202,5.985,3.6,1.8,-10.088,2.6995,86.7,97.685,385.8405,389.507,4.32,-28.125,0,28.351
1,22.5,0.193,25.451,2.264,5.9865,3.859,1.9625,-11.3275,2.025,88.1,97.697,386.9955,390.4185,3.9,-26.704,0,28.2785
1,23.5,0.201,25.0505,2.243,6.132,4.631,1.835,-12.31,1.272,89,97.6815,388.287,391.08,3.52,-24.281,0,28.2545
2,0.5,0.223,23.716,2.134,7.7445,6.4235,0.894,-8.752,2.2395,92.9,97.787,393.34,396.477,2.165,-18.985,0,28.375
2,1.5,0.2275,23.466,2.082,8.094,6.8405,1.042,-8.8865,1.4355,93.85,97.743,395.99,399.044,1.875,-18.743,0,28.077
