DOY2,HR2,USTAR,TA_1_1_1,WS_1_1_1,NEE,FC,SC_1_1_1,H,SH,LE,SLE,G_1_1_1,TS_1_1_1,TS_1_2_1,RH_1_1_1,PA,CO2_1_1_1,CO2_1_2_1,VPD,NETRAD_1_1_1,PPFD_IN_1_1_1,SW_IN,PPFD_OUT,SW_OUT,LW_IN,LW_OUT,H2O,PPFD_DIF
1,0.25,0.899625,1.406,6.14335,1.626975,1.641,1.2709,26.8862,15.8632,20.876775,5.228625,-2.5281,0.2415,0.791875,97.06765,98.7768,409.798425,407.5579,1.3805,7.72125,0,0,0,0,317.2903,316.0071,6.59735,0
1,0.75,0.886475000000001,1.442925,6.034275,1.6443,1.3593,1.0328,23.3312,17.3314,22.163025,4.4968,-2.4836,0.240075,0.790475,97.0065,98.78685,411.324,408.19825,1.4315,8.93405,0,0,0,0,316.348125,316.088,6.58385,0
1,1.25,0.888799999999999,1.3032,5.945175,1.439175,1.4336,0.87225,31.3267499999999,15.8496,19.913725,4.52935,-2.46085,0.2402,0.7904,97.1595,98.808,408.581175,407.370625,1.369,7.935,0,0,0,0,315.933,315.587525,6.51535,0
1,1.75,0.9125,1.270525,5.929,1.33405,1.7098,0.7994,29.1294499999999,12.6582,22.3818,4.04280000000001,-2.4696,0.240075,0.78865,97.6334,98.8274,408.275475,407.5171875,1.433,7.15140000000001,0,0,0,0,315.8694,316.112975,6.45065,0
1,2.25,0.87685,1.29435,6.007375,1.46475,1.494875,0.8023,27.2080999999999,13.0192,19.069,4.4305,-2.4376,0.238425,0.785825,97.50055,98.849,407.492,407.66375,1.41,6.6756,0,0,0,0,315.931,315.932675,6.4122,0
1,2.75,0.88695,1.668375,6.192625,1.606875,1.6912,1.0235,22.3180249999999,13.4086,17.431,4.2636,-2.514325,0.23725,0.786,97.34235,98.8672,407.00595,407.29435,1.4555,7.275575,0,0,0,0,316.217925,315.995675,6.53185,0
1,3.25,0.87045,1.989925,6.137975,2.060575,1.08045,1.089,30.4592249999999,14.143,15.3748,4.83935,-2.563325,0.2356,0.7858,97.52095,98.8436,407.15615,407.2584,1.4345,6.20625,0,0,0,0,316.000975,315.85075,6.4525,0
1,3.75,0.888775,1.825625,6.268625,1.897,1.319,1.3405,26.097675,13.6816,16.85005,4.86385000000001,-2.5517,0.235875,0.785875,97.46695,98.7732,407.4362,407.02615,1.235,7.67092499999999,0,0,0,0,314.859175,315.917275,6.4356,0
1,4.25,0.93775,1.6256,6.3516,1.3214,1.32915,1.018,24.11705,19.3106,17.67205,4.5635,-2.5232,0.23385,0.7867,97.3497,98.7654,407.56745,407.53405,1.2985,7.9763,0,0,0,0,313.88825,316.81255,6.46265,0
1,4.75,0.936475,1.600125,6.23515,1.724225,1.5981,0.9222,20.0911,21.9374,17.4587,4.5369,-2.364425,0.2327,0.78485,97.1346,98.786325,407.695475,407.65475,1.2425,8.30335,0,0,0,0,312.10065,317.50985,6.4745,0
