DOY2,HR2,CO2,H2O,CH4,FC,NEE,FCH4,H,LE,WS,USTAR,PA,RH,TA,VPD,PPFD_IN,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT,TS_1,TS_2
1,0.25,416.455,3.5414,2162.15,0.0589325,-0.1077675,2.31855,-15.30025,4.58125,0.988425,0.1426175,99.45875,74.92875,-3.152175,0.47737,-0.1,-58.30375,-3.0458,0.24874,238.7825,296.42,5.07775,4.6744
1,0.75,416.18,3.2293,2155.7,-0.132685,-0.1756425,0.4656625,-14.318,1.72835,0.9898325,0.14369,99.45425,74.517,-3.36805,0.4262225,-0.1,-54.91425,-2.9926,0.24914,244.9875,296.36,5.07555,4.6528
1,1.25,415.8625,3.428475,2163.8,-0.02459225,-0.09477,6.34585,-13.318,3.7438,1.0056,0.1386875,99.4355,74.57425,-3.286125,0.399825,-0.1,-53.8615,-2.662,0.29107,244.75,296,5.0639,4.6544
1,1.75,416.08,3.50065,2150.625,-0.0890785,0.038656,1.7396,-10.0241,4.67705,1.0029,0.1285625,99.4235,74.88075,-3.1634,0.43395,-0.1,-51.59575,-2.8939,0.22633,248.805,295.86,5.06055,4.6582
1,2.25,416.14,3.612425,2146.35,0.0407925,0.033768,0.638345,-11.064,6.12,1.01435,0.14239,99.433,75.464,-2.9771,0.4414325,-0.1,-54.814,-2.280475,0.2373075,243.795,295.8175,5.048525,4.6507
1,2.75,416.46,3.5194,2146.9,-0.16242,-0.17761,-0.491385,-11.415,5.45835,0.960515,0.1467,99.42625,75.261,-3.0724,0.4467975,-0.1,-57.188,-2.7911,0.225395,242.8,295.415,5.047,4.655825
1,3.25,416.98,3.5902,2148.825,0.02483075,-0.006107,0.55126,-10.244,4.7016,0.906895,0.1315625,99.423,75.01225,-3.119725,0.4496025,-0.1,-53.156,-2.89885,0.307205,248.495,295.905,5.0435,4.65825
1,3.75,416.6325,3.274,2148.4,-0.002963,-0.0797935,-2.71635,-11.313,8.365525,0.9570625,0.16216,99.409,74.95425,-3.14665,0.426325,-0.1,-52.604,-2.359,0.273495,252.4425,295.49,5.0389,4.660225
1,4.25,417.16,3.246,2140.25,-0.17638,-0.2117075,1.352035,-9.129625,8.07495,0.940205,0.136285,99.382,74.81675,-3.157725,0.4103675,-0.1,-45.72025,-1.994575,0.202485,248.9725,295.98,5.0349,4.65915
1,4.75,417.125,3.2801,2147.075,-0.113047,-0.23076,0.3869,-9.100475,8.4913,0.94869,0.147245,99.3755,73.97925,-3.368075,0.395545,-0.1,-45.023,-2.220225,0.223755,246.5,295.5675,5.0328,4.658675
