DOY2,HR2,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,NETRAD_1_1_1,TA_1_1_1,RH_1_1_1,WS_1_1_1,CO2_1_1_1,H2O_1_1_1,FC_1_1_1,LE_1_1_1,H_1_1_1,SC_1_1_1,SLE_1_1_1,SH_1_1_1,NEE,USTAR_1_1_1,PA_1_1_1,VPD_1_1_1
1,0.25,0,1.0520998,332.93052,348.577265,0.813072289999987,8.10405047499998,99.48713375,4.87696667499999,432.554605,5.26355275,3.702524,36.6710064999999,-6.3671635,1.33028965,4.6965615,7.83185947499999,4.3694057,0.8931511125,99.87562575,5.2703065
1,0.75,0,1.05676815,331.8716025,348.38964,0.926963857499985,8.13601419999998,99.40750975,4.71467452499999,429.04365,5.3149928,3.63114445,6.9275408,30.4237770499998,1.121595905,4.9681705,3.172456675,3.830578175,0.85468885,99.8839605,5.498066475
1,1.25,0,1.0986,332.27531,348.35617,1.11016670000001,8.11251150000001,99.338491,5.9674975,428.21495,5.3692009,3.719082425,22.3699924,-7.7281434,1.552091205,2.10917,6.8080175,3.914284175,0.854867435,99.889934,5.54286815
1,1.75,0,0.94903335,331.83416,348.09323,1.15598898000001,8.04684600000001,99.341682,5.7114363,428.22504,5.2539122,3.331156,29.8365056249999,-2.18193267499999,0.79917485,2.7636127,3.93366257499999,3.322177,0.8794434,99.89429,5.35600079999999
1,2.25,0,1.0812374,332.0728,348.47423,1.14932551000001,8.1718749,99.113324,5.321159,432.200105,5.352333275,5.22699775,12.9548622,-1.7479351325,0.7451325,4.11446595,7.39894185,5.35018875,0.8722906875,99.899164,5.389049775
1,2.75,0,0.915033305,333.34868,348.78777,1.44224556499999,8.29648969999999,99.0062355,4.9905766,432.18295,5.5185745,3.1265343,5.017902875,32.00734005,2.6226237,2.27328075,3.12420685,3.9105779,0.91373095,99.893338,5.4256835
1,3.25,0,0.819104357499999,332.9742,347.957535,1.59249095749999,8.11950347499999,99.12644325,4.51470860000001,432.3043575,5.4542198,2.3732072,40.6346255,-0.662079600000007,0.442136525,2.839351025,3.4361985,2.3119863,0.900226147499999,99.84326275,5.09176077499999
1,3.75,0,0.883565144999999,332.2034225,347.24772,1.63877401749999,7.92674727499999,99.24188925,4.46399520000001,432.214225,5.4312982,2.67974125,19.1121092,-4.3407595,1.2372276525,4.349947175,7.73099395,2.60137745,0.894663529999999,99.8251965,4.86974602499999
1,4.25,0,0.839725039999999,331.68696,347.6562075,1.66022469249999,7.99601132499999,99.3430595,4.3335122,431.12011,5.5218265,2.9025615,14.6791368,-5.104721825,0.88685586,7.973737625,4.92625835,2.68187025,0.85244845,99.86025725,4.8774085
1,4.75,0,0.846904184999999,332.529735,348.150125,1.51586772999999,8.01109419999999,99.50154475,4.3081138,429.81435,5.461767825,8.9267025,10.62710275,-4.08058322500001,0.92086086,7.68981345,2.984578,7.64579685,0.8134656275,99.85712125,4.626677775
1,5.25,0,0.825664017499999,337.7742525,348.2361375,1.39466213249999,7.91967557499999,99.6277655,4.3196716,430.135675,5.37569,2.18229525,16.0476875,-0.476754130000001,3.76842823249999,6.747958425,6.447329025,2.192600575,0.7677746025,99.8884615,4.252857525
1,5.75,0,1.035490625,348.1156975,348.486065,1.51375247249999,7.97366352499999,99.699898,3.892024625,430.73664,5.53292355,5.36781257499999,26.708537,-2.22290578,0.6693925,5.8061034,5.01547894999999,5.19213379999999,0.774409245,99.9094235,4.03522285
1,6.25,0,3.607743625,346.38886,349.09668,6.77526507499998,8.11849200000001,99.760424,4.0128876,431.2903575,5.882338,2.674609975,27.1103608,-1.067085,0.701411245,7.24977850625,10.530265,2.911294425,0.82635545,99.582464,3.826316
1,6.75,0,13.048576,333.71178,348.11108,45.3538700000002,7.84363240000001,99.796624,4.02075445,431.3576,5.91219755,2.5652173,43.223104,8.1714795,2.00657822,8.6934536125,15.835636,3.4527555,0.7212066725,99.587048,3.593021825
1,7.25,0,24.594308,341.60882,348.20578,116.93872,7.82474200000001,99.840024,3.9617679,430.9646725,5.9706608,2.683928825,78.7820315,59.80649275,0.2019253905,10.13712871875,26.766449,1.79693235,0.820040885,99.656064,3.5281909
