DOY2,HR2,TAU,H,LE,FC,WS,USTAR,T_SONIC,CO2,H2O,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC_SIGMA,SW_IN,SW_OUT,LW_IN,LW_OUT,TA,RH
1,0.25,-0.479594,-20.7429,-0.500528,0.38068375,0.832766,0.219656,-4.75921,407.66925,1.40887,0.544225,0.434902,0.273665,0.0519,-2.3524335,0.2806438,246.3008,286.5534,-6.815,75.165
1,0.75,-0.510057,-22.5485,0.599597,0.219024,0.906991,0.230611,-4.79868,407.306,1.57188,0.479796,0.367096,0.279379,0.0499,-2.448278,0.2930374,246.53475,286.426,-6.96,74.69
1,1.25,-0.601566,-21.8315,1.110535,0.352625,0.91865025,0.226279,-5.18565,407.1685,1.4511825,0.501947,0.363752,0.230938,0.0511,-2.2545635,0.25663665,248.7983,286.518,-6.9355,73.82
1,1.75,-0.56736925,-23.702325,-0.088696,0.197663,0.94095375,0.2284775,-4.96741,407.5385,1.3745575,0.47592625,0.371363,0.238892,0.0447,-2.497167,0.2976452,246.957,284.52935,-6.939,73.905
1,2.25,-0.4966785,-23.61045,-0.139951,-0.21515625,1.01007,0.22129175,-5.3768825,407.627,1.30751,0.48991575,0.3539375,0.26000975,0.0508,-2.523422,0.3638527,248.7401,284.9414,-6.886,74.085
1,2.75,-0.4845895,-23.231275,0.054381,0.446303,0.86151325,0.19923575,-5.8003475,407.8505,1.1845025,0.44494625,0.35884625,0.23143225,0.0564,-2.3652615,0.35211135,248.49115,284.52525,-6.8775,75.465
1,3.25,-0.542081,-17.95875,0.7005095,-0.104714,0.82202425,0.222177,-5.9992925,407.8465,1.433125,0.426721,0.32779475,0.266388,0.05825,-2.1765395,0.3072212,250.49895,283.39155,-6.9005,76.99
1,3.75,-0.51228475,-20.2109,0.646263,0.6744225,0.8946335,0.17517775,-5.58143,408.57125,1.36182,0.37648775,0.36854375,0.2346275,0.050375,-2.270984,0.3226583,254.4121,282.664,-7.221,77.86
1,4.25,-0.59064675,-22.393225,0.01683,0.20344975,0.88382125,0.19233,-5.78953,407.7,1.2659825,0.43217175,0.42542,0.235735,0.057125,-2.1423765,0.33085115,254.1222,282.61975,-7.2535,78.09
1,4.75,-0.5561505,-23.28125,1.14913,0.4761905,0.78146575,0.2133685,-5.85479,406.156,1.46477,0.46385575,0.38705525,0.24908625,0.0518,-2.244453,0.3817462,255.44525,282.6143,-7.177,79.06
1,5.25,-0.515494,-20.248275,-0.50233975,0.1916245,0.77703375,0.2037435,-5.89369,406.347,1.323365,0.42927,0.39983425,0.236821,0.0561,-1.9422825,0.44013245,247.6488,283.25905,-7.0085,79.2
1,5.75,-0.6115415,-19.690825,1.74207,0.642041,0.7438865,0.17360975,-5.51918,406.802,1.599365,0.356715,0.3555065,0.20121725,0.051125,-1.8771935,0.32026095,256.33545,283.51015,-6.9515,79.49
1,6.25,-0.6446325,-22.03135,0.69381,0.73912425,0.68260875,0.21170875,-5.8426225,405.842,1.587805,0.46504875,0.3172585,0.211822,0.06175,-2.072535,0.28481625,257.53655,283.10735,-7.357,79.095
1,6.75,-0.621712,-17.437,1.2932975,0.630401,0.7719015,0.174283,-5.908895,405.47825,1.77481,0.399727,0.320003,0.20653,0.0637,-1.6591455,0.3061793,256.5767,281.0928,-7.7545,78.235
1,7.25,-0.643999,-25.208,1.2249975,0.61166825,0.720111,0.181673,-5.689055,407.11425,1.505635,0.469168,0.378673,0.224897,0.0599,-2.0470725,0.3447903,259.45125,280.57405,-7.742,78.66
1,7.75,-0.525797,-21.9936,3.3121675,0.56221,0.860158,0.231286,-5.600055,407.3615,1.50158,0.521849,0.397724,0.286887,0.0516,-1.8049685,0.4042596,245.0186,279.48675,-7.7565,78.915
1,8.25,-0.663815,-15.7992,2.9797225,-0.24310275,0.99445225,0.244593,-5.68546,407.96125,1.514815,0.454841,0.392377,0.287942,0.061,1.0767545,0.60845445,248.05115,279.368,-7.7715,78.58
1,8.75,-0.6971285,-7.0969225,4.300085,0.195724,1.0585875,0.320701,-5.1159525,406.266,1.46614,0.6471215,0.46770575,0.37623075,0.0675,9.0681815,1.9432615,249.13635,280.40465,-7.6445,78.21
1,9.25,-0.6149495,-2.26092,2.4642175,-0.279917,1.18455,0.3760235,-4.5803125,407.009,1.4934875,0.703009,0.557194,0.44197375,0.078025,21.067025,3.6786515,256.67815,283.1513,-7.7,77.705
1,9.75,-0.728531,4.48444,4.61409,-1.105025,1.30733,0.42601,-5.7444,407.543,1.57236,0.7646,0.575336,0.424138,0.084875,33.19835,5.264786,253.39365,286.90715,-7.178,77.27
1,10.25,-0.746406,10.7604,5.9906975,-1.61921,1.11404,0.365585,-4.5269,408.419,1.548715,0.759427,0.604224,0.420972,0.10399925,48.057885,6.827063,257.0147,291.44045,-6.9265,76.43
1,10.75,-0.656043,11.6485,7.9328025,-2.47325,1.48497,0.437789,-3.5894825,408.05525,1.68793,0.852991,0.675273,0.515202,0.126153,63.24837,8.7564295,255.59405,292.38045,-6.6715,74.38
1,11.25,-0.813962,24.4173,8.630035,-3.736625,1.57142,0.476751,-3.8010425,407.597,1.4388825,0.873254,0.651489,0.517633,0.130822,76.874985,10.627025,256.84245,296.36425,-5.9655,72.445
1,11.75,-0.798453,25.5053,9.477455,-3.00584,1.47878,0.468839,-3.9348825,407.6665,1.435245,0.881309,0.704093,0.561235,0.123545,97.091775,12.4855,258.96235,298.826,-5.8255,70.87
