DOY2,HR2,TAU,H,LE,FC,WS,USTAR,T_SONIC,TA,PA,RH,VPD,CO2,H2O,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC_SIGMA,CO2_SIGMA,H2O_SIGMA,PPFD_IN
1,0.25,0.0028,-5.54454,12.73505,8.0622,3.06465,0.2772245,22.3831,20.7144,100.5,100,4.13999,447.95675,21.5741,0.9141,0.730463,0.396428,0.3558695,0.0131,0.2416736,0
1,0.75,-0.00435,-5.8694,14.477125,7.7252,3.206325,0.283479,21.728225,20.612075,100.49275,100,3.58719,439.628,21.64835,0.872365,0.716675,0.393214,0.33192325,0.01135,0.2629,0
1,1.25,-0.00665,-7.6006,16.257425,7.715045,3.4911,0.289147,21.5836,20.2299,100.445,100,2.6586,439.8615,21.9935,0.828181,0.6555,0.3767,0.3201,0.009075,0.22345,0
1,1.75,0.0027,-5.5722,10.84905,7.561905,3.16465,0.277559,21.2423,19.66695,100.4195,100,1.952425,443.769,22.1446,0.8327165,0.6710035,0.3545,0.31755,0.008975,0.1848,0
1,2.25,0.0041,-4.09335,12.194125,8.194365,3.28,0.260102,20.96705,19.47375,100.402,100,1.951635,446.15875,22.1624,0.7411285,0.687261,0.339415,0.29955,0.008975,0.1847,0
1,2.75,-0.002,-4.0089,7.64366,7.06175,3.1709,0.281087,20.868,19.2041,100.402,100,1.024845,443.80175,21.9026,0.856844,0.6714,0.3517,0.32132,0.0078,0.149148832,0
1,3.25,-0.0051,-4.526675,5.3615,6.969625,3.020945,0.24554525,20.7646,18.901275,100.4055,100,0.7769,442.158,21.3474,0.7179835,0.6107,0.3374685,0.303375,0.0079,0.1305,0
1,3.75,-0.003025,-3.75015,6.264665,7.020885,2.98349,0.23635,20.50415,18.7164,100.4,100,0.84009775,443.021,20.9415,0.780525,0.62054375,0.319471,0.29094575,0.0069,0.1872,0
1,4.25,0.0041,-4.2111,5.76035,7.3189,3.0597,0.277844,20.2963,18.5068,100.4,100,0.8672,443.057,20.553075,0.734914,0.6472,0.319947,0.306882,0.0077,0.172047008,0
1,4.75,0.001185,-4.416865,6.255325,8.1186325,2.9963,0.2469765,20.15805,18.4536,100.40275,100,0.5105,444.47275,20.64225,0.77024975,0.595875,0.31728125,0.32556425,0.00775,0.178,0
1,5.25,0.0025,-4.92689,4.7195,7.217125,3.02872,0.2713,19.7512,18.2704,100.43,100,0.2845,445.61825,20.4937,0.75701,0.6873,0.3439,0.3035,0.006675,0.2285,0
1,5.75,-0.002575,-3.5557425,5.1742375,7.8139925,2.8820225,0.25157425,19.91045,17.90335,100.47225,100,0.31985,453.49325,20.7841,0.7629075,0.642225,0.3305385,0.27639275,0.009325,0.217951104,0
1,6.25,-0.00509,-2.2742,12.03865,5.9453,2.8279,0.26124,19.8886,18.1455,100.487,100,0.11646125,449.934,21.2501,0.849589,0.665,0.3459,0.28772,0.0092,0.29713824,0
1,6.75,-0.01385,0.2093875,21.53455,3.696375,3.02678,0.2861,19.9494,18.63345,100.5,100,0.39337525,440.817,20.3558,0.8761225,0.6449525,0.36775,0.373466,0.0089,0.41636224,0
1,7.25,-0.029475,12.72615,45.494725,1.807785,3.490225,0.3102095,20.5513,18.940575,100.5,100,1.311585,428.6525,21.4353,0.90457975,0.767297,0.397025,0.46115,0.00705,0.40041592,28.75
1,7.75,-0.034,28.4723,80.56125,1.3047,3.8332,0.3579585,21.40645,19.74465,100.5615,100,2.900865,426.992,21.4947,1.05055,0.826147,0.4518915,0.5006,0.006375,0.44853776,127.75
1,8.25,-0.051,44.9424,113.13525,1.0428,4.42795,0.4058,22.2817,20.6369,100.5525,100,3.87721,418.183,21.7522,1.101415,0.907729,0.467,0.492828,0.004375,0.51729456,273.75
1,8.75,-0.058875,60.417225,147.4595,0.888575,4.721955,0.41685,23.326925,21.29835,100.573,100,5.359765,409.67275,22.534225,1.15284,0.9827525,0.4982305,0.5254,0.0033,0.5918026,477.25
1,9.25,-0.0634,82.165425,172.73925,1.674325,5.2673,0.457659,24.4259,22.4904,100.57,98.9649,6.6456,403.5205,22.951975,1.3013,1.0655,0.536662,0.559445,0.003175,0.6365972,681.5
1,9.75,-0.056575,96.134475,210.266,1.8737,5.0461475,0.46263225,25.01705,23.2,100.57775,97.164225,8.0545525,400.73675,23.746275,1.296125,1.1002875,0.5333045,0.598946,0.003175,0.67118328,892.75
1,10.25,-0.0872,114.263,249.6085,2.13195,5.20617,0.4734,25.6467,23.5529,100.576,92.797075,9.3305575,397.028,23.2553,1.3026,1.1875,0.5359,0.6318,0.003125,0.7371,1234
1,10.75,-0.082575,123.79075,280.14675,2.7544,5.180275,0.4752125,26.3377,24.39665,100.5255,89.82005,10.6413,395.211,23.615575,1.31117,1.20515,0.55423875,0.68369775,0.00335,0.84089936,1451
1,11.25,-0.096275,135.70575,293.276,2.7353,5.1547075,0.45865825,27.152,25.259625,100.52175,87.215975,11.93355,394.027,23.2933,1.316425,1.262325,0.555697,0.71690575,0.00335,0.92814112,1617.75
1,11.75,-0.097925,133.11175,330.949,2.6775,5.14257,0.447625,27.93355,25.826025,100.5105,84.255625,13.392225,393.062,23.0523,1.357265,1.230095,0.54483675,0.700808,0.00335,0.91705,1790
1,12.25,-0.1048745,139.409,368.911,2.9487,4.7948425,0.4606955,28.38785,26.263575,100.5,82.266425,14.454175,392.747,23.41515,1.38708,1.266095,0.53495525,0.725125,0.0033,1.03110672,1933
1,12.75,-0.10491525,145.57625,398.567,3.3641,4.8952525,0.45635,29.0714,26.935825,100.497,78.91465,15.742775,392.367,23.7189,1.359475,1.2738175,0.53836575,0.745056,0.0034,1.050058,1992
1,13.25,-0.090975,146.65775,392.98,2.9025,4.82859,0.4486415,29.600825,27.5254,100.48025,76.483475,17.2351,392.011,23.8146,1.367775,1.35955,0.52221125,0.746278,0.0034,1.17066432,2019.25
1,13.75,-0.10238425,147.06675,413.686,3.4485,5.1437225,0.484975,29.933475,27.788525,100.45425,75.5316,17.8819,392.305,23.31515,1.4724,1.3129075,0.5453875,0.715,0.0034,1.13583904,1998.75
1,14.25,-0.1006585,135.02975,401.986,3.3686,5.188255,0.46415,30.18715,27.960725,100.427,75.095625,18.874,392.1595,23.18545,1.4803225,1.3278,0.555166,0.6671085,0.0034,1.14204416,2049.5
1,14.75,-0.09005,118.618,372.595,2.7954,5.3709,0.46547175,30.45165,28.35865,100.40525,73.7618,19.0672,391.65,22.7826,1.406525,1.324005,0.538404,0.66926975,0.0031,1.11983424,2026.5
1,15.25,-0.104775,111.94625,381.161,2.43205,5.173225,0.457088,30.69445,28.57675,100.3935,70.7725,18.88895,392.347,22.4291,1.4067725,1.275775,0.519525,0.638,0.0031,1.1235,1960.5
1,15.75,-0.08725,95.812075,353.87975,2.10705,5.19145,0.466725,30.666325,28.73925,100.3205,69.44435,19.4897,392.3305,22.3871,1.398985,1.3335975,0.5376,0.58305125,0.003,1.06483104,1849
1,16.25,-0.08295,84.783325,322.299,1.95195,5.28685,0.451425,30.640275,28.6041,100.30075,69.39915,19.31675,392.3085,22.027,1.3917925,1.266115,0.52356775,0.533775,0.0027,1.01785152,1716.25
1,16.75,-0.0678,65.55215,274.6125,1.68635,4.843175,0.4418465,30.80025,28.664925,100.3,70.58725,19.08665,392.6805,21.9311,1.3880375,1.2363675,0.50387425,0.47179625,0.0023,0.98920192,1596.25
1,17.25,-0.0683,47.5,257.90425,1.0607,4.7596,0.4356,30.8611,28.651,100.3,70.403725,19.07075,392.593,21.895375,1.2848,1.11339,0.5085,0.403465,0.0021,0.87645488,1452.25
1,17.75,-0.0531,31.5484,214.69725,0.656225,4.7383,0.428147,30.6119,28.3641,100.3,71.1508,18.645225,393.19625,22.56865,1.2501,1.0576,0.5047,0.3172,0.0017,0.80971596,1143
1,18.25,-0.0608,14.3238,165.27,0.4040135,4.52533,0.40519,30.370425,28.230275,100.3,70.0118,17.72335,393.4105,22.0784,1.1542475,0.955503,0.49245,0.27295625,0.0013,0.8061,959
1,18.75,-0.034525,-1.70455,121.7605,0.29935,4.226965,0.36578325,30.028275,27.998425,100.3,72.86795,17.0446,394.39125,23.155,1.0736625,0.8542,0.435475,0.26395,0.001175,0.694,762
1,19.25,-0.0124,-3.55553,66.2841,2.487375,3.4152,0.260444,29.5966,27.4113,100.3,74.10005,14.29975,394.518,23.8892,0.8892,0.643077,0.340296,0.3597,0.002,0.63275296,517.5
1,19.75,-0.00355,-4.20568,28.9424,3.6954975,2.85805,0.2332,28.2799,26.3183,100.3,78.415275,11.81865,397.7515,23.842375,0.682245,0.5234,0.2896,0.5087,0.0044,0.43218056,342
1,20.25,0.00935,-1.266425,18.47855,6.42816,2.931425,0.24912525,27.1474,24.92895,100.3,83.01515,9.79663,408.254,23.4338,0.71516975,0.532775,0.282925,0.5304,0.0074,0.5389,164
1,20.75,0.0087975,-3.938075,16.8153,7.0973,2.8004675,0.22370575,25.93715,24.262075,100.3,87.54465,8.327255,426.4535,22.9025,0.700125,0.5088035,0.27455625,0.515725,0.0129,0.45710784,40
1,21.25,0.0023725,-3.948245,17.61625,8.54851,2.676375,0.2284575,25.3828,23.653475,100.33725,91.30995,7.336575,429.4935,23.279,0.62588925,0.579675,0.291975,0.41657525,0.0106,0.448,0
1,21.75,0.00174,-3.6897,13.823225,7.42911,2.80363,0.2036,24.6771,23.1783,100.398,95.5087,6.5092,436.263,22.772725,0.687,0.6305,0.2775,0.423055,0.0109,0.41406396,0
1,22.25,-0.000565,-4.7212175,12.9231,7.486305,2.6504775,0.209275,24.009675,22.555275,100.40975,98.1993,5.379075,440.45275,22.68085,0.675475,0.61025,0.2903755,0.4075025,0.011275,0.36847448,0
1,22.75,0.00163,-4.6962075,16.282075,7.711925,2.8734425,0.25225775,23.6038,22.1249,100.46,100,4.95988,445.19825,22.39,0.78896625,0.61950175,0.31072225,0.385807,0.009775,0.35709012,0
1,23.25,0.00395,-3.541465,16.3385,6.697365,2.95935,0.23595,23.1687,21.7306,100.4785,100,4.9455675,446.964,21.825675,0.7708,0.750435,0.3312425,0.4057,0.0131,0.3542,0
1,23.75,0.00215,-3.5918,10.2394,7.9124,3.099165,0.2496245,22.6731,21.18545,100.5,100,4.748875,440.341,21.89025,0.80965,0.69385,0.355,0.3832175,0.0133,0.33435,0
2,0.25,0.006,-2.0263,15.8753,8.65379,2.9663,0.226442,23.051,21.4399,100.628,99.938275,2.49614,476.88375,24.0243,0.7281,0.5572,0.3128,0.4033,0.01575,0.26111016,0
2,0.75,0.0011,-3.5194,16.7059,10.4965,2.9837,0.2260685,22.73155,21.3761,100.6905,100,1.927825,461.302,23.7823,0.73475,0.5758005,0.3049,0.38825,0.009525,0.23648368,0
2,1.25,0.0023,-4.4763,12.000125,12.0101,2.8187625,0.23784475,22.628075,21.01505,100.695,100,1.67956,456.6,23.2982,0.72255,0.61721575,0.34525,0.3640485,0.0087,0.1842,0
2,1.75,-0.00145,-5.7505,12.0795,10.5567,2.78355,0.25945,22.2016,20.6195,100.66,100,1.654,453.927,23.2184,0.75095,0.69805,0.3563,0.3462,0.0073,0.18958128,0
2,2.25,-0.003,-7.5209,12.35945,9.614185,2.9661,0.2643175,21.9252,20.3007,100.638,100,1.3677,447.6185,23.209475,0.757962,0.6483575,0.3663,0.36855,0.0079,0.202927928,0
