DOY2,HR2,CO2_1_1_1,CO2_1_2_1,CO2_1_3_1,CO2_1_4_1,CO2_1_5_1,CO2_1_6_1,CO2_1_7_1,H2O_1_1_1,H2O_1_2_1,H2O_1_3_1,H2O_1_4_1,H2O_1_5_1,H2O_1_6_1,FC_1_1_1,G_1_1_1,H_1_1_1,LE_1_1_1,WS_1_1_1,WS_1_2_1,WS_1_3_1,WS_1_4_1,USTAR_1_1_1,PA_1_1_1,TA_1_1_1,TA_1_2_1,TA_1_3_1,TA_1_4_1,TA_1_5_1,TA_1_6_1,TA_1_7_1,TA_1_8_1,TA_1_9_1,TA_1_10_1,TA_1_11_1,VPD_1_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,NETRAD_1_1_1,NETRAD_1_2_1,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,PPFD_IN_1_5_1,SW_IN,SW_OUT,LW_IN,LW_OUT,T_BOLE_1_1_1,T_BOLE_2_1_1,NEE,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,G_2_1_1,SC_1_1_1,RH_1_1_1
1,0.25,375.0340625,374.5465725,374.5101,374.651945,374.919,375.994,376.618025,0.23719576,0.2640952575,0.2681661575,0.250907295,0.23590778,0.2830748,-1.1119948,-5.627785,-55.162886,-5.9884273,0.75101427,0,0,0,0.1220988125,93.0687915,-24.992847,-25.764132,-25.5694365,-25.39267,-25.56692,-25.6213,-25.0668865,-25.4553665,-25.8424865,-25.083897,-2.11674165,0,-1.1107222,-0.391577165,0.2136335,1.46842165,2.725962,-78.369202,-33.7021885,0,0,0,0,0,0,0,143.6590325,210.32492,-23.3698335,-24.9654695,-1.3478014,-1.74371065,-0.57636015,0.0034790318,0.8800739,1.3296003,1.59252595,-7.3750505,-0.5167277625,64.7
1,0.75,374.708585,374.35947,374.363115,374.45524,374.744765,375.619515,375.94979,0.23522147,0.2618658925,0.261686155,0.259937625,0.24980065,0.282896875,-0.9446841075,-5.62838275,-48.89695725,-7.21220025,0.6922647,0,0,0,0.104069715,93.00611075,-25.39687,-25.94658,-25.79625,-25.60046125,-25.8187475,-25.42775,-24.960795,-25.30895875,-25.57441625,-25.0667475,-2.123746125,0,-1.2313695,-0.47142955,0.1687658625,1.516704125,2.72526125,-78.0975075,-32.8667755,0,0,0,0,0,0,0,143.319395,209.717135,-23.4366225,-24.9793725,-0.996167765,-1.8013129,-0.58392075,0.00593462845,0.8800898475,1.32968095,1.590101925,-7.4682815,-0.6253762375,66.16
1,1.25,375.2726425,375.1429625,375.123455,375.14163,375.20139,375.36351,376.51337,0.2337731225,0.258263725,0.26601704,0.2558528,0.244419975,0.27682323,-0.89483058,-5.627733,-55.0150035,-6.382875,0.753647245,0,0,0,0.106051475,92.9301915,-25.655663,-26.32467,-26.01133,-25.69533,-26.03367,-25.47233,-25.30667,-25.434,-25.48633,-25.29,-2.313433,0,-1.192233,-0.4326533,0.2709967,1.399967,2.632567,-77.1860185,-33.01388,0,0,0,0,0,0,0,142.937725,208.69805,-23.70933,-25.03067,-0.86162971,-1.8544746,-0.591164885,0.00137423284,0.8799281225,1.331985825,1.591685775,-7.54302125,-0.44030595,65.42
1,1.75,375.63228,375.35425,375.390115,375.44934,375.6056825,375.728925,376.94214,0.235497105,0.2555395675,0.26587422,0.251379665,0.2373415,0.2723965875,-0.82517248,-5.62770235,-51.7229305,-5.775195875,0.75133496,0,0,0,0.095869354,92.94617375,-25.570726,-26.37813925,-26.28742175,-25.89909675,-26.2151865,-25.56300825,-25.45408325,-25.6571865,-25.6614,-25.525705,-2.435211675,0,-1.5007675,-0.7885020825,0.00922408650000005,1.2514375,2.46195,-76.599263,-32.4926355,0,0,0,0,0,0,0,144.1194375,206.9953325,-23.95612175,-25.06477,-0.84557419,-1.871389575,-0.59932689,0.0030006714575,0.876443515,1.332970025,1.589764225,-7.60488255,-0.6232973925,66.3125
1,2.25,375.70691,375.12762,375.1466725,375.21237,375.3108975,376.182805,376.753215,0.2317687275,0.254628085,0.25998807,0.246352525,0.231992255,0.2637975125,-0.6792552025,-5.6277007,-60.316606,-5.5178172,0.71908598,0,0,0,0.111406725,92.97990125,-25.855806,-26.57588725,-26.54038325,-26.1358615,-26.50013325,-25.74685,-25.44131675,-25.82109675,-25.8899085,-25.37840325,-2.369449675,0,-1.2762225,-0.5434205825,0.2289763325,1.390704175,2.6608605,-76.5448775,-32.3235815,0,0,0,0,0,0,0,145.445235,206.760075,-23.88984175,-25.14871675,-0.7930560575,-1.869574825,-0.6056640525,0.00465899445,0.87617079,1.32903595,1.588357875,-7.6642899,-0.381258805,66.2875
1,2.75,375.34494,374.8703,374.90565,374.92943,375.5286,375.9519925,376.40685,0.232101315,0.24882408,0.2569406825,0.2384245425,0.2254320375,0.2584694,-0.454229725,-5.627699,-54.6159795,-4.0424745,0.7434693575,0,0,0,0.098223767,92.98214775,-26.0614775,-26.760431,-26.7055135,-26.2741635,-26.7277135,-26.02233,-25.57782,-25.73048,-25.80831,-25.4155435,-2.24109335,0,-1.314837,-0.562012335,0.16352497,1.3477707,2.5002303,-77.253424,-31.679755,0,0,0,0,0,0,0,144.7383625,206.2342525,-24.0863,-25.3104335,-0.4891881875,-1.856427225,-0.61598625,0.00427630497500001,0.880010485,1.328471575,1.5901834,-7.717571275,-0.3669516625,65.54
1,3.25,374.83274,374.81526,374.69535,374.92295,375.435655,375.516685,375.9842925,0.230454185,0.24211742,0.2381682225,0.23750982,0.21846776,0.2532258025,-0.68879945,-5.627699,-55.59415475,-5.3600555,0.80940507,0,0,0,0.10891275,92.9991905,-26.2832,-27.07479375,-26.98858125,-26.4975,-26.977045,-26.2437525,-26.07733625,-26.31753875,-26.34541625,-25.80796125,-2.160649375,0,-1.190358,-0.447624525,0.2386396125,1.5819295,2.77737525,-76.683925,-30.82946475,0,0,0,0,0,0,0,145.0077825,205.2653,-24.13558,-25.72183375,-0.78496084,-1.9106602,-0.62235532,0.0034790298,0.87769732,1.3274396,1.5869672,-7.7660577,-0.4605515375,64.655
1,3.75,374.65998,374.58233,374.636,374.81602,375.21066,375.423495,376.116265,0.22663787,0.2350895825,0.230334505,0.2339469375,0.211255115,0.25036756,-0.738608735,-5.640641375,-58.010984,-4.9775908,0.77352459,0,0,0,0.102922375,92.9469905,-26.574233,-27.27808125,-27.2562525,-26.6337475,-27.1452525,-26.409,-26.0902025,-26.37058,-26.6750825,-26.1248725,-2.19441275,0,-1.184783375,-0.5184941375,0.1207017,1.493921125,2.734417,-76.823132,-30.08137,0,0,0,0,0,0,0,146.7587675,206.21532,-24.49520875,-25.9716675,-0.627255945,-1.916465,-0.62591428,0.00411685,0.87577028,1.3253756,1.5872256,-7.809383825,-0.4016834075,65.34
1,4.25,374.7722575,374.70257,374.71367,374.87893,375.19211,375.6831825,376.0794175,0.221528735,0.2294458125,0.225714655,0.230728535,0.2140334125,0.24989118,-0.99585934,-5.63010635,-52.65762225,-5.237363375,0.75217771,0,0,0,0.10012455175,92.93631,-26.790877,-27.458068,-27.4238,-26.9008335,-27.2846635,-26.5100135,-26.4566635,-26.508003,-26.4831665,-26.164903,-2.03983,0,-1.16351135,-0.447179535,0.219997135,1.61289315,2.7196327,-75.257634,-30.51344,0,0,0,0,0,0,0,148.52315,205.63547,-24.5614665,-26.2379865,-1.0903129,-1.9298376,-0.6313747,0.0025860904,0.87487222,1.3224092,1.5860612,-7.85256775,-0.444771895,66.65
1,4.75,375.062015,374.8312,374.8208025,374.83102,375.13209,375.6336475,376.1097875,0.2155032575,0.2234138875,0.22421435,0.229253245,0.2173295625,0.2458936375,-0.65333415,-5.62782665,-54.171701,-3.82043175,0.81494734,0,0,0,0.1209712975,92.975852,-27.10849875,-27.715869,-27.603047,-27.1251635,-27.3623335,-26.6308335,-26.3730365,-26.542847,-26.586047,-26.093497,-2.2081867,0,-1.154942,-0.49420897,0.26075947,1.3851462,2.6057853,-75.7336325,-29.34583475,0,0,0,0,0,0,0,150.45034,204.769255,-24.82008,-26.2891695,-0.59589052,-1.9102914,-0.6433093,0.0033514694,0.8784676,1.3278266,1.5854152,-7.8969614,-0.411344605,66.225
