DOY2,HR2,NETRAD,G,LE,H,FC,USTAR,CO2,H2O,T_SONIC,PA,TA_1_1_1,RH_1_1_1,WS_1_1_1,PPFD_IN,PPFD_OUT,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1
2,0.25,-35.9519,-33.0988,-0.0687482,-3.05829,0.2426375,0.0619325,386.442,5.8395,1.38013,87.71395,1.2589,73.9084,0.43247,0,-0.0851787,3.769,5.55975,7.41025,8.73,8.82,9.975
2,0.75,-33.911,-34.5768,0.265724,-2.603625,0.1355105,0.06752615,386.167,5.83972,0.920059,87.7022,0.710711,75.4449,0.407642,0,-0.08919865,3.34625,5.35125,7.3585,8.645,8.825,9.975
2,1.25,-34.4761,-35.8482,0.1928505,-3.79368,0.150105,0.06314025,386.361,5.76078,0.8810725,87.7168,0.383017,76.2704,0.422485,0,-0.08943555,3.1715,5.127,7.2945,8.585,8.87,9.975
2,1.75,-34.2501,-33.6387,0.410374,-3.88529,0.272127,0.05749745,385.8375,5.834585,0.307487,87.7138,0.253082,76.524,0.397708,0,-0.0943573,2.95925,4.88725,7.2255,8.57,8.855,10.02
2,2.25,-31.8478,-33.7806,0.101202,-1.59132,0.128467,0.06110385,386.031,5.821635,-0.243658,87.6998,-0.392713,77.74,0.365628,0,-0.09471255,2.673,4.74825,7.13,8.485,8.86,10.02
2,2.75,-29.7885,-33.5658,0.06270065,-3.48808,0.169543,0.0537119,386.131,5.72004,-0.569557,87.6859,-0.95398,78.3165,0.314579,0,-0.09007345,2.55625,4.53625,7.05375,8.44,8.905,10.025
2,3.25,-28.7675,-33.5392,-0.0680176,-2.61794,0.198203,0.0589663,385.615,5.652765,-1.29378,87.6701,-1.48953,80.6826,0.382538,0,-0.0980426,2.3005,4.29125,6.93775,8.37,8.905,10.025
2,3.75,-28.3606,-32.7609,0.208308,-1.1825,0.1069205,0.06061945,385.4225,5.59233,-1.56117,87.6682,-1.83752,82.412,0.384811,0,-0.093326,2.1965,4.0835,6.83475,8.295,8.92,10.025
2,4.25,-26.3007,-32.4242,0.531793,-2.23665,0.185064,0.05889895,385.488,5.4396,-1.85956,87.6747,-2.26699,83.4936,0.337495,0,-0.0919884,2.01025,3.9185,6.714,8.21,8.92,10.03
2,4.75,-25.5499,-30.6481,0.09343315,-3.16501,0.25727,0.0632312,385.534,5.4317,-2.05616,87.67855,-2.3703,84.4911,0.41609,0,-0.0945655,1.79425,3.74175,6.622,8.15,8.93,10.03
2,5.25,-24.8169,-30.3353,0.401685,-2.75218,0.182022,0.0587533,385.654,5.37666,-2.63168,87.69275,-2.80672,85.2827,0.358566,0,-0.0928632,1.657,3.60925,6.55825,8.08,8.94,10.03
