DOY2,HR2,USTAR,TA,WS,NEE,FC,SC,H,SH,LE,SLE,G_1_1_1,TS_1_1_1,TS_1_2_1,RH,PA,CO2,VPD,NETRAD,PPFD_IN,SW_IN,PPFD_OUT,SW_OUT,LW_IN,LW_OUT,H2O,PPFD_DIF
1,0.25,0.58525,1.0325,2.69225,0.8325,0.75,0.154,-3.1485,1.92475,1.72725,1.104,-2.4915,0.39025,0.69225,79.955,78.39,389.92025,4.2775,-43.77,1.638,-0.8565,0,3.0905,267.4,305.2,4.53325,0.696
1,0.75,0.6065,1.1075,2.732,1.0325,0.944,0.149,-2.625,1.30225,2.276,0.788,-1.75425,0.392,0.69475,79.835,78.39,389.69425,4.19,-48.28,1.627,-0.9875,0,3.2405,265.8,305.15,4.47775,0.696
1,1.25,0.58425,0.7405,2.837,0.83375,0.85925,0.089,-1.1195,1.5115,1.6785,1.18225,-2.1465,0.39225,0.68325,78.215,78.3725,389.78925,4.17,-42.4875,1.624,-0.92825,0,3.20875,269.95,304.625,4.47325,0.69125
1,1.75,0.5725,0.80025,2.723,0.8835,0.90225,0.11,-3.0645,1.18075,2.118,0.702,-2.42825,0.388,0.67725,78.5475,78.37,389.71275,4.255,-41.88,1.6445,-1.11975,0,3.17775,268.25,303.8,4.519,0.692
1,2.25,0.53225,1.02325,2.493,0.957,0.9075,0.101,-1.436,2.1035,1.97575,0.59225,-2.5305,0.391,0.68025,73.3675,78.361,389.87175,4.295,-46.6275,1.64025,-0.89325,0,3.18825,258.12525,304.075,4.4565,0.701
1,2.75,0.56325,0.665,2.465,0.9435,0.93675,0.157,-1.87,0.9165,2.62625,1.179,-2.62525,0.37875,0.67075,77.335,78.3525,389.9795,4.045,-46.6,1.64025,-1.0705,0,3.181,257.55,303.65,4.431,0.696
1,3.25,0.546,0.64375,2.63,0.9385,0.868,0.106,-2.518,1.216,2.357,1.072,-2.67375,0.388,0.664,75.905,78.37,390.15575,3.925,-45.135,1.6445,-1.03175,0,3.03125,260.875,304.075,4.48875,0.696
1,3.75,0.548,0.69,2.627,0.93975,0.96925,0.129,-3.2485,1.4495,1.7155,0.782,-1.8095,0.37525,0.668,78.3525,78.35,390.3115,3.965,-38.105,1.6505,-0.9535,0,3.0125,262.475,303.8,4.59275,0.701
1,4.25,0.53725,0.58025,2.602,0.84425,0.918,0.07025,-2.0235,2.091,2.49075,0.7735,-2.237,0.36975,0.6655,79.0075,78.3475,390.15775,4.0775,-40.9125,1.64475,-0.87925,0,3.17125,260.82525,303.325,4.54375,0.69725
1,4.75,0.54475,0.453,2.70475,0.80975,0.87575,0.111,-2.0215,1.253,1.88675,1.13475,-2.63,0.37825,0.66275,79.445,78.35025,390.04025,3.96,-41.46,1.655,-0.95175,0,2.917,275.875,304.75,4.663,0.701
