DOY2,HR2,FC,SC,LE,SLE,USTAR,H,SH,V_SIGMA,CO2_1_1_1,H2O_1_1_1,CO2_1_1_2,H2O_1_1_2,CO2_1_1_3,CO2_1_2_2,H2O_1_2_2,CO2_1_2_3,CO2_1_3_2,H2O_1_3_2,CO2_1_3_3,CO2_1_4_2,H2O_1_4_2,CO2_1_4_3,CO2_1_5_2,H2O_1_5_2,CO2_1_5_3,CO2_1_6_2,H2O_1_6_2,CO2_1_6_3,WS_1_1_1,T_SONIC,T_SONIC_SIGMA,WS_1_2_1,WS_1_3_1,WS_1_4_1,WS_1_5_1,WS_1_6_1,TA_1_1_1,TA_1_1_2,TA_1_2_1,TA_1_3_1,TA_1_4_1,TA_1_5_1,TA_1_6_1,PA,RH,VPD,T_CANOPY_1_1_1,T_CANOPY_1_2_1,T_CANOPY_1_3_1,T_CANOPY_1_4_1,T_CANOPY_2_4_1,SW_DIF,SW_IN_1_1_1,SW_IN_1_1_2,SW_OUT,LW_IN,LW_OUT,LW_BC_IN,LW_BC_OUT,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,PPFD_IN_1_5_1,PPFD_IN_1_6_1,PPFD_OUT,PPFD_BC_IN_1_1_1,PPFD_BC_IN_2_1_1,PPFD_BC_IN_3_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1,TS_1_9_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_5_1,TS_2_6_1,TS_2_7_1,TS_2_8_1,TS_2_9_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_3_6_1,TS_3_7_1,TS_3_8_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_6_1,TS_4_7_1,TS_4_8_1,TS_4_9_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,TS_5_5_1,TS_5_6_1,TS_5_7_1,G_1_1_1,G_3_1_1,NETRAD
1,0.25,0.981405366233677,0.18490472021557,11.671382578799,2.30472387970032,1.12300727310354,-4.23610936102947,2.18911592429035,2.05039729086489,421.03936080668,11.1195927715726,426.773237875865,8.54853354964326,423.123725686955,426.852731668048,8.41016034888851,421.125425544054,426.491336342681,8.51160519845584,422.796812529059,426.740516776832,8.40720848934302,424.261133016575,426.136091586685,7.28849173173942,420.704007628477,422.989229130308,9.21798884890067,422.342523095967,6.65110964160291,2.55770825931671,0.276705162602201,5.53,4.28,2.42,1.635,0.95,3.8872,1.793,4.007975,4.1247,3.8693,2.4321,2.32125,88.7518975,94.145,2.0759,3.84,3.19,4.255,2.635,3.02,0.5,-0.245,1.2,0.59,320.1,325.2,323.225,324.15,0.11,0.11,0.16,0.1,0.16,-0.05,0.2225,0.4,0.2475,0.11,2.693,2.929,3.723,4.56475,7.514,5.95775,6.605,6.6165,7.181,2.6535,2.8475,3.946,5.46375,5.88075,6.19525,6.75525,7.28425,3.9085,4.202,5.03725,4.87125,6.11925,6.49725,6.633,7.1055,2.90375,3.72225,4.884,6.233,6.165,5.6275,5.25575,6.91625,7.15775,2.895,3.8565,4.45975,5.39675,5.818,6.1945,6.0325,-4.49375,-10.23,-0.1925
1,0.75,1.06109774848058,0.0234689389598585,7.60186959686449,0.724097040913362,1.15354217780724,-8.32148992493531,1.75507619607845,2.02080797209051,421.089818774024,10.4000806743027,426.695269880767,8.49958075373635,424.713182806943,426.432192106947,8.35935554162709,422.115453442003,426.478521509993,8.36238811174893,424.201087044814,426.536967005258,8.03218471801853,424.19612938437,425.835053150913,7.15676235920129,419.771212422907,422.803409408484,9.18903346656784,423.157323339271,6.55958076558315,2.58527767969656,0.255971244681874,5.9,4.42,2.505,1.7,0.9725,3.8325,2.09125,4.000425,4.34585,3.8502,1.9885,2.467225,88.73413,94.3,1.98615,3.505,3.01,3.71,2.75,2.9825,0.5,-0.27,1.125,0.52,320.2,323.85,323.45,323.6,0.1025,0.1125,0.16,0.1,0.16,-0.05,0.25,0.39,0.24,0.1,2.74875,2.8445,3.7215,4.5515,7.5245,5.95775,6.60525,6.61925,7.181,2.64775,2.86225,3.9305,5.46075,5.881,6.193,6.75475,7.2845,3.92975,4.1905,5.0275,4.8715,6.11625,6.49975,6.6315,7.1055,2.9445,3.6985,4.883,6.235,6.161,5.6235,5.2505,6.9205,7.181,2.889,3.8615,4.4575,5.382,5.8125,6.19675,6.0285,-4.734,-10.883,-0.8225
1,1.25,0.973423084627259,0.177180081111046,8.09842550294261,1.11859764062463,1.11190708742268,10.3542725556659,1.66589632853685,1.96836611305155,421.066167708247,10.3726089341466,426.300392843856,8.33294193990737,423.890985945466,426.604749601095,7.81867690785251,421.8143968,426.278162226501,8.22824425115139,422.775180928602,426.400429445181,8.24609733796639,425.468426020109,425.86717381379,7.31534283629379,420.042169116904,423.033203263056,9.06926659656864,422.433866554601,6.81269221340107,2.43864692061864,0.254172373402594,5.45,4.1,2.45,1.73,0.9825,3.9143,1.864,4.002525,4.03895,3.486,1.7682,2.632075,88.7266125,93.57,2.2631,3.95,3.1125,3.9525,2.7275,3.0025,0.4,-0.24,1.1,0.45,320.75,324.45,322.5,325.05,0.1,0.1025,0.1625,0.1,0.16,-0.05,0.2425,0.4025,0.24,0.1,2.64825,2.89775,3.7195,4.5285,7.533,5.963,6.60375,6.631,7.181,2.61525,2.76725,3.9165,5.4585,5.887,6.19575,6.75475,7.28425,3.92825,4.1525,5.01825,4.871,6.11325,6.50025,6.6305,7.1045,3.049,3.6685,4.881,6.23375,6.15725,5.61875,5.24825,6.92425,7.18325,2.94325,3.866,4.4445,5.3675,5.8025,6.19875,6.0225,-4.745,-11.01425,-0.1
1,1.75,0.770384646197368,0.263111906176327,10.6729189134013,2.41121385241656,1.14408054037251,-3.31117197957268,2.23146399497057,2.01469152567676,421.20446872654,10.2444380501445,426.700641378087,7.95679742452895,424.879208737906,426.467115518377,7.90743577285008,421.526768395564,426.951568067176,8.18975037188387,423.027779148718,427.04637333238,7.35149441281026,425.922683296501,426.255622115219,7.31380415193122,420.641272890195,423.286257266814,8.88808635964979,422.953067222072,6.47672387530167,3.2638372105538,0.238103202859606,5.5925,4.265,2.525,1.77,0.9725,3.5787,1.525,3.98185,4.1656,3.36875,1.5963,2.7262,88.72242,95.04,2.286425,3.8225,3.2275,3.6675,2.63,3.0575,0.6,-0.25,1.2,0.5,319,326.2,321.55,324.175,0.11,0.1125,0.16,0.0925,0.16,-0.05,0.2425,0.3925,0.2475,0.1,2.72425,2.93175,3.71575,4.519,7.352,5.974,6.60225,6.6325,7.181,2.636,2.77625,3.9065,5.45625,5.89075,6.198,6.75575,7.28375,3.8835,4.15425,5.009,4.8695,6.1175,6.50175,6.63,7.104,3.1705,3.64225,4.87925,6.23225,6.1535,5.61475,5.24775,6.9175,7.17275,2.9745,3.79,4.43325,5.354,5.7925,6.2,6.1515,-4.59175,-10.73575,-0.9575
1,2.25,0.746613058977644,0.634348008878772,13.0464592918566,0.956698675268538,1.1154546483822,16.9959698442063,3.38814510337681,2.0660757185429,421.529995303279,9.56581433568639,426.256374005272,7.43360881087488,424.669376514314,426.809268918129,6.97727138414659,421.480330045455,426.590131223174,7.34461205178866,423.772266356293,426.493685728577,7.58488852528404,426.376940572894,426.644728178885,7.29154280349572,420.583373812158,422.999105725307,8.41215428671909,422.355450979772,6.25119676270767,2.1584988442017,0.316780673049844,5.445,4.07,2.38,1.72,0.9425,4.0633,1.719,4.0774,4.266,3.587875,1.592,2.373975,88.72631,96.34,2.1631,3.1075,2.6175,3.2725,2.47,2.7425,0.5,-0.24,1.1,0.49,314.75,327.1,321.775,322.85,0.1025,0.1125,0.16,0.09,0.16,-0.05,0.215,0.39,0.245,0.1,2.714,2.977,3.712,4.5035,7.3555,5.9805,6.6025,6.6345,7.181,2.6815,2.76825,3.90125,5.45425,5.888,6.20075,6.75575,7.28375,3.84425,4.1615,5.00075,4.86875,6.1215,6.503,6.629,7.104,3.25925,3.564,4.87825,6.227,6.15525,5.61,5.247,6.91725,7.1765,2.97225,3.676,4.42175,5.3395,5.7785,6.202,6.0125,-4.5845,-10.723,-0.01
1,2.75,0.925312212691276,0.325275684989615,13.831867853165,10.457337510607,1.12250497334834,3.38612402667727,1.68615612065517,2.03303282879115,422.451529475833,8.99220010157738,426.723046531663,8.1335870496926,424.630589310065,426.808951932884,7.84447980663428,422.494655857064,426.933793679059,7.33338199565504,424.15895920479,426.832941861359,7.93368690884643,426.831197849286,425.848837225603,7.47029728874064,421.083420057088,424.7975668051,8.64005461559211,423.132358669432,6.49302501483109,1.58117304439877,0.276120856495655,5.72,4.1625,2.4225,1.7125,0.9425,3.987,1.72675,4.0655,4.371675,3.924,1.9121,2.5035,88.731675,96.045,2.1136,3.2725,2.78,3.29,2.6025,2.8625,0.5,-0.23,1.2,0.48,314.35,328,321.625,322.6,0.1125,0.12,0.16,0.0925,0.16,-0.05,0.22,0.3725,0.2325,0.1,2.713,3.0465,3.7095,4.488,7.35325,5.983,6.605,6.62925,7.181,2.70325,2.76925,3.902,5.4535,5.8835,6.203,6.7565,7.28375,3.7875,4.1675,4.99225,4.868,6.11925,6.5045,6.628,7.1035,3.296,3.5075,4.878,6.21575,6.16325,5.606,5.2465,6.916,7.18075,2.88675,3.6655,4.40825,5.3255,5.7685,6.20325,6.007,-4.6055,-10.793,0.7275
1,3.25,0.885063827085213,0.171947979713904,12.5860693883709,2.96922235968041,1.1800035351008,3.5399086950098,1.59107720982573,2.07508651302579,422.580846615906,9.89590317005776,426.228079245677,7.64360385689769,424.831692999345,426.298784764595,7.65679912389963,421.247163483237,426.386214372877,7.80891481374061,424.207996444549,426.32516051241,7.81510065470648,427.029279910528,425.357667247788,7.72290714252599,419.846975856291,424.306089066977,8.07904512980158,423.129539817255,6.62320326601411,1.79321735521733,0.265583057591184,5.74,4.31,2.4675,1.72,0.95,3.813025,1.7695,3.920825,4.108225,3.68375,2.003,2.1859,88.73653,94.3225,2.167275,3.3975,2.7175,3.2075,2.575,2.8725,0.5,-0.23,1.1,0.53,315.55,328.8,321.425,322.2,0.11,0.12,0.16,0.1,0.16,-0.0475,0.22,0.4025,0.235,0.1,2.697,3.07825,3.70675,4.45675,7.3515,5.98125,6.605,6.632,7.181,2.6925,2.76425,3.91325,5.45225,5.88,6.205,6.75675,7.283,3.63825,4.16725,4.986,4.8665,6.1125,6.506,6.627,7.103,3.2535,3.694,4.8805,6.227,6.1715,5.604,5.245,6.91375,7.1815,2.96725,3.6515,4.3945,5.312,5.7575,6.2045,6.0015,-4.76625,-10.441,-0.005
1,3.75,0.881407418909605,0.299553878897015,11.5960957558022,1.32694960526826,1.14069516433266,8.7660619526678,0.829140614386829,2.13032599988474,424.659355236556,9.3359329807298,426.451136690262,7.46512163774793,423.987977939815,426.721196023844,7.47067782293069,422.107359854912,426.762441489868,7.49058081807852,425.069647728,426.7314743438,7.52739705857046,427.247249452381,425.548755164177,7.66740531289792,420.456155237607,424.328796228119,7.74761186216267,423.194567003611,6.53909096138228,1.76178871699525,0.264714717458751,5.685,4.185,2.4675,1.73,0.9725,3.390775,1.788,3.56565,4.02735,3.35345,1.4951,1.7354,88.6971675,93.8025,2.17245,3.16,2.5925,3.32,2.375,2.7675,0.5,-0.265,1.2,0.46,311.8,327.8,320.125,322.625,0.1025,0.1125,0.16,0.1,0.16,-0.05,0.205,0.4,0.235,0.1,2.645,3.056,3.7045,4.43925,7.35125,5.97925,6.6,6.63475,7.18175,2.64275,2.73875,3.932,5.45075,5.87575,6.207,6.7575,7.2835,3.57225,4.15575,4.98225,4.8655,6.10575,6.5075,6.625,7.1025,3.20575,3.69,4.8835,6.229,6.179,5.6,5.2445,6.91325,7.18425,2.9755,3.6225,4.38175,5.303,5.7585,6.20125,5.997,-4.5405,-10.2405,-1.1525
1,4.25,0.728782201416858,-0.100547744499126,13.393559520525,0.0863209316622429,1.15436367761186,13.1744634501805,4.16734758419413,2.09226258578421,424.299859764561,8.77596279140184,425.928317263215,7.03329110765903,423.491489749226,426.132816946965,7.09629070946498,420.925210702265,426.036728049021,6.90039275734113,422.972199461168,426.186514314093,6.89765757514957,424.108890076087,426.19664646084,7.07730972642867,419.934006227273,425.057681829199,7.47665385076965,422.517867173717,6.71575930968214,1.91578195570121,0.30343370727488,5.8525,4.185,2.4525,1.7,0.96,2.90875,1.6895,3.625125,3.8463,2.95165,1.8011,2.2983,88.70285,95.375,2.147175,3.4325,2.795,3.3325,2.59,2.975,0.5,-0.25,1.2,0.42,311.25,327.05,320.825,323.125,0.11,0.11,0.16,0.0925,0.16,-0.05,0.195,0.4125,0.235,0.1,2.631,2.99,3.7015,4.422,7.352,5.9735,6.5925,6.63775,7.18175,2.577,2.69875,3.947,5.44975,5.873,6.21,6.7575,7.28225,3.56325,4.073,4.9785,4.86225,6.099,6.509,6.621,7.102,3.166,3.64525,4.8875,6.23475,6.1855,5.596,5.24375,6.9225,7.1995,2.96325,3.58225,4.37,5.2985,5.75325,6.19625,5.992,-4.877,-10.87725,-0.2
1,4.75,0.960921271015706,0.123683109844861,8.35828666458181,1.01244695182514,1.17116799124453,7.86578668003642,1.29785944306526,2.04391343318237,423.760063569114,7.09552661291748,426.306500794113,6.20651818869185,423.211869193331,426.17769622196,6.21431054281901,421.963576313727,425.967830907727,6.4325075103531,425.333806447005,426.050753408391,6.58905601659871,421.515311194444,425.793842772531,7.32959498827849,420.627297792046,424.332684256229,7.30732075984537,422.668120688784,6.42996558432841,1.6646136290928,0.32632736883243,5.7275,4.32,2.515,1.73,0.985,2.6524,1.802,3.405575,3.870925,2.64145,1.7337,2.231,88.6967375,94.9475,2.040575,3.045,2.4025,2.705,2.105,2.4475,0.5,-0.215,1.2,0.5,312.75,326.9,320.275,322.175,0.11,0.12,0.17,0.0925,0.16,-0.05,0.2125,0.4125,0.26,0.1,2.63675,2.9225,3.699,4.4045,7.353,5.96825,6.5905,6.63975,7.18175,2.54325,2.64925,3.95725,5.44975,5.87175,6.212,6.758,7.28225,3.6075,3.98975,4.978,4.859,6.10125,6.5105,6.6175,7.102,3.11275,3.64275,4.88875,6.234,6.19175,5.5915,5.2415,6.92175,7.20275,2.94375,3.5505,4.357,5.294,5.7495,6.1895,6.11625,-4.613,-10.97075,-0.2375
