DOY2,HR2,CO2,H2O,CH4,FC,NEE,FCH4,H,LE,WS,USTAR,PA,RH,TA,VPD,PPFD_IN,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT,TS_1,TS_2
1,0.25,418.78,6.0418,2180.5,0.489905,0.33227,10.29675,-2.18135,25.402,1.57415,0.22601,99.8185,83.7955,1.2443,0.76413,0,-11.676,-0.647,0.70681,308.85,318.83,6.3119,5.3249
1,0.75,418.145,6.13405,2170.4,0.44236,0.42324,8.3993,-2.93375,17.237,1.63155,0.2221,99.8005,83.881,1.13915,0.826695,0,-11.96,-0.62876,0.58764,311.03,319.36,6.3094,5.3291
1,1.25,416.525,6.0651,2169.5,0.387065,0.515085,12.774,-0.77697,21.587,1.6435,0.23165,99.815,84.0735,1.18005,0.890865,0,-12.898,-0.66262,0.62505,308.195,320.03,6.3085,5.3355
1,1.75,417.18,5.9489,2163.6,0.25895,0.286685,12.427,-0.98106,20.17,1.6531,0.24685,99.813,83.9305,1.0858,0.88184,0,-12.6595,-0.69659,0.60961,308.335,320.14,6.3061,5.3407
1,2.25,417.04,5.9847,2163.5,0.38754,0.38754,8.77055,-0.931145,22.667,1.699,0.22704,99.7595,84.5045,1.11605,0.830205,0,-12.974,-0.69853,0.61969,308.145,319.69,6.3103,5.3442
1,2.75,417.265,5.9438,2148.9,0.191961,0.191961,8.87215,-1.14687,22.014,1.6013,0.2511,99.758,84.072,1.0631,0.813535,0,-13.065,-0.734975,0.624,308.115,318.63,6.3085,5.3618
1,3.25,417.67,6.0128,2157.3,0.34855,0.34855,7.6003,-0.417135,22.9485,1.58345,0.23289,99.743,84.406,0.899965,0.806,0,-13.8045,-0.87884,0.65148,304.355,318.62,6.31,5.361
1,3.75,418.85,5.8955,2157.5,0.47001,0.42793,11.498,0.85022,25.1095,1.83455,0.25128,99.7125,83.4965,0.899055,0.769845,0,-12.1595,-0.73369,0.62046,304.315,318.5,6.3107,5.3584
1,4.25,418.69,6.111,2156.6,0.474205,0.315445,8.9717,0.033022,21.514,1.7113,0.22866,99.7245,83.6815,0.99286,0.80018,0,-12.134,-0.74951,0.56726,307.265,318.74,6.3121,5.3639
1,4.75,418.36,6.1206,2168,0.40252,0.1624485,8.8889,-0.79229,27.747,1.684,0.22935,99.7595,83.734,0.829715,0.792445,0,-11.497,-0.71224,0.65081,306.45,318.09,6.309,5.3671
1,5.25,418.28,6.068,2179.8,0.35278,0.50634,8.4866,-0.85624,25.745,1.61885,0.21639,99.819,83.675,0.874445,0.79212,0,-12.166,-0.61219,0.60394,305.57,318.02,6.3149,5.3724
1,5.75,417.09,6.0971,2174.2,0.41903,0.35475,7.1274,-0.96907,22.6445,1.6105,0.21877,99.805,84.228,0.805105,0.79035,0,-10.6685,-0.69436,0.6817,306.445,317.99,6.3174,5.3777
1,6.25,417.85,6.2132,2164.85,0.36982,0.1988,8.61675,-1.292245,21.108,1.6172,0.225895,99.8055,84.243,0.642985,0.770765,0,-9.50355,-0.578355,0.65649,307.665,317.15,6.3181,5.3828
1,6.75,417.48,6.2007,2157.8,0.47957,0.50246,9.1454,-1.3082,22.3885,1.53035,0.22685,99.808,84.5645,0.66643,0.74828,0,-9.237,-0.73558,0.55133,308.04,317.94,6.3209,5.4292
1,7.25,418.09,6.1524,2152.05,0.49554,0.543075,4.1723,-0.36969,16.309,1.45755,0.22025,99.839,83.7465,0.75888,0.7339,0,-9.5086,-0.74224,0.62703,306.685,318.21,6.3303,5.4366
1,7.75,418.225,5.98855,2153.9,0.41538,0.358635,6.6263,-1.1577,19.738,1.61385,0.22296,99.836,83.645,0.712655,0.73454,0.35,-9.5223,0.394465,0.64377,306.5,318.25,6.3453,5.4323
1,8.25,419.25,5.9317,2168.7,0.4738,0.037167,5.6521,-1.97625,36.77,1.692,0.20255,99.8345,84.654,0.689665,0.71411,7.525,-7.61685,5.5208,1.1652,307.61,317.98,6.3556,5.4317
1,8.75,420.96,5.9593,2172.95,0.60118,-0.035017,7.77525,0.203295,36.719,1.7331,0.22555,99.8535,83.8965,0.712655,0.71466,32.05,1.670195,23.371,2.6708,308.525,318.76,6.3563,5.4282
1,9.25,421.025,6.0896,2166.7,0.37249,-0.16413,5.038,0.664435,33.5295,1.8167,0.22384,99.898,82.031,0.943785,0.789175,76.2,20.213,49.617,4.53505,307.685,319.48,6.3552,5.4241
1,9.75,420.34,5.8607,2165,0.058148,-0.249735,10.283,2.794,33.8535,1.79185,0.23669,99.942,82,1.1613,0.82868,120.9,41.9365,83.556,8.0373,308.43,319.775,6.3539,5.4208
1,10.25,420.995,5.6952,2160.65,0.015859,-0.45438,12.715,2.91665,34.184,1.99075,0.26075,99.963,81.0875,1.2528,0.870735,168.15,61.768,112.53,10.669,311.095,320.65,6.3517,5.4206
1,10.75,420.62,5.7659,2168.15,0.11554,-0.28775,6.7701,2.184,37.443,2.00395,0.28858,99.975,80.8505,1.5059,0.95515,197.25,80.852,138.39,12.504,310.18,322.035,6.3511,5.4247
1,11.25,420.87,5.9898,2159.7,-0.1116545,-0.27972,10.925,5.71665,42.795,2.0601,0.28811,99.998,79.9175,1.7389,1.0677,246.3,120.495,165.07,16.046,308.795,323.025,6.3807,5.4301
1,11.75,420.32,6.6549,2158.1,0.027074,-0.53883,7.03365,7.3329,40.035,1.99635,0.27089,100.01,78.718,2.2612,1.1545,253.7,108.48,174.43,16.687,313.995,324.11,6.3797,5.4344
1,12.25,420.14,6.3198,2164.05,-0.089574,-0.30171,10.469,8.4145,41.0015,2.0873,0.300245,99.988,78.073,2.39285,1.2239,296.025,111.895,197.52,16.7345,314.905,324.87,6.3817,5.4226
1,12.75,420.4,6.2159,2158.4,-0.194595,-0.40102,12.999,7.8056,38.2665,2.1355,0.315765,99.9445,77.6725,2.1844,1.3166,329.05,121.75,205.335,16.7295,310.84,325.88,6.3789,5.4059
